label_type,subject,batch_index,start_window,end_window_exclusive,num_windows,label0_count,label1_count,label1_ratio,majority_ratio,is_single_class
AROUSAL,S1,0,0,64,64,24,40,0.625,0.625,0
AROUSAL,S1,1,64,128,64,40,24,0.375,0.625,0
AROUSAL,S1,2,128,192,64,19,45,0.703125,0.703125,0
AROUSAL,S1,3,192,256,64,44,20,0.3125,0.6875,0
AROUSAL,S1,4,256,266,10,10,0,0.0,1.0,1
AROUSAL,S2,0,0,64,64,10,54,0.84375,0.84375,0
AROUSAL,S2,1,64,128,64,19,45,0.703125,0.703125,0
AROUSAL,S2,2,128,192,64,0,64,1.0,1.0,1
AROUSAL,S2,3,192,253,61,38,23,0.3770491803278688,0.6229508196721312,0
AROUSAL,S3,0,0,64,64,16,48,0.75,0.75,0
AROUSAL,S3,1,64,128,64,27,37,0.578125,0.578125,0
AROUSAL,S3,2,128,192,64,29,35,0.546875,0.546875,0
AROUSAL,S3,3,192,256,64,38,26,0.40625,0.59375,0
AROUSAL,S3,4,256,267,11,0,11,1.0,1.0,1
AROUSAL,S4,0,0,64,64,0,64,1.0,1.0,1
AROUSAL,S4,1,64,128,64,31,33,0.515625,0.515625,0
AROUSAL,S4,2,128,192,64,23,41,0.640625,0.640625,0
AROUSAL,S4,3,192,256,64,38,26,0.40625,0.59375,0
AROUSAL,S4,4,256,267,11,0,11,1.0,1.0,1
AROUSAL,S5,0,0,64,64,16,48,0.75,0.75,0
AROUSAL,S5,1,64,128,64,40,24,0.375,0.625,0
AROUSAL,S5,2,128,192,64,51,13,0.203125,0.796875,0
AROUSAL,S5,3,192,256,64,15,49,0.765625,0.765625,0
AROUSAL,S5,4,256,294,38,0,38,1.0,1.0,1
AROUSAL,S6,0,0,64,64,39,25,0.390625,0.609375,0
AROUSAL,S6,1,64,128,64,41,23,0.359375,0.640625,0
AROUSAL,S6,2,128,192,64,55,9,0.140625,0.859375,0
AROUSAL,S6,3,192,254,62,0,62,1.0,1.0,1
AROUSAL,S7,0,0,64,64,21,43,0.671875,0.671875,0
AROUSAL,S7,1,64,128,64,35,29,0.453125,0.546875,0
AROUSAL,S7,2,128,192,64,46,18,0.28125,0.71875,0
AROUSAL,S7,3,192,230,38,25,13,0.34210526315789475,0.6578947368421053,0
AROUSAL,S8,0,0,64,64,16,48,0.75,0.75,0
AROUSAL,S8,1,64,128,64,21,43,0.671875,0.671875,0
AROUSAL,S8,2,128,192,64,25,39,0.609375,0.609375,0
AROUSAL,S8,3,192,256,64,20,44,0.6875,0.6875,0
AROUSAL,S8,4,256,272,16,16,0,0.0,1.0,1
AROUSAL,S9,0,0,64,64,10,54,0.84375,0.84375,0
AROUSAL,S9,1,64,128,64,33,31,0.484375,0.515625,0
