subject,num_batches,num_windows,label0_windows,label1_windows,single_class_batches,mean_majority_ratio,max_majority_ratio,batch_sizes,batch_label_counts
S1,5,266,137,129,1,0.728125,1.0,"64, 64, 64, 64, 10","B0:0=24,1=40 | B1:0=40,1=24 | B2:0=19,1=45 | B3:0=44,1=20 | B4:0=10,1=0"
S2,4,253,67,186,1,0.7924564549180328,1.0,"64, 64, 64, 61","B0:0=10,1=54 | B1:0=19,1=45 | B2:0=0,1=64 | B3:0=38,1=23"
S3,5,267,110,157,1,0.69375,1.0,"64, 64, 64, 64, 11","B0:0=16,1=48 | B1:0=27,1=37 | B2:0=29,1=35 | B3:0=38,1=26 | B4:0=0,1=11"
S4,5,267,92,175,2,0.75,1.0,"64, 64, 64, 64, 11","B0:0=0,1=64 | B1:0=31,1=33 | B2:0=23,1=41 | B3:0=38,1=26 | B4:0=0,1=11"
S5,5,294,122,172,1,0.7875,1.0,"64, 64, 64, 64, 38","B0:0=16,1=48 | B1:0=40,1=24 | B2:0=51,1=13 | B3:0=15,1=49 | B4:0=0,1=38"
S6,4,254,135,119,1,0.77734375,1.0,"64, 64, 64, 62","B0:0=39,1=25 | B1:0=41,1=23 | B2:0=55,1=9 | B3:0=0,1=62"
S7,4,230,127,103,0,0.6488486842105263,0.71875,"64, 64, 64, 38","B0:0=21,1=43 | B1:0=35,1=29 | B2:0=46,1=18 | B3:0=25,1=13"
S8,5,272,98,174,1,0.74375,1.0,"64, 64, 64, 64, 16","B0:0=16,1=48 | B1:0=21,1=43 | B2:0=25,1=39 | B3:0=20,1=44 | B4:0=16,1=0"
S9,5,258,105,153,1,0.709375,1.0,"64, 64, 64, 64, 2","B0:0=10,1=54 | B1:0=33,1=31 | B2:0=24,1=40 | B3:0=36,1=28 | B4:0=2,1=0"
S10,5,284,155,129,1,0.721875,1.0,"64, 64, 64, 64, 28","B0:0=35,1=29 | B1:0=48,1=16 | B2:0=23,1=41 | B3:0=21,1=43 | B4:0=28,1=0"
S11,5,300,176,124,0,0.5889204545454545,0.734375,"64, 64, 64, 64, 44","B0:0=47,1=17 | B1:0=34,1=30 | B2:0=42,1=22 | B3:0=32,1=32 | B4:0=21,1=23"
S12,4,248,126,122,0,0.6060267857142857,0.71875,"64, 64, 64, 56","B0:0=31,1=33 | B1:0=29,1=35 | B2:0=46,1=18 | B3:0=20,1=36"
S13,5,277,153,124,1,0.7625,1.0,"64, 64, 64, 64, 21","B0:0=22,1=42 | B1:0=37,1=27 | B2:0=18,1=46 | B3:0=55,1=9 | B4:0=21,1=0"
S14,4,244,166,78,0,0.7184495192307692,0.96875,"64, 64, 64, 52","B0:0=28,1=36 | B1:0=62,1=2 | B2:0=33,1=31 | B3:0=43,1=9"
S15,5,320,158,162,0,0.55625,0.625,"64, 64, 64, 64, 64","B0:0=31,1=33 | B1:0=30,1=34 | B2:0=40,1=24 | B3:0=31,1=33 | B4:0=26,1=38"
S16,4,221,104,117,0,0.7561961206896551,0.9310344827586207,"64, 64, 64, 29","B0:0=17,1=47 | B1:0=54,1=10 | B2:0=31,1=33 | B3:0=2,1=27"
