label_type,subject,batch_index,start_window,end_window_exclusive,num_windows,label0_count,label1_count,label1_ratio,majority_ratio,is_single_class
VALENCE,S1,0,0,64,64,47,17,0.265625,0.734375,0
VALENCE,S1,1,64,128,64,19,45,0.703125,0.703125,0
VALENCE,S1,2,128,192,64,41,23,0.359375,0.640625,0
VALENCE,S1,3,192,256,64,36,28,0.4375,0.5625,0
VALENCE,S1,4,256,266,10,0,10,1.0,1.0,1
VALENCE,S2,0,0,64,64,50,14,0.21875,0.78125,0
VALENCE,S2,1,64,128,64,37,27,0.421875,0.578125,0
VALENCE,S2,2,128,192,64,54,10,0.15625,0.84375,0
VALENCE,S2,3,192,253,61,22,39,0.639344262295082,0.639344262295082,0
VALENCE,S3,0,0,64,64,50,14,0.21875,0.78125,0
VALENCE,S3,1,64,128,64,6,58,0.90625,0.90625,0
VALENCE,S3,2,128,192,64,43,21,0.328125,0.671875,0
VALENCE,S3,3,192,256,64,36,28,0.4375,0.5625,0
VALENCE,S3,4,256,267,11,11,0,0.0,1.0,1
VALENCE,S4,0,0,64,64,35,29,0.453125,0.546875,0
VALENCE,S4,1,64,128,64,20,44,0.6875,0.6875,0
VALENCE,S4,2,128,192,64,35,29,0.453125,0.546875,0
VALENCE,S4,3,192,256,64,10,54,0.84375,0.84375,0
VALENCE,S4,4,256,267,11,0,11,1.0,1.0,1
VALENCE,S5,0,0,64,64,37,27,0.421875,0.578125,0
VALENCE,S5,1,64,128,64,33,31,0.484375,0.515625,0
VALENCE,S5,2,128,192,64,24,40,0.625,0.625,0
VALENCE,S5,3,192,256,64,36,28,0.4375,0.5625,0
VALENCE,S5,4,256,294,38,11,27,0.7105263157894737,0.7105263157894737,0
VALENCE,S6,0,0,64,64,41,23,0.359375,0.640625,0
VALENCE,S6,1,64,128,64,35,29,0.453125,0.546875,0
VALENCE,S6,2,128,192,64,22,42,0.65625,0.65625,0
VALENCE,S6,3,192,254,62,29,33,0.532258064516129,0.532258064516129,0
VALENCE,S7,0,0,64,64,52,12,0.1875,0.8125,0
VALENCE,S7,1,64,128,64,31,33,0.515625,0.515625,0
VALENCE,S7,2,128,192,64,54,10,0.15625,0.84375,0
VALENCE,S7,3,192,230,38,27,11,0.2894736842105263,0.7105263157894737,0
VALENCE,S8,0,0,64,64,52,12,0.1875,0.8125,0
VALENCE,S8,1,64,128,64,9,55,0.859375,0.859375,0
VALENCE,S8,2,128,192,64,34,30,0.46875,0.53125,0
VALENCE,S8,3,192,256,64,34,30,0.46875,0.53125,0
VALENCE,S8,4,256,272,16,0,16,1.0,1.0,1
VALENCE,S9,0,0,64,64,63,1,0.015625,0.984375,0
VALENCE,S9,1,64,128,64,37,27,0.421875,0.578125,0
VALENCE,S9,2,128,192,64,35,29,0.453125,0.546875,0
VALENCE,S9,3,192,256,64,27,37,0.578125,0.578125,0
VALENCE,S9,4,256,258,2,0,2,1.0,1.0,1
VALENCE,S10,0,0,64,64,30,34,0.53125,0.53125,0
VALENCE,S10,1,64,128,64,55,9,0.140625,0.859375,0
VALENCE,S10,2,128,192,64,40,24,0.375,0.625,0
VALENCE,S10,3,192,256,64,52,12,0.1875,0.8125,0
VALENCE,S10,4,256,284,28,5,23,0.8214285714285714,0.8214285714285714,0
VALENCE,S11,0,0,64,64,42,22,0.34375,0.65625,0
VALENCE,S11,1,64,128,64,2,62,0.96875,0.96875,0
VALENCE,S11,2,128,192,64,27,37,0.578125,0.578125,0
VALENCE,S11,3,192,256,64,26,38,0.59375,0.59375,0
VALENCE,S11,4,256,300,44,27,17,0.38636363636363635,0.6136363636363636,0
VALENCE,S12,0,0,64,64,37,27,0.421875,0.578125,0
VALENCE,S12,1,64,128,64,31,33,0.515625,0.515625,0
VALENCE,S12,2,128,192,64,38,26,0.40625,0.59375,0
VALENCE,S12,3,192,248,56,20,36,0.6428571428571429,0.6428571428571429,0
VALENCE,S13,0,0,64,64,60,4,0.0625,0.9375,0
VALENCE,S13,1,64,128,64,25,39,0.609375,0.609375,0
VALENCE,S13,2,128,192,64,54,10,0.15625,0.84375,0
VALENCE,S13,3,192,256,64,50,14,0.21875,0.78125,0
VALENCE,S13,4,256,277,21,0,21,1.0,1.0,1
VALENCE,S14,0,0,64,64,49,15,0.234375,0.765625,0
VALENCE,S14,1,64,128,64,46,18,0.28125,0.71875,0
VALENCE,S14,2,128,192,64,26,38,0.59375,0.59375,0
VALENCE,S14,3,192,244,52,52,0,0.0,1.0,1
VALENCE,S15,0,0,64,64,50,14,0.21875,0.78125,0
VALENCE,S15,1,64,128,64,55,9,0.140625,0.859375,0
VALENCE,S15,2,128,192,64,29,35,0.546875,0.546875,0
VALENCE,S15,3,192,256,64,58,6,0.09375,0.90625,0
VALENCE,S15,4,256,320,64,29,35,0.546875,0.546875,0
VALENCE,S16,0,0,64,64,60,4,0.0625,0.9375,0
VALENCE,S16,1,64,128,64,49,15,0.234375,0.765625,0
VALENCE,S16,2,128,192,64,3,61,0.953125,0.953125,0
VALENCE,S16,3,192,221,29,27,2,0.06896551724137931,0.9310344827586207,0
VALENCE,S17,0,0,64,64,27,37,0.578125,0.578125,0
VALENCE,S17,1,64,128,64,40,24,0.375,0.625,0
VALENCE,S17,2,128,192,64,26,38,0.59375,0.59375,0
VALENCE,S17,3,192,256,64,64,0,0.0,1.0,1
VALENCE,S17,4,256,286,30,17,13,0.43333333333333335,0.5666666666666667,0
VALENCE,S18,0,0,64,64,13,51,0.796875,0.796875,0
VALENCE,S18,1,64,128,64,44,20,0.3125,0.6875,0
VALENCE,S18,2,128,192,64,24,40,0.625,0.625,0
VALENCE,S18,3,192,255,63,35,28,0.4444444444444444,0.5555555555555556,0
VALENCE,S19,0,0,64,64,42,22,0.34375,0.65625,0
VALENCE,S19,1,64,128,64,34,30,0.46875,0.53125,0
VALENCE,S19,2,128,192,64,58,6,0.09375,0.90625,0
