subject,num_batches,num_windows,label0_windows,label1_windows,single_class_batches,mean_majority_ratio,max_majority_ratio,batch_sizes,batch_label_counts
S1,5,266,143,123,1,0.728125,1.0,"64, 64, 64, 64, 10","B0:0=47,1=17 | B1:0=19,1=45 | B2:0=41,1=23 | B3:0=36,1=28 | B4:0=0,1=10"
S2,4,253,163,90,0,0.7106173155737705,0.84375,"64, 64, 64, 61","B0:0=50,1=14 | B1:0=37,1=27 | B2:0=54,1=10 | B3:0=22,1=39"
S3,5,267,146,121,1,0.784375,1.0,"64, 64, 64, 64, 11","B0:0=50,1=14 | B1:0=6,1=58 | B2:0=43,1=21 | B3:0=36,1=28 | B4:0=11,1=0"
S4,5,267,100,167,1,0.725,1.0,"64, 64, 64, 64, 11","B0:0=35,1=29 | B1:0=20,1=44 | B2:0=35,1=29 | B3:0=10,1=54 | B4:0=0,1=11"
S5,5,294,141,153,0,0.5983552631578947,0.7105263157894737,"64, 64, 64, 64, 38","B0:0=37,1=27 | B1:0=33,1=31 | B2:0=24,1=40 | B3:0=36,1=28 | B4:0=11,1=27"
S6,4,254,127,127,0,0.5940020161290323,0.65625,"64, 64, 64, 62","B0:0=41,1=23 | B1:0=35,1=29 | B2:0=22,1=42 | B3:0=29,1=33"
S7,4,230,164,66,0,0.7206003289473684,0.84375,"64, 64, 64, 38","B0:0=52,1=12 | B1:0=31,1=33 | B2:0=54,1=10 | B3:0=27,1=11"
S8,5,272,129,143,1,0.746875,1.0,"64, 64, 64, 64, 16","B0:0=52,1=12 | B1:0=9,1=55 | B2:0=34,1=30 | B3:0=34,1=30 | B4:0=0,1=16"
S9,5,258,162,96,1,0.7375,1.0,"64, 64, 64, 64, 2","B0:0=63,1=1 | B1:0=37,1=27 | B2:0=35,1=29 | B3:0=27,1=37 | B4:0=0,1=2"
S10,5,284,182,102,0,0.7299107142857142,0.859375,"64, 64, 64, 64, 28","B0:0=30,1=34 | B1:0=55,1=9 | B2:0=40,1=24 | B3:0=52,1=12 | B4:0=5,1=23"
S11,5,300,124,176,0,0.6821022727272728,0.96875,"64, 64, 64, 64, 44","B0:0=42,1=22 | B1:0=2,1=62 | B2:0=27,1=37 | B3:0=26,1=38 | B4:0=27,1=17"
S12,4,248,126,122,0,0.5825892857142857,0.6428571428571429,"64, 64, 64, 56","B0:0=37,1=27 | B1:0=31,1=33 | B2:0=38,1=26 | B3:0=20,1=36"
S13,5,277,189,88,1,0.834375,1.0,"64, 64, 64, 64, 21","B0:0=60,1=4 | B1:0=25,1=39 | B2:0=54,1=10 | B3:0=50,1=14 | B4:0=0,1=21"
S14,4,244,173,71,1,0.76953125,1.0,"64, 64, 64, 52","B0:0=49,1=15 | B1:0=46,1=18 | B2:0=26,1=38 | B3:0=52,1=0"
S15,5,320,221,99,0,0.728125,0.90625,"64, 64, 64, 64, 64","B0:0=50,1=14 | B1:0=55,1=9 | B2:0=29,1=35 | B3:0=58,1=6 | B4:0=29,1=35"
S16,4,221,139,82,0,0.8968211206896551,0.953125,"64, 64, 64, 29","B0:0=60,1=4 | B1:0=49,1=15 | B2:0=3,1=61 | B3:0=27,1=2"
S17,5,286,174,112,1,0.6727083333333332,1.0,"64, 64, 64, 64, 30","B0:0=27,1=37 | B1:0=40,1=24 | B2:0=26,1=38 | B3:0=64,1=0 | B4:0=17,1=13"
S18,4,255,116,139,0,0.6662326388888888,0.796875,"64, 64, 64, 63","B0:0=13,1=51 | B1:0=44,1=20 | B2:0=24,1=40 | B3:0=35,1=28"
S19,4,201,135,66,0,0.7456597222222222,0.90625,"64, 64, 64, 9","B0:0=42,1=22 | B1:0=34,1=30 | B2:0=58,1=6 | B3:0=1,1=8"
S20,5,283,161,122,1,0.721875,1.0,"64, 64, 64, 64, 27","B0:0=48,1=16 | B1:0=34,1=30 | B2:0=50,1=14 | B3:0=29,1=35 | B4:0=0,1=27"
S21,5,288,92,196,1,0.81875,1.0,"64, 64, 64, 64, 32","B0:0=9,1=55 | B1:0=41,1=23 | B2:0=2,1=62 | B3:0=40,1=24 | B4:0=0,1=32"
S22,4,250,133,117,0,0.5867456896551724,0.640625,"64, 64, 64, 58","B0:0=25,1=39 | B1:0=41,1=23 | B2:0=36,1=28 | B3:0=31,1=27"
S23,4,243,124,119,0,0.6509650735294118,0.71875,"64, 64, 64, 51","B0:0=19,1=45 | B1:0=38,1=26 | B2:0=46,1=18 | B3:0=21,1=30"
S24,4,197,77,120,1,0.83203125,1.0,"64, 64, 64, 5","B0:0=8,1=56 | B1:0=49,1=15 | B2:0=20,1=44 | B3:0=0,1=5"
S25,4,245,124,121,0,0.5882959905660378,0.65625,"64, 64, 64, 53","B0:0=22,1=42 | B1:0=36,1=28 | B2:0=40,1=24 | B3:0=26,1=27"
S26,5,303,181,122,0,0.6776595744680851,0.828125,"64, 64, 64, 64, 47","B0:0=53,1=11 | B1:0=43,1=21 | B2:0=42,1=22 | B3:0=26,1=38 | B4:0=17,1=30"
S27,6,321,144,177,1,0.7916666666666666,1.0,"64, 64, 64, 64, 64, 1","B0:0=63,1=1 | B1:0=15,1=49 | B2:0=33,1=31 | B3:0=6,1=58 | B4:0=27,1=37 | B5:0=0,1=1"
S28,4,211,135,76,0,0.6486430921052632,0.796875,"64, 64, 64, 19","B0:0=45,1=19 | B1:0=51,1=13 | B2:0=31,1=33 | B3:0=8,1=11"
S29,3,192,123,69,0,0.671875,0.75,"64, 64, 64","B0:0=48,1=16 | B1:0=29,1=35 | B2:0=46,1=18"
S30,6,343,240,103,1,0.8246150362318841,1.0,"64, 64, 64, 64, 64, 23","B0:0=61,1=3 | B1:0=31,1=33 | B2:0=60,1=4 | B3:0=64,1=0 | B4:0=21,1=43 | B5:0=3,1=20"
