Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes
S1,EMATent,0.9807481169700623,0.9807481169700623,0.6112730503082275,1,0.20577556490898133,0.5,0.29422443509101864,0.0,0.0,0,64,47,0.734375,17.0,0.265625,0.734375,2
S1,EMATent,0.9736644625663757,0.9736644625663757,0.6277356147766113,1,0.2079006612300873,0.5,0.29209933876991273,0.0,0.0,1,64,19,0.296875,45.0,0.703125,0.703125,2
S1,EMATent,0.8201050162315369,0.8201050162315369,0.7597371339797974,1,0.25396849513053893,0.5,0.24603150486946104,0.0,0.0,2,64,41,0.640625,23.0,0.359375,0.640625,2
S1,EMATent,0.9938268661499023,0.9938268661499023,0.672234296798706,1,0.2018519401550293,0.5,0.29814805984497067,0.0,0.0,3,64,36,0.5625,28.0,0.4375,0.5625,2
S1,EMATent,0.9315522909164429,0.9315522909164429,0.6527892351150513,1,0.22053431272506716,0.5,0.2794656872749329,0.0,0.0,4,10,0,0.0,10.0,1.0,1.0,1
S2,EMATent,0.9914031624794006,0.9914031624794006,0.6842595338821411,1,0.2025790512561798,0.5,0.2974209487438202,0.0,0.0,0,64,50,0.78125,14.0,0.21875,0.78125,2
S2,EMATent,0.993725061416626,0.993725061416626,0.6426578760147095,1,0.2018824815750122,0.5,0.2981175184249878,0.0,0.0,1,64,37,0.578125,27.0,0.421875,0.578125,2
S2,EMATent,0.978816032409668,0.978816032409668,0.6848114728927612,1,0.20635519027709961,0.5,0.29364480972290036,0.0,0.0,2,64,54,0.84375,10.0,0.15625,0.84375,2
S2,EMATent,0.9899023771286011,0.9899023771286011,0.7088375091552734,1,0.2030292868614197,0.5,0.2969707131385803,0.0,0.0,3,61,22,0.36065573770491804,39.0,0.639344262295082,0.639344262295082,2
S3,EMATent,0.5883578062057495,0.5883578062057495,0.8604081869125366,1,0.32349265813827516,0.5,0.17650734186172484,0.0,0.0,0,64,50,0.78125,14.0,0.21875,0.78125,2
S3,EMATent,0.4773707687854767,0.4773707687854767,0.8994777202606201,1,0.356788769364357,0.5,0.143211230635643,0.0,0.0,1,64,6,0.09375,58.0,0.90625,0.90625,2
S3,EMATent,0.7590852379798889,0.7590852379798889,0.7926199436187744,1,0.27227442860603335,0.5,0.22772557139396665,0.0,0.0,2,64,43,0.671875,21.0,0.328125,0.671875,2
S3,EMATent,0.8749520182609558,0.8749520182609558,0.8184739947319031,1,0.23751439452171327,0.5,0.26248560547828675,0.0,0.0,3,64,36,0.5625,28.0,0.4375,0.5625,2
S3,EMATent,0.7153105735778809,0.7153105735778809,0.803284227848053,1,0.28540682792663574,0.5,0.21459317207336426,0.0,0.0,4,11,11,1.0,,,1.0,1
S4,EMATent,0.9810284376144409,0.9810284376144409,0.7433178424835205,1,0.20569146871566774,0.5,0.29430853128433226,0.0,0.0,0,64,35,0.546875,29.0,0.453125,0.546875,2
