Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes
S1,EMATent,0.4725733995437622,0.4725733995437622,0.9194223880767822,1,0.35822798013687135,0.5,0.14177201986312865,0.0,0.0,0,64,24,0.375,40.0,0.625,0.625,2
S1,EMATent,0.6611337065696716,0.6611337065696716,0.8391216993331909,1,0.3016598880290985,0.5,0.19834011197090148,0.0,0.0,1,64,40,0.625,24.0,0.375,0.625,2
S1,EMATent,0.4381847083568573,0.4381847083568573,0.909627377986908,1,0.36854458749294283,0.5,0.1314554125070572,0.0,0.0,2,64,19,0.296875,45.0,0.703125,0.703125,2
S1,EMATent,0.8258705139160156,0.8258705139160156,0.7690149545669556,1,0.25223884582519535,0.5,0.24776115417480468,0.0,0.0,3,64,44,0.6875,20.0,0.3125,0.6875,2
S1,EMATent,0.9157164692878723,0.9157164692878723,0.6755480170249939,1,0.2252850592136383,0.5,0.27471494078636166,0.0,0.0,4,10,10,1.0,,,1.0,1
S2,EMATent,0.10897458344697952,0.10897458344697952,0.9855583310127258,0,0.46730762496590617,0.5,0.032692375034093855,0.0,0.0,0,64,10,0.15625,54.0,0.84375,0.84375,2
S2,EMATent,0.16327305138111115,0.16327305138111115,0.9760135412216187,0,0.45101808458566667,0.5,0.04898191541433334,0.0,0.0,1,64,19,0.296875,45.0,0.703125,0.703125,2
S2,EMATent,0.16327469050884247,0.16327469050884247,0.9760132431983948,0,0.45101759284734727,0.5,0.048982407152652736,0.0,0.0,2,64,0,0.0,64.0,1.0,1.0,1
S2,EMATent,0.2407347410917282,0.2407347410917282,0.9603392481803894,1,0.42777957767248154,0.5,0.07222042232751846,0.0,0.0,3,61,38,0.6229508196721312,23.0,0.3770491803278688,0.6229508196721312,2
S3,EMATent,0.9849063754081726,0.9849063754081726,0.7665505409240723,1,0.20452808737754824,0.5,0.29547191262245176,0.0,0.0,0,64,16,0.25,48.0,0.75,0.75,2
S3,EMATent,0.6317552924156189,0.6317552924156189,0.8561856746673584,1,0.31047341227531433,0.5,0.18952658772468567,0.0,0.0,1,64,27,0.421875,37.0,0.578125,0.578125,2
S3,EMATent,0.9975740313529968,0.9975740313529968,0.6633040904998779,1,0.20072779059410095,0.5,0.29927220940589905,0.0,0.0,2,64,29,0.453125,35.0,0.546875,0.546875,2
S3,EMATent,0.8150982856750488,0.8150982856750488,0.7715750932693481,1,0.25547051429748535,0.5,0.24452948570251465,0.0,0.0,3,64,38,0.59375,26.0,0.40625,0.59375,2
