Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MacroF1,Norm_Acc,Norm_F1_0,Norm_F1_1,Norm_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MacroF1,EMATentSafe_Acc,EMATentSafe_F1_0,EMATentSafe_F1_1,EMATentSafe_MacroF1,EmaTentGridS40E50B10M085_Acc,EmaTentGridS40E50B10M085_F1_0,EmaTentGridS40E50B10M085_F1_1,EmaTentGridS40E50B10M085_MacroF1,EmaTentGridS30E50B20M085_Acc,EmaTentGridS30E50B20M085_F1_0,EmaTentGridS30E50B20M085_F1_1,EmaTentGridS30E50B20M085_MacroF1,EmaTentGridS20E50B30M075_Acc,EmaTentGridS20E50B30M075_F1_0,EmaTentGridS20E50B30M075_F1_1,EmaTentGridS20E50B30M075_MacroF1,EMATent_Acc,EMATent_F1_0,EMATent_F1_1,EMATent_MacroF1,EMATentAdaptive_Acc,EMATentAdaptive_F1_0,EMATentAdaptive_F1_1,EMATentAdaptive_MacroF1,EmaTentGridS20E50B30M090_Acc,EmaTentGridS20E50B30M090_F1_0,EmaTentGridS20E50B30M090_F1_1,EmaTentGridS20E50B30M090_MacroF1,EmaTentGridS20E50B30M095_Acc,EmaTentGridS20E50B30M095_F1_0,EmaTentGridS20E50B30M095_F1_1,EmaTentGridS20E50B30M095_MacroF1,EmaTentGridS10E50B40M085_Acc,EmaTentGridS10E50B40M085_F1_0,EmaTentGridS10E50B40M085_F1_1,EmaTentGridS10E50B40M085_MacroF1
S1,0.5150375939849624,0.6799007444168734,0.0,0.3399503722084367,0.31954887218045114,0.2788844621513944,0.35587188612099646,0.3173781741361954,0.31954887218045114,0.2788844621513944,0.35587188612099646,0.3173781741361954,0.37969924812030076,0.5103857566765578,0.15384615384615385,0.33211595526135584,0.4774436090225564,0.6408268733850129,0.041379310344827586,0.3411030918649202,0.44360902255639095,0.6084656084656085,0.03896103896103896,0.32371332371332373,0.42857142857142855,0.5869565217391305,0.07317073170731707,0.33006362672322376,0.4473684210526316,0.5714285714285714,0.2222222222222222,0.3968253968253968,0.41729323308270677,0.5584045584045584,0.143646408839779,0.3510254836221687,0.39097744360902253,0.5423728813559322,0.0898876404494382,0.3161302609026852,0.40601503759398494,0.56353591160221,0.07058823529411765,0.3170620734481638,0.4473684210526316,0.6058981233243967,0.07547169811320754,0.34068491071880214,0.40601503759398494,0.5459770114942529,0.14130434782608695,0.3436406796601699
S2,0.2648221343873518,0.41875,0.0,0.209375,0.6758893280632411,0.5816326530612245,0.7354838709677419,0.6585582620144832,0.6758893280632411,0.5816326530612245,0.7354838709677419,0.6585582620144832,0.6284584980237155,0.5648148148148148,0.6758620689655173,0.6203384418901661,0.2648221343873518,0.41875,0.0,0.209375,0.2648221343873518,0.41875,0.0,0.209375,0.2648221343873518,0.41875,0.0,0.209375,0.25691699604743085,0.4088050314465409,0.0,0.20440251572327045,0.2648221343873518,0.41875,0.0,0.209375,0.2648221343873518,0.41875,0.0,0.209375,0.2648221343873518,0.41875,0.0,0.209375,0.2648221343873518,0.41875,0.0,0.209375,0.2648221343873518,0.41875,0.0,0.209375
S3,0.4756554307116105,0.5953757225433526,0.2553191489361702,0.4253474357397614,0.6928838951310862,0.6371681415929203,0.7337662337662337,0.685467187679577,0.6891385767790262,0.6311111111111111,0.7313915857605178,0.6812513484358145,0.599250936329588,0.5560165975103735,0.6348122866894198,0.5954144420998966,0.5205992509363296,0.5870967741935483,0.42857142857142855,0.5078341013824884,0.5318352059925093,0.584717607973422,0.463519313304721,0.5241184606390715,0.5580524344569289,0.5902777777777778,0.5203252032520326,0.5553014905149052,0.5655430711610487,0.5671641791044776,0.5639097744360902,0.5655369767702839,0.5580524344569289,0.556390977443609,0.5597014925373134,0.5580462349904611,0.5430711610486891,0.5514705882352942,0.5343511450381679,0.542910866636731,0.5280898876404494,0.5594405594405595,0.49193548387096775,0.5256880216557636,0.5243445692883895,0.5665529010238908,0.4730290456431535,0.5197909733335222,0.5355805243445693,0.5373134328358209,0.5338345864661654,0.5355740096509931
S4,0.6554307116104869,0.0,0.7918552036199095,0.39592760180995473,0.5168539325842697,0.44635193133047213,0.5714285714285714,0.5088902513795217,0.5168539325842697,0.44635193133047213,0.5714285714285714,0.5088902513795217,0.41947565543071164,0.4709897610921502,0.35684647302904565,0.4139181170605979,0.6554307116104869,0.0,0.7918552036199095,0.39592760180995473,0.651685393258427,0.16216216216216217,0.7801418439716312,0.4711520030668967,0.6591760299625468,0.3053435114503817,0.7741935483870968,0.5397685299187392,0.602996254681648,0.4479166666666667,0.6900584795321637,0.5689875730994152,0.6329588014981273,0.4235294117647059,0.7307692307692307,0.5771493212669683,0.6591760299625468,0.38095238095238093,0.7648578811369509,0.5729051310446659,0.6554307116104869,0.041666666666666664,0.7899543378995434,0.415810502283105,0.6554307116104869,0.0,0.7918552036199095,0.39592760180995473,0.6441947565543071,0.40993788819875776,0.7453083109919572,0.5776230995953575
S5,0.41496598639455784,0.5865384615384616,0.0,0.2932692307692308,0.5850340136054422,0.5413533834586466,0.6211180124223602,0.5812356979405033,0.5850340136054422,0.5413533834586466,0.6211180124223602,0.5812356979405033,0.47619047619047616,0.5304878048780488,0.4076923076923077,0.46909005628517825,0.41496598639455784,0.5865384615384616,0.0,0.2932692307692308,0.4931972789115646,0.6208651399491094,0.2358974358974359,0.4283812879232727,0.5068027210884354,0.6272493573264781,0.271356783919598,0.4493030706230381,0.5918367346938775,0.625,0.5522388059701493,0.5886194029850746,0.5884353741496599,0.6591549295774648,0.48068669527896996,0.5699208124282173,0.5238095238095238,0.6354166666666666,0.3137254901960784,0.47457107843137253,0.46938775510204084,0.61,0.1702127659574468,0.3901063829787234,0.41496598639455784,0.5865384615384616,0.0,0.2932692307692308,0.5306122448979592,0.6387434554973822,0.3300970873786408,0.4844202714380115
S6,0.4094488188976378,0.3181818181818182,0.4791666666666667,0.39867424242424243,0.452755905511811,0.505338078291815,0.3876651982378855,0.44650163826485023,0.4566929133858268,0.5106382978723404,0.3893805309734513,0.4500094144228959,0.4645669291338583,0.5853658536585366,0.24444444444444444,0.4149051490514905,0.4409448818897638,0.3425925925925926,0.5136986301369864,0.42814561136478946,0.4251968503937008,0.27,0.525974025974026,0.397987012987013,0.4921259842519685,0.3886255924170616,0.5656565656565656,0.47714107903681363,0.5511811023622047,0.5899280575539568,0.5043478260869565,0.5471379418204567,0.5236220472440944,0.5535055350553506,0.48945147679324896,0.5214785059242998,0.5196850393700787,0.5271317829457365,0.512,0.5195658914728682,0.547244094488189,0.5381526104417671,0.555984555984556,0.5470685832131615,0.5590551181102362,0.5294117647058824,0.5851851851851851,0.5572984749455338,0.5708661417322834,0.6254295532646048,0.4976958525345622,0.5615627028995835
S7,0.5565217391304348,0.7102272727272727,0.05555555555555555,0.38289141414141414,0.4782608695652174,0.5121951219512195,0.4392523364485981,0.4757237291999088,0.4782608695652174,0.5121951219512195,0.4392523364485981,0.4757237291999088,0.43478260869565216,0.48,0.38095238095238093,0.43047619047619046,0.5260869565217391,0.6803519061583577,0.08403361344537816,0.38219275980186795,0.5130434782608696,0.654320987654321,0.17647058823529413,0.4153957879448076,0.5260869565217391,0.6472491909385113,0.2781456953642384,0.46269744315137484,0.43478260869565216,0.5255474452554745,0.3010752688172043,0.41331135703633937,0.4608695652173913,0.5664335664335665,0.28735632183908044,0.42689494413632345,0.48695652173913045,0.6013513513513513,0.2804878048780488,0.44091957811470006,0.508695652173913,0.6479750778816199,0.18705035971223022,0.4175127187969251,0.5130434782608696,0.6666666666666666,0.0967741935483871,0.3817204301075269,0.4652173913043478,0.5773195876288659,0.27218934911242604,0.424754468370646
S8,0.5036764705882353,0.5392491467576792,0.46215139442231074,0.500700270589995,0.6691176470588235,0.6153846153846154,0.7096774193548387,0.6625310173697271,0.6691176470588235,0.6153846153846154,0.7096774193548387,0.6625310173697271,0.7279411764705882,0.6782608695652174,0.7643312101910829,0.72129603987815,0.5036764705882353,0.5263157894736842,0.47876447876447875,0.5025401341190815,0.5257352941176471,0.5441696113074205,0.5057471264367817,0.5249583688721011,0.5257352941176471,0.5441696113074205,0.5057471264367817,0.5249583688721011,0.5477941176470589,0.5653710247349824,0.5287356321839081,0.5470533284594452,0.5404411764705882,0.5614035087719298,0.5173745173745173,0.5393890130732235,0.5367647058823529,0.5594405594405595,0.5116279069767442,0.5355342332086519,0.5330882352941176,0.5574912891986062,0.5058365758754864,0.5316639325370462,0.5367647058823529,0.5625,0.5078125,0.53515625,0.5514705882352942,0.5793103448275863,0.5196850393700787,0.5494976920988325
S9,0.5426356589147286,0.46846846846846846,0.5986394557823129,0.5335539621253906,0.5697674418604651,0.5647058823529412,0.5747126436781609,0.569709263015551,0.5697674418604651,0.5647058823529412,0.5747126436781609,0.569709263015551,0.5116279069767442,0.5625,0.4473684210526316,0.5049342105263158,0.5426356589147286,0.5597014925373134,0.5241935483870968,0.5419475204622051,0.5891472868217055,0.6293706293706294,0.5391304347826087,0.584250532076619,0.5426356589147286,0.6265822784810127,0.41,0.5182911392405063,0.5581395348837209,0.64375,0.41836734693877553,0.5310586734693878,0.5465116279069767,0.6377708978328174,0.39378238341968913,0.5157766406262533,0.5310077519379846,0.6322188449848024,0.35294117647058826,0.4925800107276953,0.5038759689922481,0.6024844720496895,0.3402061855670103,0.4713453288083499,0.49224806201550386,0.5919003115264797,0.3282051282051282,0.460052719865804,0.5348837209302325,0.6273291925465838,0.38144329896907214,0.504386245757828
S10,0.5387323943661971,0.700228832951945,0.0,0.3501144164759725,0.3767605633802817,0.4234527687296417,0.3218390804597701,0.3726459245947059,0.3767605633802817,0.4234527687296417,0.3218390804597701,0.3726459245947059,0.426056338028169,0.5459610027855153,0.22009569377990432,0.3830283482827098,0.5035211267605634,0.6552567237163814,0.11320754716981132,0.38423213544309637,0.5,0.6432160804020101,0.16470588235294117,0.4039609813774756,0.4823943661971831,0.622107969151671,0.1787709497206704,0.4004394594361707,0.38380281690140844,0.5179063360881543,0.14634146341463414,0.3321238997513942,0.4119718309859155,0.5474254742547425,0.16080402010050251,0.35411474717762254,0.4471830985915493,0.5857519788918206,0.1693121693121693,0.37753207410199496,0.46830985915492956,0.6098191214470284,0.16574585635359115,0.3877824889003098,0.46830985915492956,0.6157760814249363,0.13714285714285715,0.37645946928389673,0.4084507042253521,0.5384615384615384,0.17647058823529413,0.3574660633484163
