Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MacroF1,Norm_Acc,Norm_F1_0,Norm_F1_1,Norm_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MacroF1,EmaTentGridS20E50B30M075_Acc,EmaTentGridS20E50B30M075_F1_0,EmaTentGridS20E50B30M075_F1_1,EmaTentGridS20E50B30M075_MacroF1,EmaTentCaseS20E50B30M060_Acc,EmaTentCaseS20E50B30M060_F1_0,EmaTentCaseS20E50B30M060_F1_1,EmaTentCaseS20E50B30M060_MacroF1,EmaTentCaseS20E50B30M065_Acc,EmaTentCaseS20E50B30M065_F1_0,EmaTentCaseS20E50B30M065_F1_1,EmaTentCaseS20E50B30M065_MacroF1,EmaTentCaseS20E50B30M070_Acc,EmaTentCaseS20E50B30M070_F1_0,EmaTentCaseS20E50B30M070_F1_1,EmaTentCaseS20E50B30M070_MacroF1,EmaTentCaseS10E50B40M070_Acc,EmaTentCaseS10E50B40M070_F1_0,EmaTentCaseS10E50B40M070_F1_1,EmaTentCaseS10E50B40M070_MacroF1,EmaTentCaseS10E50B40M075_Acc,EmaTentCaseS10E50B40M075_F1_0,EmaTentCaseS10E50B40M075_F1_1,EmaTentCaseS10E50B40M075_MacroF1,EmaTentCaseS10E50B40M080_Acc,EmaTentCaseS10E50B40M080_F1_0,EmaTentCaseS10E50B40M080_F1_1,EmaTentCaseS10E50B40M080_MacroF1,EmaTentCaseS00E50B50M070_Acc,EmaTentCaseS00E50B50M070_F1_0,EmaTentCaseS00E50B50M070_F1_1,EmaTentCaseS00E50B50M070_MacroF1,EmaTentCaseS00E50B50M075_Acc,EmaTentCaseS00E50B50M075_F1_0,EmaTentCaseS00E50B50M075_F1_1,EmaTentCaseS00E50B50M075_MacroF1,EmaTentCaseS00E50B50M080_Acc,EmaTentCaseS00E50B50M080_F1_0,EmaTentCaseS00E50B50M080_F1_1,EmaTentCaseS00E50B50M080_MacroF1,EmaTentCaseS10E40B50M075_Acc,EmaTentCaseS10E40B50M075_F1_0,EmaTentCaseS10E40B50M075_F1_1,EmaTentCaseS10E40B50M075_MacroF1
S1,0.49624060150375937,0.6298342541436464,0.21176470588235294,0.42079948001299966,0.6578947368421053,0.7129337539432177,0.5767441860465117,0.6448389699948647,0.6578947368421053,0.7129337539432177,0.5767441860465117,0.6448389699948647,0.6466165413533834,0.7235294117647059,0.5104166666666666,0.6169730392156862,0.6240601503759399,0.6551724137931034,0.5867768595041323,0.6209746366486179,0.6052631578947368,0.6579804560260586,0.5333333333333333,0.595656894679696,0.6052631578947368,0.6511627906976745,0.5454545454545454,0.5983086680761099,0.6052631578947368,0.6440677966101694,0.5569620253164557,0.6005149109633126,0.6090225563909775,0.6578947368421053,0.543859649122807,0.6008771929824561,0.6127819548872181,0.6578073089700996,0.5541125541125541,0.6059599315413269,0.6090225563909775,0.6462585034013606,0.5630252100840336,0.6046418567426971,0.6015037593984962,0.6535947712418301,0.5309734513274337,0.5922841112846319,0.6165413533834586,0.6666666666666666,0.5486725663716814,0.607669616519174,0.6240601503759399,0.6710526315789473,0.5614035087719298,0.6162280701754386,0.6240601503759399,0.6710526315789473,0.5614035087719298,0.6162280701754386
S2,0.6007905138339921,0.6576271186440678,0.5213270142180095,0.5894770664310387,0.6086956521739131,0.6775244299674267,0.5025125628140703,0.5900184963907484,0.6086956521739131,0.6775244299674267,0.5025125628140703,0.5900184963907484,0.7628458498023716,0.8235294117647058,0.6385542168674698,0.7310418143160878,0.7193675889328063,0.7731629392971247,0.6321243523316062,0.7026436458143654,0.7193675889328063,0.7731629392971247,0.6321243523316062,0.7026436458143654,0.7154150197628458,0.7707006369426752,0.625,0.6978503184713376,0.7114624505928854,0.7667731629392971,0.6217616580310881,0.6942674104851926,0.7114624505928854,0.7667731629392971,0.6217616580310881,0.6942674104851926,0.7233201581027668,0.7741935483870968,0.6428571428571429,0.7085253456221199,0.7272727272727273,0.7766990291262136,0.649746192893401,0.7132226110098072,0.7154150197628458,0.7662337662337663,0.6363636363636364,0.7012987012987013,0.7233201581027668,0.7727272727272727,0.6464646464646465,0.7095959595959596,0.7351778656126482,0.7831715210355987,0.6598984771573604,0.7215349990964796,0.7351778656126482,0.7831715210355987,0.6598984771573604,0.7215349990964796
S3,0.45318352059925093,0.0,0.6237113402061856,0.3118556701030928,0.6629213483146067,0.6959459459459459,0.6218487394957983,0.6588973427208722,0.6629213483146067,0.6959459459459459,0.6218487394957983,0.6588973427208722,0.6404494382022472,0.673469387755102,0.6,0.636734693877551,0.5805243445692884,0.4954954954954955,0.6410256410256411,0.5682605682605683,0.6367041198501873,0.6040816326530613,0.6643598615916955,0.6342207471223784,0.6254681647940075,0.5798319327731093,0.6621621621621622,0.6209970474676357,0.6142322097378277,0.5617021276595745,0.6555183946488294,0.6086102611542019,0.6217228464419475,0.5910931174089069,0.6480836236933798,0.6195883705511434,0.602996254681648,0.5546218487394958,0.6418918918918919,0.5982568703156939,0.5692883895131086,0.484304932735426,0.6302250803858521,0.557265006560639,0.6704119850187266,0.6535433070866141,0.6857142857142857,0.6696287964004499,0.6554307116104869,0.6349206349206349,0.6737588652482269,0.6543397500844309,0.6292134831460674,0.5959183673469388,0.657439446366782,0.6266789068568603,0.6179775280898876,0.5785123966942148,0.6506849315068494,0.6145986641005321
S4,0.5692883895131086,0.3783783783783784,0.670487106017192,0.5244327421977852,0.3258426966292135,0.256198347107438,0.3835616438356164,0.31987999547152723,0.3258426966292135,0.256198347107438,0.3835616438356164,0.31987999547152723,0.3146067415730337,0.3487544483985765,0.2766798418972332,0.31271714514790483,0.5655430711610487,0.44761904761904764,0.6419753086419753,0.5447971781305114,0.5580524344569289,0.45871559633027525,0.6265822784810127,0.542648937405644,0.550561797752809,0.45454545454545453,0.6178343949044586,0.5361899247249565,0.5430711610486891,0.44036697247706424,0.6139240506329114,0.5271455115549879,0.5468164794007491,0.47619047619047616,0.6006600660066007,0.5384252710985384,0.5393258426966292,0.462882096069869,0.5967213114754099,0.5298017037726395,0.5430711610486891,0.45045045045045046,0.6089743589743589,0.5297124047124047,0.5168539325842697,0.4819277108433735,0.5473684210526316,0.5146480659480026,0.5243445692883895,0.4816326530612245,0.5605536332179931,0.5210931431396089,0.5243445692883895,0.4773662551440329,0.563573883161512,0.5204700691527725,0.5280898876404494,0.48360655737704916,0.5655172413793104,0.5245618993781798
S5,0.6564625850340136,0.7262872628726287,0.5388127853881278,0.6325500241303783,0.6836734693877551,0.6825938566552902,0.6847457627118644,0.6836698096835773,0.6836734693877551,0.6825938566552902,0.6847457627118644,0.6836698096835773,0.7312925170068028,0.7584097859327217,0.6973180076628352,0.7278638967977784,0.6360544217687075,0.6707692307692308,0.5931558935361216,0.6319625621526762,0.6292517006802721,0.6726726726726727,0.5725490196078431,0.622610846140258,0.6326530612244898,0.6746987951807228,0.578125,0.6264118975903614,0.6496598639455783,0.6850152905198776,0.6053639846743295,0.6451896375971036,0.6394557823129252,0.6826347305389222,0.5826771653543307,0.6326559479466265,0.6564625850340136,0.7002967359050445,0.5976095617529881,0.6489531488290163,0.6530612244897959,0.6927710843373494,0.6015625,0.6471667921686747,0.6700680272108843,0.6996904024767802,0.6339622641509434,0.6668263333138618,0.6632653061224489,0.6953846153846154,0.623574144486692,0.6594793799356538,0.6700680272108843,0.7015384615384616,0.6311787072243346,0.6663585843813981,0.673469387755102,0.7055214723926381,0.6335877862595419,0.66955462932609
S6,0.5,0.0,0.6666666666666666,0.3333333333333333,0.4566929133858268,0.5,0.4051724137931034,0.4525862068965517,0.4566929133858268,0.5,0.4051724137931034,0.4525862068965517,0.5708661417322834,0.6706948640483383,0.384180790960452,0.5274378275043952,0.4330708661417323,0.5294117647058824,0.2871287128712871,0.4082702387885847,0.42913385826771655,0.5425867507886435,0.24083769633507854,0.39171222356186103,0.42913385826771655,0.5425867507886435,0.24083769633507854,0.39171222356186103,0.42913385826771655,0.5425867507886435,0.24083769633507854,0.39171222356186103,0.42913385826771655,0.5425867507886435,0.24083769633507854,0.39171222356186103,0.43700787401574803,0.5431309904153354,0.26666666666666666,0.404898828541001,0.41732283464566927,0.45985401459854014,0.36752136752136755,0.41368769105995384,0.4330708661417323,0.5443037974683544,0.25,0.3971518987341772,0.42913385826771655,0.5425867507886435,0.24083769633507854,0.39171222356186103,0.43700787401574803,0.5185185185185185,0.3222748815165877,0.4203967000175531,0.43700787401574803,0.5185185185185185,0.3222748815165877,0.4203967000175531
S7,0.7086956521739131,0.8295165394402035,0.0,0.41475826972010177,0.32608695652173914,0.46366782006920415,0.0935672514619883,0.2786175357655962,0.32608695652173914,0.46366782006920415,0.0935672514619883,0.2786175357655962,0.49130434782608695,0.6422018348623854,0.12030075187969924,0.3812512933710423,0.46956521739130436,0.6139240506329114,0.1527777777777778,0.3833509142053446,0.39565217391304347,0.505338078291815,0.22346368715083798,0.3644008827213265,0.45217391304347826,0.5827814569536424,0.20253164556962025,0.3926565512616313,0.4652173913043478,0.5993485342019544,0.19607843137254902,0.3977134827872517,0.45217391304347826,0.5855263157894737,0.19230769230769232,0.388917004048583,0.47391304347826085,0.6109324758842444,0.18791946308724833,0.3994259694857464,0.47391304347826085,0.6182965299684543,0.15384615384615385,0.3860713419073041,0.45652173913043476,0.584717607973422,0.2138364779874214,0.39927704298042166,0.4608695652173913,0.5974025974025974,0.18421052631578946,0.39080656185919344,0.4652173913043478,0.6070287539936102,0.16326530612244897,0.3851470300580296,0.47391304347826085,0.6182965299684543,0.15384615384615385,0.3860713419073041
S8,0.43014705882352944,0.5481049562682215,0.22885572139303484,0.38848033883062816,0.5441176470588235,0.5921052631578947,0.48333333333333334,0.537719298245614,0.5441176470588235,0.5921052631578947,0.48333333333333334,0.537719298245614,0.5404411764705882,0.6312684365781711,0.3902439024390244,0.5107561695085978,0.4117647058823529,0.4838709677419355,0.3162393162393162,0.40005514199062586,0.4264705882352941,0.49019607843137253,0.3445378151260504,0.41736694677871145,0.4264705882352941,0.49019607843137253,0.3445378151260504,0.41736694677871145,0.41911764705882354,0.487012987012987,0.3305084745762712,0.4087607307946291,0.4411764705882353,0.5159235668789809,0.3391304347826087,0.42752700083079476,0.4411764705882353,0.5220125786163522,0.3274336283185841,0.4247231034674681,0.44485294117647056,0.5236593059936908,0.33480176211453744,0.42923053405411415,0.46691176470588236,0.5425867507886435,0.36123348017621143,0.45191011548242743,0.45588235294117646,0.5375,0.3392857142857143,0.43839285714285714,0.4485294117647059,0.5370370370370371,0.3181818181818182,0.42760942760942766,0.4485294117647059,0.5370370370370371,0.3181818181818182,0.42760942760942766
S9,0.31007751937984496,0.011111111111111112,0.47023809523809523,0.24067460317460318,0.5852713178294574,0.6666666666666666,0.4512820512820513,0.558974358974359,0.5852713178294574,0.6666666666666666,0.4512820512820513,0.558974358974359,0.5310077519379846,0.5980066445182725,0.4372093023255814,0.517607973421927,0.46511627906976744,0.4609375,0.46923076923076923,0.4650841346153846,0.437984496124031,0.5150501672240803,0.3317972350230415,0.42342370112356087,0.437984496124031,0.4876325088339223,0.3776824034334764,0.4326574561336993,0.45348837209302323,0.4679245283018868,0.43824701195219123,0.453085770127039,0.46511627906976744,0.5071428571428571,0.4152542372881356,0.46119854721549636,0.4728682170542636,0.48484848484848486,0.4603174603174603,0.47258297258297255,0.47674418604651164,0.47470817120622566,0.47876447876447875,0.47673632498535223,0.4806201550387597,0.5347222222222222,0.41228070175438597,0.4735014619883041,0.4728682170542636,0.5,0.4426229508196721,0.4713114754098361,0.4806201550387597,0.4846153846153846,0.4765625,0.48058894230769234,0.47674418604651164,0.47876447876447875,0.47470817120622566,0.47673632498535223
S10,0.3591549295774648,0.0,0.5284974093264249,0.26424870466321243,0.4647887323943662,0.5529411764705883,0.3333333333333333,0.44313725490196076,0.4647887323943662,0.5529411764705883,0.3333333333333333,0.44313725490196076,0.46830985915492956,0.5746478873239437,0.29107981220657275,0.4328638497652582,0.35563380281690143,0.2591093117408907,0.42990654205607476,0.34450792689848275,0.40492957746478875,0.4232081911262799,0.38545454545454544,0.40433136829041266,0.39436619718309857,0.38571428571428573,0.4027777777777778,0.3942460317460318,0.36619718309859156,0.3181818181818182,0.40789473684210525,0.3630382775119617,0.38380281690140844,0.38162544169611307,0.38596491228070173,0.38379517698840737,0.36971830985915494,0.3035019455252918,0.42443729903536975,0.3639696222803308,0.3274647887323944,0.17316017316017315,0.4332344213649852,0.30319729726257916,0.3732394366197183,0.3904109589041096,0.35507246376811596,0.3727417113361128,0.36619718309859156,0.3382352941176471,0.3918918918918919,0.3650635930047695,0.35563380281690143,0.24691358024691357,0.4369230769230769,0.34191832858499527,0.34507042253521125,0.2184873949579832,0.43636363636363634,0.3274255156608098
