Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes
S1,EmaTentGridS20E50B30M075,0.4725733995437622,0.4725733995437622,0.9194223880767822,1,0.35822798013687135,0.5,0.14177201986312865,0.0,0.0,0,64,24,0.375,40.0,0.625,0.625,2
S1,EmaTentGridS20E50B30M075,0.7100417017936707,0.7100417017936707,0.8165042400360107,1,0.2869874894618988,0.5,0.2130125105381012,0.0,0.0,1,64,40,0.625,24.0,0.375,0.625,2
S1,EmaTentGridS20E50B30M075,0.4927797019481659,0.4927797019481659,0.8923853635787964,1,0.3521660894155503,0.5,0.14783391058444975,0.0,0.0,2,64,19,0.296875,45.0,0.703125,0.703125,2
S1,EmaTentGridS20E50B30M075,0.8448518514633179,0.8448518514633179,0.7581655979156494,1,0.24654444456100466,0.5,0.25345555543899534,0.0,0.0,3,64,44,0.6875,20.0,0.3125,0.6875,2
S1,EmaTentGridS20E50B30M075,0.9370397329330444,0.9370397329330444,0.6651289463043213,1,0.21888808012008668,0.5,0.2811119198799133,0.0,0.0,4,10,10,1.0,,,1.0,1
S1,EmaTentCaseS20E50B30M060,0.4725733995437622,0.4725733995437622,0.9194223880767822,1,0.35822798013687135,0.5,0.14177201986312865,0.0,0.0,0,64,24,0.375,40.0,0.625,0.625,2
S1,EmaTentCaseS20E50B30M060,0.8428757190704346,0.8428757190704346,0.7398068308830261,1,0.24713728427886963,0.5,0.25286271572113034,0.0,0.0,1,64,40,0.625,24.0,0.375,0.625,2
S1,EmaTentCaseS20E50B30M060,0.6362279653549194,0.6362279653549194,0.8400533199310303,1,0.30913161039352416,0.5,0.1908683896064758,0.0,0.0,2,64,19,0.296875,45.0,0.703125,0.703125,2
S1,EmaTentCaseS20E50B30M060,0.8289911150932312,0.8289911150932312,0.7719637751579285,1,0.2513026654720307,0.5,0.24869733452796935,0.0,0.0,3,64,44,0.6875,20.0,0.3125,0.6875,2
S1,EmaTentCaseS20E50B30M060,0.9788196682929993,0.9788196682929993,0.6299428939819336,1,0.20635409951210024,0.5,0.2936459004878998,0.0,0.0,4,10,10,1.0,,,1.0,1
S1,EmaTentCaseS20E50B30M065,0.4725733995437622,0.4725733995437622,0.9194223880767822,1,0.35822798013687135,0.5,0.14177201986312865,0.0,0.0,0,64,24,0.375,40.0,0.625,0.625,2
S1,EmaTentCaseS20E50B30M065,0.8010932207107544,0.8010932207107544,0.7661181688308716,1,0.25967203378677367,0.5,0.2403279662132263,0.0,0.0,1,64,40,0.625,24.0,0.375,0.625,2
S1,EmaTentCaseS20E50B30M065,0.5925369262695312,0.5925369262695312,0.8573017120361328,1,0.3222389221191406,0.5,0.17776107788085938,0.0,0.0,2,64,19,0.296875,45.0,0.703125,0.703125,2
S1,EmaTentCaseS20E50B30M065,0.8373007774353027,0.8373007774353027,0.765304684638977,1,0.2488097667694092,0.5,0.2511902332305908,0.0,0.0,3,64,44,0.6875,20.0,0.3125,0.6875,2
