Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MacroF1,Norm_Acc,Norm_F1_0,Norm_F1_1,Norm_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MacroF1,EmaTentGridS20E50B30M075_Acc,EmaTentGridS20E50B30M075_F1_0,EmaTentGridS20E50B30M075_F1_1,EmaTentGridS20E50B30M075_MacroF1,EmaTentCaseS20E50B30M060_Acc,EmaTentCaseS20E50B30M060_F1_0,EmaTentCaseS20E50B30M060_F1_1,EmaTentCaseS20E50B30M060_MacroF1,EmaTentCaseS20E50B30M065_Acc,EmaTentCaseS20E50B30M065_F1_0,EmaTentCaseS20E50B30M065_F1_1,EmaTentCaseS20E50B30M065_MacroF1,EmaTentCaseS20E50B30M070_Acc,EmaTentCaseS20E50B30M070_F1_0,EmaTentCaseS20E50B30M070_F1_1,EmaTentCaseS20E50B30M070_MacroF1,EmaTentCaseS10E50B40M070_Acc,EmaTentCaseS10E50B40M070_F1_0,EmaTentCaseS10E50B40M070_F1_1,EmaTentCaseS10E50B40M070_MacroF1,EmaTentCaseS10E50B40M075_Acc,EmaTentCaseS10E50B40M075_F1_0,EmaTentCaseS10E50B40M075_F1_1,EmaTentCaseS10E50B40M075_MacroF1,EmaTentCaseS10E50B40M080_Acc,EmaTentCaseS10E50B40M080_F1_0,EmaTentCaseS10E50B40M080_F1_1,EmaTentCaseS10E50B40M080_MacroF1,EmaTentCaseS00E50B50M070_Acc,EmaTentCaseS00E50B50M070_F1_0,EmaTentCaseS00E50B50M070_F1_1,EmaTentCaseS00E50B50M070_MacroF1,EmaTentCaseS00E50B50M075_Acc,EmaTentCaseS00E50B50M075_F1_0,EmaTentCaseS00E50B50M075_F1_1,EmaTentCaseS00E50B50M075_MacroF1,EmaTentCaseS00E50B50M080_Acc,EmaTentCaseS00E50B50M080_F1_0,EmaTentCaseS00E50B50M080_F1_1,EmaTentCaseS00E50B50M080_MacroF1,EmaTentCaseS10E40B50M075_Acc,EmaTentCaseS10E40B50M075_F1_0,EmaTentCaseS10E40B50M075_F1_1,EmaTentCaseS10E40B50M075_MacroF1
S1,0.5150375939849624,0.6799007444168734,0.0,0.3399503722084367,0.31954887218045114,0.2788844621513944,0.35587188612099646,0.3173781741361954,0.31954887218045114,0.2788844621513944,0.35587188612099646,0.3173781741361954,0.37969924812030076,0.5103857566765578,0.15384615384615385,0.33211595526135584,0.4473684210526316,0.5714285714285714,0.2222222222222222,0.3968253968253968,0.4849624060150376,0.5448504983388704,0.4069264069264069,0.4758884526326387,0.47368421052631576,0.5424836601307189,0.3805309734513274,0.4615073167910232,0.462406015037594,0.5572755417956656,0.3157894736842105,0.43653250773993807,0.45112781954887216,0.525974025974026,0.3482142857142857,0.43709415584415584,0.43609022556390975,0.5454545454545454,0.25742574257425743,0.4014401440144014,0.42857142857142855,0.5606936416184971,0.1827956989247312,0.3717446702716142,0.43609022556390975,0.4966442953020134,0.358974358974359,0.4278093271381862,0.42105263157894735,0.5,0.3125,0.40625,0.40977443609022557,0.525679758308157,0.21890547263681592,0.3722926154724865,0.424812030075188,0.5432835820895522,0.2233502538071066,0.3833169179483294
S2,0.2648221343873518,0.41875,0.0,0.209375,0.6758893280632411,0.5816326530612245,0.7354838709677419,0.6585582620144832,0.6758893280632411,0.5816326530612245,0.7354838709677419,0.6585582620144832,0.6284584980237155,0.5648148148148148,0.6758620689655173,0.6203384418901661,0.25691699604743085,0.4088050314465409,0.0,0.20440251572327045,0.2450592885375494,0.3737704918032787,0.04975124378109453,0.2117608677921866,0.233201581027668,0.3741935483870968,0.01020408163265306,0.19219881500987493,0.2450592885375494,0.39365079365079364,0.0,0.19682539682539682,0.2450592885375494,0.38977635782747605,0.010362694300518135,0.20006952606399708,0.2490118577075099,0.3987341772151899,0.0,0.19936708860759494,0.2648221343873518,0.41875,0.0,0.209375,0.23715415019762845,0.37942122186495175,0.010256410256410256,0.194838816060681,0.2490118577075099,0.3987341772151899,0.0,0.19936708860759494,0.2648221343873518,0.41875,0.0,0.209375,0.2648221343873518,0.41875,0.0,0.209375
S3,0.4756554307116105,0.5953757225433526,0.2553191489361702,0.4253474357397614,0.6928838951310862,0.6371681415929203,0.7337662337662337,0.685467187679577,0.6891385767790262,0.6311111111111111,0.7313915857605178,0.6812513484358145,0.599250936329588,0.5560165975103735,0.6348122866894198,0.5954144420998966,0.5655430711610487,0.5671641791044776,0.5639097744360902,0.5655369767702839,0.5842696629213483,0.5612648221343873,0.604982206405694,0.5831235142700406,0.5655430711610487,0.5503875968992248,0.5797101449275363,0.5650488709133805,0.5655430711610487,0.5606060606060606,0.5703703703703704,0.5654882154882155,0.5880149812734082,0.5736434108527132,0.6014492753623188,0.5875463431075161,0.5805243445692884,0.5757575757575758,0.5851851851851851,0.5804713804713805,0.5617977528089888,0.5584905660377358,0.5650557620817844,0.5617731640597601,0.5880149812734082,0.5634920634920635,0.6099290780141844,0.5867105707531239,0.5692883895131086,0.5490196078431373,0.5878136200716846,0.5684166139574109,0.5655430711610487,0.5503875968992248,0.5797101449275363,0.5650488709133805,0.5580524344569289,0.5461538461538461,0.5693430656934306,0.5577484559236383
S4,0.6554307116104869,0.0,0.7918552036199095,0.39592760180995473,0.5168539325842697,0.44635193133047213,0.5714285714285714,0.5088902513795217,0.5168539325842697,0.44635193133047213,0.5714285714285714,0.5088902513795217,0.41947565543071164,0.4709897610921502,0.35684647302904565,0.4139181170605979,0.602996254681648,0.4479166666666667,0.6900584795321637,0.5689875730994152,0.6404494382022472,0.5636363636363636,0.6942675159235668,0.6289519397799652,0.6629213483146067,0.5833333333333334,0.7169811320754716,0.6501572327044025,0.6329588014981273,0.5420560747663551,0.69375,0.6179030373831775,0.6292134831460674,0.547945205479452,0.6857142857142857,0.6168297455968689,0.602996254681648,0.4752475247524752,0.6807228915662651,0.5779852081593702,0.6104868913857678,0.3953488372093023,0.712707182320442,0.5540280097648721,0.6329588014981273,0.5625,0.6838709677419355,0.6231854838709677,0.5880149812734082,0.47619047619047616,0.6604938271604939,0.568342151675485,0.5917602996254682,0.384180790960452,0.6946778711484594,0.5394293310544557,0.6254681647940075,0.40476190476190477,0.726775956284153,0.5657689305230289
S5,0.41496598639455784,0.5865384615384616,0.0,0.2932692307692308,0.5850340136054422,0.5413533834586466,0.6211180124223602,0.5812356979405033,0.5850340136054422,0.5413533834586466,0.6211180124223602,0.5812356979405033,0.47619047619047616,0.5304878048780488,0.4076923076923077,0.46909005628517825,0.5918367346938775,0.625,0.5522388059701493,0.5886194029850746,0.6258503401360545,0.6099290780141844,0.6405228758169934,0.6252259769155889,0.6020408163265306,0.6060606060606061,0.5979381443298969,0.6019993751952515,0.6122448979591837,0.625,0.5985915492957746,0.6117957746478873,0.6224489795918368,0.6287625418060201,0.615916955017301,0.6223397484116606,0.6190476190476191,0.6363636363636364,0.6,0.6181818181818182,0.5782312925170068,0.6416184971098265,0.48760330578512395,0.5646109014474753,0.6156462585034014,0.6116838487972509,0.6195286195286195,0.6156062341629351,0.6258503401360545,0.6357615894039735,0.6153846153846154,0.6255731023942945,0.5952380952380952,0.6468842729970327,0.5258964143426295,0.586390343669831,0.5850340136054422,0.6494252873563219,0.49166666666666664,0.5705459770114942
S6,0.4094488188976378,0.3181818181818182,0.4791666666666667,0.39867424242424243,0.452755905511811,0.505338078291815,0.3876651982378855,0.44650163826485023,0.4566929133858268,0.5106382978723404,0.3893805309734513,0.4500094144228959,0.4645669291338583,0.5853658536585366,0.24444444444444444,0.4149051490514905,0.5511811023622047,0.5899280575539568,0.5043478260869565,0.5471379418204567,0.610236220472441,0.6597938144329897,0.543778801843318,0.6017863081381538,0.6023622047244095,0.6552901023890785,0.5302325581395348,0.5927613302643067,0.5984251968503937,0.6433566433566433,0.5405405405405406,0.591948591948592,0.5984251968503937,0.6554054054054054,0.5188679245283019,0.5871366649668537,0.5984251968503937,0.6577181208053692,0.5142857142857142,0.5860019175455418,0.5866141732283464,0.6464646464646465,0.5023696682464455,0.574417157355546,0.5748031496062992,0.6275862068965518,0.5045871559633027,0.5660866814299272,0.5787401574803149,0.6372881355932203,0.49765258215962443,0.5674703588764224,0.5708661417322834,0.632996632996633,0.4834123222748815,0.5582044776357573,0.5669291338582677,0.6308724832214765,0.47619047619047616,0.5535314797059763
S7,0.5565217391304348,0.7102272727272727,0.05555555555555555,0.38289141414141414,0.4782608695652174,0.5121951219512195,0.4392523364485981,0.4757237291999088,0.4782608695652174,0.5121951219512195,0.4392523364485981,0.4757237291999088,0.43478260869565216,0.48,0.38095238095238093,0.43047619047619046,0.43478260869565216,0.5255474452554745,0.3010752688172043,0.41331135703633937,0.41304347826086957,0.47058823529411764,0.34146341463414637,0.406025824964132,0.41304347826086957,0.49056603773584906,0.3076923076923077,0.3991291727140784,0.40869565217391307,0.4962962962962963,0.28421052631578947,0.39025341130604285,0.43043478260869567,0.5130111524163569,0.31413612565445026,0.41357363903540356,0.43478260869565216,0.5112781954887218,0.32989690721649484,0.4205875513526083,0.44782608695652176,0.5480427046263345,0.2905027932960894,0.41927274896121197,0.41739130434782606,0.49624060150375937,0.30927835051546393,0.40275947600961165,0.4434782608695652,0.518796992481203,0.3402061855670103,0.4295015890241067,0.4434782608695652,0.539568345323741,0.2967032967032967,0.41813582101351887,0.44782608695652176,0.5480427046263345,0.2905027932960894,0.41927274896121197
S8,0.5036764705882353,0.5392491467576792,0.46215139442231074,0.500700270589995,0.6691176470588235,0.6153846153846154,0.7096774193548387,0.6625310173697271,0.6691176470588235,0.6153846153846154,0.7096774193548387,0.6625310173697271,0.7279411764705882,0.6782608695652174,0.7643312101910829,0.72129603987815,0.5477941176470589,0.5653710247349824,0.5287356321839081,0.5470533284594452,0.5661764705882353,0.5661764705882353,0.5661764705882353,0.5661764705882353,0.5625,0.5734767025089605,0.5509433962264151,0.5622100493676878,0.5588235294117647,0.5714285714285714,0.5454545454545454,0.5584415584415584,0.5698529411764706,0.5836298932384342,0.5551330798479087,0.5693814865431714,0.5588235294117647,0.5804195804195804,0.5348837209302325,0.5576516506749065,0.5514705882352942,0.5793103448275863,0.5196850393700787,0.5494976920988325,0.5992647058823529,0.5947955390334573,0.6036363636363636,0.5992159513349105,0.5882352941176471,0.5971223021582733,0.5789473684210527,0.5880348352896629,0.5992647058823529,0.6148409893992933,0.5823754789272031,0.5986082341632482,0.6029411764705882,0.6170212765957447,0.5877862595419847,0.6024037680688648
S9,0.5426356589147286,0.46846846846846846,0.5986394557823129,0.5335539621253906,0.5697674418604651,0.5647058823529412,0.5747126436781609,0.569709263015551,0.5697674418604651,0.5647058823529412,0.5747126436781609,0.569709263015551,0.5116279069767442,0.5625,0.4473684210526316,0.5049342105263158,0.5581395348837209,0.64375,0.41836734693877553,0.5310586734693878,0.5542635658914729,0.6349206349206349,0.42786069651741293,0.5313906657190239,0.5542635658914729,0.6349206349206349,0.42786069651741293,0.5313906657190239,0.5503875968992248,0.6352201257861635,0.41414141414141414,0.5246807699637888,0.5581395348837209,0.6298701298701299,0.4519230769230769,0.5408966033966034,0.5426356589147286,0.6242038216560509,0.4158415841584158,0.5200227029072334,0.5310077519379846,0.6206896551724138,0.38578680203045684,0.5032382286014353,0.5155038759689923,0.570446735395189,0.4444444444444444,0.5074455899198167,0.5193798449612403,0.5838926174496645,0.43119266055045874,0.5075426390000616,0.5271317829457365,0.5986842105263158,0.42452830188679247,0.5116062562065542,0.5271317829457365,0.5986842105263158,0.42452830188679247,0.5116062562065542
S10,0.5387323943661971,0.700228832951945,0.0,0.3501144164759725,0.3767605633802817,0.4234527687296417,0.3218390804597701,0.3726459245947059,0.3767605633802817,0.4234527687296417,0.3218390804597701,0.3726459245947059,0.426056338028169,0.5459610027855153,0.22009569377990432,0.3830283482827098,0.38380281690140844,0.5179063360881543,0.14634146341463414,0.3321238997513942,0.3626760563380282,0.49299719887955185,0.14218009478672985,0.31758864683314086,0.36971830985915494,0.5041551246537396,0.13526570048309178,0.3197104125684157,0.3767605633802817,0.512396694214876,0.13658536585365855,0.32449103003426727,0.34507042253521125,0.47752808988764045,0.12264150943396226,0.30008479966080137,0.3626760563380282,0.49299719887955185,0.14218009478672985,0.31758864683314086,0.36971830985915494,0.49859943977591037,0.15165876777251186,0.3251291037742111,0.3274647887323944,0.4463768115942029,0.14349775784753363,0.2949372847208683,0.3415492957746479,0.4702549575070821,0.13023255813953488,0.3002437578233085,0.36971830985915494,0.49577464788732395,0.1596244131455399,0.3276995305164319,0.38028169014084506,0.5083798882681564,0.1619047619047619,0.33514232508645914
