Subject,Method,stream_mode,block_length,accuracy,macro_f1,single_class_batch_ratio,max_class_ratio,imbalance
S1,Source,original,,0.5150375939849624,0.3399503722084367,,,
S1,Norm,original,,0.2932330827067669,0.2899818264425261,,,
S1,Tent,original,,0.29699248120300753,0.29410929938836616,,,
S1,OFTTA,original,,0.37969924812030076,0.33211595526135584,,,
S1,EMATent,original,,0.462406015037594,0.3911484593837535,0.2,0.728125,
S1,MIEMATentGateOnly,original,,0.4774436090225564,0.36726277059981177,0.2,0.728125,0.128125
S1,MIDynamicFixedEMARelaxed,original,,0.43609022556390975,0.3800111877680403,0.2,0.728125,0.128125
S2,Source,original,,0.2648221343873518,0.209375,,,
S2,Norm,original,,0.7075098814229249,0.6894572717622081,,,
S2,Tent,original,,0.7075098814229249,0.6894572717622081,,,
S2,OFTTA,original,,0.6284584980237155,0.6203384418901661,,,
S2,EMATent,original,,0.26877470355731226,0.21537894154527015,0.25,0.7924564549180328,
S2,MIEMATentGateOnly,original,,0.26877470355731226,0.21537894154527015,0.25,0.7924564549180328,0.2924564549180328
S2,MIDynamicFixedEMARelaxed,original,,0.2845849802371542,0.2419507027098611,0.25,0.7924564549180328,0.2924564549180328
S3,Source,original,,0.4756554307116105,0.4253474357397614,,,
S3,Norm,original,,0.651685393258427,0.6419621357403429,,,
S3,Tent,original,,0.651685393258427,0.6419621357403429,,,
S3,OFTTA,original,,0.5917602996254682,0.5884349412413559,,,
S3,EMATent,original,,0.5168539325842697,0.5168268219120432,0.2,0.69375,
S3,MIEMATentGateOnly,original,,0.5318352059925093,0.5286349834051267,0.2,0.69375,0.19375
S3,MIDynamicFixedEMARelaxed,original,,0.5430711610486891,0.5422942895683454,0.2,0.69375,0.19375
S4,Source,original,,0.6554307116104869,0.39592760180995473,,,
S4,Norm,original,,0.5131086142322098,0.49753908511870293,,,
S4,Tent,original,,0.5131086142322098,0.49753908511870293,,,
S4,OFTTA,original,,0.4232209737827715,0.4181195516811955,,,
S4,EMATent,original,,0.6367041198501873,0.577428249767495,0.4,0.75,
S4,MIEMATentGateOnly,original,,0.6666666666666666,0.5188215045054166,0.4,0.75,0.25
S4,MIDynamicFixedEMARelaxed,original,,0.6629213483146067,0.5424600152322925,0.4,0.75,0.25
S5,Source,original,,0.41496598639455784,0.2932692307692308,,,
S5,Norm,original,,0.5918367346938775,0.5895383469843634,,,
S5,Tent,original,,0.5918367346938775,0.5895383469843634,,,
S5,OFTTA,original,,0.47619047619047616,0.46909005628517825,,,
S5,EMATent,original,,0.5816326530612245,0.564076909167621,0.2,0.7875,
S5,MIEMATentGateOnly,original,,0.4931972789115646,0.43411143119194945,0.2,0.7875,0.2875
S5,MIDynamicFixedEMARelaxed,original,,0.4897959183673469,0.43958725156305595,0.2,0.7875,0.2875
S6,Source,original,,0.4094488188976378,0.39992439992439993,,,
S6,Norm,original,,0.46062992125984253,0.45820293645974436,,,
S6,Tent,original,,0.46062992125984253,0.45820293645974436,,,
S6,OFTTA,original,,0.4645669291338583,0.4149051490514905,,,
S6,EMATent,original,,0.531496062992126,0.5288597926895799,0.25,0.77734375,
S6,MIEMATentGateOnly,original,,0.421259842519685,0.3858376511226252,0.25,0.77734375,0.27734375
S6,MIDynamicFixedEMARelaxed,original,,0.44881889763779526,0.4247071766000129,0.25,0.77734375,0.27734375
S7,Source,original,,0.5565217391304348,0.38289141414141414,,,
S7,Norm,original,,0.44782608695652176,0.44656018492203337,,,
S7,Tent,original,,0.44782608695652176,0.44656018492203337,,,
S7,OFTTA,original,,0.43043478260869567,0.42564669551459233,,,
S7,EMATent,original,,0.4434782608695652,0.3967707564953692,0.0,0.6488486842105263,
S7,MIEMATentGateOnly,original,,0.5043478260869565,0.42378691983122363,0.0,0.6488486842105263,0.14884868421052633
S7,MIDynamicFixedEMARelaxed,original,,0.4826086956521739,0.44346164013095024,0.0,0.6488486842105263,0.14884868421052633
S8,Source,original,,0.5073529411764706,0.5046749293324636,,,
S8,Norm,original,,0.6654411764705882,0.6598084085817562,,,
S8,Tent,original,,0.6654411764705882,0.6598084085817562,,,
S8,OFTTA,original,,0.7242647058823529,0.7171969224370971,,,
S8,EMATent,original,,0.5441176470588235,0.5429067056974034,0.2,0.74375,
S8,MIEMATentGateOnly,original,,0.5220588235294118,0.5216450216450217,0.2,0.74375,0.14375
S8,MIDynamicFixedEMARelaxed,original,,0.5294117647058824,0.5287748362297655,0.2,0.74375,0.14375
S9,Source,original,,0.5387596899224806,0.5301121841472933,,,
S9,Norm,original,,0.5348837209302325,0.5338753387533876,,,
S9,Tent,original,,0.5348837209302325,0.5338753387533876,,,
S9,OFTTA,original,,0.5232558139534884,0.5171553337492202,,,
S9,EMATent,original,,0.5348837209302325,0.5023148148148149,0.2,0.709375,
S9,MIEMATentGateOnly,original,,0.6434108527131783,0.6363302077587791,0.2,0.709375,0.109375
S9,MIDynamicFixedEMARelaxed,original,,0.5736434108527132,0.5555903538991545,0.2,0.709375,0.109375
S10,Source,original,,0.5387323943661971,0.3501144164759725,,,
S10,Norm,original,,0.4295774647887324,0.42224231464737794,,,
S10,Tent,original,,0.4295774647887324,0.42224231464737794,,,
S10,OFTTA,original,,0.426056338028169,0.3830283482827098,,,
S10,EMATent,original,,0.39436619718309857,0.326754506863664,0.2,0.721875,
S10,MIEMATentGateOnly,original,,0.4647887323943662,0.3781619129933737,0.2,0.721875,0.121875
S10,MIDynamicFixedEMARelaxed,original,,0.36971830985915494,0.3276995305164319,0.2,0.721875,0.121875
S11,Source,original,,0.56,0.5598239295718287,,,
S11,Norm,original,,0.5533333333333333,0.553015477673012,,,
S11,Tent,original,,0.55,0.5495946351716545,,,
S11,OFTTA,original,,0.5933333333333334,0.562200956937799,,,
S11,EMATent,original,,0.6,0.5953965114188096,0.0,0.5889204545454545,
S11,MIEMATentGateOnly,original,,0.59,0.587132867132867,0.0,0.5889204545454545,0.08892045454545454
S11,MIDynamicFixedEMARelaxed,original,,0.5933333333333334,0.5918640438913422,0.0,0.5889204545454545,0.08892045454545454
S12,Source,original,,0.5241935483870968,0.5139516343343078,,,
S12,Norm,original,,0.5887096774193549,0.5877444589308995,,,
S12,Tent,original,,0.5887096774193549,0.5877444589308995,,,
S12,OFTTA,original,,0.6008064516129032,0.6002800253976524,,,
S12,EMATent,original,,0.5685483870967742,0.5669642128624814,0.0,0.6060267857142857,
S12,MIEMATentGateOnly,original,,0.5564516129032258,0.556336195680458,0.0,0.6060267857142857,0.10602678571428573
S12,MIDynamicFixedEMARelaxed,original,,0.5201612903225806,0.5178959405374499,0.0,0.6060267857142857,0.10602678571428573
S13,Source,original,,0.6606498194945848,0.63380400540054,,,
S13,Norm,original,,0.7472924187725631,0.7448684210526315,,,
S13,Tent,original,,0.7472924187725631,0.7448684210526315,,,
S13,OFTTA,original,,0.7509025270758123,0.7184834960894348,,,
S13,EMATent,original,,0.6823104693140795,0.6599709853810958,0.2,0.7625,
S13,MIEMATentGateOnly,original,,0.7256317689530686,0.6971109576427256,0.2,0.7625,0.1625
S13,MIDynamicFixedEMARelaxed,original,,0.703971119133574,0.6681568489948574,0.2,0.7625,0.1625
S14,Source,original,,0.47950819672131145,0.4658622769973283,,,
S14,Norm,original,,0.46311475409836067,0.444210672740867,,,
S14,Tent,original,,0.46311475409836067,0.444210672740867,,,
S14,OFTTA,original,,0.6967213114754098,0.6081597222222221,,,
S14,EMATent,original,,0.5778688524590164,0.5690007031263398,0.0,0.7184495192307692,
S14,MIEMATentGateOnly,original,,0.5204918032786885,0.519515273920727,0.0,0.7184495192307692,0.21844951923076922
S14,MIDynamicFixedEMARelaxed,original,,0.5573770491803278,0.5549550766736473,0.0,0.7184495192307692,0.21844951923076922
S15,Source,original,,0.54375,0.5419607843137255,,,
S15,Norm,original,,0.609375,0.6076854421875459,,,
S15,Tent,original,,0.609375,0.6076854421875459,,,
S15,OFTTA,original,,0.546875,0.5273745861981156,,,
S15,EMATent,original,,0.625,0.624633431085044,0.0,0.55625,
S15,MIEMATentGateOnly,original,,0.58125,0.5739099328272188,0.0,0.55625,0.05625
S15,MIDynamicFixedEMARelaxed,original,,0.60625,0.6022727272727273,0.0,0.55625,0.05625
S16,Source,original,,0.5294117647058824,0.34615384615384615,,,
S16,Norm,original,,0.6063348416289592,0.6055271742475534,,,
S16,Tent,original,,0.6063348416289592,0.6055271742475534,,,
