Subject,Method,stream_mode,block_length,accuracy,macro_f1,single_class_batch_ratio,max_class_ratio,imbalance
S1,Source,original,,0.4924812030075188,0.4182825484764543,,,
S1,Tent,original,,0.6541353383458647,0.6392688679245283,,,
S1,OFTTA,original,,0.6466165413533834,0.6169730392156862,,,
S1,EMATent,original,,0.6278195488721805,0.6239450497665187,0.2,0.728125,
S1,DynaMixEMATent,original,,0.6390977443609023,0.6344480073293632,0.2,0.728125,0.228125
S2,Source,original,,0.5968379446640316,0.5870247087440789,,,
S2,Tent,original,,0.6403162055335968,0.6188812925226373,,,
S2,OFTTA,original,,0.7549407114624506,0.7203323349022963,,,
S2,EMATent,original,,0.7193675889328063,0.6961038082187145,0.0,0.7106173155737705,
S2,DynaMixEMATent,original,,0.7193675889328063,0.6975162077965816,0.0,0.7106173155737705,0.2106173155737705
S3,Source,original,,0.45318352059925093,0.3118556701030928,,,
S3,Tent,original,,0.6479400749063671,0.6424786324786325,,,
S3,OFTTA,original,,0.6367041198501873,0.632664350046096,,,
S3,EMATent,original,,0.5243445692883895,0.497234783897991,0.2,0.784375,
S3,DynaMixEMATent,original,,0.49812734082397003,0.44997540277948594,0.2,0.784375,0.184375
S4,Source,original,,0.5692883895131086,0.5244327421977852,,,
S4,Tent,original,,0.33707865168539325,0.33468951050919993,,,
S4,OFTTA,original,,0.31835205992509363,0.31619385342789597,,,
S4,EMATent,original,,0.5842696629213483,0.5621592873288127,0.2,0.725,
S4,DynaMixEMATent,original,,0.599250936329588,0.5659064318599668,0.2,0.725,0.225
S5,Source,original,,0.6496598639455783,0.623858794887401,,,
S5,Tent,original,,0.6972789115646258,0.6972754092670793,,,
S5,OFTTA,original,,0.7346938775510204,0.7310975609756097,,,
S5,EMATent,original,,0.6462585034013606,0.6402484939759037,0.0,0.5983552631578947,
S5,DynaMixEMATent,original,,0.6292517006802721,0.6245210727969348,0.0,0.5983552631578947,0.09835526315789474
S6,Source,original,,0.5,0.3333333333333333,,,
S6,Tent,original,,0.44881889763779526,0.44385361276196433,,,
S6,OFTTA,original,,0.5708661417322834,0.5274378275043952,,,
S6,EMATent,original,,0.41732283464566927,0.41674424377831565,0.0,0.5940020161290323,
S6,DynaMixEMATent,original,,0.5,0.3333333333333333,0.0,0.5940020161290323,0.09400201612903225
S7,Source,original,,0.7086956521739131,0.41475826972010177,,,
S7,Tent,original,,0.3217391304347826,0.27899686520376177,,,
S7,OFTTA,original,,0.49130434782608695,0.3812512933710423,,,
S7,EMATent,original,,0.5,0.39182819433905863,0.0,0.7206003289473684,
S7,DynaMixEMATent,original,,0.6565217391304348,0.4193218497331501,0.0,0.7206003289473684,0.22060032894736842
S8,Source,original,,0.43014705882352944,0.38848033883062816,,,
S8,Tent,original,,0.5441176470588235,0.5368814192343604,,,
S8,OFTTA,original,,0.5404411764705882,0.5107561695085978,,,
S8,EMATent,original,,0.43014705882352944,0.41554030637000067,0.2,0.746875,
S8,DynaMixEMATent,original,,0.41911764705882354,0.40492938244253673,0.2,0.746875,0.246875
S9,Source,original,,0.3178294573643411,0.25301046259130094,,,
S9,Tent,original,,0.627906976744186,0.6018518518518519,,,
S9,OFTTA,original,,0.5310077519379846,0.517607973421927,,,
S9,EMATent,original,,0.47674418604651164,0.4744624669935873,0.2,0.7375,
S9,DynaMixEMATent,original,,0.46124031007751937,0.4583024938446898,0.2,0.7375,0.2375
S10,Source,original,,0.3591549295774648,0.26424870466321243,,,
S10,Tent,original,,0.47183098591549294,0.43766830350071284,,,
S10,OFTTA,original,,0.46830985915492956,0.4328638497652582,,,
S10,EMATent,original,,0.323943661971831,0.2985850270131206,0.0,0.7299107142857142,
S10,DynaMixEMATent,original,,0.3591549295774648,0.26424870466321243,0.0,0.7299107142857142,0.22991071428571427
S11,Source,original,,0.41333333333333333,0.29245283018867924,,,
S11,Tent,original,,0.5733333333333334,0.5717917837548507,,,
S11,OFTTA,original,,0.54,0.5392628205128205,,,
S11,EMATent,original,,0.53,0.5291157840834456,0.0,0.6821022727272728,
S11,DynaMixEMATent,original,,0.47333333333333333,0.46870516499282644,0.0,0.6821022727272728,0.18210227272727272
S12,Source,original,,0.5080645161290323,0.33689839572192515,,,
S12,Tent,original,,0.8064516129032258,0.8064012490241999,,,
S12,OFTTA,original,,0.6733870967741935,0.6612193270933469,,,
S12,EMATent,original,,0.6653225806451613,0.6577035004573044,0.0,0.5825892857142857,
S12,DynaMixEMATent,original,,0.6169354838709677,0.5986029474401567,0.0,0.5825892857142857,0.08258928571428573
S13,Source,original,,0.7653429602888087,0.7317690875232774,,,
S13,Tent,original,,0.5667870036101083,0.5090393477490252,,,
