Subject,Method,stream_mode,block_length,accuracy,macro_f1,single_class_batch_ratio,max_class_ratio,imbalance
S1,Source,original,,0.5150375939849624,0.3399503722084367,,,
S1,Tent,original,,0.29699248120300753,0.29410929938836616,,,
S1,OFTTA,original,,0.37969924812030076,0.33211595526135584,,,
S1,DynaMixEMATent,original,,0.4398496240601504,0.36560224089635857,0.2,0.728125,0.128125
S1,TEMA,original,,0.5150375939849624,0.3399503722084367,0.2,0.728125,
S2,Source,original,,0.2648221343873518,0.209375,,,
S2,Tent,original,,0.7075098814229249,0.6894572717622081,,,
S2,OFTTA,original,,0.6284584980237155,0.6203384418901661,,,
S2,DynaMixEMATent,original,,0.26877470355731226,0.21537894154527015,0.25,0.7924564549180328,0.2924564549180328
S2,TEMA,original,,0.2648221343873518,0.209375,0.25,0.7924564549180328,
S3,Source,original,,0.4756554307116105,0.4253474357397614,,,
S3,Tent,original,,0.651685393258427,0.6419621357403429,,,
S3,OFTTA,original,,0.5917602996254682,0.5884349412413559,,,
S3,DynaMixEMATent,original,,0.5543071161048689,0.5542821070351407,0.2,0.69375,0.19375
S3,TEMA,original,,0.49063670411985016,0.4861315521340428,0.2,0.69375,
S4,Source,original,,0.6554307116104869,0.39592760180995473,,,
S4,Tent,original,,0.5131086142322098,0.49753908511870293,,,
S4,OFTTA,original,,0.4232209737827715,0.4181195516811955,,,
S4,DynaMixEMATent,original,,0.6554307116104869,0.39592760180995473,0.4,0.75,0.25
S4,TEMA,original,,0.6554307116104869,0.39592760180995473,0.4,0.75,
S5,Source,original,,0.41496598639455784,0.2932692307692308,,,
S5,Tent,original,,0.5918367346938775,0.5895383469843634,,,
S5,OFTTA,original,,0.47619047619047616,0.46909005628517825,,,
S5,DynaMixEMATent,original,,0.41496598639455784,0.2932692307692308,0.2,0.7875,0.2875
S5,TEMA,original,,0.41496598639455784,0.2932692307692308,0.2,0.7875,
S6,Source,original,,0.4094488188976378,0.39992439992439993,,,
S6,Tent,original,,0.46062992125984253,0.45820293645974436,,,
S6,OFTTA,original,,0.4645669291338583,0.4149051490514905,,,
S6,DynaMixEMATent,original,,0.515748031496063,0.5117445731164143,0.25,0.77734375,0.27734375
S6,TEMA,original,,0.3700787401574803,0.32144526814933544,0.25,0.77734375,
S7,Source,original,,0.5565217391304348,0.38289141414141414,,,
S7,Tent,original,,0.44782608695652176,0.44656018492203337,,,
S7,OFTTA,original,,0.43043478260869567,0.42564669551459233,,,
S7,DynaMixEMATent,original,,0.5260869565217391,0.38881981520758674,0.0,0.6488486842105263,0.14884868421052633
S7,TEMA,original,,0.5478260869565217,0.3862889983579639,0.0,0.6488486842105263,
S8,Source,original,,0.5073529411764706,0.5046749293324636,,,
S8,Tent,original,,0.6654411764705882,0.6598084085817562,,,
S8,OFTTA,original,,0.7242647058823529,0.7171969224370971,,,
S8,DynaMixEMATent,original,,0.5404411764705882,0.5390393036781952,0.2,0.74375,0.14375
S8,TEMA,original,,0.5367647058823529,0.5355342332086519,0.2,0.74375,
S9,Source,original,,0.5387596899224806,0.5301121841472933,,,
S9,Tent,original,,0.5348837209302325,0.5338753387533876,,,
S9,OFTTA,original,,0.5232558139534884,0.5171553337492202,,,
S9,DynaMixEMATent,original,,0.5465116279069767,0.5177570093457944,0.2,0.709375,0.109375
S9,TEMA,original,,0.6317829457364341,0.6308456962120641,0.2,0.709375,
S10,Source,original,,0.5387323943661971,0.3501144164759725,,,
S10,Tent,original,,0.4295774647887324,0.42224231464737794,,,
S10,OFTTA,original,,0.426056338028169,0.3830283482827098,,,
S10,DynaMixEMATent,original,,0.4225352112676056,0.35483156028368795,0.2,0.721875,0.121875
S10,TEMA,original,,0.5422535211267606,0.38967136150234744,0.2,0.721875,
S11,Source,original,,0.56,0.5598239295718287,,,
S11,Tent,original,,0.55,0.5495946351716545,,,
S11,OFTTA,original,,0.5933333333333334,0.562200956937799,,,
S11,DynaMixEMATent,original,,0.6,0.5995550611790879,0.0,0.5889204545454545,0.08892045454545454
S11,TEMA,original,,0.5933333333333334,0.5930439423590108,0.0,0.5889204545454545,
S12,Source,original,,0.5241935483870968,0.5139516343343078,,,
S12,Tent,original,,0.5887096774193549,0.5877444589308995,,,
S12,OFTTA,original,,0.6008064516129032,0.6002800253976524,,,
S12,DynaMixEMATent,original,,0.5403225806451613,0.5402029664324747,0.0,0.6060267857142857,0.10602678571428573
S12,TEMA,original,,0.5282258064516129,0.5186383317573284,0.0,0.6060267857142857,
S13,Source,original,,0.6606498194945848,0.63380400540054,,,
S13,Tent,original,,0.7472924187725631,0.7448684210526315,,,
S13,OFTTA,original,,0.7509025270758123,0.7184834960894348,,,
