Subject,Method,batch_size,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_max_class_ratio,pred_num_present_classes,batch_index,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes,true_imbalance,dua_momentum,rotta_memory_occupancy,note_memory_occupancy,note_updated,note_loss,delta_loss,delta_used_samples
S1,DynaMixEMATent,64,0.18731997907161713,0.5035423040390015,0.5035423040390015,0.31622231006622314,0.6599830747191311,0.18895423406916842,0.15106269121170043,0.22257737068814365,32.226707458496094,0.19999999999999996,1.0,0.5053263902664185,0.2,0.0,1.0,57.0,0.890625,7.0,0.109375,0.890625,2.0,0,24,0.375,40.0,0.625,0.625,2,0.125,,,,,,,
S1,DynaMixEMATent,64,0.11099844425916672,0.45572394132614136,0.45572394132614136,0.34472548961639404,0.5343810863040798,0.32890173129807787,0.1367171823978424,0.3809895489541084,61.39303970336914,0.19999999999999996,1.0,0.5673770904541016,0.2,0.0,1.0,54.0,0.84375,10.0,0.15625,0.84375,2.0,1,40,0.625,24.0,0.375,0.625,2,0.125,,,,,,,
S1,DynaMixEMATent,64,0.11198228597640991,0.3236618936061859,0.3236618936061859,0.2116795927286148,0.4753965613541117,0.4275048705640325,0.09709856808185577,0.4734790038551955,82.10740089416504,0.19999999999999996,1.0,0.4525928497314453,0.2,0.0,1.0,58.0,0.90625,6.0,0.09375,0.90625,2.0,2,19,0.296875,45.0,0.703125,0.703125,2,0.203125,,,,,,,
S1,DynaMixEMATent,64,0.07883089035749435,0.32766035199165344,0.32766035199165344,0.24882946908473969,0.4030214256610243,0.49868046874147964,0.09829810559749604,0.5530436076902345,103.07766342163086,0.19999999999999996,1.0,0.5557980537414551,0.2,0.0,1.0,45.0,0.703125,19.0,0.296875,0.703125,2.0,3,44,0.6875,20.0,0.3125,0.6875,2,0.1875,,,,,,,
S1,DynaMixEMATent,10,0.07961352169513702,0.47036266326904297,0.47036266326904297,0.39074912667274475,0.3700362329345917,0.48885496808469536,0.14110879898071288,0.5691698407255167,107.78129005432129,0.19999999999999996,1.0,0.6476063132286072,0.2,0.0,1.0,6.0,0.6,4.0,0.4,0.6,2.0,4,10,1.0,,,1.0,1,0.0,,,,,,,
S1,TEMA,64,,,,,,,,,,,,,,,,,,,,,,0,24,0.375,40.0,0.625,0.625,2,,,,,,,,
S1,TEMA,64,,,,,,,,,,,,,,,,,,,,,,1,40,0.625,24.0,0.375,0.625,2,,,,,,,,
S1,TEMA,64,,,,,,,,,,,,,,,,,,,,,,2,19,0.296875,45.0,0.703125,0.703125,2,,,,,,,,
S1,TEMA,64,,,,,,,,,,,,,,,,,,,,,,3,44,0.6875,20.0,0.3125,0.6875,2,,,,,,,,
S1,TEMA,10,,,,,,,,,,,,,,,,,,,,,,4,10,1.0,0.0,0.0,1.0,1,,,,,,,,
