Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MacroF1,DynaMixEMATent_Acc,DynaMixEMATent_F1_0,DynaMixEMATent_F1_1,DynaMixEMATent_MacroF1,TEMA_Acc,TEMA_F1_0,TEMA_F1_1,TEMA_MacroF1,DUA_Acc,DUA_F1_0,DUA_F1_1,DUA_MacroF1,RoTTA_Acc,RoTTA_F1_0,RoTTA_F1_1,RoTTA_MacroF1,NOTE_Acc,NOTE_F1_0,NOTE_F1_1,NOTE_MacroF1,DELTA_Acc,DELTA_F1_0,DELTA_F1_1,DELTA_MacroF1
S1,0.5150375939849624,0.6799007444168734,0.0,0.3399503722084367,0.29699248120300753,0.24899598393574296,0.3392226148409894,0.29410929938836616,0.37969924812030076,0.5103857566765578,0.15384615384615385,0.33211595526135584,0.4398496240601504,0.5826330532212886,0.14857142857142858,0.36560224089635857,0.5150375939849624,0.6799007444168734,0.0,0.3399503722084367,0.5150375939849624,0.6799007444168734,0.0,0.3399503722084367,0.2894736842105263,0.26459143968871596,0.31272727272727274,0.2886593562079943,0.2894736842105263,0.26459143968871596,0.31272727272727274,0.2886593562079943,0.3308270676691729,0.4105960264900662,0.22608695652173913,0.3183414915059027
S2,0.2648221343873518,0.41875,0.0,0.209375,0.7075098814229249,0.6145833333333334,0.7643312101910829,0.6894572717622081,0.6284584980237155,0.5648148148148148,0.6758620689655173,0.6203384418901661,0.26877470355731226,0.4200626959247649,0.0106951871657754,0.21537894154527015,0.2648221343873518,0.41875,0.0,0.209375,0.2648221343873518,0.41875,0.0,0.209375,0.7035573122529645,0.6031746031746031,0.7634069400630915,0.6832907716188473,0.7035573122529645,0.6031746031746031,0.7634069400630915,0.6832907716188473,0.4505928853754941,0.4674329501915709,0.4326530612244898,0.45004300570803035
S3,0.4756554307116105,0.5953757225433526,0.2553191489361702,0.4253474357397614,0.651685393258427,0.5829596412556054,0.7009646302250804,0.6419621357403429,0.5917602996254682,0.551440329218107,0.6254295532646048,0.5884349412413559,0.5543071161048689,0.5509433962264151,0.5576208178438662,0.5542821070351407,0.49063670411985016,0.5342465753424658,0.4380165289256198,0.4861315521340428,0.4756554307116105,0.5333333333333333,0.4017094017094017,0.4675213675213675,0.6816479400749064,0.6222222222222222,0.7249190938511327,0.6735706580366775,0.6816479400749064,0.6222222222222222,0.7249190938511327,0.6735706580366775,0.5543071161048689,0.6020066889632107,0.49361702127659574,0.5478118551199033
S4,0.6554307116104869,0.0,0.7918552036199095,0.39592760180995473,0.5131086142322098,0.4090909090909091,0.5859872611464968,0.49753908511870293,0.4232209737827715,0.4726027397260274,0.36363636363636365,0.4181195516811955,0.6554307116104869,0.0,0.7918552036199095,0.39592760180995473,0.6554307116104869,0.0,0.7918552036199095,0.39592760180995473,0.6554307116104869,0.0,0.7918552036199095,0.39592760180995473,0.4868913857677903,0.3964757709251101,0.5537459283387622,0.47511084963193617,0.4868913857677903,0.3964757709251101,0.5537459283387622,0.47511084963193617,0.42696629213483145,0.3855421686746988,0.4631578947368421,0.42435003170577046
S5,0.41496598639455784,0.5865384615384616,0.0,0.2932692307692308,0.5918367346938775,0.5588235294117647,0.620253164556962,0.5895383469843634,0.47619047619047616,0.5304878048780488,0.4076923076923077,0.46909005628517825,0.41496598639455784,0.5865384615384616,0.0,0.2932692307692308,0.41496598639455784,0.5865384615384616,0.0,0.2932692307692308,0.41496598639455784,0.5865384615384616,0.0,0.2932692307692308,0.5476190476190477,0.5163636363636364,0.5750798722044729,0.5457217542840547,0.5510204081632653,0.5182481751824818,0.5796178343949044,0.5489330047886931,0.6802721088435374,0.6928104575163399,0.6666666666666666,0.6797385620915033
S6,0.4094488188976378,0.32432432432432434,0.4755244755244755,0.39992439992439993,0.46062992125984253,0.4944649446494465,0.4219409282700422,0.45820293645974436,0.4645669291338583,0.5853658536585366,0.24444444444444444,0.4149051490514905,0.515748031496063,0.555956678700361,0.4675324675324675,0.5117445731164143,0.3700787401574803,0.13978494623655913,0.5031055900621118,0.32144526814933544,0.3661417322834646,0.13903743315508021,0.4984423676012461,0.31873990037816313,0.4409448818897638,0.4928571428571429,0.37719298245614036,0.43502506265664165,0.4409448818897638,0.4928571428571429,0.37719298245614036,0.43502506265664165,0.49606299212598426,0.40186915887850466,0.564625850340136,0.4832475046093203
S7,0.5565217391304348,0.7102272727272727,0.05555555555555555,0.38289141414141414,0.44782608695652176,0.4730290456431535,0.4200913242009132,0.44656018492203337,0.43043478260869567,0.47808764940239046,0.37320574162679426,0.42564669551459233,0.5260869565217391,0.6784660766961652,0.09917355371900827,0.38881981520758674,0.5478260869565217,0.7011494252873564,0.07142857142857142,0.3862889983579639,0.5478260869565217,0.7011494252873564,0.07142857142857142,0.3862889983579639,0.43478260869565216,0.4672131147540984,0.39814814814814814,0.43268063145112323,0.43478260869565216,0.4672131147540984,0.39814814814814814,0.43268063145112323,0.43478260869565216,0.3010752688172043,0.5255474452554745,0.41331135703633937
S8,0.5073529411764706,0.541095890410959,0.46825396825396826,0.5046749293324636,0.6654411764705882,0.6160337552742616,0.7035830618892508,0.6598084085817562,0.7242647058823529,0.6724890829694323,0.7619047619047619,0.7171969224370971,0.5404411764705882,0.5644599303135889,0.5136186770428015,0.5390393036781952,0.5367647058823529,0.5594405594405595,0.5116279069767442,0.5355342332086519,0.5294117647058824,0.5555555555555556,0.5,0.5277777777777778,0.625,0.5785123966942148,0.6622516556291391,0.620382026161677,0.625,0.5785123966942148,0.6622516556291391,0.620382026161677,0.6213235294117647,0.5654008438818565,0.6644951140065146,0.6149479789441856
S9,0.5387596899224806,0.4663677130044843,0.5938566552901023,0.5301121841472933,0.5348837209302325,0.5121951219512195,0.5555555555555556,0.5338753387533876,0.5232558139534884,0.5714285714285714,0.462882096069869,0.5171553337492202,0.5465116279069767,0.6355140186915887,0.4,0.5177570093457944,0.6317829457364341,0.6494464944649446,0.6122448979591837,0.6308456962120641,0.6201550387596899,0.6343283582089553,0.6048387096774194,0.6195835339431873,0.5116279069767442,0.5263157894736842,0.496,0.511157894736842,0.5116279069767442,0.5263157894736842,0.496,0.511157894736842,0.5930232558139535,0.6341463414634146,0.5414847161572053,0.58781552881031
S10,0.5387323943661971,0.700228832951945,0.0,0.3501144164759725,0.4295774647887324,0.4873417721518987,0.35714285714285715,0.42224231464737794,0.426056338028169,0.5459610027855153,0.22009569377990432,0.3830283482827098,0.4225352112676056,0.5638297872340425,0.14583333333333334,0.35483156028368795,0.5422535211267606,0.6948356807511737,0.08450704225352113,0.38967136150234744,0.5316901408450704,0.6899766899766899,0.04316546762589928,0.3665710788012946,0.4014084507042254,0.4620253164556962,0.3253968253968254,0.3937110709262608,0.40492957746478875,0.4668769716088328,0.32669322709163345,0.3967850993502331,0.4964788732394366,0.573134328358209,0.38626609442060084,0.4797002113894049
S11,0.56,0.5686274509803921,0.5510204081632653,0.5598239295718287,0.55,0.5631067961165048,0.5360824742268041,0.5495946351716545,0.5933333333333334,0.6789473684210526,0.44545454545454544,0.562200956937799,0.6,0.5862068965517241,0.6129032258064516,0.5995550611790879,0.5933333333333334,0.5821917808219178,0.6038961038961039,0.5930439423590108,0.5866666666666667,0.5782312925170068,0.5947712418300654,0.5865012671735361,0.56,0.5741935483870968,0.5448275862068965,0.5595105672969967,0.56,0.5741935483870968,0.5448275862068965,0.5595105672969967,0.5333333333333333,0.5364238410596026,0.5302013422818792,0.5333125916707409
S12,0.5241935483870968,0.44339622641509435,0.5845070422535211,0.5139516343343078,0.5887096774193549,0.5677966101694916,0.6076923076923076,0.5877444589308995,0.6008064516129032,0.5857740585774058,0.6147859922178989,0.6002800253976524,0.5403225806451613,0.5327868852459017,0.5476190476190477,0.5402029664324747,0.5282258064516129,0.4507042253521127,0.5865724381625441,0.5186383317573284,0.5282258064516129,0.4507042253521127,0.5865724381625441,0.5186383317573284,0.5887096774193549,0.5714285714285714,0.6046511627906976,0.5880398671096345,0.5887096774193549,0.5714285714285714,0.6046511627906976,0.5880398671096345,0.532258064516129,0.6463414634146342,0.30952380952380953,0.47793263646922185
S13,0.6606498194945848,0.7329545454545454,0.5346534653465347,0.63380400540054,0.7472924187725631,0.7697368421052632,0.72,0.7448684210526315,0.7509025270758123,0.8140161725067385,0.6229508196721312,0.7184834960894348,0.6498194945848376,0.717201166180758,0.5402843601895735,0.6287427631851658,0.7256317689530686,0.8,0.5632183908045977,0.6816091954022989,0.7256317689530686,0.8,0.5632183908045977,0.6816091954022989,0.740072202166065,0.7631578947368421,0.712,0.7375789473684211,0.740072202166065,0.7631578947368421,0.712,0.7375789473684211,0.740072202166065,0.7804878048780488,0.6814159292035398,0.7309518670407943
S14,0.47950819672131145,0.3804878048780488,0.5512367491166078,0.4658622769973283,0.46311475409836067,0.5467128027681661,0.3417085427135678,0.444210672740867,0.6967213114754098,0.7944444444444444,0.421875,0.6081597222222221,0.5983606557377049,0.6573426573426573,0.5148514851485149,0.5860970712455861,0.6598360655737705,0.7147766323024055,0.5786802030456852,0.6467284176740453,0.6516393442622951,0.7038327526132404,0.5771144278606966,0.6404735902369685,0.45491803278688525,0.5397923875432526,0.3316582914572864,0.43572533950026954,0.45491803278688525,0.5397923875432526,0.3316582914572864,0.43572533950026954,0.6475409836065574,0.7455621301775148,0.4266666666666667,0.5861143984220908
S15,0.54375,0.5705882352941176,0.5133333333333333,0.5419607843137255,0.609375,0.6334310850439883,0.5819397993311036,0.6076854421875459,0.546875,0.6233766233766234,0.43137254901960786,0.5273745861981156,0.5875,0.6432432432432432,0.5111111111111111,0.5771771771771772,0.534375,0.5552238805970149,0.5114754098360655,0.5333496452165403,0.528125,0.5519287833827893,0.5016501650165016,0.5267894741996455,0.603125,0.6422535211267606,0.5543859649122806,0.5983197430195206,0.603125,0.6422535211267606,0.5543859649122806,0.5983197430195206,0.559375,0.5936599423631124,0.5187713310580204,0.5562156367105664
S16,0.5294117647058824,0.0,0.6923076923076923,0.34615384615384615,0.6063348416289592,0.5876777251184834,0.6233766233766234,0.6055271742475534,0.6380090497737556,0.6610169491525424,0.6116504854368932,0.6363337172947178,0.6108597285067874,0.5520833333333334,0.656,0.6040416666666667,0.5294117647058824,0.0,0.6923076923076923,0.34615384615384615,0.5294117647058824,0.0,0.6923076923076923,0.34615384615384615,0.5746606334841629,0.5523809523809524,0.5948275862068966,0.5736042692939245,0.5746606334841629,0.5523809523809524,0.5948275862068966,0.5736042692939245,0.3891402714932127,0.4444444444444444,0.32160804020100503,0.38302624232272475
S17,0.4755244755244755,0.0,0.6445497630331753,0.3222748815165877,0.5314685314685315,0.5314685314685315,0.5314685314685315,0.5314685314685315,0.7027972027972028,0.7335423197492164,0.6640316205533597,0.6987869701512881,0.33916083916083917,0.10426540284360189,0.47645429362880887,0.29035984823620536,0.3356643356643357,0.0594059405940594,0.4864864864864865,0.27294621354027293,0.34965034965034963,0.03125,0.5105263157894737,0.27088815789473686,0.5314685314685315,0.5347222222222222,0.528169014084507,0.5314456181533647,0.5314685314685315,0.5347222222222222,0.528169014084507,0.5314456181533647,0.44405594405594406,0.5196374622356495,0.34024896265560167,0.4299432124456256
S18,0.615686274509804,0.4731182795698925,0.6975308641975309,0.5853245718837117,0.6941176470588235,0.7045454545454546,0.6829268292682927,0.6937361419068737,0.7450980392156863,0.749034749034749,0.7410358565737052,0.7450353028042271,0.5411764705882353,0.4,0.6285714285714286,0.5142857142857142,0.611764705882353,0.45901639344262296,0.6972477064220184,0.5781320499323207,0.6078431372549019,0.45652173913043476,0.6932515337423313,0.574886636436383,0.7058823529411765,0.7191011235955056,0.691358024691358,0.7052295741434318,0.7058823529411765,0.7191011235955056,0.691358024691358,0.7052295741434318,0.5137254901960784,0.6287425149700598,0.29545454545454547,0.4620985302123026
S19,0.6915422885572139,0.3404255319148936,0.7987012987012987,0.5695634153080962,0.5124378109452736,0.4367816091954023,0.5701754385964912,0.5034785238959467,0.4975124378109453,0.4975124378109453,0.4975124378109453,0.4975124378109453,0.6965174129353234,0.39603960396039606,0.7973421926910299,0.596690898325713,0.7014925373134329,0.375,0.803921568627451,0.5894607843137255,0.7014925373134329,0.375,0.803921568627451,0.5894607843137255,0.5074626865671642,0.4406779661016949,0.56,0.5003389830508475,0.5074626865671642,0.4406779661016949,0.56,0.5003389830508475,0.6268656716417911,0.576271186440678,0.6666666666666666,0.6214689265536724
S20,0.4204946996466431,0.59,0.012048192771084338,0.3010240963855422,0.4628975265017668,0.43283582089552236,0.4899328859060403,0.4613843534007813,0.38515901060070673,0.37410071942446044,0.3958333333333333,0.3849670263788969,0.6148409893992933,0.5886792452830188,0.6378737541528239,0.6132764997179214,0.3992932862190813,0.5549738219895288,0.07608695652173914,0.315530389255634,0.392226148409894,0.5497382198952879,0.06521739130434782,0.30747780559981785,0.4558303886925795,0.42962962962962964,0.4797297297297297,0.4546796796796797,0.4558303886925795,0.42962962962962964,0.4797297297297297,0.4546796796796797,0.5229681978798587,0.509090909090909,0.5360824742268041,0.5225866916588566
S21,0.4618055555555556,0.630071599045346,0.012738853503184714,0.3214052262742654,0.53125,0.4827586206896552,0.5714285714285714,0.5270935960591133,0.53125,0.5686900958466453,0.4866920152091255,0.5276910555278854,0.4409722222222222,0.19900497512437812,0.5706666666666667,0.3848358208955224,0.3680555555555556,0.38926174496644295,0.34532374100719426,0.3672927429868186,0.3784722222222222,0.42071197411003236,0.3295880149812734,0.3751499945456529,0.5208333333333334,0.4772727272727273,0.5576923076923077,0.5174825174825175,0.5208333333333334,0.4772727272727273,0.5576923076923077,0.5174825174825175,0.4340277777777778,0.3292181069958848,0.5105105105105106,0.4198643087531977
