Subject,Method,batch_size,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_max_class_ratio,pred_num_present_classes,batch_index,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes,true_imbalance,dua_momentum,rotta_memory_occupancy,note_memory_occupancy,note_updated,note_loss,delta_loss,delta_used_samples
S1,DynaMixEMATent,64,0.04509161412715912,0.9698038101196289,0.9698038101196289,0.9247121810913086,0.43660837754578247,0.27245047941832895,0.29094114303588864,0.3842424034936198,62.06744384765625,0.19999999999999996,1.0,0.6503852605819702,0.2,0.0,1.0,30.0,0.46875,34.0,0.53125,0.53125,2.0,0,47,0.734375,17.0,0.265625,0.734375,2,0.234375,,,,,,,
S1,DynaMixEMATent,64,0.06568963080644608,0.9356231093406677,0.9356231093406677,0.8699334859848022,0.2774340434087584,0.44187902378904126,0.2806869328022003,0.6143069602648155,121.94732284545898,0.19999999999999996,1.0,0.6485036611557007,0.2,0.0,1.0,26.0,0.40625,38.0,0.59375,0.59375,2.0,1,19,0.296875,45.0,0.703125,0.703125,2,0.203125,,,,,,,
S1,DynaMixEMATent,64,0.0919359028339386,0.9923775792121887,0.9923775792121887,0.9004416465759277,0.16491653760580602,0.5373701886305374,0.2977132737636566,0.765172070829791,185.45948791503906,0.19999999999999996,1.0,0.4552660882472992,0.2,0.0,1.0,36.0,0.5625,28.0,0.4375,0.5625,2.0,2,41,0.640625,23.0,0.359375,0.640625,2,0.140625,,,,,,,
S1,DynaMixEMATent,64,0.05472875013947487,0.9868297576904297,0.9868297576904297,0.9321010112762451,0.10092641899595683,0.6030246536969143,0.2960489273071289,0.8566286452126903,248.61659240722656,0.19999999999999996,1.0,0.4435400366783142,0.2,0.0,1.0,51.0,0.796875,13.0,0.203125,0.796875,2.0,3,36,0.5625,28.0,0.4375,0.5625,2,0.0625,,,,,,,
S1,DynaMixEMATent,10,0.03484927490353584,0.999940037727356,0.999940037727356,0.965090811252594,0.09282059919105967,0.6071973894907335,0.2999820113182068,0.8674025515174967,258.6159927845001,0.19999999999999996,1.0,0.5650516748428345,0.2,0.0,1.0,10.0,1.0,0.0,0.0,1.0,1.0,4,0,0.0,10.0,1.0,1.0,1,0.5,,,,,,,
S1,TEMA,64,,,,,,,,,,,,,,,,,,,,,,0,47,0.734375,17.0,0.265625,0.734375,2,,,,,,,,
S1,TEMA,64,,,,,,,,,,,,,,,,,,,,,,1,19,0.296875,45.0,0.703125,0.703125,2,,,,,,,,
S1,TEMA,64,,,,,,,,,,,,,,,,,,,,,,2,41,0.640625,23.0,0.359375,0.640625,2,,,,,,,,
S1,TEMA,64,,,,,,,,,,,,,,,,,,,,,,3,36,0.5625,28.0,0.4375,0.5625,2,,,,,,,,
S1,TEMA,10,,,,,,,,,,,,,,,,,,,,,,4,0,0.0,10.0,1.0,1.0,1,,,,,,,,
