Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MacroF1,DynaMixEMATent_Acc,DynaMixEMATent_F1_0,DynaMixEMATent_F1_1,DynaMixEMATent_MacroF1,TEMA_Acc,TEMA_F1_0,TEMA_F1_1,TEMA_MacroF1,DUA_Acc,DUA_F1_0,DUA_F1_1,DUA_MacroF1,RoTTA_Acc,RoTTA_F1_0,RoTTA_F1_1,RoTTA_MacroF1,NOTE_Acc,NOTE_F1_0,NOTE_F1_1,NOTE_MacroF1,DELTA_Acc,DELTA_F1_0,DELTA_F1_1,DELTA_MacroF1
S1,0.4924812030075188,0.6260387811634349,0.21052631578947367,0.4182825484764543,0.6541353383458647,0.7125,0.5660377358490566,0.6392688679245283,0.6466165413533834,0.7235294117647059,0.5104166666666666,0.6169730392156862,0.6390977443609023,0.6756756756756757,0.5932203389830508,0.6344480073293632,0.5225563909774437,0.563573883161512,0.4730290456431535,0.5183014644023327,0.5225563909774437,0.5694915254237288,0.4641350210970464,0.5168132732603876,0.6578947368421053,0.7217125382262997,0.5560975609756098,0.6389050496009547,0.6578947368421053,0.7217125382262997,0.5560975609756098,0.6389050496009547,0.48872180451127817,0.40350877192982454,0.5526315789473685,0.47807017543859653
S2,0.5968379446640316,0.6506849315068494,0.5233644859813084,0.5870247087440789,0.6403162055335968,0.7092651757188498,0.5284974093264249,0.6188812925226373,0.7549407114624506,0.8187134502923976,0.6219512195121951,0.7203323349022963,0.7193675889328063,0.778816199376947,0.6162162162162163,0.6975162077965816,0.616600790513834,0.6711864406779661,0.5402843601895735,0.6057354004337698,0.5889328063241107,0.6388888888888888,0.5229357798165137,0.5809123343527013,0.6086956521739131,0.6775244299674267,0.5025125628140703,0.5900184963907484,0.6086956521739131,0.6775244299674267,0.5025125628140703,0.5900184963907484,0.5177865612648221,0.4649122807017544,0.5611510791366906,0.5130316799192225
S3,0.45318352059925093,0.0,0.6237113402061856,0.3118556701030928,0.6479400749063671,0.6866666666666666,0.5982905982905983,0.6424786324786325,0.6367041198501873,0.6711864406779661,0.5941422594142259,0.632664350046096,0.49812734082397003,0.2872340425531915,0.6127167630057804,0.44997540277948594,0.4794007490636704,0.0915032679738562,0.6351706036745407,0.36333693582419846,0.4756554307116105,0.07894736842105263,0.6335078534031413,0.356227610912097,0.6441947565543071,0.6779661016949152,0.602510460251046,0.6402382809729806,0.6441947565543071,0.6779661016949152,0.602510460251046,0.6402382809729806,0.6104868913857678,0.5047619047619047,0.6790123456790124,0.5918871252204585
S4,0.5692883895131086,0.3783783783783784,0.670487106017192,0.5244327421977852,0.33707865168539325,0.2948207171314741,0.3745583038869258,0.33468951050919993,0.31835205992509363,0.3546099290780142,0.2777777777777778,0.31619385342789597,0.599250936329588,0.44559585492227977,0.6862170087976539,0.5659064318599668,0.6217228464419475,0.33112582781456956,0.7362924281984334,0.5337091280065015,0.6104868913857678,0.3333333333333333,0.7248677248677249,0.5291005291005291,0.32209737827715357,0.27309236947791166,0.3649122807017544,0.31900232508983306,0.32209737827715357,0.27309236947791166,0.3649122807017544,0.31900232508983306,0.5056179775280899,0.4883720930232558,0.5217391304347826,0.5050556117290192
S5,0.6496598639455783,0.7223719676549866,0.5253456221198156,0.623858794887401,0.6972789115646258,0.6983050847457627,0.6962457337883959,0.6972754092670793,0.7346938775510204,0.7621951219512195,0.7,0.7310975609756097,0.6292517006802721,0.6666666666666666,0.5823754789272031,0.6245210727969348,0.6564625850340136,0.7138810198300283,0.5702127659574469,0.6420468928937375,0.6598639455782312,0.7159090909090909,0.576271186440678,0.6460901386748845,0.6802721088435374,0.6802721088435374,0.6802721088435374,0.6802721088435374,0.6802721088435374,0.6802721088435374,0.6802721088435374,0.6802721088435374,0.6394557823129252,0.6344827586206897,0.6442953020134228,0.6393890303170562
S6,0.5,0.0,0.6666666666666666,0.3333333333333333,0.44881889763779526,0.49640287769784175,0.391304347826087,0.44385361276196433,0.5708661417322834,0.6706948640483383,0.384180790960452,0.5274378275043952,0.5,0.0,0.6666666666666666,0.3333333333333333,0.5,0.0,0.6666666666666666,0.3333333333333333,0.5,0.0,0.6666666666666666,0.3333333333333333,0.4251968503937008,0.48951048951048953,0.34234234234234234,0.41592641592641594,0.4251968503937008,0.48951048951048953,0.34234234234234234,0.41592641592641594,0.49606299212598426,0.488,0.5038759689922481,0.49593798449612403
S7,0.7086956521739131,0.8295165394402035,0.0,0.41475826972010177,0.3217391304347826,0.45454545454545453,0.10344827586206896,0.27899686520376177,0.49130434782608695,0.6422018348623854,0.12030075187969924,0.3812512933710423,0.6565217391304348,0.7904509283819628,0.04819277108433735,0.4193218497331501,0.6695652173913044,0.8020833333333334,0.0,0.4010416666666667,0.6869565217391305,0.8144329896907216,0.0,0.4072164948453608,0.3,0.42704626334519574,0.1005586592178771,0.2638024612815364,0.3,0.42704626334519574,0.1005586592178771,0.2638024612815364,0.4260869565217391,0.4883720930232558,0.3465346534653465,0.41745337324430115
S8,0.43014705882352944,0.5481049562682215,0.22885572139303484,0.38848033883062816,0.5441176470588235,0.5947712418300654,0.4789915966386555,0.5368814192343604,0.5404411764705882,0.6312684365781711,0.3902439024390244,0.5107561695085978,0.41911764705882354,0.4968152866242038,0.3130434782608696,0.40492938244253673,0.4227941176470588,0.5285285285285285,0.2559241706161137,0.3922263495723211,0.41911764705882354,0.5269461077844312,0.24761904761904763,0.3872825777017394,0.5220588235294118,0.5833333333333334,0.4396551724137931,0.5114942528735632,0.5220588235294118,0.5833333333333334,0.4396551724137931,0.5114942528735632,0.4117647058823529,0.4405594405594406,0.3798449612403101,0.41020220089987536
S9,0.3178294573643411,0.03296703296703297,0.47305389221556887,0.25301046259130094,0.627906976744186,0.7037037037037037,0.5,0.6018518518518519,0.5310077519379846,0.5980066445182725,0.4372093023255814,0.517607973421927,0.46124031007751937,0.41841004184100417,0.4981949458483754,0.4583024938446898,0.313953488372093,0.0111731843575419,0.47477744807121663,0.24297531621437926,0.313953488372093,0.0111731843575419,0.47477744807121663,0.24297531621437926,0.5891472868217055,0.6748466257668712,0.4421052631578947,0.5584759444623829,0.5891472868217055,0.6748466257668712,0.4421052631578947,0.5584759444623829,0.624031007751938,0.6996904024767802,0.49740932642487046,0.5985498644508254
S10,0.3591549295774648,0.0,0.5284974093264249,0.26424870466321243,0.47183098591549294,0.576271186440678,0.29906542056074764,0.43766830350071284,0.46830985915492956,0.5746478873239437,0.29107981220657275,0.4328638497652582,0.3591549295774648,0.0,0.5284974093264249,0.26424870466321243,0.3591549295774648,0.0,0.5284974093264249,0.26424870466321243,0.3591549295774648,0.0,0.5284974093264249,0.26424870466321243,0.49295774647887325,0.5838150289017341,0.35135135135135137,0.4675831901265427,0.49295774647887325,0.5838150289017341,0.35135135135135137,0.4675831901265427,0.3908450704225352,0.4507936507936508,0.31620553359683795,0.3834995921952444
