Subject,Method,stream_mode,block_length,accuracy,macro_f1,single_class_batch_ratio,max_class_ratio,imbalance
S1,Source,original,,0.4924812030075188,0.4182825484764543,,,
S1,Tent,original,,0.6541353383458647,0.6392688679245283,,,
S1,OFTTA,original,,0.6466165413533834,0.6169730392156862,,,
S1,DynaMixEMATent,original,,0.6390977443609023,0.6344480073293632,0.2,0.728125,0.228125
S1,TEMA,original,,0.5225563909774437,0.5183014644023327,0.2,0.728125,
S1,DUA,original,,0.5225563909774437,0.5168132732603876,0.2,0.728125,
S1,RoTTA,original,,0.6578947368421053,0.6389050496009547,0.2,0.728125,
S1,NOTE,original,,0.6578947368421053,0.6389050496009547,0.2,0.728125,
S1,DELTA,original,,0.48872180451127817,0.47807017543859653,0.2,0.728125,
S2,Source,original,,0.5968379446640316,0.5870247087440789,,,
S2,Tent,original,,0.6403162055335968,0.6188812925226373,,,
S2,OFTTA,original,,0.7549407114624506,0.7203323349022963,,,
S2,DynaMixEMATent,original,,0.7193675889328063,0.6975162077965816,0.0,0.7106173155737705,0.2106173155737705
S2,TEMA,original,,0.616600790513834,0.6057354004337698,0.0,0.7106173155737705,
S2,DUA,original,,0.5889328063241107,0.5809123343527013,0.0,0.7106173155737705,
S2,RoTTA,original,,0.6086956521739131,0.5900184963907484,0.0,0.7106173155737705,
S2,NOTE,original,,0.6086956521739131,0.5900184963907484,0.0,0.7106173155737705,
S2,DELTA,original,,0.5177865612648221,0.5130316799192225,0.0,0.7106173155737705,
S3,Source,original,,0.45318352059925093,0.3118556701030928,,,
S3,Tent,original,,0.6479400749063671,0.6424786324786325,,,
S3,OFTTA,original,,0.6367041198501873,0.632664350046096,,,
S3,DynaMixEMATent,original,,0.49812734082397003,0.44997540277948594,0.2,0.784375,0.184375
S3,TEMA,original,,0.4794007490636704,0.36333693582419846,0.2,0.784375,
S3,DUA,original,,0.4756554307116105,0.356227610912097,0.2,0.784375,
S3,RoTTA,original,,0.6441947565543071,0.6402382809729806,0.2,0.784375,
S3,NOTE,original,,0.6441947565543071,0.6402382809729806,0.2,0.784375,
S3,DELTA,original,,0.6104868913857678,0.5918871252204585,0.2,0.784375,
S4,Source,original,,0.5692883895131086,0.5244327421977852,,,
S4,Tent,original,,0.33707865168539325,0.33468951050919993,,,
S4,OFTTA,original,,0.31835205992509363,0.31619385342789597,,,
S4,DynaMixEMATent,original,,0.599250936329588,0.5659064318599668,0.2,0.725,0.225
S4,TEMA,original,,0.6217228464419475,0.5337091280065015,0.2,0.725,
S4,DUA,original,,0.6104868913857678,0.5291005291005291,0.2,0.725,
S4,RoTTA,original,,0.32209737827715357,0.31900232508983306,0.2,0.725,
S4,NOTE,original,,0.32209737827715357,0.31900232508983306,0.2,0.725,
S4,DELTA,original,,0.5056179775280899,0.5050556117290192,0.2,0.725,
S5,Source,original,,0.6496598639455783,0.623858794887401,,,
S5,Tent,original,,0.6972789115646258,0.6972754092670793,,,
S5,OFTTA,original,,0.7346938775510204,0.7310975609756097,,,
S5,DynaMixEMATent,original,,0.6292517006802721,0.6245210727969348,0.0,0.5983552631578947,0.09835526315789474
S5,TEMA,original,,0.6564625850340136,0.6420468928937375,0.0,0.5983552631578947,
S5,DUA,original,,0.6598639455782312,0.6460901386748845,0.0,0.5983552631578947,
S5,RoTTA,original,,0.6802721088435374,0.6802721088435374,0.0,0.5983552631578947,
S5,NOTE,original,,0.6802721088435374,0.6802721088435374,0.0,0.5983552631578947,
S5,DELTA,original,,0.6394557823129252,0.6393890303170562,0.0,0.5983552631578947,
S6,Source,original,,0.5,0.3333333333333333,,,
S6,Tent,original,,0.44881889763779526,0.44385361276196433,,,
S6,OFTTA,original,,0.5708661417322834,0.5274378275043952,,,
S6,DynaMixEMATent,original,,0.5,0.3333333333333333,0.0,0.5940020161290323,0.09400201612903225
S6,TEMA,original,,0.5,0.3333333333333333,0.0,0.5940020161290323,
S6,DUA,original,,0.5,0.3333333333333333,0.0,0.5940020161290323,
S6,RoTTA,original,,0.4251968503937008,0.41592641592641594,0.0,0.5940020161290323,
S6,NOTE,original,,0.4251968503937008,0.41592641592641594,0.0,0.5940020161290323,
S6,DELTA,original,,0.49606299212598426,0.49593798449612403,0.0,0.5940020161290323,
S7,Source,original,,0.7086956521739131,0.41475826972010177,,,
S7,Tent,original,,0.3217391304347826,0.27899686520376177,,,
S7,OFTTA,original,,0.49130434782608695,0.3812512933710423,,,
S7,DynaMixEMATent,original,,0.6565217391304348,0.4193218497331501,0.0,0.7206003289473684,0.22060032894736842
S7,TEMA,original,,0.6695652173913044,0.4010416666666667,0.0,0.7206003289473684,
