Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_max_class_ratio,pred_num_present_classes,true_imbalance,dua_momentum,rotta_memory_occupancy,note_memory_occupancy,note_updated,note_loss,delta_loss,delta_used_samples
S1,EMATent,0.4725733995437622,0.4725733995437622,0.9194223880767822,1.0,0.35822798013687135,0.5,0.14177201986312865,0.0,0.0,0,64,24,0.375,40.0,0.625,0.625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1,EMATent,0.6611337065696716,0.6611337065696716,0.8391216993331909,1.0,0.3016598880290985,0.5,0.19834011197090148,0.0,0.0,1,64,40,0.625,24.0,0.375,0.625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1,EMATent,0.4381847083568573,0.4381847083568573,0.909627377986908,1.0,0.36854458749294283,0.5,0.1314554125070572,0.0,0.0,2,64,19,0.296875,45.0,0.703125,0.703125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1,EMATent,0.8258705139160156,0.8258705139160156,0.7690149545669556,1.0,0.25223884582519535,0.5,0.24776115417480468,0.0,0.0,3,64,44,0.6875,20.0,0.3125,0.6875,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1,EMATent,0.9157164692878723,0.9157164692878723,0.6755480170249939,1.0,0.2252850592136383,0.5,0.27471494078636166,0.0,0.0,4,10,10,1.0,,,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1,DynaMixEMATent,,,,,,,,,,0,64,24,0.375,40.0,0.625,0.625,2,0.1516432911157608,0.4725733995437622,0.4725733995437622,0.3209301233291626,0.6776175718855582,0.18061040825131308,0.14177201986312865,0.21044572355064572,30.24469757080078,0.19999999999999996,1.0,0.4818645119667053,0.2,0.0,1.0,53.0,0.828125,11.0,0.171875,0.828125,2.0,0.125,,,,,,,
S1,DynaMixEMATent,,,,,,,,,,1,64,40,0.625,24.0,0.375,0.625,2,0.12617173790931702,0.46137163043022156,0.46137163043022156,0.33519989252090454,0.54012752880118,0.32146098206975365,0.13841148912906645,0.3731026795434006,59.77248191833496,0.19999999999999996,1.0,0.5897199511528015,0.2,0.0,1.0,49.0,0.765625,15.0,0.234375,0.765625,2.0,0.125,,,,,,,
S1,DynaMixEMATent,,,,,,,,,,2,64,19,0.296875,45.0,0.703125,0.703125,2,0.08091650158166885,0.24280709028244019,0.24280709028244019,0.16189058125019073,0.5147842063892639,0.4123736665260041,0.07284212708473205,0.44477178975935905,75.31213569641113,0.19999999999999996,1.0,0.4039846360683441,0.2,0.0,1.0,58.0,0.90625,6.0,0.09375,0.90625,2.0,0.203125,,,,,,,
S1,DynaMixEMATent,,,,,,,,,,3,64,44,0.6875,20.0,0.3125,0.6875,2,0.11251072585582733,0.41370147466659546,0.41370147466659546,0.30119073390960693,0.39544559184937017,0.48044396575065124,0.12411044239997863,0.5485211709420196,101.78903007507324,0.19999999999999996,1.0,0.555396556854248,0.2,0.0,1.0,45.0,0.703125,19.0,0.296875,0.703125,2.0,0.1875,,,,,,,
S1,DynaMixEMATent,,,,,,,,,,4,10,10,1.0,,,1.0,1,0.07427173852920532,0.3221867084503174,0.3221867084503174,0.24791496992111206,0.39770311523799656,0.5056408722269082,0.09665601253509522,0.5597434413062417,105.01089715957642,0.19999999999999996,1.0,0.6422200798988342,0.2,0.0,1.0,7.0,0.7,3.0,0.3,0.7,2.0,0.0,,,,,,,
S1,TEMA,,,,,,,,,,0,64,24,0.375,40.0,0.625,0.625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1,TEMA,,,,,,,,,,1,64,40,0.625,24.0,0.375,0.625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1,TEMA,,,,,,,,,,2,64,19,0.296875,45.0,0.703125,0.703125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1,TEMA,,,,,,,,,,3,64,44,0.6875,20.0,0.3125,0.6875,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1,TEMA,,,,,,,,,,4,10,10,1.0,0.0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1,DUA,,,,,,,,,,0,64,24,0.375,40.0,0.625,0.625,2,,,,,,,,,,,,,,,,,,,,,,,0.099,,,,,,
S1,DUA,,,,,,,,,,1,64,40,0.625,24.0,0.375,0.625,2,,,,,,,,,,,,,,,,,,,,,,,0.09336,,,,,,
S1,DUA,,,,,,,,,,2,64,19,0.296875,45.0,0.703125,0.703125,2,,,,,,,,,,,,,,,,,,,,,,,0.0880584,,,,,,
S1,DUA,,,,,,,,,,3,64,44,0.6875,20.0,0.3125,0.6875,2,,,,,,,,,,,,,,,,,,,,,,,0.083074896,,,,,,
S1,DUA,,,,,,,,,,4,10,10,1.0,0.0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,0.07839040223999999,,,,,,
S1,RoTTA,,,,,,,,,,0,64,24,0.375,40.0,0.625,0.625,2,,,,,,,,,,,,,,,,,,,,,,,,63.0,,,,,
S1,RoTTA,,,,,,,,,,1,64,40,0.625,24.0,0.375,0.625,2,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,
S1,RoTTA,,,,,,,,,,2,64,19,0.296875,45.0,0.703125,0.703125,2,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,
S1,RoTTA,,,,,,,,,,3,64,44,0.6875,20.0,0.3125,0.6875,2,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,
S1,RoTTA,,,,,,,,,,4,10,10,1.0,0.0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,
S1,NOTE,,,,,,,,,,0,64,24,0.375,40.0,0.625,0.625,2,,,,,,,,,,,,,,,,,,,,,,,,,64.0,1.0,0.631740927696228,,
S1,NOTE,,,,,,,,,,1,64,40,0.625,24.0,0.375,0.625,2,,,,,,,,,,,,,,,,,,,,,,,,,64.0,1.0,0.5619849562644958,,
S1,NOTE,,,,,,,,,,2,64,19,0.296875,45.0,0.703125,0.703125,2,,,,,,,,,,,,,,,,,,,,,,,,,64.0,1.0,0.59944087266922,,
S1,NOTE,,,,,,,,,,3,64,44,0.6875,20.0,0.3125,0.6875,2,,,,,,,,,,,,,,,,,,,,,,,,,64.0,1.0,0.5154715776443481,,
S1,NOTE,,,,,,,,,,4,10,10,1.0,0.0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,64.0,0.0,,,
S1,DELTA,,,,,,,,,,0,64,24,0.375,40.0,0.625,0.625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
S1,DELTA,,,,,,,,,,1,64,40,0.625,24.0,0.375,0.625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1678004264831543,5.0
S1,DELTA,,,,,,,,,,2,64,19,0.296875,45.0,0.703125,0.703125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08341612666845322,38.0
S1,DELTA,,,,,,,,,,3,64,44,0.6875,20.0,0.3125,0.6875,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11864031106233597,37.0
S1,DELTA,,,,,,,,,,4,10,10,1.0,0.0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11048352718353271,10.0
S2,EMATent,0.10897458344697952,0.10897458344697952,0.9855583310127258,0.0,0.46730762496590617,0.5,0.032692375034093855,0.0,0.0,0,64,10,0.15625,54.0,0.84375,0.84375,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
