Subject,Method,stream_mode,block_length,accuracy,macro_f1,single_class_batch_ratio,max_class_ratio,imbalance
S1,Source,original,,0.5150375939849624,0.3399503722084367,,,
S1,Norm,original,,0.31954887218045114,0.3173781741361954,,,
S1,Tent,original,,0.31954887218045114,0.3173781741361954,,,
S1,OFTTA,original,,0.37969924812030076,0.33211595526135584,,,
S1,EMATent,original,,0.41729323308270677,0.3510254836221687,0.2,0.728125,
S1,DynaMixEMATent,original,,0.40977443609022557,0.34610988460394254,0.2,0.728125,0.128125
S1,TEMA,original,,0.5150375939849624,0.3399503722084367,0.2,0.728125,
S1,DUA,original,,0.5150375939849624,0.3399503722084367,0.2,0.728125,
S1,RoTTA,original,,0.2932330827067669,0.29223278985507245,0.2,0.728125,
S1,NOTE,original,,0.2932330827067669,0.29223278985507245,0.2,0.728125,
S1,DELTA,original,,0.3308270676691729,0.3168859649122807,0.2,0.728125,
S2,Source,original,,0.2648221343873518,0.209375,,,
S2,Norm,original,,0.6758893280632411,0.6585582620144832,,,
S2,Tent,original,,0.6758893280632411,0.6585582620144832,,,
S2,OFTTA,original,,0.6284584980237155,0.6203384418901661,,,
S2,EMATent,original,,0.2648221343873518,0.209375,0.25,0.7924564549180328,
S2,DynaMixEMATent,original,,0.2648221343873518,0.209375,0.25,0.7924564549180328,0.2924564549180328
S2,TEMA,original,,0.2648221343873518,0.209375,0.25,0.7924564549180328,
S2,DUA,original,,0.2648221343873518,0.209375,0.25,0.7924564549180328,
S2,RoTTA,original,,0.6996047430830039,0.679746835443038,0.25,0.7924564549180328,
S2,NOTE,original,,0.6956521739130435,0.6748451921953499,0.25,0.7924564549180328,
S2,DELTA,original,,0.4268774703557312,0.42558521882095046,0.25,0.7924564549180328,
S3,Source,original,,0.4756554307116105,0.4253474357397614,,,
S3,Norm,original,,0.6928838951310862,0.685467187679577,,,
S3,Tent,original,,0.6891385767790262,0.6812513484358145,,,
S3,OFTTA,original,,0.599250936329588,0.5954144420998966,,,
S3,EMATent,original,,0.5580524344569289,0.5580462349904611,0.2,0.69375,
S3,DynaMixEMATent,original,,0.5730337078651685,0.5728839245621913,0.2,0.69375,0.19375
S3,TEMA,original,,0.49063670411985016,0.485374149659864,0.2,0.69375,
S3,DUA,original,,0.4756554307116105,0.4675213675213675,0.2,0.69375,
S3,RoTTA,original,,0.6779026217228464,0.6693260368663594,0.2,0.69375,
S3,NOTE,original,,0.6779026217228464,0.6693260368663594,0.2,0.69375,
S3,DELTA,original,,0.5842696629213483,0.5765719429085765,0.2,0.69375,
S4,Source,original,,0.6554307116104869,0.39592760180995473,,,
S4,Norm,original,,0.5168539325842697,0.5088902513795217,,,
S4,Tent,original,,0.5168539325842697,0.5088902513795217,,,
S4,OFTTA,original,,0.41947565543071164,0.4139181170605979,,,
S4,EMATent,original,,0.6329588014981273,0.5771493212669683,0.4,0.75,
S4,DynaMixEMATent,original,,0.6554307116104869,0.39592760180995473,0.4,0.75,0.25
S4,TEMA,original,,0.6554307116104869,0.39592760180995473,0.4,0.75,
