Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_max_class_ratio,pred_num_present_classes,true_imbalance,dua_momentum,rotta_memory_occupancy,note_memory_occupancy,note_updated,note_loss,delta_loss,delta_used_samples
S1,EMATent,0.9807481169700623,0.9807481169700623,0.6112730503082275,1.0,0.20577556490898133,0.5,0.29422443509101864,0.0,0.0,0,64,47,0.734375,17.0,0.265625,0.734375,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1,EMATent,0.9736644625663757,0.9736644625663757,0.6277356147766113,1.0,0.2079006612300873,0.5,0.29209933876991273,0.0,0.0,1,64,19,0.296875,45.0,0.703125,0.703125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1,EMATent,0.8201050162315369,0.8201050162315369,0.7597371339797974,1.0,0.25396849513053893,0.5,0.24603150486946104,0.0,0.0,2,64,41,0.640625,23.0,0.359375,0.640625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1,EMATent,0.9938268661499023,0.9938268661499023,0.672234296798706,1.0,0.2018519401550293,0.5,0.29814805984497067,0.0,0.0,3,64,36,0.5625,28.0,0.4375,0.5625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1,EMATent,0.9315522909164429,0.9315522909164429,0.6527892351150513,1.0,0.22053431272506716,0.5,0.2794656872749329,0.0,0.0,4,10,0,0.0,10.0,1.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1,DynaMixEMATent,,,,,,,,,,0,64,47,0.734375,17.0,0.265625,0.734375,2,0.03937258943915367,0.9807481169700623,0.9807481169700623,0.9413754940032959,0.4322150354907947,0.2735605294181867,0.29422443509101864,0.3876027210625601,62.767879486083984,0.19999999999999996,1.0,0.655042290687561,0.2,0.0,1.0,27.0,0.421875,37.0,0.578125,0.578125,2.0,0.234375,,,,,,,
S1,DynaMixEMATent,,,,,,,,,,1,64,19,0.296875,45.0,0.703125,0.703125,2,0.06151045486330986,0.9445433616638184,0.9445433616638184,0.8830328583717346,0.2736701872158339,0.44296680428502067,0.2833630084991455,0.6181188098556205,123.21865463256836,0.19999999999999996,1.0,0.6578389406204224,0.2,0.0,1.0,27.0,0.421875,37.0,0.578125,0.578125,2.0,0.203125,,,,,,,
S1,DynaMixEMATent,,,,,,,,,,2,64,41,0.640625,23.0,0.359375,0.640625,2,0.09883429855108261,0.9874877333641052,0.9874877333641052,0.8886534571647644,0.16402827189291744,0.539725408097851,0.29624632000923157,0.7669237454004232,186.4178695678711,0.19999999999999996,1.0,0.4433923363685608,0.2,0.0,1.0,36.0,0.5625,28.0,0.4375,0.5625,2.0,0.140625,,,,,,,
S1,DynaMixEMATent,,,,,,,,,,3,64,36,0.5625,28.0,0.4375,0.5625,2,0.053899966180324554,0.9841325283050537,0.9841325283050537,0.930232584476471,0.10042405717509764,0.6043361843333863,0.2952397584915161,0.8575060690708831,249.40235137939453,0.19999999999999996,1.0,0.4550846815109253,0.2,0.0,1.0,51.0,0.796875,13.0,0.203125,0.796875,2.0,0.0625,,,,,,,
S1,DynaMixEMATent,,,,,,,,,,4,10,0,0.0,10.0,1.0,1.0,1,0.023295221850275993,0.9783856272697449,0.9783856272697449,0.9550904035568237,0.09326162812143286,0.6132226836976437,0.29351568818092344,0.8679919333505084,259.186207652092,0.19999999999999996,1.0,0.5857917666435242,0.2,0.0,1.0,10.0,1.0,0.0,0.0,1.0,1.0,0.5,,,,,,,
