Subject,Method,stream_mode,block_length,accuracy,macro_f1,single_class_batch_ratio,max_class_ratio,imbalance
S1,Source,original,,0.49624060150375937,0.42079948001299966,,,
S1,Norm,original,,0.6578947368421053,0.6448389699948647,,,
S1,Tent,original,,0.6578947368421053,0.6448389699948647,,,
S1,OFTTA,original,,0.6466165413533834,0.6169730392156862,,,
S1,EMATent,original,,0.6165413533834586,0.6139002732240437,0.2,0.728125,
S1,DynaMixEMATent,original,,0.631578947368421,0.6274509803921569,0.2,0.728125,0.228125
S1,TEMA,original,,0.5263157894736842,0.5210084033613445,0.2,0.728125,
S1,DUA,original,,0.518796992481203,0.5125973431058177,0.2,0.728125,
S1,RoTTA,original,,0.6541353383458647,0.6342659014825442,0.2,0.728125,
S1,NOTE,original,,0.6541353383458647,0.6342659014825442,0.2,0.728125,
S1,DELTA,original,,0.47368421052631576,0.4602272727272727,0.2,0.728125,
S2,Source,original,,0.6007905138339921,0.5894770664310387,,,
S2,Norm,original,,0.6086956521739131,0.5900184963907484,,,
S2,Tent,original,,0.6086956521739131,0.5900184963907484,,,
S2,OFTTA,original,,0.7628458498023716,0.7310418143160878,,,
S2,EMATent,original,,0.7272727272727273,0.7110198811435382,0.0,0.7106173155737705,
S2,DynaMixEMATent,original,,0.7193675889328063,0.7038008079808722,0.0,0.7106173155737705,0.2106173155737705
S2,TEMA,original,,0.6126482213438735,0.6011261261261261,0.0,0.7106173155737705,
S2,DUA,original,,0.5968379446640316,0.5880268199233716,0.0,0.7106173155737705,
S2,RoTTA,original,,0.6047430830039525,0.5866013071895425,0.0,0.7106173155737705,
S2,NOTE,original,,0.6047430830039525,0.5866013071895425,0.0,0.7106173155737705,
S2,DELTA,original,,0.48221343873517786,0.47269024549345295,0.0,0.7106173155737705,
S3,Source,original,,0.45318352059925093,0.3118556701030928,,,
S3,Norm,original,,0.6629213483146067,0.6588973427208722,,,
S3,Tent,original,,0.6629213483146067,0.6588973427208722,,,
S3,OFTTA,original,,0.6404494382022472,0.636734693877551,,,
S3,EMATent,original,,0.5468164794007491,0.5227141780791561,0.2,0.784375,
S3,DynaMixEMATent,original,,0.5205992509363296,0.48412027532906654,0.2,0.784375,0.184375
S3,TEMA,original,,0.4756554307116105,0.356227610912097,0.2,0.784375,
S3,DUA,original,,0.47191011235955055,0.3490394757318486,0.2,0.784375,
S3,RoTTA,original,,0.6479400749063671,0.6437372246195776,0.2,0.784375,
S3,NOTE,original,,0.6479400749063671,0.6437372246195776,0.2,0.784375,
S3,DELTA,original,,0.6104868913857678,0.5875222816399287,0.2,0.784375,
S4,Source,original,,0.5692883895131086,0.5244327421977852,,,
S4,Norm,original,,0.3258426966292135,0.31987999547152723,,,
S4,Tent,original,,0.3258426966292135,0.31987999547152723,,,
S4,OFTTA,original,,0.3146067415730337,0.31271714514790483,,,
S4,EMATent,original,,0.5955056179775281,0.5683233532934132,0.2,0.725,
S4,DynaMixEMATent,original,,0.5955056179775281,0.5566965932849588,0.2,0.725,0.225
S4,TEMA,original,,0.6179775280898876,0.5271875,0.2,0.725,
S4,DUA,original,,0.6067415730337079,0.5227678951400119,0.2,0.725,
S4,RoTTA,original,,0.31835205992509363,0.3155774647887324,0.2,0.725,
S4,NOTE,original,,0.31835205992509363,0.3155774647887324,0.2,0.725,
S4,DELTA,original,,0.45692883895131087,0.45665445665445664,0.2,0.725,
S5,Source,original,,0.6564625850340136,0.6325500241303783,,,
S5,Norm,original,,0.6836734693877551,0.6836698096835773,,,
S5,Tent,original,,0.6836734693877551,0.6836698096835773,,,
S5,OFTTA,original,,0.7312925170068028,0.7278638967977784,,,
S5,EMATent,original,,0.6428571428571429,0.6377228292121909,0.0,0.5983552631578947,
S5,DynaMixEMATent,original,,0.6224489795918368,0.6187394123488521,0.0,0.5983552631578947,0.09835526315789474
S5,TEMA,original,,0.6564625850340136,0.6420468928937375,0.0,0.5983552631578947,
S5,DUA,original,,0.6598639455782312,0.6460901386748845,0.0,0.5983552631578947,
S5,RoTTA,original,,0.6802721088435374,0.6802721088435374,0.0,0.5983552631578947,
S5,NOTE,original,,0.6802721088435374,0.6802721088435374,0.0,0.5983552631578947,
S5,DELTA,original,,0.6258503401360545,0.6252259769155889,0.0,0.5983552631578947,
S6,Source,original,,0.5,0.3333333333333333,,,
S6,Norm,original,,0.4566929133858268,0.4525862068965517,,,
S6,Tent,original,,0.4566929133858268,0.4525862068965517,,,
S6,OFTTA,original,,0.5708661417322834,0.5274378275043952,,,
S6,EMATent,original,,0.421259842519685,0.42117909684220317,0.0,0.5940020161290323,
S6,DynaMixEMATent,original,,0.5,0.3333333333333333,0.0,0.5940020161290323,0.09400201612903225
S6,TEMA,original,,0.5,0.3333333333333333,0.0,0.5940020161290323,
S6,DUA,original,,0.5,0.3333333333333333,0.0,0.5940020161290323,
S6,RoTTA,original,,0.42913385826771655,0.4205019274644009,0.0,0.5940020161290323,
S6,NOTE,original,,0.42913385826771655,0.4205019274644009,0.0,0.5940020161290323,
S6,DELTA,original,,0.4645669291338583,0.4645669291338583,0.0,0.5940020161290323,
S7,Source,original,,0.7086956521739131,0.41475826972010177,,,
S7,Norm,original,,0.32608695652173914,0.2786175357655962,,,
S7,Tent,original,,0.32608695652173914,0.2786175357655962,,,
S7,OFTTA,original,,0.49130434782608695,0.3812512933710423,,,
S7,EMATent,original,,0.5173913043478261,0.4129819962750914,0.0,0.7206003289473684,
S7,DynaMixEMATent,original,,0.6652173913043479,0.43402256239813364,0.0,0.7206003289473684,0.22060032894736842
S7,TEMA,original,,0.6695652173913044,0.4010416666666667,0.0,0.7206003289473684,
S7,DUA,original,,0.691304347826087,0.4087403598971722,0.0,0.7206003289473684,
S7,RoTTA,original,,0.3,0.2638024612815364,0.0,0.7206003289473684,
S7,NOTE,original,,0.3,0.2638024612815364,0.0,0.7206003289473684,
S7,DELTA,original,,0.39565217391304347,0.391499647880622,0.0,0.7206003289473684,
S8,Source,original,,0.43014705882352944,0.38848033883062816,,,
S8,Norm,original,,0.5441176470588235,0.537719298245614,,,
S8,Tent,original,,0.5441176470588235,0.537719298245614,,,
S8,OFTTA,original,,0.5404411764705882,0.5107561695085978,,,
S8,EMATent,original,,0.4117647058823529,0.39876215738284704,0.2,0.746875,
S8,DynaMixEMATent,original,,0.4117647058823529,0.40005514199062586,0.2,0.746875,0.246875
S8,TEMA,original,,0.4227941176470588,0.3922263495723211,0.2,0.746875,
S8,DUA,original,,0.41911764705882354,0.3872825777017394,0.2,0.746875,
S8,RoTTA,original,,0.5220588235294118,0.5114942528735632,0.2,0.746875,
S8,NOTE,original,,0.5220588235294118,0.5114942528735632,0.2,0.746875,
S8,DELTA,original,,0.4117647058823529,0.4091773011132229,0.2,0.746875,
S9,Source,original,,0.31007751937984496,0.24067460317460318,,,
S9,Norm,original,,0.5852713178294574,0.558974358974359,,,
S9,Tent,original,,0.5852713178294574,0.558974358974359,,,
S9,OFTTA,original,,0.5310077519379846,0.517607973421927,,,
S9,EMATent,original,,0.4689922480620155,0.4676406355900294,0.2,0.7375,
S9,DynaMixEMATent,original,,0.4806201550387597,0.479494128274616,0.2,0.7375,0.2375
S9,TEMA,original,,0.3178294573643411,0.2452629479422911,0.2,0.7375,
S9,DUA,original,,0.313953488372093,0.24297531621437926,0.2,0.7375,
S9,RoTTA,original,,0.5852713178294574,0.5533226542400854,0.2,0.7375,
S9,NOTE,original,,0.5852713178294574,0.5533226542400854,0.2,0.7375,
S9,DELTA,original,,0.6007751937984496,0.5771366739334531,0.2,0.7375,
S10,Source,original,,0.3591549295774648,0.26424870466321243,,,
S10,Norm,original,,0.4647887323943662,0.44313725490196076,,,
S10,Tent,original,,0.4647887323943662,0.44313725490196076,,,
S10,OFTTA,original,,0.46830985915492956,0.4328638497652582,,,
S10,EMATent,original,,0.323943661971831,0.2985850270131206,0.0,0.7299107142857142,
S10,DynaMixEMATent,original,,0.3591549295774648,0.26424870466321243,0.0,0.7299107142857142,0.22991071428571427
S10,TEMA,original,,0.3591549295774648,0.26424870466321243,0.0,0.7299107142857142,
S10,DUA,original,,0.3591549295774648,0.26424870466321243,0.0,0.7299107142857142,
S10,RoTTA,original,,0.49295774647887325,0.4675831901265427,0.0,0.7299107142857142,
S10,NOTE,original,,0.49295774647887325,0.4675831901265427,0.0,0.7299107142857142,
S10,DELTA,original,,0.36971830985915494,0.3639696222803308,0.0,0.7299107142857142,
S11,Source,original,,0.41333333333333333,0.29245283018867924,,,
S11,Norm,original,,0.55,0.5485503449967117,,,
S11,Tent,original,,0.55,0.5485503449967117,,,
S11,OFTTA,original,,0.5433333333333333,0.5424742015562556,,,
S11,EMATent,original,,0.49333333333333335,0.4922275177052247,0.0,0.6821022727272728,
S11,DynaMixEMATent,original,,0.46,0.45454545454545453,0.0,0.6821022727272728,0.18210227272727272
S11,TEMA,original,,0.43333333333333335,0.3625,0.0,0.6821022727272728,
S11,DUA,original,,0.43,0.3571348011879848,0.0,0.6821022727272728,
S11,RoTTA,original,,0.58,0.5788019254769121,0.0,0.6821022727272728,
S11,NOTE,original,,0.58,0.5788019254769121,0.0,0.6821022727272728,
S11,DELTA,original,,0.6133333333333333,0.5769305582571485,0.0,0.6821022727272728,
S12,Source,original,,0.5080645161290323,0.33689839572192515,,,
S12,Norm,original,,0.7943548387096774,0.79338397451605,,,
S12,Tent,original,,0.7943548387096774,0.79338397451605,,,
S12,OFTTA,original,,0.6774193548387096,0.6648648648648648,,,
S12,EMATent,original,,0.6451612903225806,0.6366300366300366,0.0,0.5825892857142857,
S12,DynaMixEMATent,original,,0.5887096774193549,0.5727027027027027,0.0,0.5825892857142857,0.08258928571428573
S12,TEMA,original,,0.5080645161290323,0.33689839572192515,0.0,0.5825892857142857,
S12,DUA,original,,0.5080645161290323,0.33689839572192515,0.0,0.5825892857142857,
S12,RoTTA,original,,0.7943548387096774,0.7935997650092201,0.0,0.5825892857142857,
S12,NOTE,original,,0.7943548387096774,0.7935997650092201,0.0,0.5825892857142857,
S12,DELTA,original,,0.6209677419354839,0.607462787095036,0.0,0.5825892857142857,
S13,Source,original,,0.7689530685920578,0.7381543187994801,,,
S13,Norm,original,,0.5631768953068592,0.49149636642240535,,,
S13,Tent,original,,0.5595667870036101,0.48889897156684814,,,
S13,OFTTA,original,,0.5306859205776173,0.4935587308730873,,,
S13,EMATent,original,,0.6534296028880866,0.634524463991204,0.2,0.834375,
S13,DynaMixEMATent,original,,0.628158844765343,0.6043131544275708,0.2,0.834375,0.334375
S13,TEMA,original,,0.7653429602888087,0.7317690875232774,0.2,0.834375,
S13,DUA,original,,0.7653429602888087,0.7317690875232774,0.2,0.834375,
S13,RoTTA,original,,0.5631768953068592,0.49465510742555596,0.2,0.834375,
S13,NOTE,original,,0.5667870036101083,0.4972776769509982,0.2,0.834375,
