Task,Method,Accuracy,MacroF1,StdMacroF1,Wins
Arousal,Source,0.4958701460312176,0.4068511401340526,0.112692501578885,1
Arousal,Tent,0.5672513942729908,0.5623761579053707,0.0988239389355173,13
Arousal,OFTTA,0.5663364498590558,0.5463827907851468,0.1126279232936204,7
Arousal,DynaMix EMA-Tent,0.5250392952906533,0.4738147924601013,0.1190000891917413,7
Arousal,TEMA,0.5047429879013979,0.4296492647216944,0.1359405171882593,2
Valence,Source,0.5347753690932094,0.4539618861511525,0.1521698102691572,4
Valence,Tent,0.5868150190059512,0.5718522305443191,0.1100588696057519,14
Valence,OFTTA,0.5868054991106451,0.553142801518837,0.1071762106963937,5
Valence,DynaMix EMA-Tent,0.5649497873106609,0.5177588055492396,0.1197811609403993,6
Valence,TEMA,0.5404136401425118,0.4649244868939293,0.1442245112347475,1
