Task,Method,Key,Accuracy,MacroF1,StdMacroF1,Wins
Arousal,Source,Source,0.4958701460312176,0.4068511401340526,0.112692501578885,1
Arousal,Tent,Tent,0.5672513942729908,0.5623761579053707,0.0988239389355173,12
Arousal,OFTTA,OFTTA,0.5663364498590558,0.5463827907851468,0.1126279232936204,8
Arousal,EMA-Tent,EMATent,0.5337102259300858,0.4989664800016397,0.1090599830376501,6
Arousal,DynaMix EMA-Tent,DynaMixEMATent,0.5250392952906533,0.4738147924601013,0.1190000891917413,3
Valence,Source,Source,0.5347753690932094,0.4539618861511525,0.1521698102691572,5
Valence,Tent,Tent,0.5868150190059512,0.5718522305443191,0.1100588696057519,14
Valence,OFTTA,OFTTA,0.5868054991106451,0.553142801518837,0.1071762106963937,5
Valence,EMA-Tent,EMATent,0.560771905405148,0.5260084692261543,0.1147065362721935,1
Valence,DynaMix EMA-Tent,DynaMixEMATent,0.5649497873106609,0.5177588055492396,0.1197811609403993,5
