Subject,BestMethod,BestBaseline,Source_MacroF1,Norm_MacroF1,Tent_MacroF1,OFTTA_MacroF1,EMATent_MacroF1,EmaTentCaseS00E50B50M070_MacroF1,EMATent_gain_vs_best_baseline,EmaTentCaseS00E50B50M070_gain_vs_best_baseline,mean_majority_ratio,single_class_batches,default_ema_mean_raw_gate,default_ema_mean_effective_batch_weight
S1,EmaTentCaseS00E50B50M070,Source,0.3399503722084367,0.3173781741361954,0.3173781741361954,0.3321159552613558,0.3510254836221687,0.4278093271381862,0.011075111413731964,0.08785895492974949,0.728125,1,0.6626957595348358,0.19880872786045067
S2,Norm,Norm,0.209375,0.6585582620144832,0.6585582620144832,0.6203384418901661,0.209375,0.194838816060681,-0.4491832620144832,-0.4637194459538022,0.7924564549180328,1,0.16906426660716528,0.05071927998214955
S3,Norm,Norm,0.4253474357397614,0.685467187679577,0.6812513484358145,0.5954144420998966,0.5580462349904611,0.5867105707531239,-0.1274209526891159,-0.0987566169264531,0.69375,1,0.8582590460777283,0.25747771382331847
S4,EmaTentCaseS00E50B50M070,Norm,0.3959276018099547,0.5088902513795217,0.5088902513795217,0.4139181170605979,0.5771493212669683,0.6231854838709677,0.06825906988744657,0.11429523249144602,0.75,2,0.43552955277264116,0.1306588658317923
S5,EmaTentCaseS00E50B50M070,Norm,0.2932692307692308,0.5812356979405033,0.5812356979405033,0.4690900562851782,0.5699208124282173,0.6156062341629351,-0.011314885512285988,0.0343705362224318,0.7875,1,0.31222231416031715,0.09366669424809511
S6,EmaTentCaseS00E50B50M070,Tent,0.3986742424242424,0.4465016382648502,0.4500094144228959,0.4149051490514905,0.5214785059242998,0.5660866814299272,0.0714690915014039,0.11607726700703136,0.77734375,1,0.9661968797445297,0.2898590639233589
S7,Norm,Norm,0.3828914141414141,0.4757237291999088,0.4757237291999088,0.4304761904761904,0.4268949441363234,0.4027594760096116,-0.0488287850635854,-0.0729642531902972,0.6488486842105263,0,0.4311745671557219,0.12935237014671655
S8,OFTTA,OFTTA,0.500700270589995,0.6625310173697271,0.6625310173697271,0.72129603987815,0.5393890130732235,0.5992159513349105,-0.18190702680492654,-0.1220800885432396,0.74375,1,0.720607602596283,0.21618228077888482
S9,Norm,Norm,0.5335539621253906,0.569709263015551,0.569709263015551,0.5049342105263158,0.5157766406262533,0.5074455899198167,-0.053932622389297746,-0.06226367309573433,0.709375,1,0.8082510352134704,0.24247531056404106
S10,OFTTA,OFTTA,0.3501144164759725,0.3726459245947059,0.3726459245947059,0.3830283482827098,0.3541147471776225,0.2949372847208683,-0.02891360110508734,-0.08809106356184154,0.721875,1,0.6369779765605926,0.19109339296817773
