Task,Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MacroF1,Norm_Acc,Norm_F1_0,Norm_F1_1,Norm_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MacroF1,EMATent_Acc,EMATent_F1_0,EMATent_F1_1,EMATent_MacroF1,EmaTentCaseS00E50B50M070_Acc,EmaTentCaseS00E50B50M070_F1_0,EmaTentCaseS00E50B50M070_F1_1,EmaTentCaseS00E50B50M070_MacroF1,BestMethod,BestBaseline,BestBaseline_MacroF1,EMATent_gain_vs_source,EMATent_gain_vs_best_baseline,EmaTentCaseS00E50B50M070_gain_vs_source,EmaTentCaseS00E50B50M070_gain_vs_best_baseline,Norm_gain_vs_source,Norm_gain_vs_best_baseline,Tent_gain_vs_source,Tent_gain_vs_best_baseline,OFTTA_gain_vs_source,OFTTA_gain_vs_best_baseline,DefaultEMA_beats_all_baselines,BestEMA_beats_all_baselines,DefaultEMA_beats_source,BestEMA_beats_source,num_windows,num_batches,mean_majority_ratio,max_majority_ratio,std_majority_ratio,single_class_batches,full_single_class_batches,first_batch_majority_ratio,last_batch_majority_ratio,first_batch_label1_ratio,last_batch_label1_ratio,batch_label1_drift,mean_abs_batch_label1_change,default_ema_mean_raw_gate,default_ema_min_raw_gate,default_ema_mean_effective_batch_weight,default_ema_mean_effective_source_weight,default_ema_mean_confidence,default_ema_updated_rate,best_ema_mean_raw_gate,best_ema_min_raw_gate,best_ema_mean_effective_batch_weight,best_ema_mean_effective_source_weight,best_ema_mean_confidence,best_ema_updated_rate
arousal,S1,0.5150375939849624,0.6799007444168734,0.0,0.3399503722084367,0.3195488721804511,0.2788844621513944,0.3558718861209964,0.3173781741361954,0.3195488721804511,0.2788844621513944,0.3558718861209964,0.3173781741361954,0.3796992481203007,0.5103857566765578,0.1538461538461538,0.3321159552613558,0.4172932330827067,0.5584045584045584,0.143646408839779,0.3510254836221687,0.4360902255639097,0.4966442953020134,0.358974358974359,0.4278093271381862,EmaTentCaseS00E50B50M070,Source,0.3399503722084367,0.011075111413731964,0.011075111413731964,0.08785895492974949,0.08785895492974949,-0.022572198072241312,-0.022572198072241312,-0.022572198072241312,-0.022572198072241312,-0.007834416947080924,-0.007834416947080924,1,1,1,1,266,5,0.728125,1.0,0.13961442439805424,1,0,0.625,1.0,0.625,0.0,0.625,0.3203125,0.6626957595348358,0.4381847083568573,0.19880872786045067,0.3011912721395492,0.8225468873977662,1.0,0.6845292568206787,0.4725733995437622,0.34226462841033933,0.15773537158966064,0.816611385345459,1.0
arousal,S2,0.2648221343873518,0.41875,0.0,0.209375,0.6758893280632411,0.5816326530612245,0.7354838709677419,0.6585582620144832,0.6758893280632411,0.5816326530612245,0.7354838709677419,0.6585582620144832,0.6284584980237155,0.5648148148148148,0.6758620689655173,0.6203384418901661,0.2648221343873518,0.41875,0.0,0.209375,0.2371541501976284,0.3794212218649517,0.0102564102564102,0.194838816060681,Norm,Norm,0.6585582620144832,0.0,-0.4491832620144832,-0.014536183939318992,-0.4637194459538022,0.4491832620144832,0.0,0.4491832620144832,0.0,0.4109634418901661,-0.03821982012431713,0,0,0,0,253,4,0.7924564549180328,1.0,0.1435423457469568,1,1,0.84375,0.6229508196721312,0.84375,0.3770491803278688,0.4667008196721312,0.35348360655737704,0.16906426660716528,0.1089745834469795,0.05071927998214955,0.44928072001785035,0.9744810909032822,0.25,0.24197142012417314,0.1089745834469795,0.12098571006208655,0.3790142899379134,0.9588174670934677,0.75
arousal,S3,0.4756554307116105,0.5953757225433526,0.2553191489361702,0.4253474357397614,0.6928838951310862,0.6371681415929203,0.7337662337662337,0.685467187679577,0.6891385767790262,0.6311111111111111,0.7313915857605178,0.6812513484358145,0.599250936329588,0.5560165975103735,0.6348122866894198,0.5954144420998966,0.5580524344569289,0.556390977443609,0.5597014925373134,0.5580462349904611,0.5880149812734082,0.5634920634920635,0.6099290780141844,0.5867105707531239,Norm,Norm,0.685467187679577,0.13269879925069972,-0.1274209526891159,0.16136313501336252,-0.0987566169264531,0.2601197519398156,0.0,0.25590391269605306,-0.004215839243762565,0.17006700636013516,-0.09005274557968046,0,0,1,1,267,5,0.69375,1.0,0.16846039964929443,1,0,0.75,1.0,0.75,1.0,0.25,0.234375,0.8582590460777283,0.6317552924156189,0.25747771382331847,0.2425222861766815,0.7549669861793518,1.0,0.861675763130188,0.5993625521659851,0.430837881565094,0.06916211843490597,0.751030683517456,1.0
arousal,S4,0.6554307116104869,0.0,0.7918552036199095,0.3959276018099547,0.5168539325842697,0.4463519313304721,0.5714285714285714,0.5088902513795217,0.5168539325842697,0.4463519313304721,0.5714285714285714,0.5088902513795217,0.4194756554307116,0.4709897610921502,0.3568464730290456,0.4139181170605979,0.6329588014981273,0.4235294117647059,0.7307692307692307,0.5771493212669683,0.6329588014981273,0.5625,0.6838709677419355,0.6231854838709677,EmaTentCaseS00E50B50M070,Norm,0.5088902513795217,0.1812217194570136,0.06825906988744657,0.22725788206101305,0.11429523249144602,0.11296264956956703,0.0,0.11296264956956703,0.0,0.017990515250643213,-0.09497213431892382,1,1,1,1,267,5,0.75,1.0,0.2079945161536717,2,1,1.0,1.0,1.0,1.0,0.0,0.359375,0.43552955277264116,0.012168439105153,0.1306588658317923,0.36934113416820763,0.8933165788650512,0.6,0.5041536156088113,0.012168439105153,0.25207680780440567,0.2479231921955943,0.8821462392807007,0.8
arousal,S5,0.4149659863945578,0.5865384615384616,0.0,0.2932692307692308,0.5850340136054422,0.5413533834586466,0.6211180124223602,0.5812356979405033,0.5850340136054422,0.5413533834586466,0.6211180124223602,0.5812356979405033,0.4761904761904761,0.5304878048780488,0.4076923076923077,0.4690900562851782,0.5884353741496599,0.6591549295774648,0.4806866952789699,0.5699208124282173,0.6156462585034014,0.6116838487972509,0.6195286195286195,0.6156062341629351,EmaTentCaseS00E50B50M070,Norm,0.5812356979405033,0.27665158165898657,-0.011314885512285988,0.32233700339370436,0.0343705362224318,0.28796646717127256,0.0,0.28796646717127256,0.0,0.1758208255159474,-0.11214564165532515,0,1,1,1,294,5,0.7875,1.0,0.12127254944957659,1,0,0.75,1.0,0.75,1.0,0.25,0.3359375,0.31222231416031715,0.0025176643393933,0.09366669424809511,0.40633330575190485,0.9158551216125488,0.6,0.43674719063565137,0.0025176643393933,0.21837359531782563,0.2816264046821743,0.8869058847427368,0.6
arousal,S6,0.4094488188976378,0.3181818181818182,0.4791666666666667,0.3986742424242424,0.452755905511811,0.505338078291815,0.3876651982378855,0.4465016382648502,0.4566929133858268,0.5106382978723404,0.3893805309734513,0.4500094144228959,0.4645669291338583,0.5853658536585366,0.2444444444444444,0.4149051490514905,0.5236220472440944,0.5535055350553506,0.4894514767932489,0.5214785059242998,0.5748031496062992,0.6275862068965518,0.5045871559633027,0.5660866814299272,EmaTentCaseS00E50B50M070,Tent,0.4500094144228959,0.12280426350005741,0.0714690915014039,0.16741243900568487,0.11607726700703136,0.0478273958406078,-0.0035077761580457056,0.051335171998653506,0.0,0.01623090662724813,-0.035104265371405374,1,1,1,1,254,4,0.77734375,1.0,0.1606319155855632,1,0,0.609375,1.0,0.390625,1.0,0.609375,0.3697916666666667,0.9661968797445297,0.8909315466880798,0.2898590639233589,0.21014093607664106,0.7315046787261963,1.0,0.9593306183815002,0.8721697926521301,0.4796653091907501,0.020334690809249822,0.7423708289861679,1.0
arousal,S7,0.5565217391304348,0.7102272727272727,0.0555555555555555,0.3828914141414141,0.4782608695652174,0.5121951219512195,0.4392523364485981,0.4757237291999088,0.4782608695652174,0.5121951219512195,0.4392523364485981,0.4757237291999088,0.4347826086956521,0.48,0.3809523809523809,0.4304761904761904,0.4608695652173913,0.5664335664335665,0.2873563218390804,0.4268949441363234,0.417391304347826,0.4962406015037593,0.3092783505154639,0.4027594760096116,Norm,Norm,0.4757237291999088,0.04400352999490931,-0.0488287850635854,0.019868061868197506,-0.0729642531902972,0.09283231505849471,0.0,0.09283231505849471,0.0,0.04758477633477631,-0.045247538723718395,0,0,1,1,230,4,0.6488486842105263,0.71875,0.0630413921713697,0,0,0.671875,0.6578947368421053,0.671875,0.3421052631578947,0.3297697368421053,0.15049342105263155,0.4311745671557219,2.9378385079326108e-05,0.12935237014671655,0.3706476298532834,0.9422182738780975,0.5,0.5772263688968451,2.9378385079326108e-05,0.28861318444842254,0.21138681555157743,0.9103040248155594,0.75
arousal,S8,0.5036764705882353,0.5392491467576792,0.4621513944223107,0.500700270589995,0.6691176470588235,0.6153846153846154,0.7096774193548387,0.6625310173697271,0.6691176470588235,0.6153846153846154,0.7096774193548387,0.6625310173697271,0.7279411764705882,0.6782608695652174,0.7643312101910829,0.72129603987815,0.5404411764705882,0.5614035087719298,0.5173745173745173,0.5393890130732235,0.5992647058823529,0.5947955390334573,0.6036363636363636,0.5992159513349105,OFTTA,OFTTA,0.72129603987815,0.03868874248322851,-0.18190702680492654,0.09851568074491546,-0.1220800885432396,0.16183074677973208,-0.05876502250842297,0.16183074677973208,-0.05876502250842297,0.22059576928815505,0.0,0,0,1,1,272,5,0.74375,1.0,0.1357128171913029,1,0,0.75,1.0,0.75,0.0,0.75,0.2265625,0.720607602596283,0.258821427822113,0.21618228077888482,0.2838177192211151,0.8190557718276977,1.0,0.7298115372657776,0.2582660317420959,0.36490576863288876,0.13509423136711118,0.8157736182212829,1.0
arousal,S9,0.5426356589147286,0.4684684684684684,0.5986394557823129,0.5335539621253906,0.5697674418604651,0.5647058823529412,0.5747126436781609,0.569709263015551,0.5697674418604651,0.5647058823529412,0.5747126436781609,0.569709263015551,0.5116279069767442,0.5625,0.4473684210526316,0.5049342105263158,0.5465116279069767,0.6377708978328174,0.3937823834196891,0.5157766406262533,0.5155038759689923,0.570446735395189,0.4444444444444444,0.5074455899198167,Norm,Norm,0.569709263015551,-0.017777321499137355,-0.053932622389297746,-0.026108372205573938,-0.06226367309573433,0.03615530089016039,0.0,0.03615530089016039,0.0,-0.028619751599074816,-0.06477505248923521,0,0,0,0,258,5,0.709375,1.0,0.18371173070873834,1,0,0.84375,1.0,0.84375,0.0,0.84375,0.28125,0.8082510352134704,0.4486854076385498,0.24247531056404106,0.2575246894359588,0.8040133237838745,1.0,0.7926089823246002,0.4274146854877472,0.3963044911623001,0.10369550883769987,0.8042824864387512,1.0
arousal,S10,0.5387323943661971,0.700228832951945,0.0,0.3501144164759725,0.3767605633802817,0.4234527687296417,0.3218390804597701,0.3726459245947059,0.3767605633802817,0.4234527687296417,0.3218390804597701,0.3726459245947059,0.426056338028169,0.5459610027855153,0.2200956937799043,0.3830283482827098,0.4119718309859155,0.5474254742547425,0.1608040201005025,0.3541147471776225,0.3274647887323944,0.4463768115942029,0.1434977578475336,0.2949372847208683,OFTTA,OFTTA,0.3830283482827098,0.004000330701649957,-0.02891360110508734,-0.05517713175510425,-0.08809106356184154,0.02253150811873339,-0.010382423688003906,0.02253150811873339,-0.010382423688003906,0.032913931806737295,0.0,0,0,1,0,284,5,0.721875,1.0,0.1535389812067281,1,0,0.546875,1.0,0.453125,0.0,0.453125,0.32421875,0.6369779765605926,0.4178237617015838,0.19109339296817773,0.30890660703182216,0.8813047051429749,1.0,0.6887424111366272,0.4254607558250427,0.3443712055683136,0.15562879443168637,0.8627952337265015,1.0
