Subject,BestMethod,BestBaseline,Source_MacroF1,Norm_MacroF1,Tent_MacroF1,OFTTA_MacroF1,EMATent_MacroF1,EmaTentCaseS00E50B50M070_MacroF1,EMATent_gain_vs_best_baseline,EmaTentCaseS00E50B50M070_gain_vs_best_baseline,mean_majority_ratio,single_class_batches,default_ema_mean_raw_gate,default_ema_mean_effective_batch_weight
S1,Norm,Norm,0.4207994800129996,0.6448389699948647,0.6448389699948647,0.6169730392156862,0.6139002732240437,0.5922841112846319,-0.03093869677082095,-0.0525548587102328,0.728125,1,0.939979350566864,0.2819938051700591
S2,OFTTA,OFTTA,0.5894770664310387,0.5900184963907484,0.5900184963907484,0.7310418143160878,0.7110198811435382,0.7012987012987013,-0.020021933172549633,-0.029743113017386524,0.7106173155737705,0,0.9884616583585739,0.29653849750757216
S3,EmaTentCaseS00E50B50M070,Norm,0.3118556701030928,0.6588973427208722,0.6588973427208722,0.636734693877551,0.5227141780791561,0.6696287964004499,-0.1361831646417161,0.01073145367957773,0.784375,1,0.6830152809619904,0.2049045842885971
S4,EMATent,Source,0.5244327421977852,0.3198799954715272,0.3198799954715272,0.3127171451479048,0.5683233532934132,0.5146480659480026,0.043890611095627974,-0.009784676249782631,0.725,1,0.8726525664329529,0.26179576992988585
S5,OFTTA,OFTTA,0.6325500241303783,0.6836698096835773,0.6836698096835773,0.7278638967977784,0.6377228292121909,0.6668263333138618,-0.09014106758558749,-0.061037563483916646,0.5983552631578947,0,0.9577951073646546,0.28733853220939637
S6,OFTTA,OFTTA,0.3333333333333333,0.4525862068965517,0.4525862068965517,0.5274378275043952,0.4211790968422031,0.3971518987341772,-0.10625873066219205,-0.13028592877021794,0.5940020161290323,0,0.557072204304859,0.16712166129145767
S7,Source,Source,0.4147582697201017,0.2786175357655962,0.2786175357655962,0.3812512933710423,0.4129819962750914,0.3992770429804216,-0.0017762734450103013,-0.01548122673968011,0.7206003289473684,0,0.4905827837064862,0.1471748351119458
S8,Norm,Norm,0.3884803388306281,0.537719298245614,0.537719298245614,0.5107561695085978,0.398762157382847,0.4519101154824274,-0.13895714086276706,-0.08580918276318666,0.746875,1,0.7052738398313523,0.21158215194940566
S9,Norm,Norm,0.2406746031746031,0.558974358974359,0.558974358974359,0.517607973421927,0.4676406355900294,0.4735014619883041,-0.0913337233843296,-0.08547289698605487,0.7375,1,0.7161373317241668,0.21484119951725003
S10,Norm,Norm,0.2642487046632124,0.4431372549019607,0.4431372549019607,0.4328638497652582,0.2985850270131206,0.3727417113361128,-0.1445522278888401,-0.07039554356584793,0.7299107142857142,0,0.30694309771060946,0.09208292931318278
S11,EmaTentCaseS00E50B50M070,Norm,0.2924528301886792,0.5485503449967117,0.5485503449967117,0.5424742015562556,0.4922275177052247,0.5756056808688388,-0.05632282729148702,0.02705533587212705,0.6821022727272728,0,0.8428333282470704,0.25284999847412104
S12,Norm,Norm,0.3368983957219251,0.79338397451605,0.79338397451605,0.6648648648648648,0.6366300366300366,0.7170795306388527,-0.15675393788601344,-0.07630444387719737,0.5825892857142857,0,0.7038073837757111,0.21114221513271325
S13,Source,Source,0.7381543187994801,0.4914963664224053,0.4888989715668481,0.4935587308730873,0.634524463991204,0.5399198167239405,-0.10362985480827613,-0.1982345020755396,0.834375,1,0.8945253491401672,0.2683576047420501
S14,Norm,Norm,0.4019607843137255,0.592532132470213,0.592532132470213,0.5100401606425703,0.4509680795395081,0.4931067044381492,-0.14156405293070484,-0.09942542803206378,0.76953125,1,0.6768993139266968,0.20306979417800897
S15,OFTTA,OFTTA,0.4557985499895575,0.6409234020764563,0.6409234020764563,0.6416655240184652,0.5231952319523195,0.5440884368597843,-0.11847029206614568,-0.09757708715868096,0.728125,0,0.8114585995674133,0.24343757987022396
S16,Norm,Norm,0.3377170171137033,0.5850974299216676,0.5850974299216676,0.553665717692289,0.4746923937360179,0.5116792929292929,-0.11040503618564967,-0.07341813699237465,0.8968211206896552,0,0.7371738404035568,0.22115215212106698
S17,EMATent,Source,0.5674747089139149,0.534993980464435,0.534993980464435,0.4598018682462384,0.5865646258503401,0.5289025090978741,0.019089916936425144,-0.038572199816040875,0.6727083333333332,1,0.8378971695899964,0.25136915087699885
