Subject,Accuracy,F1_Non_Stress_0,F1_Stress_1,F1_Class_0,F1_Class_1,F1_Class_2,Mean_F1,Confusion_Matrix,Fixed_Epochs,Checkpoint,Report,History
S1,0.5150375939849624,0.6799007444168734,0.0,0.6799007444168734,0.0,,0.3399503722084367,"[[137, 0], [129, 0]]",20,./ckpt_case_arousal/case/cnn1d/S1/case_S1_checkpoint.pt,"{'0': {'precision': 0.5150375939849624, 'recall': 1.0, 'f1-score': 0.6799007444168734, 'support': 137.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 129.0}, 'accuracy': 0.5150375939849624, 'macro avg': {'precision': 0.2575187969924812, 'recall': 0.5, 'f1-score': 0.3399503722084367, 'support': 266.0}, 'weighted avg': {'precision': 0.265263723217819, 'recall': 0.5150375939849624, 'f1-score': 0.3501744435530514, 'support': 266.0}}","{'loss': [0.6459936815444627, 0.6217976204509317, 0.6117194094575782, 0.5994078848245064, 0.5984874758862064, 0.5900244330613924, 0.5831557968544462, 0.5772891069376878, 0.5680590888211805, 0.5560931464885152, 0.5562746693665805, 0.5499360335395044, 0.5474564920779329, 0.5385655515122166, 0.5403469964554326, 0.5308235441712241, 0.5221544008256885, 0.513146723838396, 0.5087638574728158, 0.5106085199273587], 'accuracy': [0.5912974891547259, 0.6216642566057579, 0.628894439332194, 0.6433548047850663, 0.6375706586039175, 0.6538714342053372, 0.6574207966346786, 0.6645195214933614, 0.6775338504009465, 0.6892336006309978, 0.6885763112922308, 0.6980412777704745, 0.6983041935059814, 0.7080320757197318, 0.7051400026291573, 0.7140791376363875, 0.725515972130932, 0.7289338766925201, 0.7347180228736689, 0.7376100959642434]}"
S2,0.2648221343873518,0.41875,0.0,0.41875,0.0,,0.209375,"[[67, 0], [186, 0]]",20,./ckpt_case_arousal/case/cnn1d/S2/case_S2_checkpoint.pt,"{'0': {'precision': 0.2648221343873518, 'recall': 1.0, 'f1-score': 0.41875, 'support': 67.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 186.0}, 'accuracy': 0.2648221343873518, 'macro avg': {'precision': 0.1324110671936759, 'recall': 0.5, 'f1-score': 0.209375, 'support': 253.0}, 'weighted avg': {'precision': 0.07013076286147261, 'recall': 0.2648221343873518, 'f1-score': 0.11089426877470357, 'support': 253.0}}","{'loss': [0.6639868561677107, 0.6437733201530036, 0.6325388254143122, 0.6271820862462202, 0.6271292025022932, 0.6176807558755549, 0.6059814238955029, 0.6043818110243229, 0.6052380768958665, 0.599306743695667, 0.5871106650259864, 0.5803452551834226, 0.5657937784363904, 0.5679749587389428, 0.5565213456241478, 0.5574160085262589, 0.5544454210386501, 0.5427081193823827, 0.5396855429088663, 0.5298701386439206], 'accuracy': [0.5559055118110237, 0.6020997375328084, 0.6093175853018372, 0.6230971128608924, 0.6182414698162729, 0.6393700787401575, 0.6543307086614173, 0.6535433070866141, 0.6561679790026247, 0.6712598425196851, 0.6723097112860892, 0.6820209973753281, 0.6923884514435695, 0.6988188976377953, 0.7017060367454068, 0.7064304461942257, 0.7, 0.7093175853018373, 0.7137795275590552, 0.7270341207349081]}"
S3,0.4756554307116105,0.5953757225433526,0.2553191489361702,0.5953757225433526,0.2553191489361702,,0.4253474357397614,"[[103, 7], [133, 24]]",20,./ckpt_case_arousal/case/cnn1d/S3/case_S3_checkpoint.pt,"{'0': {'precision': 0.4364406779661017, 'recall': 0.9363636363636364, 'f1-score': 0.5953757225433526, 'support': 110.0}, '1': {'precision': 0.7741935483870968, 'recall': 0.15286624203821655, 'f1-score': 0.2553191489361702, 'support': 157.0}, 'accuracy': 0.4756554307116105, 'macro avg': {'precision': 0.6053171131765992, 'recall': 0.5446149392009265, 'f1-score': 0.4253474357397614, 'support': 267.0}, 'weighted avg': {'precision': 0.635044425741743, 'recall': 0.4756554307116105, 'f1-score': 0.3954173627818259, 'support': 267.0}}","{'loss': [0.6450123252631675, 0.628683689782847, 0.6195560595784224, 0.6095158857419056, 0.6061701183566099, 0.5962006265854416, 0.590360445017693, 0.5777153030935163, 0.5738234402410551, 0.5668553554977268, 0.5631557412282937, 0.5552732252679685, 0.5523989747425082, 0.5459190404966823, 0.5370168606450675, 0.5352835909899617, 0.5388319879464655, 0.5264620884857207, 0.5229211152618632, 0.5152464323441293], 'accuracy': [0.5932158821982645, 0.6247699184854063, 0.6337102287667631, 0.6389692348146201, 0.6454115172232449, 0.6548777281093874, 0.6547462529581909, 0.6721009729161188, 0.6778858795687615, 0.684854062582172, 0.6851170128845648, 0.699447804364975, 0.6980015777018144, 0.7016828819353143, 0.7170654746252958, 0.7145674467525638, 0.71838022613726, 0.7204838285564028, 0.7348146200368131, 0.7348146200368131]}"
S4,0.6554307116104869,0.0,0.7918552036199095,0.0,0.7918552036199095,,0.39592760180995473,"[[0, 92], [0, 175]]",20,./ckpt_case_arousal/case/cnn1d/S4/case_S4_checkpoint.pt,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 92.0}, '1': {'precision': 0.6554307116104869, 'recall': 1.0, 'f1-score': 0.7918552036199095, 'support': 175.0}, 'accuracy': 0.6554307116104869, 'macro avg': {'precision': 0.32771535580524347, 'recall': 0.5, 'f1-score': 0.39592760180995473, 'support': 267.0}, 'weighted avg': {'precision': 0.42958941772222925, 'recall': 0.6554307116104869, 'f1-score': 0.5190062196010642, 'support': 267.0}}","{'loss': [0.6519664501065553, 0.6276531647983865, 0.6148334092100827, 0.6038752892535829, 0.6022510464148179, 0.5907322171171371, 0.5833742330176499, 0.5712058876427795, 0.561910054807816, 0.5549071165188155, 0.5482740753611671, 0.5422322005464503, 0.5339758096323056, 0.5308033518342322, 0.5241985195660447, 0.517011316236997, 0.5059200080639119, 0.507119062948064, 0.4985731276765548, 0.4946157799373951], 'accuracy': [0.5851958979752827, 0.6180646857743887, 0.6314751511964238, 0.651064948724691, 0.6557980541677623, 0.6676308177754404, 0.669997370496976, 0.6806468577438864, 0.6918222455955825, 0.693531422561136, 0.7091769655535104, 0.7152248225085459, 0.7148303970549567, 0.7157507231133315, 0.7224559558243492, 0.7267946358138312, 0.7361293715487773, 0.7348146200368131, 0.7433605048645806, 0.7526952405995266]}"
S5,0.41496598639455784,0.5865384615384616,0.0,0.5865384615384616,0.0,,0.2932692307692308,"[[122, 0], [172, 0]]",20,./ckpt_case_arousal/case/cnn1d/S5/case_S5_checkpoint.pt,"{'0': {'precision': 0.41496598639455784, 'recall': 1.0, 'f1-score': 0.5865384615384616, 'support': 122.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 172.0}, 'accuracy': 0.41496598639455784, 'macro avg': {'precision': 0.20748299319727892, 'recall': 0.5, 'f1-score': 0.2932692307692308, 'support': 294.0}, 'weighted avg': {'precision': 0.17219676986440835, 'recall': 0.41496598639455784, 'f1-score': 0.24339351125065412, 'support': 294.0}}","{'loss': [0.658461003901855, 0.6377021133435686, 0.6263788512741172, 0.6196726568063876, 0.6148674483034381, 0.6013895732728264, 0.5987860201641098, 0.5880087024068624, 0.5808213198227435, 0.566086388484424, 0.5603175984160034, 0.5506237618116924, 0.5517690239063997, 0.5319787331268551, 0.5293294552967752, 0.5205368175404669, 0.5102647425458651, 0.5113261948318873, 0.5046140920173714, 0.4970249918303368], 'accuracy': [0.5607599947222589, 0.5994194484760522, 0.6211901306240929, 0.6170998812508246, 0.625544267053701, 0.6362316928354664, 0.646391344504552, 0.6573426573426573, 0.6649953819765141, 0.6783216783216783, 0.6915160311386727, 0.6987729251880195, 0.6969257157936404, 0.7151339226810924, 0.716189470906452, 0.7280643884417469, 0.7357171130756036, 0.7379601530544927, 0.7408629106742314, 0.7468003694418789]}"
S6,0.4094488188976378,0.3181818181818182,0.4791666666666667,0.3181818181818182,0.4791666666666667,,0.39867424242424243,"[[35, 100], [50, 69]]",20,./ckpt_case_arousal/case/cnn1d/S6/case_S6_checkpoint.pt,"{'0': {'precision': 0.4117647058823529, 'recall': 0.25925925925925924, 'f1-score': 0.3181818181818182, 'support': 135.0}, '1': {'precision': 0.40828402366863903, 'recall': 0.5798319327731093, 'f1-score': 0.4791666666666667, 'support': 119.0}, 'accuracy': 0.4094488188976378, 'macro avg': {'precision': 0.410024364775496, 'recall': 0.41954559601618424, 'f1-score': 0.39867424242424243, 'support': 254.0}, 'weighted avg': {'precision': 0.41013399256175465, 'recall': 0.4094488188976378, 'f1-score': 0.39360385349558574, 'support': 254.0}}","{'loss': [0.6415788043685935, 0.6261857948695633, 0.6217673970170027, 0.6146308771815101, 0.614292265752714, 0.6031838291147309, 0.6019861149043139, 0.5988052712289159, 0.5858566439328567, 0.5847530201016832, 0.5803657482499321, 0.5724639197412259, 0.5673888397038429, 0.5587368321975771, 0.5494042420609446, 0.5573241692591345, 0.5355550518247427, 0.534169431481951, 0.5222779684671346, 0.5211141205104666], 'accuracy': [0.5772411077569235, 0.6103163144769654, 0.6113663210395065, 0.6198976243601523, 0.6256726604541278, 0.6366977293608085, 0.6288226801417509, 0.6414227588922431, 0.6608478802992519, 0.6626853917836987, 0.6664916655729098, 0.6764667279170494, 0.6794854967843549, 0.6859167869799186, 0.6989106181913637, 0.686835542722142, 0.7101981887386796, 0.7099356870980443, 0.7189919936999606, 0.7227982674891718]}"
S7,0.5565217391304348,0.7102272727272727,0.05555555555555555,0.7102272727272727,0.05555555555555555,,0.38289141414141414,"[[125, 2], [100, 3]]",20,./ckpt_case_arousal/case/cnn1d/S7/case_S7_checkpoint.pt,"{'0': {'precision': 0.5555555555555556, 'recall': 0.984251968503937, 'f1-score': 0.7102272727272727, 'support': 127.0}, '1': {'precision': 0.6, 'recall': 0.02912621359223301, 'f1-score': 0.05555555555555555, 'support': 103.0}, 'accuracy': 0.5565217391304348, 'macro avg': {'precision': 0.5777777777777777, 'recall': 0.506689091048085, 'f1-score': 0.38289141414141414, 'support': 230.0}, 'weighted avg': {'precision': 0.5754589371980676, 'recall': 0.5565217391304348, 'f1-score': 0.41704819938515597, 'support': 230.0}}","{'loss': [0.6413766430198842, 0.6157891115920169, 0.6035381692656513, 0.5993091228759119, 0.5872245393045189, 0.5780905597686893, 0.5676677055295251, 0.5562734090812416, 0.5459070619169867, 0.5359557738958284, 0.5270753254772527, 0.5259111839081314, 0.5246026487417844, 0.5128662774158245, 0.5079246638302527, 0.5020134027569172, 0.49549978631462677, 0.4943854769931388, 0.47534609825904656, 0.48321729903911775], 'accuracy': [0.5864189454402722, 0.6241004841031009, 0.632866675389245, 0.6456888656286799, 0.6566793144053382, 0.6676697631819966, 0.6774826638754415, 0.6846787910506346, 0.696323433206856, 0.7120240743163679, 0.7175192987046971, 0.7218369750098129, 0.7240612325003271, 0.7315190370273453, 0.7309956823236949, 0.7385843255266257, 0.7494439356273714, 0.745649614025906, 0.7625278032186315, 0.7507523223864975]}"
S8,0.5036764705882353,0.5392491467576792,0.46215139442231074,0.5392491467576792,0.46215139442231074,,0.500700270589995,"[[79, 19], [116, 58]]",20,./ckpt_case_arousal/case/cnn1d/S8/case_S8_checkpoint.pt,"{'0': {'precision': 0.40512820512820513, 'recall': 0.8061224489795918, 'f1-score': 0.5392491467576792, 'support': 98.0}, '1': {'precision': 0.7532467532467533, 'recall': 0.3333333333333333, 'f1-score': 0.46215139442231074, 'support': 174.0}, 'accuracy': 0.5036764705882353, 'macro avg': {'precision': 0.5791874791874791, 'recall': 0.5697278911564626, 'f1-score': 0.500700270589995, 'support': 272.0}, 'weighted avg': {'precision': 0.6278216881158059, 'recall': 0.5036764705882353, 'f1-score': 0.48992926107255375, 'support': 272.0}}","{'loss': [0.6592645779312826, 0.6401265678696217, 0.632609328891459, 0.6223421034617199, 0.6175774255797606, 0.6126109450730097, 0.6033505515556025, 0.5964544624219582, 0.5905757154889553, 0.574363062200131, 0.5624112170035236, 0.5541403075924454, 0.5443378195819408, 0.5389342258563403, 0.5320128635495387, 0.5350457254036086, 0.5262248339331193, 0.5174233349447673, 0.5026816362896149, 0.5104907121709766], 'accuracy': [0.5761084067885804, 0.6063675832127352, 0.621234048151559, 0.6209709248783055, 0.6291277463491646, 0.6400473621891857, 0.6566241284041573, 0.6630706485988686, 0.6684646757005657, 0.683068017366136, 0.6917510853835022, 0.7004341534008683, 0.7029338244967768, 0.713721878700171, 0.7128009472437837, 0.7212208919878963, 0.7249046178134456, 0.7279305354558611, 0.7429285620313116, 0.7355611103802131]}"
S9,0.5426356589147286,0.46846846846846846,0.5986394557823129,0.46846846846846846,0.5986394557823129,,0.5335539621253906,"[[52, 53], [65, 88]]",20,./ckpt_case_arousal/case/cnn1d/S9/case_S9_checkpoint.pt,"{'0': {'precision': 0.4444444444444444, 'recall': 0.49523809523809526, 'f1-score': 0.46846846846846846, 'support': 105.0}, '1': {'precision': 0.624113475177305, 'recall': 0.5751633986928104, 'f1-score': 0.5986394557823129, 'support': 153.0}, 'accuracy': 0.5426356589147286, 'macro avg': {'precision': 0.5342789598108747, 'recall': 0.5352007469654528, 'f1-score': 0.5335539621253906, 'support': 258.0}, 'weighted avg': {'precision': 0.5509923580185827, 'recall': 0.5426356589147286, 'f1-score': 0.5456628911778413, 'support': 258.0}}","{'loss': [0.6557892086235066, 0.6274484010174802, 0.6161080625600432, 0.6076495339270884, 0.598901667347568, 0.5840525334239867, 0.5780250202646713, 0.5665889499536566, 0.5564096122060413, 0.5533597406672555, 0.5433486502028106, 0.5299462784025439, 0.5302306119932286, 0.5183925971652987, 0.5193097198784391, 0.5074841171992271, 0.5078379263434846, 0.5045163712607976, 0.4994074717682596, 0.4838049437055757], 'accuracy': [0.5694024950755089, 0.6120814182534472, 0.6369008535784636, 0.6383453709783322, 0.650295469468155, 0.6693368351936967, 0.6709126723571898, 0.6777413000656599, 0.6912672357189757, 0.6967826657912016, 0.7058437294812869, 0.7155613919894944, 0.7129349967170059, 0.719107025607354, 0.7260669730794485, 0.7318450426789231, 0.7318450426789231, 0.7389363099146422, 0.7441891004596192, 0.7511490479317138]}"
S10,0.5387323943661971,0.700228832951945,0.0,0.700228832951945,0.0,,0.3501144164759725,"[[153, 2], [129, 0]]",20,./ckpt_case_arousal/case/cnn1d/S10/case_S10_checkpoint.pt,"{'0': {'precision': 0.5425531914893617, 'recall': 0.9870967741935484, 'f1-score': 0.700228832951945, 'support': 155.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 129.0}, 'accuracy': 0.5387323943661971, 'macro avg': {'precision': 0.2712765957446808, 'recall': 0.4935483870967742, 'f1-score': 0.3501144164759725, 'support': 284.0}, 'weighted avg': {'precision': 0.2961117770452502, 'recall': 0.5387323943661971, 'f1-score': 0.38216714474489955, 'support': 284.0}}","{'loss': [0.6359660115177915, 0.6151723795484406, 0.6084878586673472, 0.6052911542733992, 0.5938957187007547, 0.5829954502422012, 0.5769867081072887, 0.5706563315179166, 0.5633580102674228, 0.5539040591016496, 0.5448829643276153, 0.5409980715695601, 0.536509861013355, 0.5291601624322638, 0.5228385778814298, 0.5225786079388391, 0.5119304597684087, 0.5048357067034012, 0.5003620632152844, 0.5012574023229046], 'accuracy': [0.5971801291342733, 0.6235340624588219, 0.6248517591250494, 0.6417182764527606, 0.6401370404532877, 0.6583212544472262, 0.6685992884438002, 0.6726841481091053, 0.6722888391092371, 0.6925813677691396, 0.7003557780998814, 0.7061536434312822, 0.7024640927658453, 0.7140598234286467, 0.7161681380946107, 0.7165634470944788, 0.7298721834233759, 0.7340888127553037, 0.7301357227566214, 0.7358018184213994]}"
