Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_max_class_ratio,pred_num_present_classes,true_imbalance,dua_momentum,rotta_memory_occupancy,note_memory_occupancy,note_updated,note_loss,delta_loss,delta_used_samples
01-9TZK,EMATent,0.9878734946250916,0.9878734946250916,0.725355327129364,1.0,0.20363795161247256,0.5,0.29636204838752744,0.0,0.0,0,64,32,0.5,32.0,0.5,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-9TZK,EMATent,0.8681449294090271,0.8681449294090271,0.772331714630127,1.0,0.23955652117729187,0.5,0.26044347882270813,0.0,0.0,1,64,44,0.6875,20.0,0.3125,0.6875,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-9TZK,EMATent,0.9175955653190613,0.9175955653190613,0.7253396511077881,1.0,0.22472133040428163,0.5,0.2752786695957184,0.0,0.0,2,64,0,0.0,64.0,1.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-9TZK,EMATent,0.8910307884216309,0.8910307884216309,0.7779682278633118,1.0,0.23269076347351075,0.5,0.26730923652648925,0.0,0.0,3,64,21,0.328125,43.0,0.671875,0.671875,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-9TZK,EMATent,0.8466448783874512,0.8466448783874512,0.7562524676322937,1.0,0.24600653648376467,0.5,0.25399346351623536,0.0,0.0,4,64,26,0.40625,38.0,0.59375,0.59375,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-9TZK,EMATent,0.9272525310516357,0.9272525310516357,0.7746849060058594,1.0,0.2218242406845093,0.5,0.2781757593154907,0.0,0.0,5,64,21,0.328125,43.0,0.671875,0.671875,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-9TZK,EMATent,0.9367794990539551,0.9367794990539551,0.7728965878486633,1.0,0.2189661502838135,0.5,0.2810338497161865,0.0,0.0,6,29,18,0.6206896551724138,11.0,0.3793103448275862,0.6206896551724138,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-9TZK,DynaMixEMATent,,,,,,,,,,0,64,32,0.5,32.0,0.5,0.5,2,0.23973822593688965,0.9878734946250916,0.9878734946250916,0.7481352686882019,0.4293735144970113,0.2742644371154613,0.29636204838752744,0.38978062011429415,63.22390365600586,0.19999999999999996,1.0,0.5620971918106079,0.2,0.0,1.0,23.0,0.359375,41.0,0.640625,0.640625,2.0,0.0,,,,,,,
01-9TZK,DynaMixEMATent,,,,,,,,,,1,64,44,0.6875,20.0,0.3125,0.6875,2,0.19325527548789978,0.8488699197769165,0.8488699197769165,0.6556146144866943,0.29751584186345004,0.44782318220347506,0.25466097593307496,0.6008315246395368,117.55157852172852,0.19999999999999996,1.0,0.5246556997299194,0.2,0.0,1.0,21.0,0.328125,43.0,0.671875,0.671875,2.0,0.1875,,,,,,,
01-9TZK,DynaMixEMATent,,,,,,,,,,2,64,0,0.0,64.0,1.0,1.0,1,0.11620824784040451,0.9978621006011963,0.9978621006011963,0.8816538453102112,0.1698122475672314,0.5308291222524099,0.29935863018035885,0.757633141744193,181.41475296020508,0.19999999999999996,1.0,0.5799542665481567,0.2,0.0,1.0,40.0,0.625,24.0,0.375,0.625,2.0,0.5,,,,,,,
01-9TZK,DynaMixEMATent,,,,,,,,,,3,64,21,0.328125,43.0,0.671875,0.671875,2,0.21137309074401855,0.9029619693756104,0.9029619693756104,0.6915888786315918,0.11251007833328418,0.6166013308540328,0.27088859081268307,0.8456887700348973,239.20431900024414,0.19999999999999996,1.0,0.4913247227668762,0.2,0.0,1.0,26.0,0.40625,38.0,0.59375,0.59375,2.0,0.171875,,,,,,,
01-9TZK,DynaMixEMATent,,,,,,,,,,4,64,26,0.40625,38.0,0.59375,0.59375,2,0.10171956568956375,0.9013403654098511,0.9013403654098511,0.7996208071708679,0.07173936512379891,0.6578585252532457,0.2704021096229553,0.9016727349818334,296.8901023864746,0.19999999999999996,1.0,0.5499128103256226,0.2,0.0,1.0,49.0,0.765625,15.0,0.234375,0.765625,2.0,0.09375,,,,,,,
01-9TZK,DynaMixEMATent,,,,,,,,,,5,64,21,0.328125,43.0,0.671875,0.671875,2,0.18633073568344116,0.9249255061149597,0.9249255061149597,0.7385947704315186,0.04473837673748585,0.6777839714280263,0.2774776518344879,0.9380802865806479,356.08533477783203,0.19999999999999996,1.0,0.5290735960006714,0.2,0.0,1.0,41.0,0.640625,23.0,0.359375,0.640625,2.0,0.171875,,,,,,,
