Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MacroF1,Norm_Acc,Norm_F1_0,Norm_F1_1,Norm_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MacroF1,EMATent_Acc,EMATent_F1_0,EMATent_F1_1,EMATent_MacroF1,DynaMixEMATent_Acc,DynaMixEMATent_F1_0,DynaMixEMATent_F1_1,DynaMixEMATent_MacroF1,TEMA_Acc,TEMA_F1_0,TEMA_F1_1,TEMA_MacroF1,DUA_Acc,DUA_F1_0,DUA_F1_1,DUA_MacroF1,RoTTA_Acc,RoTTA_F1_0,RoTTA_F1_1,RoTTA_MacroF1,NOTE_Acc,NOTE_F1_0,NOTE_F1_1,NOTE_MacroF1,DELTA_Acc,DELTA_F1_0,DELTA_F1_1,DELTA_MacroF1
01-9TZK,0.43341404358353514,0.3675675675675676,0.4868421052631579,0.4272048364153628,0.47699757869249393,0.44329896907216493,0.5068493150684932,0.47507414207032905,0.4794188861985472,0.4444444444444444,0.510250569476082,0.47734750696026323,0.43825665859564167,0.40512820512820513,0.46788990825688076,0.4365090566925429,0.42857142857142855,0.3723404255319149,0.47555555555555556,0.4239479905437352,0.43341404358353514,0.38421052631578945,0.47533632286995514,0.42977342459287227,0.3946731234866828,0.358974358974359,0.42660550458715596,0.3927899317807575,0.3898305084745763,0.35051546391752575,0.4246575342465753,0.38758649908205056,0.4963680387409201,0.4583333333333333,0.5294117647058824,0.49387254901960786,0.4963680387409201,0.4583333333333333,0.5294117647058824,0.49387254901960786,0.48426150121065376,0.4580152671755725,0.5080831408775982,0.48304920402658535
02-9TZO,0.44552058111380144,0.5178947368421053,0.3475783475783476,0.43273654221022645,0.42857142857142855,0.4380952380952381,0.4187192118226601,0.4284072249589491,0.42857142857142855,0.4380952380952381,0.4187192118226601,0.4284072249589491,0.4576271186440678,0.48148148148148145,0.43147208121827413,0.4564767813498778,0.4891041162227603,0.5149425287356322,0.46035805626598464,0.4876502925008084,0.46973365617433416,0.496551724137931,0.4398976982097187,0.46822471117382486,0.45036319612590797,0.5159914712153518,0.3641456582633053,0.44006856473932854,0.45036319612590797,0.5159914712153518,0.3641456582633053,0.44006856473932854,0.4406779661016949,0.4433734939759036,0.43795620437956206,0.44066484917773285,0.4406779661016949,0.4433734939759036,0.43795620437956206,0.44066484917773285,0.45036319612590797,0.46588235294117647,0.4339152119700748,0.44989878245562565
03-9U4C,0.5399515738498789,0.6122448979591837,0.43452380952380953,0.5233843537414966,0.44552058111380144,0.525879917184265,0.3323615160349854,0.4291207166096252,0.44552058111380144,0.525879917184265,0.3323615160349854,0.4291207166096252,0.41404358353510895,0.47844827586206895,0.3314917127071823,0.40496999428462566,0.48426150121065376,0.5359477124183006,0.4196185286103542,0.4777831205143274,0.5060532687651331,0.5603448275862069,0.43646408839779005,0.49840445799199845,0.5520581113801453,0.6232179226069247,0.44776119402985076,0.5354895583183877,0.5544794188861986,0.6244897959183674,0.4523809523809524,0.5384353741496599,0.4116222760290557,0.4884210526315789,0.3076923076923077,0.3980566801619433,0.4116222760290557,0.4884210526315789,0.3076923076923077,0.3980566801619433,0.44794188861985473,0.4841628959276018,0.40625,0.44520644796380093
04-9U66,0.41646489104116224,0.26299694189602446,0.5170340681362725,0.39001550501614846,0.4939467312348668,0.44562334217506633,0.534521158129176,0.4900722501521212,0.4939467312348668,0.44562334217506633,0.534521158129176,0.4900722501521212,0.49878934624697335,0.4328767123287671,0.5509761388286334,0.49192642557870025,0.4600484261501211,0.38904109589041097,0.5162689804772235,0.45265503818381725,0.46246973365617433,0.3867403314917127,0.521551724137931,0.4541460278148219,0.41404358353510895,0.29239766081871343,0.5,0.3961988304093567,0.41404358353510895,0.29239766081871343,0.5,0.3961988304093567,0.5157384987893463,0.4594594594594595,0.5614035087719298,0.5104314841156946,0.5157384987893463,0.4594594594594595,0.5614035087719298,0.5104314841156946,0.39709443099273606,0.4429530201342282,0.34300791556728233,0.39298046785075524
05-9U8B,0.4188861985472155,0.2727272727272727,0.5161290322580645,0.3944281524926686,0.5060532687651331,0.3333333333333333,0.6076923076923076,0.4705128205128205,0.5060532687651331,0.3333333333333333,0.6076923076923076,0.4705128205128205,0.5375302663438256,0.38977635782747605,0.6276803118908382,0.5087283348591571,0.5084745762711864,0.31186440677966104,0.6177024482109228,0.4647834274952919,0.4721549636803874,0.32298136645962733,0.5674603174603174,0.44522084195997236,0.45036319612590797,0.3100303951367781,0.5432595573440644,0.42664497624042125,0.44794188861985473,0.3048780487804878,0.5421686746987951,0.42352336173964145,0.5230024213075061,0.3665594855305466,0.6174757281553398,0.4920176068429432,0.5230024213075061,0.3665594855305466,0.6174757281553398,0.4920176068429432,0.42857142857142855,0.4187192118226601,0.4380952380952381,0.4284072249589491
06-9UA7,0.48184019370460046,0.5069124423963134,0.45408163265306123,0.4804970375246873,0.44794188861985473,0.4841628959276018,0.40625,0.44520644796380093,0.44794188861985473,0.4841628959276018,0.40625,0.44520644796380093,0.4600484261501211,0.47030878859857483,0.44938271604938274,0.4598457523239788,0.48184019370460046,0.46766169154228854,0.49528301886792453,0.48147235520510656,0.47699757869249393,0.48325358851674644,0.47058823529411764,0.47692091190543207,0.48184019370460046,0.5069124423963134,0.45408163265306123,0.4804970375246873,0.48184019370460046,0.5069124423963134,0.45408163265306123,0.4804970375246873,0.4721549636803874,0.5045454545454545,0.43523316062176165,0.4698893075836081,0.4721549636803874,0.5045454545454545,0.43523316062176165,0.4698893075836081,0.5956416464891041,0.6393088552915767,0.5399449035812672,0.5896268794364219
07-9UAD,0.559322033898305,0.6738351254480287,0.3208955223880597,0.4973653239180442,0.45278450363196127,0.5533596837944664,0.29375,0.42355484189723325,0.45278450363196127,0.5533596837944664,0.29375,0.42355484189723325,0.43099273607748184,0.5154639175257731,0.31085043988269795,0.4131571787042355,0.5230024213075061,0.6275992438563327,0.3367003367003367,0.4821497902783347,0.5084745762711864,0.6177024482109228,0.31186440677966104,0.4647834274952919,0.5932203389830508,0.711340206185567,0.3114754098360656,0.5114078080108163,0.5883777239709443,0.7079037800687286,0.30327868852459017,0.5055912342966593,0.48668280871670705,0.5826771653543307,0.3333333333333333,0.458005249343832,0.48668280871670705,0.5826771653543307,0.3333333333333333,0.458005249343832,0.5665859564164649,0.6786355475763016,0.3345724907063197,0.5066040191413107
08-9UB2,0.5205811138014528,0.648936170212766,0.24427480916030533,0.44660548968653563,0.4915254237288136,0.5930232558139535,0.3225806451612903,0.45780195048762196,0.4915254237288136,0.5930232558139535,0.3225806451612903,0.45780195048762196,0.3341404358353511,0.4008714596949891,0.2506811989100817,0.3257763293025354,0.3898305084745763,0.5,0.21739130434782608,0.358695652173913,0.3946731234866828,0.5098039215686274,0.2088607594936709,0.35933234053114915,0.4891041162227603,0.6128440366972477,0.2491103202846975,0.4309771784909726,0.4915254237288136,0.6153846153846154,0.25,0.4326923076923077,0.4576271186440678,0.5658914728682171,0.27741935483870966,0.4216554138534634,0.4576271186440678,0.5658914728682171,0.27741935483870966,0.4216554138534634,0.5230024213075061,0.634508348794063,0.313588850174216,0.4740485994841395
09-9UDP,0.5679611650485437,0.13592233009708737,0.7119741100323624,0.4239482200647249,0.49514563106796117,0.45263157894736844,0.5315315315315315,0.49208155523944996,0.49029126213592233,0.450261780104712,0.5248868778280543,0.4875743289663832,0.4174757281553398,0.3333333333333333,0.4827586206896552,0.40804597701149425,0.5097087378640777,0.26277372262773724,0.6327272727272727,0.44775049767750497,0.48058252427184467,0.24113475177304963,0.6051660516605166,0.42315040171678314,0.558252427184466,0.2222222222222222,0.6915254237288135,0.4568738229755179,0.5679611650485437,0.22608695652173913,0.7003367003367004,0.46321182842921976,0.48058252427184467,0.42162162162162165,0.5286343612334802,0.4751279914275509,0.48058252427184467,0.42162162162162165,0.5286343612334802,0.4751279914275509,0.470873786407767,0.4293193717277487,0.5067873303167421,0.4680533510222454
10-9UHM,0.387409200968523,0.3496143958868895,0.42105263157894735,0.3853335137329184,0.46246973365617433,0.4126984126984127,0.5044642857142857,0.4585813492063492,0.46246973365617433,0.4126984126984127,0.5044642857142857,0.4585813492063492,0.4188861985472155,0.40298507462686567,0.4339622641509434,0.4184736693889045,0.38256658595641646,0.33766233766233766,0.4217687074829932,0.37971552257266544,0.41404358353510895,0.34594594594594597,0.4692982456140351,0.40762209577999053,0.4116222760290557,0.3485254691689008,0.46357615894039733,0.40605081405464905,0.4067796610169492,0.3466666666666667,0.4567627494456763,0.4017147080561715,0.44552058111380144,0.3925729442970822,0.48997772828507796,0.44127533629108007,0.44552058111380144,0.3925729442970822,0.48997772828507796,0.44127533629108007,0.43099273607748184,0.45727482678983833,0.4020356234096692,0.42965522509975373
