Subject,Method,stream_mode,block_length,accuracy,macro_f1,single_class_batch_ratio,max_class_ratio,imbalance
01-9TZK,Source,original,,0.43341404358353514,0.4272048364153628,,,
01-9TZK,Norm,original,,0.47699757869249393,0.47507414207032905,,,
01-9TZK,Tent,original,,0.4794188861985472,0.47734750696026323,,,
01-9TZK,OFTTA,original,,0.43825665859564167,0.4365090566925429,,,
01-9TZK,EMATent,original,,0.42857142857142855,0.4239479905437352,0.14285714285714285,0.6779556650246306,
01-9TZK,DynaMixEMATent,original,,0.43341404358353514,0.42977342459287227,0.14285714285714285,0.6779556650246306,0.17795566502463053
01-9TZK,TEMA,original,,0.3946731234866828,0.3927899317807575,0.14285714285714285,0.6779556650246306,
01-9TZK,DUA,original,,0.3898305084745763,0.38758649908205056,0.14285714285714285,0.6779556650246306,
01-9TZK,RoTTA,original,,0.4963680387409201,0.49387254901960786,0.14285714285714285,0.6779556650246306,
01-9TZK,NOTE,original,,0.4963680387409201,0.49387254901960786,0.14285714285714285,0.6779556650246306,
01-9TZK,DELTA,original,,0.48426150121065376,0.48304920402658535,0.14285714285714285,0.6779556650246306,
02-9TZO,Source,original,,0.44552058111380144,0.43273654221022645,,,
02-9TZO,Norm,original,,0.42857142857142855,0.4284072249589491,,,
02-9TZO,Tent,original,,0.42857142857142855,0.4284072249589491,,,
02-9TZO,OFTTA,original,,0.4576271186440678,0.4564767813498778,,,
02-9TZO,EMATent,original,,0.4891041162227603,0.4876502925008084,0.0,0.619996921182266,
02-9TZO,DynaMixEMATent,original,,0.46973365617433416,0.46822471117382486,0.0,0.619996921182266,0.11999692118226601
02-9TZO,TEMA,original,,0.45036319612590797,0.44006856473932854,0.0,0.619996921182266,
02-9TZO,DUA,original,,0.45036319612590797,0.44006856473932854,0.0,0.619996921182266,
02-9TZO,RoTTA,original,,0.4406779661016949,0.44066484917773285,0.0,0.619996921182266,
02-9TZO,NOTE,original,,0.4406779661016949,0.44066484917773285,0.0,0.619996921182266,
02-9TZO,DELTA,original,,0.45036319612590797,0.44989878245562565,0.0,0.619996921182266,
03-9U4C,Source,original,,0.5399515738498789,0.5233843537414966,,,
03-9U4C,Norm,original,,0.44552058111380144,0.4291207166096252,,,
03-9U4C,Tent,original,,0.44552058111380144,0.4291207166096252,,,
03-9U4C,OFTTA,original,,0.41404358353510895,0.40496999428462566,,,
03-9U4C,EMATent,original,,0.48426150121065376,0.4777831205143274,0.14285714285714285,0.734375,
03-9U4C,DynaMixEMATent,original,,0.5060532687651331,0.49840445799199845,0.14285714285714285,0.734375,0.16294642857142858
03-9U4C,TEMA,original,,0.5520581113801453,0.5354895583183877,0.14285714285714285,0.734375,
03-9U4C,DUA,original,,0.5544794188861986,0.5384353741496599,0.14285714285714285,0.734375,
03-9U4C,RoTTA,original,,0.4116222760290557,0.3980566801619433,0.14285714285714285,0.734375,
03-9U4C,NOTE,original,,0.4116222760290557,0.3980566801619433,0.14285714285714285,0.734375,
03-9U4C,DELTA,original,,0.44794188861985473,0.44520644796380093,0.14285714285714285,0.734375,
04-9U66,Source,original,,0.41646489104116224,0.39001550501614846,,,
04-9U66,Norm,original,,0.4939467312348668,0.4900722501521212,,,
04-9U66,Tent,original,,0.4939467312348668,0.4900722501521212,,,
04-9U66,OFTTA,original,,0.49878934624697335,0.49192642557870025,,,
04-9U66,EMATent,original,,0.4600484261501211,0.45265503818381725,0.0,0.6525554187192119,
04-9U66,DynaMixEMATent,original,,0.46246973365617433,0.4541460278148219,0.0,0.6525554187192119,0.1525554187192118
04-9U66,TEMA,original,,0.41404358353510895,0.3961988304093567,0.0,0.6525554187192119,
04-9U66,DUA,original,,0.41404358353510895,0.3961988304093567,0.0,0.6525554187192119,
04-9U66,RoTTA,original,,0.5157384987893463,0.5104314841156946,0.0,0.6525554187192119,
04-9U66,NOTE,original,,0.5157384987893463,0.5104314841156946,0.0,0.6525554187192119,
04-9U66,DELTA,original,,0.39709443099273606,0.39298046785075524,0.0,0.6525554187192119,
05-9U8B,Source,original,,0.4188861985472155,0.3944281524926686,,,
05-9U8B,Norm,original,,0.5060532687651331,0.4705128205128205,,,
05-9U8B,Tent,original,,0.5060532687651331,0.4705128205128205,,,
05-9U8B,OFTTA,original,,0.5375302663438256,0.5087283348591571,,,
05-9U8B,EMATent,original,,0.5084745762711864,0.4647834274952919,0.14285714285714285,0.7204433497536946,
05-9U8B,DynaMixEMATent,original,,0.4721549636803874,0.44522084195997236,0.14285714285714285,0.7204433497536946,0.2204433497536946
05-9U8B,TEMA,original,,0.45036319612590797,0.42664497624042125,0.14285714285714285,0.7204433497536946,
05-9U8B,DUA,original,,0.44794188861985473,0.42352336173964145,0.14285714285714285,0.7204433497536946,
05-9U8B,RoTTA,original,,0.5230024213075061,0.4920176068429432,0.14285714285714285,0.7204433497536946,
05-9U8B,NOTE,original,,0.5230024213075061,0.4920176068429432,0.14285714285714285,0.7204433497536946,
05-9U8B,DELTA,original,,0.42857142857142855,0.4284072249589491,0.14285714285714285,0.7204433497536946,
06-9UA7,Source,original,,0.48184019370460046,0.4804970375246873,,,
06-9UA7,Norm,original,,0.44794188861985473,0.44520644796380093,,,
06-9UA7,Tent,original,,0.44794188861985473,0.44520644796380093,,,
06-9UA7,OFTTA,original,,0.4600484261501211,0.4598457523239788,,,
06-9UA7,EMATent,original,,0.48184019370460046,0.48147235520510656,0.2857142857142857,0.796875,
06-9UA7,DynaMixEMATent,original,,0.47699757869249393,0.47692091190543207,0.2857142857142857,0.796875,0.22544642857142858
06-9UA7,TEMA,original,,0.48184019370460046,0.4804970375246873,0.2857142857142857,0.796875,
06-9UA7,DUA,original,,0.48184019370460046,0.4804970375246873,0.2857142857142857,0.796875,
06-9UA7,RoTTA,original,,0.4721549636803874,0.4698893075836081,0.2857142857142857,0.796875,
06-9UA7,NOTE,original,,0.4721549636803874,0.4698893075836081,0.2857142857142857,0.796875,
06-9UA7,DELTA,original,,0.5956416464891041,0.5896268794364219,0.2857142857142857,0.796875,
07-9UAD,Source,original,,0.559322033898305,0.4973653239180442,,,
07-9UAD,Norm,original,,0.45278450363196127,0.42355484189723325,,,
07-9UAD,Tent,original,,0.45278450363196127,0.42355484189723325,,,
07-9UAD,OFTTA,original,,0.43099273607748184,0.4131571787042355,,,
07-9UAD,EMATent,original,,0.5230024213075061,0.4821497902783347,0.14285714285714285,0.7511545566502463,
07-9UAD,DynaMixEMATent,original,,0.5084745762711864,0.4647834274952919,0.14285714285714285,0.7511545566502463,0.17972598522167488
07-9UAD,TEMA,original,,0.5932203389830508,0.5114078080108163,0.14285714285714285,0.7511545566502463,
07-9UAD,DUA,original,,0.5883777239709443,0.5055912342966593,0.14285714285714285,0.7511545566502463,
07-9UAD,RoTTA,original,,0.48668280871670705,0.458005249343832,0.14285714285714285,0.7511545566502463,
07-9UAD,NOTE,original,,0.48668280871670705,0.458005249343832,0.14285714285714285,0.7511545566502463,
07-9UAD,DELTA,original,,0.5665859564164649,0.5066040191413107,0.14285714285714285,0.7511545566502463,
08-9UB2,Source,original,,0.5205811138014528,0.44660548968653563,,,
08-9UB2,Norm,original,,0.4915254237288136,0.45780195048762196,,,
08-9UB2,Tent,original,,0.4915254237288136,0.45780195048762196,,,
08-9UB2,OFTTA,original,,0.3341404358353511,0.3257763293025354,,,
08-9UB2,EMATent,original,,0.3898305084745763,0.358695652173913,0.2857142857142857,0.7857142857142857,
08-9UB2,DynaMixEMATent,original,,0.3946731234866828,0.35933234053114915,0.2857142857142857,0.7857142857142857,0.14285714285714285
08-9UB2,TEMA,original,,0.4891041162227603,0.4309771784909726,0.2857142857142857,0.7857142857142857,
08-9UB2,DUA,original,,0.4915254237288136,0.4326923076923077,0.2857142857142857,0.7857142857142857,
08-9UB2,RoTTA,original,,0.4576271186440678,0.4216554138534634,0.2857142857142857,0.7857142857142857,
08-9UB2,NOTE,original,,0.4576271186440678,0.4216554138534634,0.2857142857142857,0.7857142857142857,
08-9UB2,DELTA,original,,0.5230024213075061,0.4740485994841395,0.2857142857142857,0.7857142857142857,
09-9UDP,Source,original,,0.5679611650485437,0.4239482200647249,,,
09-9UDP,Norm,original,,0.49514563106796117,0.49208155523944996,,,
09-9UDP,Tent,original,,0.49029126213592233,0.4875743289663832,,,
09-9UDP,OFTTA,original,,0.4174757281553398,0.40804597701149425,,,
09-9UDP,EMATent,original,,0.5097087378640777,0.44775049767750497,0.0,0.7176339285714286,
09-9UDP,DynaMixEMATent,original,,0.48058252427184467,0.42315040171678314,0.0,0.7176339285714286,0.21763392857142858
09-9UDP,TEMA,original,,0.558252427184466,0.4568738229755179,0.0,0.7176339285714286,
09-9UDP,DUA,original,,0.5679611650485437,0.46321182842921976,0.0,0.7176339285714286,
09-9UDP,RoTTA,original,,0.48058252427184467,0.4751279914275509,0.0,0.7176339285714286,
09-9UDP,NOTE,original,,0.48058252427184467,0.4751279914275509,0.0,0.7176339285714286,
09-9UDP,DELTA,original,,0.470873786407767,0.4680533510222454,0.0,0.7176339285714286,
10-9UHM,Source,original,,0.387409200968523,0.3853335137329184,,,
10-9UHM,Norm,original,,0.46246973365617433,0.4585813492063492,,,
10-9UHM,Tent,original,,0.46246973365617433,0.4585813492063492,,,
10-9UHM,OFTTA,original,,0.4188861985472155,0.4184736693889045,,,
10-9UHM,EMATent,original,,0.38256658595641646,0.37971552257266544,0.14285714285714285,0.703125,
10-9UHM,DynaMixEMATent,original,,0.41404358353510895,0.40762209577999053,0.14285714285714285,0.703125,0.203125
10-9UHM,TEMA,original,,0.4116222760290557,0.40605081405464905,0.14285714285714285,0.703125,
10-9UHM,DUA,original,,0.4067796610169492,0.4017147080561715,0.14285714285714285,0.703125,
10-9UHM,RoTTA,original,,0.44552058111380144,0.44127533629108007,0.14285714285714285,0.703125,
10-9UHM,NOTE,original,,0.44552058111380144,0.44127533629108007,0.14285714285714285,0.703125,
10-9UHM,DELTA,original,,0.43099273607748184,0.42965522509975373,0.14285714285714285,0.703125,
11-9UIZ,Source,original,,0.6658595641646489,0.5098555211558308,,,
11-9UIZ,Norm,original,,0.5399515738498789,0.47527149200235386,,,
11-9UIZ,Tent,original,,0.5399515738498789,0.47527149200235386,,,
11-9UIZ,OFTTA,original,,0.6537530266343826,0.5557235599888666,,,
11-9UIZ,EMATent,original,,0.612590799031477,0.5179457251240152,0.14285714285714285,0.7857142857142857,
11-9UIZ,DynaMixEMATent,original,,0.612590799031477,0.5204922791129688,0.14285714285714285,0.7857142857142857,0.2857142857142857
11-9UIZ,TEMA,original,,0.6537530266343826,0.5390804866818072,0.14285714285714285,0.7857142857142857,
