Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_max_class_ratio,pred_num_present_classes,true_imbalance,dua_momentum,rotta_memory_occupancy,note_memory_occupancy,note_updated,note_loss,delta_loss,delta_used_samples
01-9TZK,EMATent,0.9954149723052979,0.9954149723052979,0.839289665222168,1.0,0.20137550830841067,0.5,0.29862449169158933,0.0,0.0,0,64,53,0.828125,11.0,0.171875,0.828125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-9TZK,EMATent,0.9972708821296692,0.9972708821296692,0.7719266414642334,1.0,0.20081873536109926,0.5,0.29918126463890077,0.0,0.0,1,64,23,0.359375,41.0,0.640625,0.640625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-9TZK,EMATent,0.8075361847877502,0.8075361847877502,0.8013832569122314,1.0,0.2577391445636749,0.5,0.24226085543632506,0.0,0.0,2,64,28,0.4375,36.0,0.5625,0.5625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-9TZK,EMATent,0.7499671578407288,0.7499671578407288,0.8270677924156189,1.0,0.2750098526477814,0.5,0.22499014735221862,0.0,0.0,3,64,30,0.46875,34.0,0.53125,0.53125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-9TZK,EMATent,0.9586431384086609,0.9586431384086609,0.8344968557357788,1.0,0.21240705847740174,0.5,0.28759294152259823,0.0,0.0,4,64,42,0.65625,22.0,0.34375,0.65625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-9TZK,EMATent,0.9862226247787476,0.9862226247787476,0.7714717388153076,1.0,0.20413321256637573,0.5,0.29586678743362427,0.0,0.0,5,64,42,0.65625,22.0,0.34375,0.65625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-9TZK,EMATent,0.7035247683525085,0.7035247683525085,0.8371263742446899,1.0,0.28894256949424746,0.5,0.21105743050575257,0.0,0.0,6,29,18,0.6206896551724138,11.0,0.3793103448275862,0.6206896551724138,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-9TZK,DynaMixEMATent,,,,,,,,,,0,64,53,0.828125,11.0,0.171875,0.828125,2,0.44376614689826965,0.9954149723052979,0.9954149723052979,0.5516487956047058,0.42638211707282664,0.27499339123558403,0.29862449169158933,0.3920772652852076,63.70655822753906,0.19999999999999996,1.0,0.4610631465911865,0.2,0.0,1.0,37.0,0.578125,27.0,0.421875,0.578125,2.0,0.328125,,,,,,,
01-9TZK,DynaMixEMATent,,,,,,,,,,1,64,23,0.359375,41.0,0.640625,0.640625,2,0.32458066940307617,0.966955840587616,0.966955840587616,0.6423751711845398,0.26612267055051214,0.4437905772732031,0.29008675217628477,0.6251335337573594,125.59173202514648,0.19999999999999996,1.0,0.4855968654155731,0.2,0.0,1.0,32.0,0.5,32.0,0.5,0.5,2.0,0.140625,,,,,,,
01-9TZK,DynaMixEMATent,,,,,,,,,,2,64,28,0.4375,36.0,0.5625,0.5625,2,0.22732451558113098,0.8920055627822876,0.8920055627822876,0.6646810173988342,0.175762973585584,0.5566353575797297,0.2676016688346863,0.7600172391082203,182.6800880432129,0.19999999999999996,1.0,0.5164997577667236,0.2,0.0,1.0,17.0,0.265625,47.0,0.734375,0.734375,2.0,0.0625,,,,,,,
01-9TZK,DynaMixEMATent,,,,,,,,,,3,64,30,0.46875,34.0,0.53125,0.53125,2,0.17145870625972748,0.7157439589500427,0.7157439589500427,0.5442852973937988,0.13175921334177354,0.6535175989732136,0.2147231876850128,0.8322130345943249,228.48770141601562,0.19999999999999996,1.0,0.48105427622795105,0.2,0.0,1.0,14.0,0.21875,50.0,0.78125,0.78125,2.0,0.03125,,,,,,,
01-9TZK,DynaMixEMATent,,,,,,,,,,4,64,42,0.65625,22.0,0.34375,0.65625,2,0.3801034092903137,0.9819356203079224,0.9819356203079224,0.6018322110176086,0.07244041921324475,0.6329788946943785,0.2945806860923767,0.8973087101741433,291.33158111572266,0.19999999999999996,1.0,0.47900423407554626,0.2,0.0,1.0,39.0,0.609375,25.0,0.390625,0.609375,2.0,0.15625,,,,,,,
01-9TZK,DynaMixEMATent,,,,,,,,,,5,64,42,0.65625,22.0,0.34375,0.65625,2,0.3286804258823395,0.9805943369865417,0.9805943369865417,0.6519138813018799,0.04439103384020656,0.661430665063831,0.2941783010959625,0.9371072979066319,354.0896186828613,0.19999999999999996,1.0,0.49644631147384644,0.2,0.0,1.0,34.0,0.53125,30.0,0.46875,0.53125,2.0,0.15625,,,,,,,
01-9TZK,DynaMixEMATent,,,,,,,,,,6,29,18,0.6206896551724138,11.0,0.3793103448275862,0.6206896551724138,2,0.18965812027454376,0.8146747350692749,0.8146747350692749,0.6250166296958923,0.03951218247939837,0.7160853969998192,0.24440242052078245,0.9477073728761394,377.7151859998703,0.19999999999999996,1.0,0.4475284516811371,0.2,0.0,1.0,6.0,0.20689655172413793,23.0,0.7931034482758621,0.7931034482758621,2.0,0.12068965517241381,,,,,,,
01-9TZK,TEMA,,,,,,,,,,0,64,53,0.828125,11.0,0.171875,0.828125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-9TZK,TEMA,,,,,,,,,,1,64,23,0.359375,41.0,0.640625,0.640625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-9TZK,TEMA,,,,,,,,,,2,64,28,0.4375,36.0,0.5625,0.5625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-9TZK,TEMA,,,,,,,,,,3,64,30,0.46875,34.0,0.53125,0.53125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-9TZK,TEMA,,,,,,,,,,4,64,42,0.65625,22.0,0.34375,0.65625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-9TZK,TEMA,,,,,,,,,,5,64,42,0.65625,22.0,0.34375,0.65625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-9TZK,TEMA,,,,,,,,,,6,29,18,0.6206896551724138,11.0,0.3793103448275862,0.6206896551724138,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-9TZK,DUA,,,,,,,,,,0,64,53,0.828125,11.0,0.171875,0.828125,2,,,,,,,,,,,,,,,,,,,,,,,0.099,,,,,,
01-9TZK,DUA,,,,,,,,,,1,64,23,0.359375,41.0,0.640625,0.640625,2,,,,,,,,,,,,,,,,,,,,,,,0.09336,,,,,,
01-9TZK,DUA,,,,,,,,,,2,64,28,0.4375,36.0,0.5625,0.5625,2,,,,,,,,,,,,,,,,,,,,,,,0.0880584,,,,,,
01-9TZK,DUA,,,,,,,,,,3,64,30,0.46875,34.0,0.53125,0.53125,2,,,,,,,,,,,,,,,,,,,,,,,0.083074896,,,,,,
01-9TZK,DUA,,,,,,,,,,4,64,42,0.65625,22.0,0.34375,0.65625,2,,,,,,,,,,,,,,,,,,,,,,,0.07839040223999999,,,,,,
01-9TZK,DUA,,,,,,,,,,5,64,42,0.65625,22.0,0.34375,0.65625,2,,,,,,,,,,,,,,,,,,,,,,,0.07398697810559998,,,,,,
01-9TZK,DUA,,,,,,,,,,6,29,18,0.6206896551724138,11.0,0.3793103448275862,0.6206896551724138,2,,,,,,,,,,,,,,,,,,,,,,,0.06984775941926398,,,,,,
01-9TZK,RoTTA,,,,,,,,,,0,64,53,0.828125,11.0,0.171875,0.828125,2,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,
01-9TZK,RoTTA,,,,,,,,,,1,64,23,0.359375,41.0,0.640625,0.640625,2,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,
01-9TZK,RoTTA,,,,,,,,,,2,64,28,0.4375,36.0,0.5625,0.5625,2,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,
01-9TZK,RoTTA,,,,,,,,,,3,64,30,0.46875,34.0,0.53125,0.53125,2,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,
