Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MacroF1,Norm_Acc,Norm_F1_0,Norm_F1_1,Norm_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MacroF1,EMATent_Acc,EMATent_F1_0,EMATent_F1_1,EMATent_MacroF1,DynaMixEMATent_Acc,DynaMixEMATent_F1_0,DynaMixEMATent_F1_1,DynaMixEMATent_MacroF1,TEMA_Acc,TEMA_F1_0,TEMA_F1_1,TEMA_MacroF1,DUA_Acc,DUA_F1_0,DUA_F1_1,DUA_MacroF1,RoTTA_Acc,RoTTA_F1_0,RoTTA_F1_1,RoTTA_MacroF1,NOTE_Acc,NOTE_F1_0,NOTE_F1_1,NOTE_MacroF1,DELTA_Acc,DELTA_F1_0,DELTA_F1_1,DELTA_MacroF1
01-9TZK,0.5811138014527845,0.5967365967365967,0.5642317380352645,0.5804841673859307,0.4939467312348668,0.5059101654846335,0.4813895781637717,0.4936498718242026,0.4939467312348668,0.5059101654846335,0.4813895781637717,0.4936498718242026,0.4939467312348668,0.5173210161662818,0.4681933842239186,0.49275720019510016,0.559322033898305,0.5603864734299517,0.558252427184466,0.5593194503072089,0.5472154963680388,0.5493975903614458,0.5450121654501217,0.5472048779057836,0.5932203389830508,0.6056338028169014,0.58,0.5928169014084507,0.5883777239709443,0.602803738317757,0.5728643216080402,0.5878340299628986,0.4963680387409201,0.5023923444976076,0.49019607843137253,0.49629421146449004,0.4963680387409201,0.5023923444976076,0.49019607843137253,0.49629421146449004,0.4721549636803874,0.4784688995215311,0.46568627450980393,0.4720775870156675
02-9TZO,0.48184019370460046,0.4855769230769231,0.47804878048780486,0.481812851782364,0.5472154963680388,0.5065963060686016,0.5816554809843401,0.5441258935264708,0.5472154963680388,0.5065963060686016,0.5816554809843401,0.5441258935264708,0.5786924939467313,0.5628140703517588,0.5934579439252337,0.5781360071384962,0.5278450363196125,0.513715710723192,0.5411764705882353,0.5274460906557137,0.5278450363196125,0.5208845208845209,0.5346062052505967,0.5277453630675588,0.4915254237288136,0.5070422535211268,0.475,0.49102112676056336,0.4939467312348668,0.5105386416861827,0.47619047619047616,0.4933645589383294,0.5714285714285714,0.5378590078328982,0.600451467268623,0.5691552375507606,0.5714285714285714,0.5378590078328982,0.600451467268623,0.5691552375507606,0.5641646489104116,0.47674418604651164,0.6265560165975104,0.551650101322011
03-9U4C,0.4939467312348668,0.5811623246492986,0.36085626911314983,0.4710092968812242,0.5375302663438256,0.6172344689378757,0.41590214067278286,0.5165683048053293,0.5375302663438256,0.6172344689378757,0.41590214067278286,0.5165683048053293,0.5205811138014528,0.610236220472441,0.37735849056603776,0.49379735551923937,0.5084745762711864,0.5898989898989899,0.3867069486404834,0.48830296926973665,0.5230024213075061,0.6099009900990099,0.3862928348909657,0.4980969124949878,0.5084745762711864,0.5964214711729622,0.3715170278637771,0.4839692495183696,0.5060532687651331,0.5936254980079682,0.37037037037037035,0.48199793418916925,0.513317191283293,0.6035502958579881,0.36990595611285265,0.48672812598542037,0.513317191283293,0.6035502958579881,0.36990595611285265,0.48672812598542037,0.46731234866828086,0.46601941747572817,0.46859903381642515,0.4673092256460767
04-9U66,0.5326876513317191,0.5162907268170426,0.5480093676814989,0.5321500472492707,0.4794188861985472,0.37317784256559766,0.5548654244306418,0.46402163349811976,0.4794188861985472,0.37317784256559766,0.5548654244306418,0.46402163349811976,0.4915254237288136,0.467005076142132,0.5138888888888888,0.49044698251551044,0.513317191283293,0.4582210242587601,0.5582417582417583,0.5082313912502592,0.513317191283293,0.45231607629427795,0.5620915032679739,0.5072037897811259,0.5157384987893463,0.47368421052631576,0.5515695067264574,0.5126268586263866,0.5181598062953995,0.4776902887139108,0.5528089887640449,0.5152496387389779,0.48668280871670705,0.38011695906432746,0.5619834710743802,0.47105021506935385,0.48668280871670705,0.38011695906432746,0.5619834710743802,0.47105021506935385,0.5351089588377724,0.48936170212765956,0.5733333333333334,0.5313475177304965
05-9U8B,0.43825665859564167,0.48672566371681414,0.37967914438502676,0.4332024040509205,0.46731234866828086,0.4329896907216495,0.4977168949771689,0.4653532928494092,0.46731234866828086,0.4329896907216495,0.4977168949771689,0.4653532928494092,0.48184019370460046,0.49765258215962443,0.465,0.48132629107981223,0.43825665859564167,0.42574257425742573,0.45023696682464454,0.43798977054103516,0.43825665859564167,0.4396135265700483,0.4368932038834951,0.4382533652267717,0.43099273607748184,0.4622425629290618,0.39588688946015427,0.429064726194608,0.43341404358353514,0.4608294930875576,0.4030612244897959,0.4319453587886768,0.4915254237288136,0.44148936170212766,0.5333333333333333,0.4874113475177305,0.4915254237288136,0.44148936170212766,0.5333333333333333,0.4874113475177305,0.5205811138014528,0.4375,0.5822784810126582,0.5098892405063291
06-9UA7,0.44794188861985473,0.4153846153846154,0.47706422018348627,0.44622441778405086,0.4358353510895884,0.45433255269320844,0.41604010025062654,0.43518632647191746,0.4358353510895884,0.45433255269320844,0.41604010025062654,0.43518632647191746,0.3389830508474576,0.3421686746987952,0.3357664233576642,0.3389675490282297,0.46246973365617433,0.47641509433962265,0.44776119402985076,0.4620881441847367,0.4745762711864407,0.5123595505617977,0.4304461942257218,0.4714028723937598,0.5108958837772397,0.5235849056603774,0.4975124378109453,0.5105486717356613,0.5181598062953995,0.5295508274231678,0.5062034739454094,0.5178771506842886,0.4576271186440678,0.49321266968325794,0.4166666666666667,0.45493966817496234,0.4576271186440678,0.49321266968325794,0.4166666666666667,0.45493966817496234,0.5932203389830508,0.7,0.3684210526315789,0.5342105263157895
07-9UAD,0.6174334140435835,0.5659340659340659,0.658008658008658,0.611971361971362,0.5447941888619855,0.5,0.5822222222222222,0.5411111111111111,0.5447941888619855,0.5,0.5822222222222222,0.5411111111111111,0.6440677966101694,0.5811965811965812,0.6905263157894737,0.6358614484930274,0.6368038740920097,0.563953488372093,0.6887966804979253,0.6263750844350091,0.6440677966101694,0.5763688760806917,0.6931106471816284,0.6347397616311601,0.6198547215496368,0.5602240896358543,0.6652452025586354,0.6127346460972449,0.6271186440677966,0.5674157303370787,0.6723404255319149,0.6198780779344968,0.559322033898305,0.5081081081081081,0.6008771929824561,0.5544926505452821,0.559322033898305,0.5081081081081081,0.6008771929824561,0.5544926505452821,0.6029055690072639,0.49693251533742333,0.672,0.5844662576687116
08-9UB2,0.5786924939467313,0.6640926640926641,0.43506493506493504,0.5495787995787995,0.48426150121065376,0.5644171779141104,0.36795252225519287,0.4661848500846516,0.48426150121065376,0.5644171779141104,0.36795252225519287,0.4661848500846516,0.46973365617433416,0.546583850931677,0.36151603498542273,0.4540499429585499,0.5447941888619855,0.6209677419354839,0.4303030303030303,0.5256353861192571,0.5447941888619855,0.6299212598425197,0.4088050314465409,0.5193631456445302,0.6053268765133172,0.6772277227722773,0.49221183800623053,0.5847197803892539,0.6004842615012107,0.6745562130177515,0.4827586206896552,0.5786574168537033,0.45278450363196127,0.540650406504065,0.32335329341317365,0.43200184995861934,0.45036319612590797,0.539553752535497,0.3183183183183183,0.4289360354269076,0.5278450363196125,0.5255474452554745,0.5301204819277109,0.5278339635915927
09-9UDP,0.6019417475728155,0.5816326530612245,0.6203703703703703,0.6010015117157974,0.39805825242718446,0.36082474226804123,0.43119266055045874,0.39600870140925,0.39805825242718446,0.36082474226804123,0.43119266055045874,0.39600870140925,0.44660194174757284,0.3132530120481928,0.5365853658536586,0.4249191889509257,0.5436893203883495,0.4470588235294118,0.6115702479338843,0.529314535731648,0.558252427184466,0.4858757062146893,0.6127659574468085,0.5493208318307489,0.5970873786407767,0.5743589743589743,0.6175115207373272,0.5959352475481507,0.6019417475728155,0.5773195876288659,0.6238532110091743,0.6005863993190201,0.4077669902912621,0.3711340206185567,0.44036697247706424,0.4057504965478105,0.4077669902912621,0.3711340206185567,0.44036697247706424,0.4057504965478105,0.49029126213592233,0.450261780104712,0.5248868778280543,0.4875743289663832
10-9UHM,0.7215496368038741,0.32748538011695905,0.8244274809160306,0.5759564305164948,0.5641646489104116,0.27419354838709675,0.6885813148788927,0.48138743163299474,0.5641646489104116,0.27419354838709675,0.6885813148788927,0.48138743163299474,0.6101694915254238,0.16580310880829016,0.7456556082148499,0.45572935851157004,0.6803874092009685,0.37142857142857144,0.7857142857142857,0.5785714285714285,0.6997578692493946,0.39805825242718446,0.8,0.5990291262135923,0.6755447941888619,0.30927835051546393,0.7879746835443038,0.5486265170298839,0.6779661016949152,0.3036649214659686,0.7905511811023622,0.5471080512841654,0.5181598062953995,0.2546816479400749,0.6440071556350626,0.44934440178756874,0.5181598062953995,0.2546816479400749,0.6440071556350626,0.44934440178756874,0.4552058111380145,0.25249169435215946,0.5714285714285714,0.4119601328903654
