Subject,Accuracy,F1_Non_Stress_0,F1_Stress_1,F1_Class_0,F1_Class_1,F1_Class_2,Mean_F1,Confusion_Matrix,Fixed_Epochs,Checkpoint,Report,History
01-9TZK,0.43341404358353514,0.3675675675675676,0.4868421052631579,0.3675675675675676,0.4868421052631579,,0.4272048364153628,"[[68, 94], [140, 111]]",20,./ckpt_emowear_arousal/emowear/cnn1d/01-9TZK/emowear_01-9TZK_checkpoint.pt,"{'0': {'precision': 0.3269230769230769, 'recall': 0.41975308641975306, 'f1-score': 0.3675675675675676, 'support': 162.0}, '1': {'precision': 0.5414634146341464, 'recall': 0.44223107569721115, 'f1-score': 0.4868421052631579, 'support': 251.0}, 'accuracy': 0.43341404358353514, 'macro avg': {'precision': 0.4341932457786116, 'recall': 0.4309920810584821, 'f1-score': 0.4272048364153628, 'support': 413.0}, 'weighted avg': {'precision': 0.4573095775658818, 'recall': 0.43341404358353514, 'f1-score': 0.4400564512518126, 'support': 413.0}}","{'loss': [0.6686480097255737, 0.6493395773742235, 0.6362290443662236, 0.6216148632616515, 0.6065459483196144, 0.5913453205922976, 0.5722852993289146, 0.5599864609030708, 0.5429091436008475, 0.5309311606695943, 0.5132103210091276, 0.5013474078390445, 0.4876408224890887, 0.46896879820043663, 0.4567517973178906, 0.4478517218138441, 0.4320588145986823, 0.42367423196644177, 0.4080350001411125, 0.4056659302678671], 'accuracy': [0.5557967178401271, 0.5933298041291689, 0.6175224986765484, 0.6353096876654315, 0.65214399152991, 0.6675489677077819, 0.6863949179460032, 0.701217575436739, 0.7112758073054526, 0.7217575436739015, 0.735574377977766, 0.7421916357861302, 0.7518263631551085, 0.7704605611434622, 0.7712546320804659, 0.781577554261514, 0.7894123875066172, 0.7935944944415034, 0.8060349391212281, 0.805505558496559]}"
02-9TZO,0.44552058111380144,0.5178947368421053,0.3475783475783476,0.5178947368421053,0.3475783475783476,,0.43273654221022645,"[[123, 60], [169, 61]]",20,./ckpt_emowear_arousal/emowear/cnn1d/02-9TZO/emowear_02-9TZO_checkpoint.pt,"{'0': {'precision': 0.4212328767123288, 'recall': 0.6721311475409836, 'f1-score': 0.5178947368421053, 'support': 183.0}, '1': {'precision': 0.5041322314049587, 'recall': 0.26521739130434785, 'f1-score': 0.3475783475783476, 'support': 230.0}, 'accuracy': 0.44552058111380144, 'macro avg': {'precision': 0.4626825540586437, 'recall': 0.4686742694226657, 'f1-score': 0.43273654221022645, 'support': 413.0}, 'weighted avg': {'precision': 0.4673995875581033, 'recall': 0.44552058111380144, 'f1-score': 0.42304541594461315, 'support': 413.0}}","{'loss': [0.6650039977469477, 0.6479962212689785, 0.6314212536483672, 0.6181847753633325, 0.6042143412214414, 0.5855731341749224, 0.5752478152939476, 0.5626258718140735, 0.5473290507663426, 0.5324666501353694, 0.523705726357097, 0.5070054488500128, 0.49218701932593084, 0.47940731007564374, 0.46293160692606733, 0.45222742543011, 0.4470535553246342, 0.42552292745002307, 0.4212206230364255, 0.4129823954601399], 'accuracy': [0.5630492323980942, 0.5954473266278454, 0.6238221281101112, 0.6452620434092112, 0.6518263631551086, 0.6727368978295395, 0.6790894653255691, 0.6934886183165696, 0.7026998411858126, 0.7165166754896771, 0.7237162519851773, 0.7349391212281631, 0.7439915299100053, 0.750926416093171, 0.7651667548967708, 0.7730545262043409, 0.7780836421386977, 0.7897300158814188, 0.7950238221281101, 0.7998941238750662]}"
03-9U4C,0.5399515738498789,0.6122448979591837,0.43452380952380953,0.6122448979591837,0.43452380952380953,,0.5233843537414966,"[[150, 122], [68, 73]]",20,./ckpt_emowear_arousal/emowear/cnn1d/03-9U4C/emowear_03-9U4C_checkpoint.pt,"{'0': {'precision': 0.6880733944954128, 'recall': 0.5514705882352942, 'f1-score': 0.6122448979591837, 'support': 272.0}, '1': {'precision': 0.37435897435897436, 'recall': 0.5177304964539007, 'f1-score': 0.43452380952380953, 'support': 141.0}, 'accuracy': 0.5399515738498789, 'macro avg': {'precision': 0.5312161844271936, 'recall': 0.5346005423445974, 'f1-score': 0.5233843537414966, 'support': 413.0}, 'weighted avg': {'precision': 0.5809699241824884, 'recall': 0.5399515738498789, 'f1-score': 0.5515701437960172, 'support': 413.0}}","{'loss': [0.6615520655193804, 0.6450468798047213, 0.6288020131574099, 0.6182620553821404, 0.6083387836790262, 0.5933865236882623, 0.5798736961573252, 0.566989853421237, 0.5518084157705938, 0.539669780115276, 0.5249432590917786, 0.509894883001589, 0.49596622513361616, 0.4838611619443474, 0.46614938218357577, 0.45903404350947175, 0.4379400588994054, 0.43609161185107576, 0.42603642134643727, 0.41462860860289436], 'accuracy': [0.5519322392800423, 0.59142403388036, 0.6168343038644786, 0.6327157226045527, 0.6454208575966119, 0.6641609317098994, 0.6718898888300688, 0.6877183695076761, 0.6983059820010588, 0.7062466913710959, 0.7215457914240339, 0.7334568554790895, 0.7408681842244574, 0.7493382742191635, 0.7639491794600317, 0.7666490206458444, 0.7790365272631021, 0.782212811011117, 0.7894123875066172, 0.7949179460031763]}"
04-9U66,0.41646489104116224,0.26299694189602446,0.5170340681362725,0.26299694189602446,0.5170340681362725,,0.39001550501614846,"[[43, 107], [134, 129]]",20,./ckpt_emowear_arousal/emowear/cnn1d/04-9U66/emowear_04-9U66_checkpoint.pt,"{'0': {'precision': 0.24293785310734464, 'recall': 0.2866666666666667, 'f1-score': 0.26299694189602446, 'support': 150.0}, '1': {'precision': 0.5466101694915254, 'recall': 0.49049429657794674, 'f1-score': 0.5170340681362725, 'support': 263.0}, 'accuracy': 0.41646489104116224, 'macro avg': {'precision': 0.394774011299435, 'recall': 0.38858048162230674, 'f1-score': 0.39001550501614846, 'support': 413.0}, 'weighted avg': {'precision': 0.43631756063528543, 'recall': 0.41646489104116224, 'f1-score': 0.42476876804901537, 'support': 413.0}}","{'loss': [0.6675897603820026, 0.6507568509443655, 0.63671482415222, 0.6265670541735033, 0.6096543629312086, 0.5930849768106997, 0.582683132703245, 0.560449208110145, 0.5484832011119849, 0.5305647563214906, 0.5190265355695802, 0.5044692177315626, 0.49169388813843734, 0.4748379038148863, 0.4597510700127383, 0.44735342199175115, 0.43636852600638865, 0.42270064477001695, 0.41367231645932456, 0.405549644701313], 'accuracy': [0.5567496029645315, 0.5922181048173637, 0.6190577024880889, 0.6305982001058761, 0.6525674960296454, 0.6690841715193224, 0.6834833245103229, 0.6959767072525146, 0.7089465325569084, 0.7230809952355743, 0.7297511911064055, 0.7387506617257809, 0.7494441503440974, 0.7652196929592376, 0.7748544203282159, 0.7820539968237162, 0.7853890947591318, 0.7937533086289041, 0.8003705664372684, 0.8075172048703018]}"
05-9U8B,0.4188861985472155,0.2727272727272727,0.5161290322580645,0.2727272727272727,0.5161290322580645,,0.3944281524926686,"[[45, 73], [167, 128]]",20,./ckpt_emowear_arousal/emowear/cnn1d/05-9U8B/emowear_05-9U8B_checkpoint.pt,"{'0': {'precision': 0.21226415094339623, 'recall': 0.3813559322033898, 'f1-score': 0.2727272727272727, 'support': 118.0}, '1': {'precision': 0.6368159203980099, 'recall': 0.43389830508474575, 'f1-score': 0.5161290322580645, 'support': 295.0}, 'accuracy': 0.4188861985472155, 'macro avg': {'precision': 0.4245400356707031, 'recall': 0.40762711864406775, 'f1-score': 0.3944281524926686, 'support': 413.0}, 'weighted avg': {'precision': 0.5155154148395489, 'recall': 0.4188861985472155, 'f1-score': 0.446585672392124, 'support': 413.0}}","{'loss': [0.6692649329320788, 0.6579453297491866, 0.6418989180003984, 0.6344586559551112, 0.6185077252938295, 0.606925918123216, 0.5919939374311567, 0.5774465249668927, 0.5660911898249479, 0.5475571436248424, 0.5332835101620617, 0.5198548427014328, 0.5063812227934489, 0.48883058152670833, 0.47052668969804107, 0.4602203833955883, 0.4452871292655969, 0.43980646801726914, 0.42452813495461306, 0.4195521083093939], 'accuracy': [0.5586024351508735, 0.5874536791953414, 0.6148226574907358, 0.6264690312334569, 0.6446797247220751, 0.6571201694017998, 0.6715193223928004, 0.6876654314452091, 0.6919534145050291, 0.7126521969295924, 0.7202223398623611, 0.7327686606670196, 0.7386977236633139, 0.7526733721545792, 0.7639491794600317, 0.7719957649550027, 0.7844891476971942, 0.7851244044467972, 0.7958178930651139, 0.793912122816305]}"
06-9UA7,0.48184019370460046,0.5069124423963134,0.45408163265306123,0.5069124423963134,0.45408163265306123,,0.4804970375246873,"[[110, 128], [86, 89]]",20,./ckpt_emowear_arousal/emowear/cnn1d/06-9UA7/emowear_06-9UA7_checkpoint.pt,"{'0': {'precision': 0.5612244897959183, 'recall': 0.46218487394957986, 'f1-score': 0.5069124423963134, 'support': 238.0}, '1': {'precision': 0.41013824884792627, 'recall': 0.5085714285714286, 'f1-score': 0.45408163265306123, 'support': 175.0}, 'accuracy': 0.48184019370460046, 'macro avg': {'precision': 0.4856813693219223, 'recall': 0.4853781512605042, 'f1-score': 0.4804970375246873, 'support': 413.0}, 'weighted avg': {'precision': 0.4972048961738878, 'recall': 0.48184019370460046, 'f1-score': 0.4845265060644268, 'support': 413.0}}","{'loss': [0.6631627441714717, 0.6475961717617708, 0.6329031936134087, 0.6172385360590045, 0.6075280364257687, 0.5941728590341269, 0.5773459006390791, 0.5587320053148295, 0.5389598422482128, 0.5242008330015482, 0.5105942309123616, 0.4949751158250331, 0.4811637166254479, 0.46641536986405036, 0.4504382955390603, 0.43592045216916286, 0.42675583638357323, 0.4141161967611237, 0.40025350136249516, 0.39365159076569], 'accuracy': [0.5533615669666491, 0.5898888300688195, 0.6103229221810482, 0.6345156167284277, 0.6449444150344097, 0.6611434621492853, 0.6780836421386978, 0.696294335627316, 0.7112228692429857, 0.721492853361567, 0.7350449973530969, 0.7452620434092112, 0.7534674430915829, 0.7660667019587083, 0.7761249338274219, 0.7857596611964002, 0.7895182636315511, 0.8006881948120699, 0.8063525674960297, 0.8111699311805188]}"
07-9UAD,0.559322033898305,0.6738351254480287,0.3208955223880597,0.6738351254480287,0.3208955223880597,,0.4973653239180442,"[[188, 126], [56, 43]]",20,./ckpt_emowear_arousal/emowear/cnn1d/07-9UAD/emowear_07-9UAD_checkpoint.pt,"{'0': {'precision': 0.7704918032786885, 'recall': 0.5987261146496815, 'f1-score': 0.6738351254480287, 'support': 314.0}, '1': {'precision': 0.25443786982248523, 'recall': 0.43434343434343436, 'f1-score': 0.3208955223880597, 'support': 99.0}, 'accuracy': 0.559322033898305, 'macro avg': {'precision': 0.5124648365505868, 'recall': 0.5165347744965579, 'f1-score': 0.4973653239180442, 'support': 413.0}, 'weighted avg': {'precision': 0.6467888022807124, 'recall': 0.559322033898305, 'f1-score': 0.5892321697508448, 'support': 413.0}}","{'loss': [0.6579726643193772, 0.6446745355713613, 0.6330936802891337, 0.6198891116109962, 0.6048469895878565, 0.5879985014555503, 0.5755370797588435, 0.5576540159920399, 0.5393798857406689, 0.5202141217891346, 0.503421035905942, 0.48404582324262774, 0.46698110352249106, 0.44991256811430747, 0.44238736565116854, 0.42908070283064836, 0.41650504242686004, 0.40218909456339885, 0.39502570215768446, 0.3825006680491111], 'accuracy': [0.5549497088406564, 0.5869242985706723, 0.6054526204340921, 0.6258337744838539, 0.6437268395976707, 0.6632080465854949, 0.678507146638433, 0.6924827951296982, 0.7082583377448385, 0.7267866596082584, 0.7406034939121228, 0.7518263631551085, 0.7629433562731605, 0.7730545262043409, 0.7819481206987824, 0.7866596082583377, 0.7958708311275807, 0.8035997882477501, 0.8093700370566437, 0.8194812069878242]}"
08-9UB2,0.5205811138014528,0.648936170212766,0.24427480916030533,0.648936170212766,0.24427480916030533,,0.44660548968653563,"[[183, 134], [64, 32]]",20,./ckpt_emowear_arousal/emowear/cnn1d/08-9UB2/emowear_08-9UB2_checkpoint.pt,"{'0': {'precision': 0.7408906882591093, 'recall': 0.5772870662460567, 'f1-score': 0.648936170212766, 'support': 317.0}, '1': {'precision': 0.1927710843373494, 'recall': 0.3333333333333333, 'f1-score': 0.24427480916030533, 'support': 96.0}, 'accuracy': 0.5205811138014528, 'macro avg': {'precision': 0.46683088629822933, 'recall': 0.455310199789695, 'f1-score': 0.44660548968653563, 'support': 413.0}, 'weighted avg': {'precision': 0.6134827415848019, 'recall': 0.5205811138014528, 'f1-score': 0.5548744494838648, 'support': 413.0}}","{'loss': [0.6563114089710868, 0.6431406932826267, 0.6285591076958931, 0.6149314930351908, 0.5986613911002195, 0.5837835557313115, 0.5697037718547218, 0.5586052617047311, 0.5406192166077012, 0.5268661809762739, 0.5158855862375161, 0.5029380672314989, 0.48620390910960937, 0.47447068864167086, 0.4612855238722644, 0.45292724632219766, 0.43733394332131487, 0.4257453538110611, 0.4140321968061196, 0.4012908139955814], 'accuracy': [0.5577554261514028, 0.5853890947591318, 0.6151932239280042, 0.6333509793541556, 0.6494441503440974, 0.6672313393329804, 0.6785600847008999, 0.6928004235044998, 0.7058231868713605, 0.7176283748014822, 0.7251455796717841, 0.7350979354155638, 0.7478030704076231, 0.7563260984647961, 0.765590259396506, 0.7690841715193224, 0.7799894123875066, 0.7880359978824775, 0.796347273689783, 0.8049232398094229]}"
09-9UDP,0.5679611650485437,0.13592233009708737,0.7119741100323624,0.13592233009708737,0.7119741100323624,,0.4239482200647249,"[[7, 57], [32, 110]]",20,./ckpt_emowear_arousal/emowear/cnn1d/09-9UDP/emowear_09-9UDP_checkpoint.pt,"{'0': {'precision': 0.1794871794871795, 'recall': 0.109375, 'f1-score': 0.13592233009708737, 'support': 64.0}, '1': {'precision': 0.6586826347305389, 'recall': 0.7746478873239436, 'f1-score': 0.7119741100323624, 'support': 142.0}, 'accuracy': 0.5679611650485437, 'macro avg': {'precision': 0.4190849071088592, 'recall': 0.4420114436619718, 'f1-score': 0.4239482200647249, 'support': 206.0}, 'weighted avg': {'precision': 0.5098063767908544, 'recall': 0.5679611650485437, 'f1-score': 0.5330065667515003, 'support': 206.0}}","{'loss': [0.6715853203152614, 0.6564876459316165, 0.6457106324617242, 0.6297137779160034, 0.6172248870438666, 0.6054489318098629, 0.5929767235621186, 0.5767576668520539, 0.5589559142075328, 0.550409499235713, 0.532304120056291, 0.5167960742618324, 0.5048436897303001, 0.48925241695315813, 0.477528980891043, 0.4675935605542725, 0.45019035239603444, 0.43986611204409015, 0.430829982405003, 0.4204121292973274], 'accuracy': [0.5486202021259884, 0.5839137037230979, 0.6027124679268995, 0.6223490600617898, 0.6412001885112845, 0.6551290778656333, 0.6641880923705294, 0.6835628632769545, 0.6927266062732367, 0.7045609257998638, 0.7140388542703042, 0.729224485521286, 0.7401162486254386, 0.7505890977640467, 0.7584960988636958, 0.7666125569461172, 0.7758286641880924, 0.7853065926585328, 0.7875058909776405, 0.7927423155469445]}"
10-9UHM,0.387409200968523,0.3496143958868895,0.42105263157894735,0.3496143958868895,0.42105263157894735,,0.3853335137329184,"[[68, 73], [180, 92]]",20,./ckpt_emowear_arousal/emowear/cnn1d/10-9UHM/emowear_10-9UHM_checkpoint.pt,"{'0': {'precision': 0.27419354838709675, 'recall': 0.48226950354609927, 'f1-score': 0.3496143958868895, 'support': 141.0}, '1': {'precision': 0.5575757575757576, 'recall': 0.3382352941176471, 'f1-score': 0.42105263157894735, 'support': 272.0}, 'accuracy': 0.387409200968523, 'macro avg': {'precision': 0.4158846529814272, 'recall': 0.41025239883187314, 'f1-score': 0.3853335137329184, 'support': 413.0}, 'weighted avg': {'precision': 0.4608278362789025, 'recall': 0.387409200968523, 'f1-score': 0.3966633065605934, 'support': 413.0}}","{'loss': [0.6708225738314361, 0.6543098557304616, 0.6429690942554767, 0.63096634680282, 0.6185611534838074, 0.6037375863927454, 0.5894612587463799, 0.5710542067072895, 0.5574008347244728, 0.5388709968489399, 0.5246351594834052, 0.5149424316392114, 0.4965632498169652, 0.4853967236046314, 0.47367308856066476, 0.45659891831426785, 0.4522581734563889, 0.4406505865354018, 0.4306978502811232, 0.4178460262483109], 'accuracy': [0.5521969295923769, 0.5883536262572789, 0.6099523557437798, 0.6252514557967178, 0.6380624669137109, 0.6585494970884066, 0.6679724722075172, 0.6865537321334039, 0.6936474325039703, 0.713446267866596, 0.7253043938591848, 0.728798305982001, 0.7443091582848068, 0.7523557437797777, 0.7608787718369507, 0.7708840656431974, 0.7781365802011646, 0.7800423504499735, 0.7888300688194813, 0.7968237162519852]}"
