Task,Method,Key,Accuracy,MacroF1,StdMacroF1,Wins
WESAD 3-class,Source,Source,0.6915270213306569,0.5284580418526122,0.1393546905968598,3
WESAD 3-class,Tent,Tent,0.4552580443703993,0.3970353405895717,0.0620692084739342,0
WESAD 3-class,OFTTA,OFTTA,0.5231010410659246,0.4499070779706615,0.071592533040183,0
WESAD 3-class,DynaMix EMA-Tent,DynaMixEMATent,0.7201004234164269,0.6172069708111764,0.1521901862139019,9
WESAD 3-class,TEMA,TEMA,0.7134643303385595,0.562945425193354,0.1536192830457947,2
WESAD 3-class,DUA,DUA,0.705372789989039,0.551891643410421,0.1499372329517176,0
WESAD 3-class,RoTTA,RoTTA,0.459683585326294,0.4015131261086243,0.0650440434223884,0
WESAD 3-class,NOTE,NOTE,0.459533096236753,0.4012019352469677,0.0648164042080473,0
WESAD 3-class,DELTA,DELTA,0.471205462493055,0.4027427481279233,0.1200026102667442,1
CASE arousal,Source,Source,0.4958701460312176,0.4068511401340526,0.112692501578885,1
CASE arousal,Tent,Tent,0.5672513942729908,0.5623761579053707,0.0988239389355173,8
CASE arousal,OFTTA,OFTTA,0.5663364498590558,0.5463827907851468,0.1126279232936204,6
CASE arousal,DynaMix EMA-Tent,DynaMixEMATent,0.5250392952906533,0.4738147924601013,0.1190000891917413,4
CASE arousal,TEMA,TEMA,0.5047429879013979,0.4296492647216944,0.1359405171882593,2
CASE arousal,DUA,DUA,0.502799499871992,0.4269846607274151,0.1348041440870954,0
CASE arousal,RoTTA,RoTTA,0.5588653704360426,0.5540934887282153,0.1031467410142748,2
CASE arousal,NOTE,NOTE,0.5589922778529516,0.5541940736070889,0.102954601867147,2
CASE arousal,DELTA,DELTA,0.5420807451520385,0.5289976342934659,0.0978927571849421,7
CASE valence,Source,Source,0.5347753690932094,0.4539618861511525,0.1521698102691572,4
CASE valence,Tent,Tent,0.5868150190059512,0.5718522305443191,0.1100588696057519,7
CASE valence,OFTTA,OFTTA,0.5868054991106451,0.553142801518837,0.1071762106963937,4
CASE valence,DynaMix EMA-Tent,DynaMixEMATent,0.5649497873106609,0.5177588055492396,0.1197811609403993,6
CASE valence,TEMA,TEMA,0.5404136401425118,0.4649244868939293,0.1442245112347475,1
CASE valence,DUA,DUA,0.5386254181573595,0.4621817108808476,0.1453465491266578,1
CASE valence,RoTTA,RoTTA,0.5829644637786594,0.5675179689575499,0.1171536363101625,5
CASE valence,NOTE,NOTE,0.5825469480096082,0.5670445672240393,0.1167193651358752,5
CASE valence,DELTA,DELTA,0.5219488196376864,0.5057465949676787,0.0993224367680205,3
