Subject,num_batches,num_samples,mean_max_class_ratio,std_max_class_ratio,mean_imbalance,std_imbalance,single_class_batch_ratio,mean_missing_classes,overall_class_0_ratio,overall_class_1_ratio,overall_class_2_ratio,Source_MeanF1,Tent_MeanF1,Tent_delta_vs_source,OFTTA_MeanF1,OFTTA_delta_vs_source,EMATent_MeanF1,EMATent_delta_vs_source,Tent_shuffle_gain,OFTTA_shuffle_gain,EMATent_shuffle_gain
S2,7,424,0.8683035714285714,0.20927455327382538,0.8213282101429981,0.28252064088133017,0.7142857142857143,1.7142857142857142,0.5400943396226415,0.29009433962264153,0.16981132075471697,0.2352336928608115,0.47669717547115903,0.24146348261034753,0.5113991416574737,0.27616544879666216,0.4332467532467532,0.1980130603859417,0.22471758761717492,0.12404415423723125,-0.13984477002783635
S3,7,431,0.875,0.19764235376052372,0.8217714645635122,0.2818040580076669,0.7142857142857143,1.7142857142857142,0.5290023201856149,0.29698375870069604,0.1740139211136891,0.43841437503794084,0.45063045523944006,0.012216080201499224,0.4624197453812058,0.024005370343264942,0.5271694373490781,0.08875506231113722,0.13135397789441022,0.10285611871818767,-0.011212288883095667
S4,7,434,0.9174107142857143,0.13842885476530048,0.848345376352667,0.24280434307642718,0.7142857142857143,1.7142857142857142,0.5345622119815668,0.2926267281105991,0.1728110599078341,0.4716138943522232,0.3877594269405166,-0.08385446741170655,0.4647197135507286,-0.006894180801494565,0.473853866804584,0.00223997245236085,0.16825790038739147,0.11231735160751655,0.11257043305255171
S5,7,443,0.9486607142857143,0.09327045721328651,0.8842711706355438,0.1942291221192806,0.7142857142857143,1.7142857142857142,0.5395033860045146,0.291196388261851,0.16930022573363432,0.7342131701322474,0.4553675163044897,-0.2788456538277577,0.5105836329615063,-0.22362953717074108,0.8560178587193684,0.12180468858712101,0.3320303267316467,0.39151144028980445,0.007726675911242098
S6,7,441,0.9151785714285714,0.13437425842225367,0.8419803380507893,0.24993706718625097,0.7142857142857143,1.7142857142857142,0.5351473922902494,0.2947845804988662,0.17006802721088435,0.4898240775533851,0.38880106557769306,-0.10102301197569202,0.4682443065489818,-0.02157977100440328,0.6080924250330401,0.11826834747965498,0.3639821450487762,0.2995728680024902,-0.014280811173608576
S7,7,440,0.9397321428571429,0.10578567509886415,0.8719211019059554,0.21019050963161523,0.7142857142857143,1.7142857142857142,0.5386363636363637,0.2909090909090909,0.17045454545454544,0.5735102784283111,0.3939598204791575,-0.17955045794915364,0.5283991602640062,-0.04511111816430491,0.780866592399248,0.2073563139709369,0.2652627326105194,0.08877759661339213,-0.12383167140868934
S8,7,442,0.9241071428571429,0.12705579884605095,0.8535725309606619,0.23480822807408946,0.7142857142857143,1.7142857142857142,0.5294117647058824,0.3031674208144796,0.167420814479638,0.46128687214527275,0.2507437434062172,-0.21054312873905556,0.31545168694196773,-0.14583518520330502,0.4940798810981366,0.032793008952863856,0.12399975456562723,0.2501650191390346,0.10558315836941012
S9,7,439,0.9129464285714286,0.13770711442131411,0.8401516446137405,0.25276190320228115,0.7142857142857143,1.7142857142857142,0.5375854214123007,0.2938496583143508,0.16856492027334852,0.5884925201380898,0.43359122583595705,-0.15490129430213279,0.5228653569504877,-0.06562716318760209,0.5820707070707071,-0.0064218130673827645,0.10397016704967682,0.017940235366862733,-0.0057506399530939944
S10,8,456,0.943359375,0.10710179586605621,0.8831272408083621,0.2082575149195273,0.75,1.75,0.5175438596491229,0.31798245614035087,0.16447368421052633,0.4597626578001243,0.4676240866717057,0.007861428871581366,0.3680862928768828,-0.0916763649232415,0.5547292285136752,0.09496657071355091,0.18426880344833124,0.34465362022057217,-0.011496232721378563
S11,7,446,0.9285714285714286,0.1177759460560082,0.8564859698631687,0.22940371238721596,0.7142857142857143,1.7142857142857142,0.5291479820627802,0.30493273542600896,0.16591928251121077,0.5206943218593704,0.3230732494502151,-0.19762107240915527,0.34616466515200695,-0.17452965670736342,0.45565731396682807,-0.0650370078925423,0.3069194126592353,0.12710263719976328,0.04076543764332169
S13,7,445,0.9375,0.11080065755348979,0.8702445483654628,0.21359713839481403,0.7142857142857143,1.7142857142857142,0.5303370786516854,0.298876404494382,0.1707865168539326,0.4099908405552033,0.3360329130399072,-0.07395792751529612,0.3598593157796757,-0.05013152477552757,0.43796096970720244,0.027970129151999146,0.21118286894097543,0.1445623673164203,-0.0018734649717917495
