Subject,batch_index,batch_size,majority_class,max_class_ratio,normalized_entropy,imbalance,missing_classes,is_single_class,class_0_count,class_0_ratio,class_1_count,class_1_ratio,class_2_count,class_2_ratio
S2,0,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S2,1,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S2,2,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S2,3,64,0,0.578125,0.6197727754275556,0.3802272245724444,1,0,37,0.578125,27,0.421875,0,0.0
S2,4,64,1,1.0,-0.0,1.0,2,1,0,0.0,64,1.0,0,0.0
S2,5,64,1,0.5,0.6309297535714574,0.3690702464285426,1,0,0,0.0,32,0.5,32,0.5
S2,6,40,2,1.0,-0.0,1.0,2,1,0,0.0,0,0.0,40,1.0
S3,0,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S3,1,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S3,2,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S3,3,64,0,0.5625,0.6237998740277074,0.3762001259722926,1,0,36,0.5625,28,0.4375,0,0.0
S3,4,64,1,1.0,-0.0,1.0,2,1,0,0.0,64,1.0,0,0.0
S3,5,64,1,0.5625,0.6237998740277074,0.3762001259722926,1,0,0,0.0,36,0.5625,28,0.4375
S3,6,47,2,1.0,-0.0,1.0,2,1,0,0.0,0,0.0,47,1.0
S4,0,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S4,1,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S4,2,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S4,3,64,0,0.625,0.6021808102656678,0.39781918973433217,1,0,40,0.625,0,0.0,24,0.375
S4,4,64,2,0.796875,0.45940155526566384,0.5405984447343362,1,0,0,0.0,13,0.203125,51,0.796875
S4,5,64,1,1.0,-0.0,1.0,2,1,0,0.0,64,1.0,0,0.0
S4,6,50,1,1.0,-0.0,1.0,2,1,0,0.0,50,1.0,0,0.0
S5,0,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S5,1,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S5,2,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S5,3,64,0,0.734375,0.526899844294194,0.473100155705806,1,0,47,0.734375,0,0.0,17,0.265625
S5,4,64,2,0.90625,0.28320196125699915,0.7167980387430009,1,0,0,0.0,6,0.09375,58,0.90625
S5,5,64,1,1.0,-0.0,1.0,2,1,0,0.0,64,1.0,0,0.0
S5,6,59,1,1.0,-0.0,1.0,2,1,0,0.0,59,1.0,0,0.0
S6,0,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S6,1,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S6,2,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S6,3,64,0,0.6875,0.5653371812436325,0.4346628187563675,1,0,44,0.6875,20,0.3125,0,0.0
S6,4,64,1,1.0,-0.0,1.0,2,1,0,0.0,64,1.0,0,0.0
S6,5,64,1,0.71875,0.5408004524008423,0.4591995475991577,1,0,0,0.0,46,0.71875,18,0.28125
S6,6,57,2,1.0,-0.0,1.0,2,1,0,0.0,0,0.0,57,1.0
S7,0,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S7,1,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S7,2,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S7,3,64,0,0.703125,0.5536013064601844,0.44639869353981565,1,0,45,0.703125,0,0.0,19,0.296875
S7,4,64,2,0.875,0.34295098019812775,0.6570490198018722,1,0,0,0.0,8,0.125,56,0.875
S7,5,64,1,1.0,-0.0,1.0,2,1,0,0.0,64,1.0,0,0.0
S7,6,56,1,1.0,-0.0,1.0,2,1,0,0.0,56,1.0,0,0.0
S8,0,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S8,1,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S8,2,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S8,3,64,0,0.65625,0.5857312535611814,0.4142687464388186,1,0,42,0.65625,0,0.0,22,0.34375
S8,4,64,2,0.8125,0.4392610297141856,0.5607389702858143,1,0,0,0.0,12,0.1875,52,0.8125
S8,5,64,1,1.0,-0.0,1.0,2,1,0,0.0,64,1.0,0,0.0
S8,6,58,1,1.0,-0.0,1.0,2,1,0,0.0,58,1.0,0,0.0
S9,0,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S9,1,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S9,2,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S9,3,64,0,0.6875,0.5653371812436325,0.4346628187563675,1,0,44,0.6875,20,0.3125,0,0.0
S9,4,64,1,1.0,-0.0,1.0,2,1,0,0.0,64,1.0,0,0.0
S9,5,64,1,0.703125,0.5536013064601844,0.44639869353981565,1,0,0,0.0,45,0.703125,19,0.296875
S9,6,55,2,1.0,-0.0,1.0,2,1,0,0.0,0,0.0,55,1.0
S10,0,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S10,1,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S10,2,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S10,3,64,0,0.6875,0.5653371812436325,0.4346628187563675,1,0,44,0.6875,0,0.0,20,0.3125
S10,4,64,2,0.859375,0.3696448922894698,0.6303551077105303,1,0,0,0.0,9,0.140625,55,0.859375
S10,5,64,1,1.0,-0.0,1.0,2,1,0,0.0,64,1.0,0,0.0
S10,6,64,1,1.0,-0.0,1.0,2,1,0,0.0,64,1.0,0,0.0
S10,7,8,1,1.0,-0.0,1.0,2,1,0,0.0,8,1.0,0,0.0
S11,0,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S11,1,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S11,2,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S11,3,64,0,0.6875,0.5653371812436325,0.4346628187563675,1,0,44,0.6875,20,0.3125,0,0.0
S11,4,64,1,1.0,-0.0,1.0,2,1,0,0.0,64,1.0,0,0.0
S11,5,64,1,0.8125,0.4392610297141856,0.5607389702858143,1,0,0,0.0,52,0.8125,12,0.1875
S11,6,62,2,1.0,-0.0,1.0,2,1,0,0.0,0,0.0,62,1.0
S13,0,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S13,1,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S13,2,64,0,1.0,-0.0,1.0,2,1,64,1.0,0,0.0,0,0.0
S13,3,64,0,0.6875,0.5653371812436325,0.4346628187563675,1,0,44,0.6875,0,0.0,20,0.3125
