target,bias_metric,n,pearson_r,spearman_rho
Tent_delta_vs_source,mean_max_class_ratio,15,-0.7022025739983058,-0.5236820679138594
Tent_delta_vs_source,mean_imbalance,15,-0.5539531566383541,-0.5214285714285714
Tent_delta_vs_source,single_class_batch_ratio,15,0.01738030030082265,0.0
Tent_delta_vs_source,mean_missing_classes,15,0.017380300300822705,0.0
OFTTA_delta_vs_source,mean_max_class_ratio,15,-0.751457566018741,-0.6434318923173699
OFTTA_delta_vs_source,mean_imbalance,15,-0.6372728667727923,-0.6285714285714286
OFTTA_delta_vs_source,single_class_batch_ratio,15,-0.13815020908859235,-0.1815682598006407
OFTTA_delta_vs_source,mean_missing_classes,15,-0.1381502090885923,-0.1815682598006407
EmaTentGridS20E50B30M080_delta_vs_source,mean_max_class_ratio,15,-0.18184276899233093,-0.05004470273579544
EmaTentGridS20E50B30M080_delta_vs_source,mean_imbalance,15,-0.10131704755272959,-0.075
EmaTentGridS20E50B30M080_delta_vs_source,single_class_batch_ratio,15,0.011002048244991205,0.09078412990032035
EmaTentGridS20E50B30M080_delta_vs_source,mean_missing_classes,15,0.011002048244991245,0.09078412990032035
Tent_shuffle_gain,mean_max_class_ratio,15,0.4056841298272642,0.49329778410998365
Tent_shuffle_gain,mean_imbalance,15,0.4621965203364319,0.4928571428571427
Tent_shuffle_gain,single_class_batch_ratio,15,0.27462164741042905,0.1815682598006407
Tent_shuffle_gain,mean_missing_classes,15,0.27462164741042905,0.1815682598006407
OFTTA_shuffle_gain,mean_max_class_ratio,15,0.4921798224873523,0.543342486845779
OFTTA_shuffle_gain,mean_imbalance,15,0.6201882220880006,0.5499999999999999
OFTTA_shuffle_gain,single_class_batch_ratio,15,0.6140615172320975,0.5447047794019221
OFTTA_shuffle_gain,mean_missing_classes,15,0.6140615172320971,0.5447047794019221
EmaTentGridS20E50B30M080_shuffle_gain,mean_max_class_ratio,15,0.13394976489417965,0.21090267581513797
EmaTentGridS20E50B30M080_shuffle_gain,mean_imbalance,15,0.14824397365454786,0.25
EmaTentGridS20E50B30M080_shuffle_gain,single_class_batch_ratio,15,0.1837808120523639,0.13617619485048052
EmaTentGridS20E50B30M080_shuffle_gain,mean_missing_classes,15,0.18378081205236382,0.13617619485048052
