Subject,batch_index,batch_size,majority_class,max_class_ratio,normalized_entropy,imbalance,missing_classes,is_single_class,class_0_count,class_0_ratio,class_1_count,class_1_ratio,class_2_count,class_2_ratio
S2,0,120,0,1.0,-0.0,1.0,2,1,120,1.0,0,0.0,0,0.0
S2,1,120,0,0.9083333333333333,0.2788763784800028,0.7211236215199972,1,0,109,0.9083333333333333,11,0.09166666666666666,0,0.0
S2,2,120,1,0.9333333333333333,0.2229449181672394,0.7770550818327606,1,0,0,0.0,112,0.9333333333333333,8,0.06666666666666667
S2,3,64,2,1.0,-0.0,1.0,2,1,0,0.0,0,0.0,64,1.0
S3,0,120,0,1.0,-0.0,1.0,2,1,120,1.0,0,0.0,0,0.0
S3,1,120,0,0.9,0.29590327428938457,0.7040967257106154,1,0,108,0.9,12,0.1,0,0.0
S3,2,120,1,0.9666666666666667,0.13302668058241068,0.8669733194175893,1,0,0,0.0,116,0.9666666666666667,4,0.03333333333333333
S3,3,71,2,1.0,-0.0,1.0,2,1,0,0.0,0,0.0,71,1.0
S4,0,120,0,1.0,-0.0,1.0,2,1,120,1.0,0,0.0,0,0.0
S4,1,120,0,0.9333333333333333,0.2229449181672394,0.7770550818327606,1,0,112,0.9333333333333333,0,0.0,8,0.06666666666666667
S4,2,120,2,0.5583333333333333,0.6247209401191895,0.37527905988081045,1,0,0,0.0,53,0.44166666666666665,67,0.5583333333333333
S4,3,74,1,1.0,-0.0,1.0,2,1,0,0.0,74,1.0,0,0.0
S5,0,120,0,1.0,-0.0,1.0,2,1,120,1.0,0,0.0,0,0.0
S5,1,120,0,0.9916666666666667,0.04386832304434452,0.9561316769556555,1,0,119,0.9916666666666667,0,0.0,1,0.008333333333333333
S5,2,120,2,0.6166666666666667,0.6059211305494698,0.39407886945053017,1,0,0,0.0,46,0.38333333333333336,74,0.6166666666666667
S5,3,83,1,1.0,-0.0,1.0,2,1,0,0.0,83,1.0,0,0.0
S6,0,120,0,1.0,-0.0,1.0,2,1,120,1.0,0,0.0,0,0.0
S6,1,120,0,0.9666666666666667,0.13302668058241068,0.8669733194175893,1,0,116,0.9666666666666667,4,0.03333333333333333,0,0.0
S6,2,120,1,1.0,-0.0,1.0,2,1,0,0.0,120,1.0,0,0.0
S6,3,81,2,0.9259259259259259,0.24035053544298982,0.7596494645570102,1,0,0,0.0,6,0.07407407407407407,75,0.9259259259259259
S7,0,120,0,1.0,-0.0,1.0,2,1,120,1.0,0,0.0,0,0.0
S7,1,120,0,0.975,0.10641319994632661,0.8935868000536734,1,0,117,0.975,0,0.0,3,0.025
S7,2,120,2,0.6,0.6126016192893442,0.3873983807106558,1,0,0,0.0,48,0.4,72,0.6
S7,3,80,1,1.0,-0.0,1.0,2,1,0,0.0,80,1.0,0,0.0
S8,0,120,0,1.0,-0.0,1.0,2,1,120,1.0,0,0.0,0,0.0
S8,1,120,0,0.95,0.18069636157678548,0.8193036384232145,1,0,114,0.95,0,0.0,6,0.05
S8,2,120,2,0.5666666666666667,0.6228145927257203,0.37718540727427974,1,0,0,0.0,52,0.43333333333333335,68,0.5666666666666667
S8,3,82,1,1.0,-0.0,1.0,2,1,0,0.0,82,1.0,0,0.0
S9,0,120,0,1.0,-0.0,1.0,2,1,120,1.0,0,0.0,0,0.0
S9,1,120,0,0.9666666666666667,0.13302668058241068,0.8669733194175893,1,0,116,0.9666666666666667,4,0.03333333333333333,0,0.0
S9,2,120,1,1.0,-0.0,1.0,2,1,0,0.0,120,1.0,0,0.0
S9,3,79,2,0.9367088607594937,0.2147516333066407,0.7852483666933593,1,0,0,0.0,5,0.06329113924050633,74,0.9367088607594937
S10,0,120,0,1.0,-0.0,1.0,2,1,120,1.0,0,0.0,0,0.0
S10,1,120,0,0.9666666666666667,0.13302668058241068,0.8669733194175893,1,0,116,0.9666666666666667,0,0.0,4,0.03333333333333333
