Subject,num_batches,num_samples,mean_max_class_ratio,std_max_class_ratio,mean_imbalance,std_imbalance,single_class_batch_ratio,mean_missing_classes,overall_class_0_ratio,overall_class_1_ratio,overall_class_2_ratio,Source_MacroF1,Tent_MacroF1,Tent_delta_vs_source,OFTTA_MacroF1,OFTTA_delta_vs_source,Tent_shuffle_gain,OFTTA_shuffle_gain
S2,4,424,0.9604166666666667,0.04055817152902455,0.8745446758381894,0.12700424950423803,0.5,1.5,0.5400943396226415,0.29009433962264153,0.16981132075471697,0.2352336928608115,0.48967297762478484,0.2544392847639734,0.5639305835554749,0.32869689069466335,0.21226422699830255,0.062347898062429574
S3,4,431,0.9666666666666667,0.04082482904638629,0.8927675112820512,0.12171649326957851,0.5,1.5,0.5290023201856149,0.29698375870069604,0.1740139211136891,0.43841437503794084,0.39007711146198676,-0.04833726357595408,0.3643026664805249,-0.07411170855741595,0.23894855843055618,0.2097310707986485
S4,4,434,0.8729166666666667,0.18365265751170362,0.7880835354283928,0.2551207252135173,0.5,1.5,0.5345622119815668,0.2926267281105991,0.1728110599078341,0.4716138943522232,0.39659375701774086,-0.07502013733448232,0.4129459734964322,-0.05866792085579098,0.16883737060552279,0.1598795646448808
S5,4,443,0.9020833333333333,0.16482050421932068,0.8375526366015464,0.2566652794558672,0.5,1.5,0.5395033860045146,0.291196388261851,0.16930022573363432,0.7342131701322474,0.3706462023209098,-0.3635669678113376,0.4405959510865097,-0.29361721904573773,0.43661157245100907,0.44621343684776843
S6,4,441,0.9731481481481482,0.030471264207230245,0.9066556959936498,0.10076189913948994,0.5,1.5,0.5351473922902494,0.2947845804988662,0.17006802721088435,0.4898240775533851,0.39839739262310775,-0.09142668493027734,0.3986774419270834,-0.09114663562630171,0.35152288828921213,0.37406722195449066
S7,4,440,0.89375,0.16990346523835234,0.8202462951910823,0.25365278211987813,0.5,1.5,0.5386363636363637,0.2909090909090909,0.17045454545454544,0.5735102784283111,0.37297920055138883,-0.20053107787692231,0.43943786624729597,-0.13407241218101518,0.329690466715775,0.1777388906301024
S8,4,442,0.8791666666666667,0.18157298807917438,0.7991222614243736,0.25452982564827364,0.5,1.5,0.5294117647058824,0.3031674208144796,0.167420814479638,0.46128687214527275,0.242026700304846,-0.21926017184042676,0.2977283584548225,-0.16355851369045027,0.12657160139585885,0.2717219339428384
S9,4,439,0.9758438818565401,0.02637615989122136,0.9130554215277371,0.09162003445175994,0.5,1.5,0.5375854214123007,0.2938496583143508,0.16856492027334852,0.5884925201380898,0.29052215189873415,-0.2979703682393557,0.4030086088755549,-0.18548391126253494,0.25404652579363324,0.1383466917030466
S10,4,456,0.8895833333333334,0.172539749848485,0.8128568767400018,0.2532304042995291,0.5,1.5,0.5175438596491229,0.31798245614035087,0.16447368421052633,0.4597626578001243,0.3471208104161863,-0.11264184738393801,0.35056923752575925,-0.10919342027436507,0.293097728107437,0.37132404558786275
S11,4,446,0.9567829457364341,0.057249977662101846,0.8747822556224474,0.15023946760178689,0.5,1.5,0.5291479820627802,0.30493273542600896,0.16591928251121077,0.5206943218593704,0.2954782083262321,-0.22521611353313825,0.35681955169687624,-0.16387477016249413,0.33004648323848634,0.11794655362255702
S13,4,445,0.8916666666666667,0.16894279110594412,0.8135929250320613,0.25198534248557514,0.5,1.5,0.5303370786516854,0.298876404494382,0.1707865168539326,0.4099908405552033,0.3646779435527167,-0.045312897002486585,0.3537803939992723,-0.05621044655593099,0.15966666577473027,0.13391089523256922
S14,4,445,0.9593137254901961,0.05300241556158852,0.8790720541122903,0.14333689930044896,0.5,1.5,0.5303370786516854,0.30337078651685395,0.1662921348314607,0.46035902631647313,0.36939716638092507,-0.09096185993554806,0.40255947231338945,-0.057799554003083675,0.15215866117245463,0.1031435203461249
S15,4,447,0.8854166666666667,0.17523545667979917,0.8060283683486513,0.25325995576132077,0.5,1.5,0.5257270693512305,0.30648769574944074,0.16778523489932887,0.8415877545054115,0.4313318125500539,-0.4102559419553576,0.5066814406381762,-0.33490631386723524,0.30205373705540467,0.2539076094456614
S16,4,444,0.9619047619047619,0.04867868642919256,0.883678736002521,0.1359863779421716,0.5,1.5,0.5315315315315315,0.30180180180180183,0.16666666666666666,0.594541910331384,0.38123620220255255,-0.21330570812883148,0.3798989301650449,-0.21464298016633915,0.20549509582890274,0.2006621118808351
S17,4,456,0.8916666666666667,0.17350552344714176,0.819510246899023,0.25490891140713123,0.5,1.5,0.5197368421052632,0.31798245614035087,0.16228070175438597,0.6473452357729368,0.3094783849860799,-0.3378668507868569,0.3627581646674725,-0.2845870711054643,0.48969661798153524,0.542357763762461
