Subject,num_batches,num_samples,mean_max_class_ratio,std_max_class_ratio,mean_imbalance,std_imbalance,single_class_batch_ratio,mean_missing_classes,overall_class_0_ratio,overall_class_1_ratio,overall_class_2_ratio,Source_MacroF1,Tent_MacroF1,Tent_delta_vs_source,OFTTA_MacroF1,OFTTA_delta_vs_source
S2,4,424,0.5171874999999999,0.2452162762449032,0.22874278532936948,0.31035910016876533,0.0,0.0,0.5400943396226415,0.29009433962264153,0.16981132075471697,0.2352336928608115,0.7291643485033937,0.4939306556425822,0.6337445482866043,0.3985108554257928
S3,4,431,0.5095070422535211,0.23564981361295886,0.21098763433874443,0.2862977319155381,0.0,0.0,0.5290023201856149,0.29698375870069604,0.1740139211136891,0.43841437503794084,0.5655598722265388,0.12714549718859797,0.54825851332115,0.10984413828320921
S4,4,434,0.5157094594594595,0.24627275785079258,0.22872925829504157,0.3103690610353897,0.0,0.0,0.5345622119815668,0.2926267281105991,0.1728110599078341,0.4716138943522232,0.5151966313256636,0.04358273697344045,0.5233686290099141,0.051754734657690926
S5,4,443,0.5239206827309236,0.25252188023651634,0.2506101397111151,0.3272126328924425,0.0,0.0,0.5395033860045146,0.291196388261851,0.16930022573363432,0.7342131701322474,0.7421877968501761,0.007974626717928701,0.8178955453149003,0.08368237518265287
S6,4,441,0.5187499999999999,0.24624788493169508,0.23942546454310046,0.3085949100304226,0.0,0.0,0.5351473922902494,0.2947845804988662,0.17006802721088435,0.4898240775533851,0.6820989638970616,0.1922748863436765,0.7267473457831525,0.2369232682297674
S7,4,440,0.521875,0.25292344513156984,0.24678196366906172,0.32782881296090877,0.0,0.0,0.5386363636363637,0.2909090909090909,0.17045454545454544,0.5735102784283111,0.546949494949495,-0.026560783478816186,0.5840714937482041,0.010561215319892958
S8,4,442,0.5145325203252032,0.23421569183145252,0.22894010430179312,0.28404068672643396,0.0,0.0,0.5294117647058824,0.3031674208144796,0.167420814479638,0.46128687214527275,0.3235952839031128,-0.13769158824215993,0.45607879753899166,-0.005208074606281088
S9,4,439,0.5229430379746834,0.24819485398117563,0.24487037106046589,0.3175990006003218,0.0,0.0,0.5375854214123007,0.2938496583143508,0.16856492027334852,0.5884925201380898,0.46186707614772815,-0.12662544399036169,0.4885235688090282,-0.09996895132906164
S10,4,456,0.5083333333333333,0.22134374975489043,0.23290231003738188,0.25997959778373764,0.0,0.0,0.5175438596491229,0.31798245614035087,0.16447368421052633,0.4597626578001243,0.5288316400262435,0.06906898222611918,0.5971535858188601,0.13739092801873581
S11,4,446,0.5155523255813953,0.23469393824299753,0.2333906408554435,0.2840063161360133,0.0,0.0,0.5291479820627802,0.30493273542600896,0.16591928251121077,0.5206943218593704,0.5499409277235457,0.02924660586417538,0.5349443757142924,0.014250053854922062
S13,4,445,0.5186274509803921,0.2412803159980523,0.23433700928294143,0.3000395402511577,0.0,0.0,0.5303370786516854,0.298876404494382,0.1707865168539326,0.4099908405552033,0.49529576703489747,0.08530492647969418,0.4927840233723187,0.0827931828171154
S14,4,445,0.5186274509803921,0.23743612427417646,0.23802783061777974,0.291566605755824,0.0,0.0,0.5303370786516854,0.30337078651685395,0.1662921348314607,0.46035902631647313,0.5014018193324499,0.04104279301597674,0.5235140273308392,0.06315500101436605
S15,4,447,0.5125,0.23195276099527967,0.22893039554784275,0.2768340183047778,0.0,0.0,0.5257270693512305,0.30648769574944074,0.16778523489932887,0.8415877545054115,0.6985207385207385,-0.14306701598467297,0.7003651060319465,-0.141222648473465
S16,4,444,0.5166666666666666,0.23892118644719085,0.237996455810691,0.29159220981469014,0.0,0.0,0.5315315315315315,0.30180180180180183,0.16666666666666666,0.594541910331384,0.5690406136628571,-0.025501296668526963,0.5594917640894653,-0.03505014624191871
S17,4,456,0.5104166666666666,0.2212162560582844,0.23991811196452256,0.2621309164050256,0.0,0.0,0.5197368421052632,0.31798245614035087,0.16228070175438597,0.6473452357729368,0.7645686892445704,0.11722345347163365,0.6698361642274137,0.022490928454476866
