Subject,batch_index,batch_size,majority_class,max_class_ratio,normalized_entropy,imbalance,missing_classes,is_single_class,class_0_count,class_0_ratio,class_1_count,class_1_ratio,class_2_count,class_2_ratio
S2,0,424,0,0.5400943396226415,0.9036829493521198,0.09631705064788021,0,0,229,0.5400943396226415,123,0.29009433962264153,72,0.16981132075471697
S3,0,431,0,0.5290023201856149,0.9117815670941012,0.08821843290589881,0,0,228,0.5290023201856149,128,0.29698375870069604,75,0.1740139211136891
S4,0,434,0,0.5345622119815668,0.9082150749685872,0.09178492503141278,0,0,232,0.5345622119815668,127,0.2926267281105991,75,0.1728110599078341
S5,0,443,0,0.5395033860045146,0.9037652488370114,0.09623475116298863,0,0,239,0.5395033860045146,129,0.291196388261851,75,0.16930022573363432
S6,0,441,0,0.5351473922902494,0.9065516163717777,0.09344838362822228,0,0,236,0.5351473922902494,130,0.2947845804988662,75,0.17006802721088435
S7,0,440,0,0.5386363636363637,0.9048173951458061,0.09518260485419394,0,0,237,0.5386363636363637,128,0.2909090909090909,75,0.17045454545454544
S8,0,442,0,0.5294117647058824,0.9081849624832359,0.09181503751676412,0,0,234,0.5294117647058824,134,0.3031674208144796,74,0.167420814479638
S9,0,439,0,0.5375854214123007,0.9044632907469193,0.09553670925308066,0,0,236,0.5375854214123007,129,0.2938496583143508,74,0.16856492027334852
S10,0,456,0,0.5175438596491229,0.9121443692776712,0.08785563072232883,0,0,236,0.5175438596491229,145,0.31798245614035087,75,0.16447368421052633
S11,0,446,0,0.5291479820627802,0.9074963967603026,0.09250360323969742,0,0,236,0.5291479820627802,136,0.30493273542600896,74,0.16591928251121077
S13,0,445,0,0.5303370786516854,0.9094754063603838,0.09052459363961618,0,0,236,0.5303370786516854,133,0.298876404494382,76,0.1707865168539326
S14,0,445,0,0.5303370786516854,0.9071011259434467,0.09289887405655328,0,0,236,0.5303370786516854,135,0.30337078651685395,74,0.1662921348314607
S15,0,447,0,0.5257270693512305,0.9102231408766005,0.0897768591233995,0,0,235,0.5257270693512305,137,0.30648769574944074,75,0.16778523489932887
S16,0,444,0,0.5315315315315315,0.9066934955929078,0.0933065044070922,0,0,236,0.5315315315315315,134,0.30180180180180183,74,0.16666666666666666
S17,0,456,0,0.5197368421052632,0.9098385180433168,0.09016148195668316,0,0,237,0.5197368421052632,145,0.31798245614035087,74,0.16228070175438597
