Subject,num_batches,num_samples,mean_max_class_ratio,std_max_class_ratio,mean_imbalance,std_imbalance,single_class_batch_ratio,mean_missing_classes,overall_class_0_ratio,overall_class_1_ratio,overall_class_2_ratio,Source_MacroF1,Tent_MacroF1,Tent_delta_vs_source,OFTTA_MacroF1,OFTTA_delta_vs_source
S2,1,424,0.5400943396226415,0.0,0.09631705064788021,0.0,0.0,0.0,0.5400943396226415,0.29009433962264153,0.16981132075471697,0.2352336928608115,0.696519889554022,0.46128619669321047,0.6590257350053186,0.42379204214450705
S3,1,431,0.5290023201856149,0.0,0.08821843290589881,0.0,0.0,0.0,0.5290023201856149,0.29698375870069604,0.1740139211136891,0.43841437503794084,0.6319682955299394,0.19355392049199854,0.5701094186587122,0.1316950436207714
S4,1,434,0.5345622119815668,0.0,0.09178492503141278,0.0,0.0,0.0,0.5345622119815668,0.2926267281105991,0.1728110599078341,0.4716138943522232,0.5698329947292603,0.09821910037703713,0.3898376937984496,-0.08177620055377355
S5,1,443,0.5395033860045146,0.0,0.09623475116298863,0.0,0.0,0.0,0.5395033860045146,0.291196388261851,0.16930022573363432,0.7342131701322474,0.8208921073736849,0.08667893724143749,0.8901083939116203,0.15589522377937293
S6,1,441,0.5351473922902494,0.0,0.09344838362822228,0.0,0.0,0.0,0.5351473922902494,0.2947845804988662,0.17006802721088435,0.4898240775533851,0.7389514683237541,0.24912739077036905,0.7645124654801313,0.2746883879267462
S7,1,440,0.5386363636363637,0.0,0.09518260485419394,0.0,0.0,0.0,0.5386363636363637,0.2909090909090909,0.17045454545454544,0.5735102784283111,0.6890807937859428,0.11557051535763163,0.604735883424408,0.031225604996096834
S8,1,442,0.5294117647058824,0.0,0.09181503751676412,0.0,0.0,0.0,0.5294117647058824,0.3031674208144796,0.167420814479638,0.46128687214527275,0.374226094932355,-0.08706077721291777,0.5563098929958371,0.09502302085056435
S9,1,439,0.5375854214123007,0.0,0.09553670925308066,0.0,0.0,0.0,0.5375854214123007,0.2938496583143508,0.16856492027334852,0.5884925201380898,0.5565262003053991,-0.031966319832690715,0.5397932224840386,-0.04869929765405123
S10,1,456,0.5175438596491229,0.0,0.08785563072232883,0.0,0.0,0.0,0.5175438596491229,0.31798245614035087,0.16447368421052633,0.4597626578001243,0.6503105440013132,0.19054788620118884,0.6864491543402088,0.2266864965400845
S11,1,446,0.5291479820627802,0.0,0.09250360323969742,0.0,0.0,0.0,0.5291479820627802,0.30493273542600896,0.16591928251121077,0.5206943218593704,0.6112491373360939,0.0905548154767235,0.4692327406171446,-0.05146158124222577
S13,1,445,0.5303370786516854,0.0,0.09052459363961618,0.0,0.0,0.0,0.5303370786516854,0.298876404494382,0.1707865168539326,0.4099908405552033,0.5239881704030481,0.11399732984784483,0.504421683096096,0.09443084254089273
S14,1,445,0.5303370786516854,0.0,0.09289887405655328,0.0,0.0,0.0,0.5303370786516854,0.30337078651685395,0.1662921348314607,0.46035902631647313,0.514706281372948,0.05434725505647492,0.4982793918932398,0.037920365576766646
S15,1,447,0.5257270693512305,0.0,0.0897768591233995,0.0,0.0,0.0,0.5257270693512305,0.30648769574944074,0.16778523489932887,0.8415877545054115,0.7179793283772744,-0.12360842612813705,0.7883059189692924,-0.05328183553611909
S16,1,444,0.5315315315315315,0.0,0.0933065044070922,0.0,0.0,0.0,0.5315315315315315,0.30180180180180183,0.16666666666666666,0.594541910331384,0.590636947626859,-0.0039049627045250057,0.58056104204588,-0.013980868285504044
S17,1,456,0.5197368421052632,0.0,0.09016148195668316,0.0,0.0,0.0,0.5197368421052632,0.31798245614035087,0.16228070175438597,0.6473452357729368,0.8128300736429402,0.16548483787000345,0.9033646851957533,0.2560194494228165
