Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MeanF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MeanF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MeanF1
S2,0.7854671280276817,0.8798449612403101,0.0,0.43992248062015504,0.7387543252595156,0.8448098663926003,0.17486338797814208,0.5098366271853711,0.5865051903114187,0.697084917617237,0.34877384196185285,0.5229293797895449
S3,0.7904599659284497,0.8816169393647738,0.08888888888888889,0.48525291412683136,0.8160136286201022,0.8875,0.4953271028037383,0.6914135514018691,0.6473594548551959,0.7509025270758123,0.3965014577259475,0.5737019924008799
S4,0.87248322147651,0.9130434782608695,0.7610062893081762,0.8370248837845229,0.7734899328859061,0.8640483383685801,0.32160804020100503,0.5928281892847925,0.7197986577181208,0.8055878928987195,0.4984984984984985,0.652043195698609
S5,0.9933554817275747,0.9957537154989384,0.9847328244274809,0.9902432699632097,0.6943521594684385,0.8075313807531381,0.25806451612903225,0.5327979484410852,0.7375415282392026,0.8286334056399133,0.4397163120567376,0.6341748588483255
S6,0.6755852842809364,0.7953586497890295,0.21774193548387097,0.5065502926364502,0.7274247491638796,0.8237837837837838,0.3985239852398524,0.6111538845118181,0.6337792642140468,0.7174193548387097,0.47980997624703087,0.5986146655428702
S7,0.9078726968174204,0.9446122860020141,0.7263681592039801,0.8354902226029971,0.847571189279732,0.9090909090909091,0.5284974093264249,0.718794159208667,0.7504187604690117,0.8285385500575374,0.5415384615384615,0.6850385057979995
S8,0.9019933554817275,0.9398572884811417,0.7354260089686099,0.8376416487248758,0.6910299003322259,0.8042105263157895,0.2677165354330709,0.5359635308744302,0.6644518272425249,0.7589498806682577,0.44808743169398907,0.6035186561811234
S9,0.8425460636515912,0.8886255924170616,0.7314285714285714,0.8100270819228166,0.7922948073701842,0.8737270875763747,0.41509433962264153,0.6444107135995081,0.7035175879396985,0.7900355871886121,0.49572649572649574,0.6428810414575539
S10,0.6558441558441559,0.792156862745098,0.0,0.396078431372549,0.7483766233766234,0.8413510747185261,0.39215686274509803,0.6167539687318121,0.5551948051948052,0.7072649572649573,0.07432432432432433,0.3907946407946408
S11,0.7768595041322314,0.8741845293569431,0.014598540145985401,0.44439153475146426,0.7619834710743801,0.8509316770186336,0.4098360655737705,0.630383871296202,0.7338842975206612,0.8151549942594719,0.5250737463126843,0.6701143702860781
S13,0.8675496688741722,0.9143468950749465,0.708029197080292,0.8111880460776193,0.7682119205298014,0.8494623655913979,0.49640287769784175,0.6729326216446199,0.38576158940397354,0.4583941605839416,0.29063097514340347,0.37451256786367254
S14,0.7164179104477612,0.82389289392379,0.2723404255319149,0.5481166597278524,0.7164179104477612,0.8213166144200627,0.3132530120481928,0.5672848132341277,0.5323383084577115,0.6083333333333333,0.41975308641975306,0.5140432098765432
S15,0.7508250825082509,0.83745963401507,0.4664310954063604,0.6519453647107152,0.6732673267326733,0.7889125799573561,0.2773722627737226,0.5331424213655394,0.47029702970297027,0.5656292286874154,0.321353065539112,0.4434911471132637
S16,0.6146179401993356,0.6704545454545454,0.536,0.6032272727272727,0.7591362126245847,0.8376259798432251,0.5337620578778135,0.6856940188605193,0.553156146179402,0.6173541963015647,0.4630738522954092,0.540214024298487
S17,0.9401993355481728,0.9617834394904459,0.8625954198473282,0.912189429668887,0.7541528239202658,0.8511066398390342,0.29523809523809524,0.5731723675385647,0.6362126245847176,0.694560669456067,0.5503080082135524,0.6224343388348097
Average,0.8061384529963982,0.8741994474076653,0.4737058237147639,0.6739526355612145,0.7508317987390717,0.8436939215779607,0.37184777004589614,0.6077708458119285,0.620681138135564,0.7095895770581032,0.4195446355798168,0.56456710631896
Std,0.10677433126525682,0.07893896470365284,0.33329130880141333,0.19030888862167442,0.045469943652069265,0.031049439244832066,0.10623833337443352,0.06355235205391786,0.10284383642533178,0.10402808613627683,0.11913033275409952,0.0953061402008477
