Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MeanF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MeanF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MeanF1
S2,0.78719723183391,0.8809293320425944,0.0,0.4404646660212972,0.7750865051903114,0.8555555555555555,0.4921875,0.6738715277777778,0.8235294117647058,0.8905579399141631,0.5446428571428571,0.7176003985285101
S3,0.8756388415672913,0.9232386961093586,0.672645739910314,0.7979422180098363,0.7461669505962522,0.831638418079096,0.4844290657439446,0.6580337419115203,0.7904599659284497,0.8655737704918033,0.525096525096525,0.6953351477941642
S4,0.7315436241610739,0.794344473007712,0.6135265700483091,0.7039355215280105,0.6308724832214765,0.7317073170731707,0.40860215053763443,0.5701547338054026,0.6862416107382551,0.766541822721598,0.5217391304347826,0.6441404765781903
S5,0.9983388704318937,0.9989417989417989,0.9961389961389961,0.9975403975403976,0.6611295681063123,0.7687074829931972,0.36645962732919257,0.567583555161195,0.7790697674418605,0.8533627342888643,0.5521885521885522,0.7027756432387082
S6,0.7157190635451505,0.834307992202729,0.0,0.4171539961013645,0.6722408026755853,0.7731481481481481,0.40963855421686746,0.5913933511825078,0.6204013377926422,0.720098643649815,0.4103896103896104,0.5652441270197127
S7,0.9279731993299832,0.9561671763506626,0.7981220657276995,0.8771446210391811,0.7621440536013401,0.8463203463203464,0.4740740740740741,0.6601972101972102,0.8542713567839196,0.9087093389296957,0.6390041493775933,0.7738567441536446
S8,0.8571428571428571,0.8988235294117647,0.7570621468926554,0.82794283815221,0.6478405315614618,0.7601809954751131,0.3375,0.5488404977375565,0.6727574750830565,0.7674144037780402,0.4481792717086835,0.6077968377433618
S9,0.8090452261306532,0.8661971830985915,0.6666666666666666,0.766431924882629,0.6800670016750419,0.7846674182638106,0.3778501628664495,0.5812587905651301,0.6901172529313233,0.7820965842167256,0.463768115942029,0.6229323500793773
S10,0.7581168831168831,0.8624192059095106,0.0,0.4312096029547553,0.6672077922077922,0.7591069330199764,0.46194225721784776,0.6105245951189121,0.75,0.8288888888888889,0.536144578313253,0.6825167336010709
S11,0.6628099173553719,0.7972166998011928,0.0,0.3986083499005964,0.684297520661157,0.782707622298066,0.4229607250755287,0.6028341736867974,0.6545454545454545,0.7429274292742928,0.473551637279597,0.6082395332769449
S13,0.7350993377483444,0.8297872340425532,0.40298507462686567,0.6163861543347094,0.6341059602649006,0.7450980392156863,0.3519061583577713,0.5485020987867288,0.44039735099337746,0.5382513661202186,0.28991596638655465,0.41408366625338666
S14,0.7346600331674958,0.8297872340425532,0.39849624060150374,0.6141417373220285,0.6285240464344942,0.746606334841629,0.30434782608695654,0.5254770804642928,0.4461028192371476,0.5282485875706214,0.3293172690763052,0.4287829283234633
S15,0.9455445544554455,0.9640914036996736,0.8873720136518771,0.9257317086757754,0.7343234323432343,0.8266953713670614,0.43109540636042404,0.6288953888637427,0.6567656765676567,0.7450980392156863,0.47474747474747475,0.6099227569815805
S16,0.6179401993355482,0.6742209631728046,0.5381526104417671,0.6061867868072859,0.7408637873754153,0.8138424821002387,0.5737704918032787,0.6938064869517586,0.5083056478405316,0.5685131195335277,0.42857142857142855,0.4985422740524781
S17,0.8504983388704319,0.8920863309352518,0.7567567567567568,0.8244215438460043,0.717607973421927,0.8106904231625836,0.4444444444444444,0.627567433803514,0.6843853820598007,0.7570332480818415,0.5497630331753555,0.6533981406285985
Average,0.8004845452128222,0.8668372835179169,0.49919499209756074,0.6830161378077387,0.6921652272891134,0.7891115258609118,0.42274722960762756,0.6059293777342698,0.6704900339805454,0.7508877277783854,0.4791346399887067,0.615011183883546
Std,0.10413758100955259,0.07787036771329309,0.337513076038873,0.19079124443277065,0.04817969953397352,0.037854366840773424,0.06733288220729963,0.04873362278817501,0.1219507743667235,0.1168392995446434,0.08722723261703517,0.09935498923470126
