Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_F1_2,Source_MeanF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_F1_2,Tent_MeanF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_F1_2,OFTTA_MeanF1
S2,0.6698113207547169,0.9464285714285714,0.0,0.51985559566787,0.48876138903214716,0.6910377358490566,0.8631578947368421,0.572463768115942,0.18556701030927836,0.5403962243873541,0.8231132075471698,0.9054945054945055,0.7264150943396226,0.7292817679558011,0.7870637892633097
S3,0.5406032482598608,0.6972477064220184,0.07518796992481203,0.0,0.2574785587822768,0.7842227378190255,0.9545454545454546,0.75,0.046511627906976744,0.5836856941508105,0.777262180974478,0.9517241379310345,0.7687687687687688,0.0,0.5734976355666012
S4,0.6152073732718893,0.7493261455525606,0.6684210526315789,0.017094017094017096,0.4782804050927189,0.8594470046082949,0.8873873873873874,0.9509433962264151,0.6289308176100629,0.8224205337412885,0.8778801843317973,0.8796296296296297,0.996078431372549,0.7071823204419889,0.8609634604813893
S5,0.7065462753950339,0.8722627737226277,0.696969696969697,0.07142857142857142,0.5468870140402987,0.8058690744920993,0.9330357142857143,0.821656050955414,0.3064516129032258,0.6870477927147848,0.9119638826185101,0.9258426966292135,0.9772727272727273,0.7796610169491526,0.8942588136170312
S6,0.5351473922902494,0.9936034115138592,0.019417475728155338,0.00966183574879227,0.3408942409969356,0.7868480725623582,0.9557522123893806,0.7621951219512195,0.11764705882352941,0.6118647977213766,0.7732426303854876,0.9580573951434879,0.7301587301587301,0.15789473684210525,0.6153702873814412
S7,0.6909090909090909,0.8464285714285714,0.6871794871794872,0.0,0.5112026862026862,0.7977272727272727,0.8452830188679246,0.9236641221374046,0.13636363636363635,0.6351035924563218,0.8295454545454546,0.8633879781420765,1.0,0.0,0.6211293260473588
S8,0.5407239819004525,0.5134474327628362,0.6683291770573566,0.0,0.3939255366067309,0.8461538461538461,0.9103139013452914,0.8963210702341137,0.5323741007194245,0.7796696907662767,0.8914027149321267,0.9532293986636972,0.9054054054054054,0.6618705035971223,0.8401684358887417
S9,0.8200455580865603,0.9892933618843683,0.7701492537313432,0.0,0.5864808718719039,0.7881548974943052,0.9655172413793104,0.7484662576687117,0.0,0.5713278330160073,0.8018223234624146,0.9720430107526882,0.7659574468085106,0.0,0.5793334858537329
S10,0.6600877192982456,0.6436781609195402,0.8113879003558719,0.5300353356890459,0.6617004656548194,0.7214912280701754,0.7296137339055794,0.9028213166144201,0.23622047244094488,0.6228851743203148,0.8508771929824561,0.8316831683168316,0.9177215189873418,0.78125,0.8435515624347244
S11,0.6883408071748879,0.8780487804878049,0.0,0.6636363636363637,0.5138950480413895,0.8363228699551569,0.8883720930232558,0.8292682926829268,0.72,0.8125467952353942,0.8385650224215246,0.86810551558753,0.7795527156549521,0.8765432098765432,0.8414004803730085
S13,0.6629213483146067,0.9827586206896551,0.48375451263537905,0.0,0.4888377111083447,0.8044943820224719,0.9559471365638766,0.7876923076923077,0.23423423423423423,0.6592912261634728,0.7528089887640449,0.9464285714285714,0.7295597484276729,0.11290322580645161,0.5962971818875653
S14,0.7101123595505618,0.960352422907489,0.6049382716049383,0.0,0.5217635648374758,0.755056179775281,0.9783549783549783,0.6790123456790124,0.0,0.5524557746779969,0.7213483146067415,0.9978768577494692,0.581081081081081,0.0,0.5263193129435167
S15,0.7695749440715883,0.9120370370370371,0.7906976744186046,0.1864406779661017,0.6297251298072478,0.756152125279642,0.9220183486238532,0.7290969899665551,0.3522012578616352,0.6677721988173478,0.7114093959731543,0.9195402298850575,0.6594202898550725,0.29508196721311475,0.6246808289844149
S16,0.8333333333333334,1.0,0.783625730994152,0.0,0.594541910331384,0.8288288288288288,0.9936305732484076,0.7859237536656891,0.0,0.5931847756380323,0.8333333333333334,1.0,0.783625730994152,0.0,0.594541910331384
S17,0.8223684210526315,0.8893058161350844,0.9230769230769231,0.0,0.6041275797373359,0.6951754385964912,0.8309178743961353,0.7988826815642458,0.02857142857142857,0.5527906615106032,0.6557017543859649,0.7857142857142857,0.7967032967032966,0.0,0.5274725274725275
Average,0.6843822115775807,0.8582812541928017,0.5322090084205533,0.13321015981538414,0.5079001408095797,0.7837987796156205,0.9075898375368928,0.7958938316769585,0.2350048838496251,0.6461628510211589,0.8033517720843105,0.9172504920712053,0.8078480657219923,0.34011124991215197,0.6884032692351166
Std,0.09582271876106338,0.14061539799095382,0.32161663322091955,0.22593126448890336,0.10595454321816423,0.04997770802211182,0.06717149521774951,0.09569855236417568,0.22619187655397102,0.09008225394123,0.06913794613088386,0.0593982775437492,0.12102094157620506,0.3508274482347346,0.13187931310780765
