Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_F1_2,Source_MeanF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_F1_2,Tent_MeanF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_F1_2,OFTTA_MeanF1
S2,0.5400943396226415,0.7057010785824345,0.0,0.0,0.2352336928608115,0.7830188679245284,0.909952606635071,0.6545454545454545,0.6601941747572816,0.7415640786459358,0.7264150943396226,0.9422632794457275,0.39263803680981596,0.5714285714285714,0.6354432958947049
S3,0.6566125290023201,0.7889273356401384,0.5263157894736842,0.0,0.43841437503794084,0.7633410672853829,0.9305555555555556,0.7630769230769231,0.0761904761904762,0.5899409849409849,0.7540603248259861,0.9270588235294117,0.7687687687687688,0.0,0.5652758640993935
S4,0.619815668202765,0.7560321715817694,0.6381909547738693,0.020618556701030927,0.4716138943522232,0.7119815668202765,0.803347280334728,0.8582375478927203,0.07751937984496124,0.5797014026908032,0.7511520737327189,0.8329979879275654,0.8981132075471698,0.0,0.5770370651582452
S5,0.8126410835214447,0.9409448818897638,0.7414634146341463,0.5202312138728323,0.7342131701322474,0.8510158013544018,0.9036697247706422,0.9148936170212766,0.6071428571428571,0.8085687329782587,0.9232505643340858,0.9448123620309051,0.9662921348314607,0.7951807228915663,0.9020950732513108
S6,0.6621315192743764,0.9587852494577006,0.029850746268656716,0.4808362369337979,0.4898240775533851,0.7959183673469388,0.9175946547884187,0.721030042918455,0.61,0.7495415659022912,0.8140589569160998,0.9356984478935698,0.7433628318584071,0.624390243902439,0.767817174551472
S7,0.7568181818181818,0.8633879781420765,0.8571428571428571,0.0,0.5735102784283111,0.8113636363636364,0.8522072936660269,0.9420849420849421,0.26,0.6847640785836564,0.8227272727272728,0.8633879781420765,0.9881422924901185,0.0,0.6171767568773984
S8,0.5633484162895928,0.5437352245862884,0.8401253918495298,0.0,0.46128687214527275,0.4592760180995475,0.6219239373601789,0.5203252032520326,0.0,0.38074971353740383,0.7330316742081447,0.7630522088353414,0.9337979094076655,0.0,0.5656167060810023
S9,0.826879271070615,0.9957805907172996,0.7696969696969697,0.0,0.5884925201380898,0.6947608200455581,0.8842592592592593,0.7192429022082019,0.0,0.5345007204891538,0.6947608200455581,0.8564593301435407,0.7659574468085106,0.0,0.5408055923173505
S10,0.5635964912280702,0.8708133971291866,0.0,0.5084745762711864,0.4597626578001243,0.625,0.6391184573002755,0.5675675675675675,0.7150837988826816,0.6405899412501749,0.6864035087719298,0.6815642458100558,0.6186666666666667,0.8379888268156425,0.712739913097455
S11,0.6860986547085202,0.8436363636363636,0.0,0.7184466019417476,0.5206943218593704,0.6569506726457399,0.86810551558753,0.5074626865671642,0.4251207729468599,0.6002296583671848,0.5964125560538116,0.8946135831381733,0.011299435028248588,0.5138888888888888,0.4732673023517702
S13,0.5685393258426966,0.9649122807017544,0.26506024096385544,0.0,0.4099908405552033,0.6202247191011236,0.9048723897911833,0.5054151624548736,0.12087912087912088,0.5103888910417259,0.6561797752808989,0.9978768577494692,0.3598326359832636,0.15555555555555556,0.504421683096096
S14,0.6247191011235955,0.9626373626373627,0.41843971631205673,0.0,0.46035902631647313,0.6966292134831461,0.960352422907489,0.5986842105263158,0.015151515151515152,0.5247293828617733,0.6606741573033708,0.980561555075594,0.4575645756457565,0.0641025641025641,0.5007428982746381
S15,0.9082774049217002,0.9957264957264957,0.8681672025723473,0.6608695652173913,0.8415877545054115,0.7829977628635347,0.8811188811188811,0.7610062893081762,0.54421768707483,0.7287809525006291,0.8187919463087249,0.9170506912442397,0.7621951219512195,0.6363636363636364,0.7718698165196985
S16,0.8333333333333334,1.0,0.783625730994152,0.0,0.594541910331384,0.7747747747747747,0.9348314606741573,0.7905604719764012,0.038461538461538464,0.5879511570373658,0.8018018018018018,0.9694323144104804,0.783625730994152,0.0,0.5843526818015441
S17,0.75,0.9936305732484076,0.3825136612021858,0.5658914728682171,0.6473452357729368,0.8508771929824561,0.974025974025974,0.8206686930091185,0.4628099173553719,0.7525015281301548,0.9210526315789473,0.9871794871794872,0.8787878787878788,0.8111111111111111,0.8923594923594923
Average,0.6915270213306569,0.8789767322451362,0.4747061783922873,0.23169121492041356,0.5284580418526122,0.725208698739403,0.8657290275850248,0.7096534476273083,0.3075180825791663,0.6276335192638332,0.7573848772152648,0.899600610170376,0.6886029782386067,0.33400067473733164,0.6407347543821048
Std,0.11264482170550619,0.12828442985838676,0.33137619240725513,0.28621093588454666,0.13935469059685981,0.1009939200806524,0.10090601736622337,0.14066202625136032,0.26536032299986945,0.11249849202119797,0.09077209155877948,0.08516797801509576,0.2645208998831977,0.33988557446517137,0.13304674613710102
