Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_F1_2,Source_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_F1_2,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_F1_2,OFTTA_MacroF1
S2,0.5400943396226415,0.7057010785824345,0.0,0.0,0.2352336928608115,0.5448113207547169,0.6623376623376623,0.4090909090909091,0.39759036144578314,0.48967297762478484,0.6344339622641509,0.751004016064257,0.4536082474226804,0.48717948717948717,0.5639305835554749
S3,0.6566125290023201,0.7889273356401384,0.5263157894736842,0.0,0.43841437503794084,0.5034802784222738,0.6597510373443983,0.4380165289256198,0.07246376811594203,0.39007711146198676,0.505800464037123,0.6963562753036437,0.39655172413793105,0.0,0.3643026664805249
S4,0.619815668202765,0.7560321715817694,0.6381909547738693,0.020618556701030927,0.4716138943522232,0.49539170506912444,0.547945205479452,0.6098360655737705,0.032,0.39659375701774086,0.5230414746543779,0.6055045871559633,0.6333333333333333,0.0,0.4129459734964322
S5,0.8126410835214447,0.9409448818897638,0.7414634146341463,0.5202312138728323,0.7342131701322474,0.4221218961625282,0.4349775784753363,0.5351170568561873,0.14184397163120568,0.3706462023209098,0.5079006772009029,0.5623678646934461,0.5904059040590406,0.16901408450704225,0.4405959510865097
S6,0.6621315192743764,0.9587852494577006,0.029850746268656716,0.4808362369337979,0.4898240775533851,0.43537414965986393,0.5330396475770925,0.3360655737704918,0.32608695652173914,0.39839739262310775,0.4444444444444444,0.5584415584415584,0.32286995515695066,0.3147208121827411,0.3986774419270834
S7,0.7568181818181818,0.8633879781420765,0.8571428571428571,0.0,0.5735102784283111,0.43863636363636366,0.4764044943820225,0.60431654676259,0.03821656050955414,0.37297920055138883,0.5340909090909091,0.5788336933045356,0.6950354609929078,0.044444444444444446,0.43943786624729597
S8,0.5633484162895928,0.5437352245862884,0.8401253918495298,0.0,0.46128687214527275,0.31447963800904977,0.5165562913907285,0.20952380952380953,0.0,0.242026700304846,0.3936651583710407,0.6021052631578947,0.29107981220657275,0.0,0.2977283584548225
S9,0.826879271070615,0.9957805907172996,0.7696969696969697,0.0,0.5884925201380898,0.3553530751708428,0.465,0.38125,0.02531645569620253,0.29052215189873415,0.4988610478359909,0.5942028985507246,0.5542168674698795,0.06060606060606061,0.4030086088755549
S10,0.5635964912280702,0.8708133971291866,0.0,0.5084745762711864,0.4597626578001243,0.4232456140350877,0.42298850574712643,0.5558739255014327,0.0625,0.3471208104161863,0.4276315789473684,0.4662004662004662,0.527536231884058,0.057971014492753624,0.35056923752575925
S11,0.6860986547085202,0.8436363636363636,0.0,0.7184466019417476,0.5206943218593704,0.3542600896860987,0.42790697674418604,0.40789473684210525,0.05063291139240506,0.2954782083262321,0.3923766816143498,0.5375302663438256,0.27205882352941174,0.2608695652173913,0.35681955169687624
S13,0.5685393258426966,0.9649122807017544,0.26506024096385544,0.0,0.4099908405552033,0.41797752808988764,0.4884210526315789,0.4367816091954023,0.16883116883116883,0.3646779435527167,0.4157303370786517,0.5031712473572939,0.4470588235294118,0.1111111111111111,0.3537803939992723
S14,0.6247191011235955,0.9626373626373627,0.41843971631205673,0.0,0.46035902631647313,0.4067415730337079,0.54292343387471,0.25757575757575757,0.3076923076923077,0.36939716638092507,0.43595505617977526,0.599009900990099,0.2785714285714286,0.3300970873786408,0.40255947231338945
S15,0.9082774049217002,0.9957264957264957,0.8681672025723473,0.6608695652173913,0.8415877545054115,0.4541387024608501,0.4524421593830334,0.5398773006134969,0.3016759776536313,0.4313318125500539,0.5167785234899329,0.45325779036827196,0.5947368421052631,0.4720496894409938,0.5066814406381762
S16,0.8333333333333334,1.0,0.783625730994152,0.0,0.594541910331384,0.4864864864864865,0.5491803278688525,0.5594405594405595,0.03508771929824561,0.38123620220255255,0.5,0.6172248803827751,0.5224719101123596,0.0,0.3798989301650449
S17,0.75,0.9936305732484076,0.3825136612021858,0.5658914728682171,0.6473452357729368,0.38377192982456143,0.42358078602620086,0.5048543689320388,0.0,0.3094783849860799,0.43201754385964913,0.5298329355608592,0.5584415584415584,0.0,0.3627581646674725
Average,0.6915270213306569,0.8789767322451362,0.4747061783922873,0.23169121492041356,0.5284580418526122,0.42908469003342964,0.506897010617492,0.4523676499069447,0.13066254391921234,0.36330906814788305,0.47751519060457776,0.5770029095917076,0.47586512819685256,0.15387089043737776,0.40224630940864603
Std,0.11264482170550619,0.12828442985838676,0.33137619240725513,0.28621093588454666,0.13935469059685981,0.06016933531507815,0.07503755983514356,0.11750849218262223,0.13132769101685687,0.05883670172470466,0.06303396056811413,0.07560791201323841,0.13254248093154605,0.16951257307607012,0.06404987792434634
