Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_F1_2,Source_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_F1_2,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_F1_2,OFTTA_MacroF1
S2,0.5400943396226415,0.7057010785824345,0.0,0.0,0.2352336928608115,0.7523584905660378,0.9095238095238095,0.5953488372093023,0.6009389671361502,0.7019372046230874,0.7240566037735849,0.9471264367816092,0.36477987421383645,0.5669291338582677,0.6262784816179044
S3,0.6566125290023201,0.7889273356401384,0.5263157894736842,0.0,0.43841437503794084,0.7819025522041764,0.9370629370629371,0.7863777089783281,0.16363636363636364,0.6290256698925429,0.765661252900232,0.9517241379310345,0.7507692307692307,0.0196078431372549,0.5740337372791734
S4,0.619815668202765,0.7560321715817694,0.6381909547738693,0.020618556701030927,0.4716138943522232,0.7004608294930875,0.7966457023060797,0.8538461538461538,0.04580152671755725,0.5654311276232636,0.7373271889400922,0.8211382113821138,0.8973384030418251,0.0,0.572825538141313
S5,0.8126410835214447,0.9409448818897638,0.7414634146341463,0.5202312138728323,0.7342131701322474,0.8510158013544018,0.9061784897025171,0.9020979020979021,0.6134969325153374,0.8072577747719188,0.909706546275395,0.9330357142857143,0.9626865671641791,0.7647058823529411,0.8868093879342781
S6,0.6621315192743764,0.9587852494577006,0.029850746268656716,0.4808362369337979,0.4898240775533851,0.7936507936507936,0.9123595505617977,0.7142857142857143,0.6231155778894473,0.7499202809123199,0.8163265306122449,0.9309576837416481,0.759825327510917,0.6274509803921569,0.772744663881574
S7,0.7568181818181818,0.8633879781420765,0.8571428571428571,0.0,0.5735102784283111,0.8181818181818182,0.859344894026975,0.937984496124031,0.3106796116504854,0.7026696672671638,0.8227272727272728,0.8633879781420765,0.9881422924901185,0.0,0.6171767568773984
S8,0.5633484162895928,0.5437352245862884,0.8401253918495298,0.0,0.46128687214527275,0.4502262443438914,0.6219239373601789,0.4838709677419355,0.0,0.36859830170070484,0.7375565610859729,0.768,0.9403508771929825,0.0,0.5694502923976609
S9,0.826879271070615,0.9957805907172996,0.7696969696969697,0.0,0.5884925201380898,0.7038724373576309,0.8867924528301887,0.7469135802469136,0.0,0.5445686776923674,0.6902050113895216,0.8543689320388349,0.7696969696969697,0.0,0.5413553005786015
S10,0.5635964912280702,0.8708133971291866,0.0,0.5084745762711864,0.4597626578001243,0.625,0.6373626373626373,0.5714285714285714,0.711864406779661,0.6402185385236233,0.6951754385964912,0.6888888888888889,0.6293333333333333,0.847457627118644,0.721893283113622
S11,0.6860986547085202,0.8436363636363636,0.0,0.7184466019417476,0.5206943218593704,0.6860986547085202,0.8867924528301887,0.5576208178438662,0.4321608040201005,0.6255246915647185,0.6031390134529148,0.9023255813953488,0.011627906976744186,0.5103448275862069,0.47476610531943325
S13,0.5685393258426966,0.9649122807017544,0.26506024096385544,0.0,0.4099908405552033,0.647191011235955,0.9153318077803204,0.5486111111111112,0.10909090909090909,0.524344609327447,0.6404494382022472,0.9957446808510638,0.31759656652360513,0.1497326203208556,0.4876912892318415
S14,0.6247191011235955,0.9626373626373627,0.41843971631205673,0.0,0.46035902631647313,0.6943820224719102,0.9649122807017544,0.584717607973422,0.015037593984962405,0.5215558275533797,0.6629213483146067,0.9739130434782609,0.4782608695652174,0.06493506493506493,0.5057029926595143
S15,0.9082774049217002,0.9957264957264957,0.8681672025723473,0.6608695652173913,0.8415877545054115,0.7874720357941835,0.8915094339622641,0.7569230769230769,0.5517241379310345,0.7333855496054585,0.814317673378076,0.9195402298850575,0.7575757575757576,0.6046511627906976,0.7605890500838376
S16,0.8333333333333334,1.0,0.783625730994152,0.0,0.594541910331384,0.7882882882882883,0.9534368070953437,0.7859237536656891,0.020833333333333332,0.5867312980314553,0.7905405405405406,0.9580573951434879,0.783625730994152,0.0,0.58056104204588
S17,0.75,0.9936305732484076,0.3825136612021858,0.5658914728682171,0.6473452357729368,0.8706140350877193,0.9695652173913043,0.8544303797468354,0.5735294117647058,0.7991750029676151,0.9298245614035088,0.9850107066381156,0.898876404494382,0.8314606741573034,0.9051159284299336
Average,0.6915270213306569,0.8789767322451362,0.4747061783922873,0.23169121492041356,0.5284580418526122,0.7300476676492276,0.8699161606998865,0.7120253786148568,0.3181273050966698,0.6333562814704712,0.7559956654395134,0.8995479747055504,0.68736574076955,0.33248505444329285,0.6397995899727977
Std,0.11264482170550619,0.12828442985838676,0.33137619240725513,0.28621093588454666,0.13935469059685981,0.10232163458538228,0.10304814851517671,0.13999816996310693,0.26739624364449854,0.11550356227196591,0.09008873804614818,0.0833432936022536,0.2700424928587509,0.33707277479240266,0.13327168628012467
