Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_F1_2,Source_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_F1_2,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_F1_2,OFTTA_MacroF1
S2,0.5400943396226415,0.7057010785824345,0.0,0.0,0.2352336928608115,0.7523584905660378,0.9198113207547169,0.5781990521327014,0.5915492957746479,0.696519889554022,0.7405660377358491,0.9422632794457275,0.4470588235294118,0.5877551020408164,0.6590257350053186
S3,0.6566125290023201,0.7889273356401384,0.5263157894736842,0.0,0.43841437503794084,0.7981438515081206,0.958904109589041,0.7753846153846153,0.16161616161616163,0.6319682955299394,0.7888631090487239,0.9955947136563876,0.7147335423197492,0.0,0.5701094186587122
S4,0.619815668202765,0.7560321715817694,0.6381909547738693,0.020618556701030927,0.4716138943522232,0.7119815668202765,0.8008298755186722,0.8769230769230769,0.031746031746031744,0.5698329947292603,0.5714285714285714,0.8671875,0.3023255813953488,0.0,0.3898376937984496
S5,0.8126410835214447,0.9409448818897638,0.7414634146341463,0.5202312138728323,0.7342131701322474,0.8623024830699775,0.9136363636363637,0.9148936170212766,0.6341463414634146,0.8208921073736849,0.9142212189616253,0.9401330376940134,0.9591078066914498,0.7710843373493976,0.8901083939116203
S6,0.6621315192743764,0.9587852494577006,0.029850746268656716,0.4808362369337979,0.4898240775533851,0.7891156462585034,0.9261744966442953,0.6926406926406926,0.5980392156862745,0.7389514683237541,0.8072562358276644,0.9237668161434978,0.7543859649122807,0.6153846153846154,0.7645124654801313
S7,0.7568181818181818,0.8633879781420765,0.8571428571428571,0.0,0.5735102784283111,0.8090909090909091,0.8576923076923076,0.9182879377431906,0.2912621359223301,0.6890807937859428,0.8022727272727272,0.8633879781420765,0.9508196721311475,0.0,0.604735883424408
S8,0.5633484162895928,0.5437352245862884,0.8401253918495298,0.0,0.46128687214527275,0.45248868778280543,0.6247191011235955,0.49795918367346936,0.0,0.374226094932355,0.7194570135746606,0.7479674796747967,0.9209621993127147,0.0,0.5563098929958371
S9,0.826879271070615,0.9957805907172996,0.7696969696969697,0.0,0.5884925201380898,0.7220956719817767,0.9002320185614849,0.7530864197530864,0.016260162601626018,0.5565262003053991,0.6856492027334852,0.8459657701711492,0.7734138972809668,0.0,0.5397932224840386
S10,0.5635964912280702,0.8708133971291866,0.0,0.5084745762711864,0.4597626578001243,0.6337719298245614,0.6519337016574586,0.5667574931880109,0.73224043715847,0.6503105440013132,0.6600877192982456,0.6552706552706553,0.5888594164456233,0.8152173913043478,0.6864491543402088
S11,0.6860986547085202,0.8436363636363636,0.0,0.7184466019417476,0.5206943218593704,0.6704035874439462,0.8761904761904762,0.5289855072463768,0.42857142857142855,0.6112491373360939,0.5919282511210763,0.892018779342723,0.0,0.5156794425087108,0.4692327406171446
S13,0.5685393258426966,0.9649122807017544,0.26506024096385544,0.0,0.4099908405552033,0.6382022471910113,0.9124423963133641,0.5338078291814946,0.12571428571428572,0.5239881704030481,0.6561797752808989,0.9978768577494692,0.3598326359832636,0.15555555555555556,0.504421683096096
S14,0.6247191011235955,0.9626373626373627,0.41843971631205673,0.0,0.46035902631647313,0.6853932584269663,0.9626373626373627,0.5666666666666667,0.014814814814814815,0.514706281372948,0.6561797752808989,0.9694323144104804,0.4731182795698925,0.05228758169934641,0.4982793918932398
S15,0.9082774049217002,0.9957264957264957,0.8681672025723473,0.6608695652173913,0.8415877545054115,0.7718120805369127,0.8708133971291866,0.7560975609756098,0.527027027027027,0.7179793283772744,0.8366890380313199,0.9220183486238532,0.7928994082840237,0.65,0.7883059189692924
S16,0.8333333333333334,1.0,0.783625730994152,0.0,0.594541910331384,0.7815315315315315,0.9440715883668904,0.788235294117647,0.039603960396039604,0.590636947626859,0.7905405405405406,0.9580573951434879,0.783625730994152,0.0,0.58056104204588
S17,0.75,0.9936305732484076,0.3825136612021858,0.5658914728682171,0.6473452357729368,0.881578947368421,0.974025974025974,0.8598130841121495,0.6046511627906976,0.8128300736429402,0.9298245614035088,0.9893390191897654,0.8939393939393939,0.8268156424581006,0.9033646851957533
Average,0.6915270213306569,0.8789767322451362,0.4747061783922873,0.23169121492041356,0.5284580418526122,0.7306847259601171,0.8729409659894127,0.7071825353840044,0.31981616408554997,0.6333132218196557,0.7434095851693197,0.9006853296438723,0.6476721568526279,0.332651977886726,0.6270031547944086
Std,0.11264482170550619,0.12828442985838676,0.33137619240725513,0.28621093588454666,0.13935469059685981,0.10340799194069686,0.10185306105620973,0.14547341713608877,0.26689761696591224,0.11504072799118736,0.10426235424584919,0.09228127418972729,0.26972390000763347,0.3388633525422014,0.14749337135289067
