Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_F1_2,Source_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_F1_2,Tent_MacroF1,EMATent_Acc,EMATent_F1_0,EMATent_F1_1,EMATent_F1_2,EMATent_MacroF1,EMATentProbe025_Acc,EMATentProbe025_F1_0,EMATentProbe025_F1_1,EMATentProbe025_F1_2,EMATentProbe025_MacroF1,EMATentProbe050_Acc,EMATentProbe050_F1_0,EMATentProbe050_F1_1,EMATentProbe050_F1_2,EMATentProbe050_MacroF1,EMATentProbe100_Acc,EMATentProbe100_F1_0,EMATentProbe100_F1_1,EMATentProbe100_F1_2,EMATentProbe100_MacroF1,EMATentMinGate025_Acc,EMATentMinGate025_F1_0,EMATentMinGate025_F1_1,EMATentMinGate025_F1_2,EMATentMinGate025_MacroF1,EMATentMinGate050_Acc,EMATentMinGate050_F1_0,EMATentMinGate050_F1_1,EMATentMinGate050_F1_2,EMATentMinGate050_MacroF1
S2,0.5400943396226415,0.7057010785824345,0.0,0.0,0.2352336928608115,0.5070754716981132,0.5995203836930456,0.4388185654008439,0.3917525773195876,0.47669717547115903,0.660377358490566,0.9298245614035088,0.032,0.4943820224719101,0.48540219462513967,0.6533018867924528,0.925764192139738,0.016129032258064516,0.48120300751879697,0.47436541063886645,0.6533018867924528,0.9217391304347826,0.016129032258064516,0.48484848484848486,0.4742388825137773,0.6650943396226415,0.925764192139738,0.06299212598425197,0.5019011406844106,0.49688581960280026,0.6650943396226415,0.9298245614035088,0.06299212598425197,0.4981132075471698,0.49697663164497685,0.6698113207547169,0.9318681318681319,0.09302325581395349,0.5,0.5082971292273618
S3,0.6566125290023201,0.7889273356401384,0.5263157894736842,0.0,0.43841437503794084,0.5150812064965197,0.6347826086956522,0.4163568773234201,0.3007518796992481,0.45063045523944006,0.7842227378190255,0.9402061855670103,0.7284768211920529,0.0,0.5562276689196878,0.7842227378190255,0.9382716049382716,0.7308970099667774,0.0,0.556389538301683,0.7865429234338747,0.9382716049382716,0.7375415282392026,0.0,0.5586043777258247,0.7865429234338747,0.9360824742268041,0.7441860465116279,0.0,0.5600895069128107,0.7888631090487239,0.9402061855670103,0.7417218543046358,0.0,0.5606426799572154,0.7842227378190255,0.930327868852459,0.7449664429530202,0.0,0.5584314372684931
S4,0.619815668202765,0.7560321715817694,0.6381909547738693,0.020618556701030927,0.4716138943522232,0.5092165898617511,0.6179540709812108,0.5089605734767025,0.03636363636363636,0.3877594269405166,0.576036866359447,0.6855524079320113,0.6180048661800487,0.038461538461538464,0.4473396041911995,0.576036866359447,0.6855524079320113,0.6195121951219512,0.0380952380952381,0.44771994704973356,0.576036866359447,0.6855524079320113,0.6195121951219512,0.0380952380952381,0.44771994704973356,0.5829493087557603,0.6834733893557423,0.6287128712871287,0.07476635514018691,0.4623175385943526,0.576036866359447,0.6855524079320113,0.616504854368932,0.038834951456310676,0.44696407125241794,0.5783410138248848,0.6892655367231638,0.6180048661800487,0.038834951456310676,0.44870178478650774
S5,0.8126410835214447,0.9409448818897638,0.7414634146341463,0.5202312138728323,0.7342131701322474,0.5033860045146726,0.5826086956521739,0.45791245791245794,0.32558139534883723,0.4553675163044897,0.8668171557562077,0.9356984478935698,0.8864468864468864,0.6419753086419753,0.8213735476608104,0.8623024830699775,0.9380530973451328,0.875,0.6296296296296297,0.8142275756582542,0.8510158013544018,0.9309576837416481,0.8686131386861314,0.6012269938650306,0.80026593876427,0.837471783295711,0.918918918918919,0.8644688644688645,0.5798816568047337,0.7877564800641723,0.8555304740406321,0.9403973509933775,0.8633093525179856,0.5935483870967742,0.7990850302027125,0.8397291196388262,0.9309576837416481,0.8540925266903915,0.5512820512820513,0.7787774205713637
S6,0.6621315192743764,0.9587852494577006,0.029850746268656716,0.4808362369337979,0.4898240775533851,0.43537414965986393,0.5318181818181819,0.4028776978417266,0.23170731707317074,0.38880106557769306,0.7052154195011338,0.8986175115207373,0.627906976744186,0.3684210526315789,0.6316485136321675,0.7006802721088435,0.8909512761020881,0.6230769230769231,0.3769633507853403,0.6303305166547838,0.6938775510204082,0.8811188811188811,0.6159695817490495,0.37894736842105264,0.6253452770963278,0.6870748299319728,0.8732394366197183,0.6090225563909775,0.37894736842105264,0.6204031204772494,0.7074829931972789,0.8914549653579676,0.6387832699619772,0.3763440860215054,0.63552744044715,0.7052154195011338,0.8863109048723898,0.6367041198501873,0.3804347826086957,0.6344832691104242
S7,0.7568181818181818,0.8633879781420765,0.8571428571428571,0.0,0.5735102784283111,0.42727272727272725,0.4909090909090909,0.44787644787644787,0.2430939226519337,0.3939598204791575,0.925,0.948,0.9718875502008032,0.7480916030534351,0.8893263844180795,0.925,0.948,0.9718875502008032,0.7480916030534351,0.8893263844180795,0.925,0.948,0.9718875502008032,0.7480916030534351,0.8893263844180795,0.925,0.948,0.9718875502008032,0.7480916030534351,0.8893263844180795,0.925,0.948,0.9718875502008032,0.7480916030534351,0.8893263844180795,0.9181818181818182,0.9423459244532804,0.9718875502008032,0.71875,0.8776611582180278
S8,0.5633484162895928,0.5437352245862884,0.8401253918495298,0.0,0.46128687214527275,0.2986425339366516,0.4428904428904429,0.2716049382716049,0.03773584905660377,0.2507437434062172,0.5769230769230769,0.6015831134564644,0.7810650887573964,0.10778443113772455,0.4968108777838618,0.581447963800905,0.6031746031746031,0.7833827893175074,0.1301775147928994,0.5055783024283367,0.579185520361991,0.6031746031746031,0.7833827893175074,0.11834319526627218,0.5016335292527943,0.5723981900452488,0.612565445026178,0.764525993883792,0.12571428571428572,0.5009352415414187,0.5769230769230769,0.6015831134564644,0.7833827893175074,0.10714285714285714,0.497369586638943,0.579185520361991,0.6109660574412533,0.7807807807807807,0.10714285714285714,0.4996298984549637
S9,0.826879271070615,0.9957805907172996,0.7696969696969697,0.0,0.5884925201380898,0.48291571753986334,0.5700712589073634,0.46496815286624205,0.26573426573426573,0.43359122583595705,0.7904328018223234,0.960352422907489,0.7543859649122807,0.0,0.5715794626065899,0.7881548974943052,0.9580573951434879,0.7521865889212828,0.0,0.5700813280215903,0.7835990888382688,0.9534368070953437,0.7521865889212828,0.0,0.5685411320055421,0.765375854214123,0.9345372460496614,0.7371428571428571,0.0,0.5572267010641728,0.7835990888382688,0.9534368070953437,0.7521865889212828,0.0,0.5685411320055421,0.7699316628701595,0.9417040358744395,0.7398843930635838,0.0,0.5605294763126745
S10,0.5635964912280702,0.8708133971291866,0.0,0.5084745762711864,0.4597626578001243,0.4934210526315789,0.5170068027210885,0.5185185185185185,0.3673469387755102,0.4676240866717057,0.6052631578947368,0.5476923076923077,0.5670886075949367,0.78125,0.6320103050957481,0.5964912280701754,0.5432098765432098,0.5575447570332481,0.7614213197969543,0.6207253177911375,0.5942982456140351,0.5432098765432098,0.5538461538461539,0.7575757575757576,0.6182105959883738,0.5942982456140351,0.5432098765432098,0.5538461538461539,0.7575757575757576,0.6182105959883738,0.6074561403508771,0.5476923076923077,0.5707070707070707,0.7853403141361257,0.6345798975118347,0.625,0.5521472392638037,0.5970149253731343,0.8152173913043478,0.6547931853137618
S11,0.6860986547085202,0.8436363636363636,0.0,0.7184466019417476,0.5206943218593704,0.36995515695067266,0.47641509433962265,0.3732394366197183,0.11956521739130435,0.3230732494502151,0.5336322869955157,0.8170426065162907,0.013333333333333334,0.4314868804664723,0.4206209401053654,0.5336322869955157,0.8170426065162907,0.013333333333333334,0.4314868804664723,0.4206209401053654,0.5336322869955157,0.8170426065162907,0.013333333333333334,0.4314868804664723,0.4206209401053654,0.5403587443946188,0.8170426065162907,0.06451612903225806,0.4319526627218935,0.4378371327568141,0.5336322869955157,0.8170426065162907,0.013333333333333334,0.4314868804664723,0.4206209401053654,0.5426008968609866,0.815,0.07643312101910828,0.43582089552238806,0.4424180055138321
