Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_class_2_count,true_class_2_ratio,true_max_class_ratio,true_num_present_classes
S2,EMATent,0.1494554877281189,0.1494554877281189,0.9649808406829834,0,0.45516335368156435,0.5,0.04483664631843567,0.0,0.0,0,64,42,0.65625,13,0.203125,9,0.140625,0.65625,3
S2,EMATent,0.32519450783729553,0.32519450783729553,0.930118203163147,1,0.40244164764881135,0.5,0.09755835235118866,0.0,0.0,1,64,34,0.53125,22,0.34375,8,0.125,0.53125,3
S2,EMATent,0.3765721321105957,0.3765721321105957,0.9403721690177917,1,0.3870283603668213,0.5,0.1129716396331787,0.0,0.0,2,64,40,0.625,14,0.21875,10,0.15625,0.625,3
S2,EMATent,0.4232022762298584,0.4232022762298584,0.9195583462715149,1,0.3730393171310425,0.5,0.1269606828689575,0.0,0.0,3,64,34,0.53125,20,0.3125,10,0.15625,0.53125,3
S2,EMATent,0.5360774397850037,0.5360774397850037,0.8662828803062439,1,0.3391767680644989,0.5,0.1608232319355011,0.0,0.0,4,64,26,0.40625,22,0.34375,16,0.25,0.40625,3
S2,EMATent,0.5751290321350098,0.5751290321350098,0.9062318801879883,1,0.3274612903594971,0.5,0.1725387096405029,0.0,0.0,5,64,36,0.5625,19,0.296875,9,0.140625,0.5625,3
S2,EMATent,0.6957151889801025,0.6957151889801025,0.8394506573677063,1,0.2912854433059692,0.5,0.20871455669403075,0.0,0.0,6,40,17,0.425,13,0.325,10,0.25,0.425,3
S2,EMATentProbe025,0.25466930866241455,0.25466930866241455,0.9310941696166992,1,0.42359920740127566,0.5,0.07640079259872436,0.25,0.0,0,64,42,0.65625,13,0.203125,9,0.140625,0.65625,3
S2,EMATentProbe025,0.4297062158584595,0.4297062158584595,0.9079067707061768,1,0.3710881352424622,0.5,0.12891186475753783,0.25,0.0,1,64,34,0.53125,22,0.34375,8,0.125,0.53125,3
S2,EMATentProbe025,0.4644400477409363,0.4644400477409363,0.9178540706634521,1,0.3606679856777191,0.5,0.13933201432228087,0.25,0.0,2,64,40,0.625,14,0.21875,10,0.15625,0.625,3
S2,EMATentProbe025,0.5364241003990173,0.5364241003990173,0.875569224357605,1,0.3390727698802948,0.5,0.1609272301197052,0.25,0.0,3,64,34,0.53125,20,0.3125,10,0.15625,0.53125,3
S2,EMATentProbe025,0.6446396112442017,0.6446396112442017,0.831985592842102,1,0.3066081166267395,0.5,0.1933918833732605,0.25,0.0,4,64,26,0.40625,22,0.34375,16,0.25,0.40625,3
S2,EMATentProbe025,0.669258713722229,0.669258713722229,0.8771315813064575,1,0.2992223858833313,0.5,0.2007776141166687,0.25,0.0,5,64,36,0.5625,19,0.296875,9,0.140625,0.5625,3
S2,EMATentProbe025,0.7719406485557556,0.7719406485557556,0.817359447479248,1,0.2684178054332733,0.5,0.23158219456672668,0.25,0.0,6,40,17,0.425,13,0.325,10,0.25,0.425,3
S2,EMATentProbe050,0.3694015443325043,0.3694015443325043,0.908414900302887,1,0.38917953670024874,0.5,0.11082046329975127,0.5,0.0,0,64,42,0.65625,13,0.203125,9,0.140625,0.65625,3
S2,EMATentProbe050,0.5225890278816223,0.5225890278816223,0.8942065834999084,1,0.34322329163551335,0.5,0.15677670836448668,0.5,0.0,1,64,34,0.53125,22,0.34375,8,0.125,0.53125,3
S2,EMATentProbe050,0.5693694353103638,0.5693694353103638,0.8944355249404907,1,0.3291891694068909,0.5,0.17081083059310911,0.5,0.0,2,64,40,0.625,14,0.21875,10,0.15625,0.625,3
S2,EMATentProbe050,0.6530981063842773,0.6530981063842773,0.833071231842041,1,0.3040705680847168,0.5,0.1959294319152832,0.5,0.0,3,64,34,0.53125,20,0.3125,10,0.15625,0.53125,3
S2,EMATentProbe050,0.7268354296684265,0.7268354296684265,0.8194422721862793,1,0.28194937109947205,0.5,0.21805062890052795,0.5,0.0,4,64,26,0.40625,22,0.34375,16,0.25,0.40625,3
S2,EMATentProbe050,0.7545410990715027,0.7545410990715027,0.8452455401420593,1,0.2736376702785492,0.5,0.2263623297214508,0.5,0.0,5,64,36,0.5625,19,0.296875,9,0.140625,0.5625,3
