Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_F1_2,Source_MacroF1,Norm_Acc,Norm_F1_0,Norm_F1_1,Norm_F1_2,Norm_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_F1_2,Tent_MacroF1
S2,0.5400943396226415,0.7057010785824345,0.0,0.0,0.2352336928608115,0.7570754716981132,0.9223529411764706,0.580952380952381,0.6009389671361502,0.701414763088334,0.7570754716981132,0.9223529411764706,0.580952380952381,0.6009389671361502,0.701414763088334
S3,0.6566125290023201,0.7889273356401384,0.5263157894736842,0.0,0.43841437503794084,0.7563805104408353,0.9255813953488372,0.7584097859327217,0.05714285714285714,0.5803780128081387,0.7587006960556845,0.9280742459396751,0.7607361963190185,0.05714285714285714,0.5819844331338503
S4,0.619815668202765,0.7560321715817694,0.6381909547738693,0.020618556701030927,0.4716138943522232,0.6889400921658986,0.8049792531120332,0.8192771084337349,0.043795620437956206,0.5560173273279081,0.6889400921658986,0.8049792531120332,0.8192771084337349,0.043795620437956206,0.5560173273279081
S5,0.8126410835214447,0.9409448818897638,0.7414634146341463,0.5202312138728323,0.7342131701322474,0.835214446952596,0.8986175115207373,0.8797250859106529,0.5838509316770186,0.7873978430361364,0.835214446952596,0.8986175115207373,0.8797250859106529,0.5838509316770186,0.7873978430361364
S6,0.6621315192743764,0.9587852494577006,0.029850746268656716,0.4808362369337979,0.4898240775533851,0.8027210884353742,0.9312638580931264,0.717948717948718,0.6091370558375635,0.7527832106264692,0.8027210884353742,0.9312638580931264,0.717948717948718,0.6091370558375635,0.7527832106264692
S7,0.7568181818181818,0.8633879781420765,0.8571428571428571,0.0,0.5735102784283111,0.8,0.8517110266159695,0.921875,0.20408163265306123,0.6592225530896769,0.8,0.8517110266159695,0.921875,0.20408163265306123,0.6592225530896769
S8,0.5633484162895928,0.5437352245862884,0.8401253918495298,0.0,0.46128687214527275,0.4502262443438914,0.6045454545454545,0.5196850393700787,0.0,0.3747434979718444,0.4502262443438914,0.6045454545454545,0.5196850393700787,0.0,0.3747434979718444
S9,0.826879271070615,0.9957805907172996,0.7696969696969697,0.0,0.5884925201380898,0.7061503416856492,0.89749430523918,0.7151898734177216,0.0,0.5375613928856339,0.7061503416856492,0.89749430523918,0.7151898734177216,0.0,0.5375613928856339
S10,0.5635964912280702,0.8708133971291866,0.0,0.5084745762711864,0.4597626578001243,0.6359649122807017,0.6648199445983379,0.554016620498615,0.7368421052631579,0.6518928901200369,0.6359649122807017,0.6648199445983379,0.554016620498615,0.7368421052631579,0.6518928901200369
S11,0.6860986547085202,0.8436363636363636,0.0,0.7184466019417476,0.5206943218593704,0.6860986547085202,0.8761904761904762,0.5693430656934306,0.4444444444444444,0.6299926621094504,0.6860986547085202,0.8761904761904762,0.5693430656934306,0.4444444444444444,0.6299926621094504
S13,0.5685393258426966,0.9649122807017544,0.26506024096385544,0.0,0.4099908405552033,0.6696629213483146,0.9440715883668904,0.5309090909090909,0.16666666666666666,0.5472157819808826,0.6696629213483146,0.9440715883668904,0.5309090909090909,0.16666666666666666,0.5472157819808826
S14,0.6247191011235955,0.9626373626373627,0.41843971631205673,0.0,0.46035902631647313,0.7191011235955056,0.9671772428884027,0.6282051282051282,0.01652892561983471,0.5373037655711218,0.7191011235955056,0.9671772428884027,0.6282051282051282,0.01652892561983471,0.5373037655711218
S15,0.9082774049217002,0.9957264957264957,0.8681672025723473,0.6608695652173913,0.8415877545054115,0.7874720357941835,0.8738317757009346,0.7753846153846153,0.5531914893617021,0.734135960149084,0.7874720357941835,0.8738317757009346,0.7753846153846153,0.5531914893617021,0.734135960149084
S16,0.8333333333333334,1.0,0.783625730994152,0.0,0.594541910331384,0.7905405405405406,0.9557522123893806,0.7859237536656891,0.021052631578947368,0.587576199211339,0.7905405405405406,0.9557522123893806,0.7859237536656891,0.021052631578947368,0.587576199211339
S17,0.75,0.9936305732484076,0.3825136612021858,0.5658914728682171,0.6473452357729368,0.8618421052631579,0.962800875273523,0.8421052631578947,0.5606060606060606,0.7885040663458261,0.8618421052631579,0.962800875273523,0.8421052631578947,0.5606060606060606,0.7885040663458261
Average,0.6915270213306569,0.8789767322451362,0.4747061783922873,0.23169121492041356,0.5284580418526122,0.7298260326168855,0.8720793240706504,0.7065967019653648,0.30655195922836137,0.6284093284214588,0.7299807116578754,0.8722455141100395,0.7067517959911178,0.30655195922836137,0.6285164231098396
Std,0.11264482170550619,0.12828442985838676,0.33137619240725513,0.28621093588454666,0.13935469059685981,0.09732929628916229,0.10301101810171115,0.12939411997196032,0.27074464635486706,0.10987725244723283,0.0973732084145903,0.10309917332755875,0.12945750979017004,0.27074464635486706,0.10983115850071229
