Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_max_class_ratio,true_num_present_classes,true_class_1_count,true_class_1_ratio
S10,EMATent,0.02426043711602688,0.02426043711602688,0.9976096749305725,0,0.4927218688651919,0.5,0.007278131134808063,0.0,0.0,0,64,64,1.0,1.0,1,,
S10,EMATent,0.6942418217658997,0.6942418217658997,0.9194003343582153,1,0.2917274534702301,0.5,0.2082725465297699,0.0,0.0,1,64,64,1.0,1.0,1,,
S10,EMATent,0.9212518930435181,0.9212518930435181,0.9319601058959961,1,0.2236244320869446,0.5,0.2763755679130554,0.0,0.0,2,64,64,1.0,1.0,1,,
S10,EMATent,0.9971587657928467,0.9971587657928467,0.9588376879692078,1,0.200852370262146,0.5,0.29914762973785397,0.0,0.0,3,64,64,1.0,1.0,1,,
S10,EMATent,4.269967394066043e-05,4.269967394066043e-05,0.9999979138374329,0,0.4999871900978178,0.5,1.280990218219813e-05,0.0,0.0,4,64,64,1.0,1.0,1,,
S10,EMATent,0.00015427010657731444,0.00015427010657731444,0.9999915361404419,0,0.4999537189680268,0.5,4.628103197319433e-05,0.0,0.0,5,64,64,1.0,1.0,1,,
S10,EMATent,0.0742824524641037,0.0742824524641037,0.9909713268280029,0,0.4777152642607689,0.5,0.02228473573923111,0.0,0.0,6,64,7,0.109375,0.890625,2,57.0,0.890625
S10,EMATent,0.2859264314174652,0.2859264314174652,0.950110673904419,1,0.41422207057476046,0.5,0.08577792942523955,0.0,0.0,7,64,0,0.0,1.0,1,64.0,1.0
S10,EMATent,0.9178446531295776,0.9178446531295776,0.9578755497932434,1,0.22464660406112671,0.5,0.27535339593887326,0.0,0.0,8,64,40,0.625,0.625,2,24.0,0.375
S10,EMATent,0.000133190187625587,0.000133190187625587,0.9999927878379822,0,0.4999600429437123,0.5,3.9957056287676096e-05,0.0,0.0,9,40,40,1.0,1.0,1,,
S11,EMATent,0.0021708705462515354,0.0021708705462515354,0.9998461008071899,0,0.4993487388361245,0.5,0.0006512611638754606,0.0,0.0,0,64,64,1.0,1.0,1,,
S11,EMATent,0.0002819959190674126,0.0002819959190674126,0.9999837875366211,0,0.4999154012242798,0.5,8.459877572022378e-05,0.0,0.0,1,64,64,1.0,1.0,1,,
S11,EMATent,0.061939023435115814,0.061939023435115814,0.992751955986023,0,0.48141829296946526,0.5,0.018581707030534744,0.0,0.0,2,64,64,1.0,1.0,1,,
S11,EMATent,0.3137398958206177,0.3137398958206177,0.9505960941314697,1,0.4058780312538147,0.5,0.0941219687461853,0.0,0.0,3,64,44,0.6875,0.6875,2,20.0,0.3125
S11,EMATent,0.879954993724823,0.879954993724823,0.8357021808624268,1,0.2360135018825531,0.5,0.2639864981174469,0.0,0.0,4,64,0,0.0,1.0,1,64.0,1.0
S11,EMATent,0.9781380891799927,0.9781380891799927,0.8672757744789124,1,0.20655857324600221,0.5,0.2934414267539978,0.0,0.0,5,64,12,0.1875,0.8125,2,52.0,0.8125
S11,EMATent,0.4221893846988678,0.4221893846988678,0.9359796643257141,1,0.37334318459033966,0.5,0.12665681540966034,0.0,0.0,6,64,64,1.0,1.0,1,,
S11,EMATent,0.1880411058664322,0.1880411058664322,0.9777407646179199,0,0.44358766824007034,0.5,0.05641233175992966,0.0,0.0,7,64,64,1.0,1.0,1,,
S11,EMATent,0.8972451686859131,0.8972451686859131,0.9088786244392395,1,0.23082644939422609,0.5,0.2691735506057739,0.0,0.0,8,64,64,1.0,1.0,1,,
S11,EMATent,0.7127373814582825,0.7127373814582825,0.889554500579834,1,0.28617878556251525,0.5,0.21382121443748472,0.0,0.0,9,29,29,1.0,1.0,1,,
S13,EMATent,0.0008121118298731744,0.0008121118298731744,0.999948263168335,0,0.49975636645103805,0.5,0.00024363354896195233,0.0,0.0,0,64,64,1.0,1.0,1,,
