Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_MacroF1,Norm_Acc,Norm_F1_0,Norm_F1_1,Norm_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_MacroF1,EMATent_Acc,EMATent_F1_0,EMATent_F1_1,EMATent_MacroF1
S10,0.6558441558441559,0.792156862745098,0.0,0.396078431372549,0.7516233766233766,0.8430769230769231,0.4046692607003891,0.6238730918886561,0.7516233766233766,0.8430769230769231,0.4046692607003891,0.6238730918886561,0.5551948051948052,0.7072649572649573,0.07432432432432433,0.3907946407946408,0.6785714285714286,0.7928870292887029,0.2826086956521739,0.5377478624704384
S11,0.7768595041322314,0.8741845293569431,0.014598540145985401,0.44439153475146426,0.7619834710743801,0.8515463917525773,0.4,0.6257731958762887,0.7619834710743801,0.8515463917525773,0.4,0.6257731958762887,0.7338842975206612,0.8151549942594719,0.5250737463126843,0.6701143702860781,0.8727272727272727,0.919202518363064,0.7003891050583657,0.8097958117107149
S13,0.8658940397350994,0.9131832797427653,0.7054545454545454,0.8093189125986553,0.7748344370860927,0.854389721627409,0.5036496350364964,0.6790196783319526,0.7748344370860927,0.854389721627409,0.5036496350364964,0.6790196783319526,0.38576158940397354,0.4583941605839416,0.29063097514340347,0.37451256786367254,0.8294701986754967,0.8828213879408419,0.6869300911854104,0.7848757395631261
S14,0.7164179104477612,0.82389289392379,0.2723404255319149,0.5481166597278524,0.7180762852404643,0.8221757322175732,0.32,0.5710878661087866,0.7180762852404643,0.8221757322175732,0.32,0.5710878661087866,0.5323383084577115,0.6083333333333333,0.41975308641975306,0.5140432098765432,0.7296849087893864,0.8170594837261503,0.48253968253968255,0.6497995831329164
S15,0.7508250825082509,0.83745963401507,0.4664310954063604,0.6519453647107152,0.6765676567656765,0.7928118393234672,0.2631578947368421,0.5279848670301547,0.6765676567656765,0.7928118393234672,0.2631578947368421,0.5279848670301547,0.47029702970297027,0.5656292286874154,0.321353065539112,0.4434911471132637,0.6122112211221122,0.727061556329849,0.33048433048433046,0.5287729434070898
S16,0.6146179401993356,0.6704545454545454,0.536,0.6032272727272727,0.7408637873754153,0.8231292517006803,0.515527950310559,0.6693286010056196,0.7408637873754153,0.8231292517006803,0.515527950310559,0.6693286010056196,0.553156146179402,0.6173541963015647,0.4630738522954092,0.540214024298487,0.9418604651162791,0.9611542730299667,0.8844884488448845,0.9228213609374256
S17,0.9401993355481728,0.9617834394904459,0.8625954198473282,0.912189429668887,0.7558139534883721,0.8531468531468531,0.27586206896551724,0.5645044610561851,0.7558139534883721,0.8531468531468531,0.27586206896551724,0.5645044610561851,0.6362126245847176,0.694560669456067,0.5503080082135524,0.6224343388348097,0.8687707641196013,0.9053892215568863,0.7859078590785907,0.8456485403177385
S2,0.7854671280276817,0.8798449612403101,0.0,0.43992248062015504,0.7352941176470589,0.8430769230769231,0.15469613259668508,0.4988865278368041,0.7352941176470589,0.8430769230769231,0.15469613259668508,0.4988865278368041,0.5865051903114187,0.697084917617237,0.34877384196185285,0.5229293797895449,0.7854671280276817,0.8796116504854369,0.015873015873015872,0.4477423331792264
S3,0.7904599659284497,0.8816169393647738,0.08888888888888889,0.48525291412683136,0.8109028960817717,0.8835257082896117,0.497737556561086,0.6906316324253489,0.8109028960817717,0.8835257082896117,0.497737556561086,0.6906316324253489,0.6473594548551959,0.7509025270758123,0.3965014577259475,0.5737019924008799,0.909710391822828,0.9427027027027027,0.7871485943775101,0.8649256485401065
S4,0.8708053691275168,0.9117983963344788,0.7586206896551724,0.8352095429948256,0.7768456375838926,0.8646998982706002,0.36363636363636365,0.6141681309534819,0.7751677852348994,0.8638211382113821,0.3557692307692308,0.6097951844903065,0.7197986577181208,0.8055878928987195,0.4984984984984985,0.652043195698609,0.9379194630872483,0.9589345172031076,0.872852233676976,0.9158933754400418
S5,0.9933554817275747,0.9957537154989384,0.9847328244274809,0.9902432699632097,0.6943521594684385,0.8075313807531381,0.25806451612903225,0.5327979484410852,0.6943521594684385,0.8075313807531381,0.25806451612903225,0.5327979484410852,0.7375415282392026,0.8286334056399133,0.4397163120567376,0.6341748588483255,0.9833887043189369,0.9894291754756871,0.9612403100775194,0.9753347427766033
S6,0.6755852842809364,0.7953586497890295,0.21774193548387097,0.5065502926364502,0.7408026755852842,0.8335123523093448,0.41509433962264153,0.6243033459659932,0.7424749163879598,0.8347639484978541,0.4166666666666667,0.6257153075822603,0.6337792642140468,0.7174193548387097,0.47980997624703087,0.5986146655428702,0.754180602006689,0.8368479467258602,0.5016949152542373,0.6692714309900487
S7,0.9078726968174204,0.9446122860020141,0.7263681592039801,0.8354902226029971,0.8324958123953099,0.9,0.4845360824742268,0.6922680412371134,0.8324958123953099,0.9,0.4845360824742268,0.6922680412371134,0.7504187604690117,0.8285385500575374,0.5415384615384615,0.6850385057979995,0.9782244556113903,0.9863301787592008,0.9465020576131687,0.9664161181861848
S8,0.9019933554817275,0.9398572884811417,0.7354260089686099,0.8376416487248758,0.6960132890365448,0.8067581837381204,0.28793774319066145,0.547347963464391,0.6960132890365448,0.8067581837381204,0.28793774319066145,0.547347963464391,0.6644518272425249,0.7589498806682577,0.44808743169398907,0.6035186561811234,0.8172757475083057,0.8671497584541062,0.7074468085106383,0.7872982834823723
S9,0.8425460636515912,0.8886255924170616,0.7314285714285714,0.8100270819228166,0.7855946398659966,0.869653767820774,0.39622641509433965,0.6329400914575568,0.7855946398659966,0.869653767820774,0.39622641509433965,0.6329400914575568,0.7035175879396985,0.7900355871886121,0.49572649572649574,0.6428810414575539,0.8408710217755444,0.8896631823461092,0.7147147147147147,0.8021889485304119
