Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes
S10,EMATent,0.40351828932762146,0.40351828932762146,0.9668973088264465,1,0.3789445132017136,0.5,0.12105548679828643,0.0,0.0,0,64,49,0.765625,15.0,0.234375,0.765625,2
S10,EMATent,0.5309908986091614,0.5309908986091614,0.9840824007987976,1,0.34070273041725163,0.5,0.1592972695827484,0.0,0.0,1,64,49,0.765625,15.0,0.234375,0.765625,2
S10,EMATent,0.3986976742744446,0.3986976742744446,0.9871276617050171,1,0.38039069771766665,0.5,0.11960930228233337,0.0,0.0,2,64,49,0.765625,15.0,0.234375,0.765625,2
S10,EMATent,0.5040925741195679,0.5040925741195679,0.9822841286659241,1,0.34877222776412964,0.5,0.15122777223587036,0.0,0.0,3,64,46,0.71875,18.0,0.28125,0.71875,2
S10,EMATent,0.4989152252674103,0.4989152252674103,0.9792129993438721,1,0.3503254324197769,0.5,0.14967456758022307,0.0,0.0,4,64,52,0.8125,12.0,0.1875,0.8125,2
S10,EMATent,0.44168323278427124,0.44168323278427124,0.9732290506362915,1,0.36749503016471863,0.5,0.13250496983528137,0.0,0.0,5,64,45,0.703125,19.0,0.296875,0.703125,2
S10,EMATent,0.5957521796226501,0.5957521796226501,0.965107798576355,1,0.32127434611320493,0.5,0.17872565388679504,0.0,0.0,6,64,45,0.703125,19.0,0.296875,0.703125,2
S10,EMATent,0.5320600867271423,0.5320600867271423,0.968418538570404,1,0.3403819739818573,0.5,0.1596180260181427,0.0,0.0,7,64,52,0.8125,12.0,0.1875,0.8125,2
S10,EMATent,0.5989177823066711,0.5989177823066711,0.9811437726020813,1,0.32032466530799864,0.5,0.17967533469200134,0.0,0.0,8,64,56,0.875,8.0,0.125,0.875,2
S10,EMATent,0.5700594782829285,0.5700594782829285,0.9842462539672852,1,0.32898215651512147,0.5,0.17101784348487853,0.0,0.0,9,40,28,0.7,12.0,0.3,0.7,2
S11,EMATent,0.0772528350353241,0.0772528350353241,0.9905308485031128,0,0.47682414948940277,0.5,0.02317585051059723,0.0,0.0,0,64,52,0.8125,12.0,0.1875,0.8125,2
S11,EMATent,0.12167651951313019,0.12167651951313019,0.9834377765655518,0,0.46349704414606097,0.5,0.036502955853939055,0.0,0.0,1,64,48,0.75,16.0,0.25,0.75,2
S11,EMATent,0.4868873059749603,0.4868873059749603,0.9544277191162109,1,0.3539338082075119,0.5,0.1460661917924881,0.0,0.0,2,64,46,0.71875,18.0,0.28125,0.71875,2
S11,EMATent,0.3939381241798401,0.3939381241798401,0.9626758098602295,1,0.381818562746048,0.5,0.11818143725395203,0.0,0.0,3,64,49,0.765625,15.0,0.234375,0.765625,2
S11,EMATent,0.4600164294242859,0.4600164294242859,0.9650711417198181,1,0.36199507117271423,0.5,0.13800492882728577,0.0,0.0,4,64,54,0.84375,10.0,0.15625,0.84375,2
