Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_class_2_count,true_class_2_ratio,true_max_class_ratio,true_num_present_classes
S10,EmaTentGridS20E50B30M080,0.1306767761707306,0.1306767761707306,0.9728370308876038,0,0.4607969671487808,0.5,0.03920303285121918,0.0,0.0,0,64,64,1.0,0,0.0,0,0.0,1.0,1
S10,EmaTentGridS20E50B30M080,0.8759254217147827,0.8759254217147827,0.64501953125,1,0.23722237348556519,0.5,0.2627776265144348,0.0,0.0,1,64,64,1.0,0,0.0,0,0.0,1.0,1
S10,EmaTentGridS20E50B30M080,0.87811279296875,0.87811279296875,0.6101438403129578,1,0.236566162109375,0.5,0.26343383789062497,0.0,0.0,2,64,64,1.0,0,0.0,0,0.0,1.0,1
S10,EmaTentGridS20E50B30M080,0.8425609469413757,0.8425609469413757,0.7799001336097717,1,0.2472317159175873,0.5,0.2527682840824127,0.0,0.0,3,64,44,0.6875,0,0.0,20,0.3125,0.6875,2
S10,EmaTentGridS20E50B30M080,0.12073220312595367,0.12073220312595367,0.9737064242362976,0,0.4637803390622139,0.5,0.0362196609377861,0.0,0.0,4,64,0,0.0,9,0.140625,55,0.859375,0.859375,2
S10,EmaTentGridS20E50B30M080,0.656814694404602,0.656814694404602,0.7484496831893921,1,0.3029555916786194,0.5,0.19704440832138062,0.0,0.0,5,64,0,0.0,64,1.0,0,0.0,1.0,1
S10,EmaTentGridS20E50B30M080,0.6723991632461548,0.6723991632461548,0.6535634398460388,1,0.2982802510261536,0.5,0.20171974897384642,0.0,0.0,6,64,0,0.0,64,1.0,0,0.0,1.0,1
S10,EmaTentGridS20E50B30M080,0.6890920400619507,0.6890920400619507,0.6555571556091309,1,0.2932723879814148,0.5,0.2067276120185852,0.0,0.0,7,8,0,0.0,8,1.0,0,0.0,1.0,1
S10,EmaTentGridS20E50B30M080BnOnly,0.07053769379854202,0.07053769379854202,0.9871724843978882,0,0.47883869186043737,0.5,0.021161308139562605,0.0,0.0,0,64,64,1.0,0,0.0,0,0.0,1.0,1
S10,EmaTentGridS20E50B30M080BnOnly,0.8428304195404053,0.8428304195404053,0.6584426760673523,1,0.24715087413787842,0.5,0.25284912586212155,0.0,0.0,1,64,64,1.0,0,0.0,0,0.0,1.0,1
S10,EmaTentGridS20E50B30M080BnOnly,0.8555706739425659,0.8555706739425659,0.6171202659606934,1,0.24332879781723024,0.5,0.2566712021827698,0.0,0.0,2,64,64,1.0,0,0.0,0,0.0,1.0,1
S10,EmaTentGridS20E50B30M080BnOnly,0.8245964646339417,0.8245964646339417,0.7904463410377502,1,0.25262106060981754,0.5,0.2473789393901825,0.0,0.0,3,64,44,0.6875,0,0.0,20,0.3125,0.6875,2
S10,EmaTentGridS20E50B30M080BnOnly,0.07111727446317673,0.07111727446317673,0.9860514998435974,0,0.47866481766104696,0.5,0.021335182338953016,0.0,0.0,4,64,0,0.0,9,0.140625,55,0.859375,0.859375,2
S10,EmaTentGridS20E50B30M080BnOnly,0.6404896378517151,0.6404896378517151,0.743412971496582,1,0.30785310864448545,0.5,0.19214689135551452,0.0,0.0,5,64,0,0.0,64,1.0,0,0.0,1.0,1
S10,EmaTentGridS20E50B30M080BnOnly,0.6560379862785339,0.6560379862785339,0.6007698774337769,1,0.30318860411643983,0.5,0.19681139588356017,0.0,0.0,6,64,0,0.0,64,1.0,0,0.0,1.0,1
