Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_class_2_count,true_class_2_ratio,true_max_class_ratio,true_num_present_classes
S10,EmaTentGridS20E50B30M080,0.1306767761707306,0.1306767761707306,0.9728370308876038,0,0.4607969671487808,0.5,0.03920303285121918,0.0,0.0,0,64,64,1.0,0,0.0,0,0.0,1.0,1
S10,EmaTentGridS20E50B30M080,0.8759254217147827,0.8759254217147827,0.64501953125,1,0.23722237348556519,0.5,0.2627776265144348,0.0,0.0,1,64,64,1.0,0,0.0,0,0.0,1.0,1
S10,EmaTentGridS20E50B30M080,0.87811279296875,0.87811279296875,0.6101438403129578,1,0.236566162109375,0.5,0.26343383789062497,0.0,0.0,2,64,64,1.0,0,0.0,0,0.0,1.0,1
S10,EmaTentGridS20E50B30M080,0.8425609469413757,0.8425609469413757,0.7799001336097717,1,0.2472317159175873,0.5,0.2527682840824127,0.0,0.0,3,64,44,0.6875,0,0.0,20,0.3125,0.6875,2
S10,EmaTentGridS20E50B30M080,0.12073220312595367,0.12073220312595367,0.9737064242362976,0,0.4637803390622139,0.5,0.0362196609377861,0.0,0.0,4,64,0,0.0,9,0.140625,55,0.859375,0.859375,2
S10,EmaTentGridS20E50B30M080,0.656814694404602,0.656814694404602,0.7484496831893921,1,0.3029555916786194,0.5,0.19704440832138062,0.0,0.0,5,64,0,0.0,64,1.0,0,0.0,1.0,1
S10,EmaTentGridS20E50B30M080,0.6723991632461548,0.6723991632461548,0.6535634398460388,1,0.2982802510261536,0.5,0.20171974897384642,0.0,0.0,6,64,0,0.0,64,1.0,0,0.0,1.0,1
S10,EmaTentGridS20E50B30M080,0.6890920400619507,0.6890920400619507,0.6555571556091309,1,0.2932723879814148,0.5,0.2067276120185852,0.0,0.0,7,8,0,0.0,8,1.0,0,0.0,1.0,1
S10,EmaTentGridS20E50B30M080LR1e3,0.1306767761707306,0.1306767761707306,0.9728370308876038,0,0.4607969671487808,0.5,0.03920303285121918,0.0,0.0,0,64,64,1.0,0,0.0,0,0.0,1.0,1
S10,EmaTentGridS20E50B30M080LR1e3,0.8759254217147827,0.8759254217147827,0.64501953125,1,0.23722237348556519,0.5,0.2627776265144348,0.0,0.0,1,64,64,1.0,0,0.0,0,0.0,1.0,1
S10,EmaTentGridS20E50B30M080LR1e3,0.8710372447967529,0.8710372447967529,0.6146470308303833,1,0.23868882656097412,0.5,0.2613111734390259,0.0,0.0,2,64,64,1.0,0,0.0,0,0.0,1.0,1
S10,EmaTentGridS20E50B30M080LR1e3,0.8346640467643738,0.8346640467643738,0.7878975868225098,1,0.24960078597068788,0.5,0.25039921402931214,0.0,0.0,3,64,44,0.6875,0,0.0,20,0.3125,0.6875,2
S10,EmaTentGridS20E50B30M080LR1e3,0.12040358781814575,0.12040358781814575,0.9737703800201416,0,0.4638789236545563,0.5,0.036121076345443724,0.0,0.0,4,64,0,0.0,9,0.140625,55,0.859375,0.859375,2
S10,EmaTentGridS20E50B30M080LR1e3,0.6549391150474548,0.6549391150474548,0.7491574287414551,1,0.30351826548576355,0.5,0.19648173451423645,0.0,0.0,5,64,0,0.0,64,1.0,0,0.0,1.0,1
S10,EmaTentGridS20E50B30M080LR1e3,0.6688821911811829,0.6688821911811829,0.6563848853111267,1,0.29933534264564515,0.5,0.20066465735435485,0.0,0.0,6,64,0,0.0,64,1.0,0,0.0,1.0,1
