Subject,Source_Acc,Source_F1_0,Source_F1_1,Source_F1_2,Source_MacroF1,Norm_Acc,Norm_F1_0,Norm_F1_1,Norm_F1_2,Norm_MacroF1,Tent_Acc,Tent_F1_0,Tent_F1_1,Tent_F1_2,Tent_MacroF1,TentLR1e3_Acc,TentLR1e3_F1_0,TentLR1e3_F1_1,TentLR1e3_F1_2,TentLR1e3_MacroF1,NormBnOnly_Acc,NormBnOnly_F1_0,NormBnOnly_F1_1,NormBnOnly_F1_2,NormBnOnly_MacroF1,TentBnOnly_Acc,TentBnOnly_F1_0,TentBnOnly_F1_1,TentBnOnly_F1_2,TentBnOnly_MacroF1,TentBnOnlyLR1e3_Acc,TentBnOnlyLR1e3_F1_0,TentBnOnlyLR1e3_F1_1,TentBnOnlyLR1e3_F1_2,TentBnOnlyLR1e3_MacroF1,OFTTA_Acc,OFTTA_F1_0,OFTTA_F1_1,OFTTA_F1_2,OFTTA_MacroF1,EmaTentGridS20E50B30M080_Acc,EmaTentGridS20E50B30M080_F1_0,EmaTentGridS20E50B30M080_F1_1,EmaTentGridS20E50B30M080_F1_2,EmaTentGridS20E50B30M080_MacroF1,EmaTentGridS20E50B30M080LR1e3_Acc,EmaTentGridS20E50B30M080LR1e3_F1_0,EmaTentGridS20E50B30M080LR1e3_F1_1,EmaTentGridS20E50B30M080LR1e3_F1_2,EmaTentGridS20E50B30M080LR1e3_MacroF1,EmaTentGridS20E50B30M080BnOnly_Acc,EmaTentGridS20E50B30M080BnOnly_F1_0,EmaTentGridS20E50B30M080BnOnly_F1_1,EmaTentGridS20E50B30M080BnOnly_F1_2,EmaTentGridS20E50B30M080BnOnly_MacroF1,EmaTentGridS20E50B30M080BnOnlyLR1e3_Acc,EmaTentGridS20E50B30M080BnOnlyLR1e3_F1_0,EmaTentGridS20E50B30M080BnOnlyLR1e3_F1_1,EmaTentGridS20E50B30M080BnOnlyLR1e3_F1_2,EmaTentGridS20E50B30M080BnOnlyLR1e3_MacroF1
S10,0.5635964912280702,0.8708133971291866,0.0,0.5084745762711864,0.4597626578001243,0.47368421052631576,0.4792626728110599,0.5235294117647059,0.3333333333333333,0.445375139303033,0.47368421052631576,0.4792626728110599,0.5235294117647059,0.3333333333333333,0.445375139303033,0.4780701754385965,0.4851258581235698,0.5309734513274337,0.3235294117647059,0.44654290707190314,0.5087719298245614,0.5191873589164786,0.5476190476190477,0.37593984962406013,0.48091541871986215,0.5087719298245614,0.5191873589164786,0.5476190476190477,0.37593984962406013,0.48091541871986215,0.5087719298245614,0.5201793721973094,0.5492537313432836,0.366412213740458,0.4786151057603503,0.36403508771929827,0.35359116022099446,0.35435435435435436,0.39631336405529954,0.3680862928768828,0.6008771929824561,0.5432098765432098,0.5591939546599496,0.7853403141361257,0.6292480484464283,0.6052631578947368,0.5432098765432098,0.5664160401002506,0.7936507936507936,0.6344255700980846,0.6162280701754386,0.5341614906832298,0.5825242718446602,0.8426966292134831,0.6531274639137911,0.618421052631579,0.5341614906832298,0.585956416464891,0.847457627118644,0.6558585114222549
S11,0.6860986547085202,0.8436363636363636,0.0,0.7184466019417476,0.5206943218593704,0.35650224215246634,0.43914081145584727,0.3931034482758621,0.1092896174863388,0.3138446257393494,0.35650224215246634,0.43914081145584727,0.3931034482758621,0.1092896174863388,0.3138446257393494,0.35874439461883406,0.43914081145584727,0.39862542955326463,0.10989010989010989,0.3158854502997406,0.3789237668161435,0.4647887323943662,0.40955631399317405,0.11560693641618497,0.32998399426790836,0.3789237668161435,0.4647887323943662,0.40955631399317405,0.11560693641618497,0.32998399426790836,0.3789237668161435,0.46588235294117647,0.40955631399317405,0.11494252873563218,0.3301270652233276,0.38789237668161436,0.5873417721518988,0.14345991561181434,0.3076923076923077,0.34616466515200695,0.5224215246636771,0.803030303030303,0.0,0.43023255813953487,0.411087620389946,0.5224215246636771,0.803030303030303,0.0,0.43023255813953487,0.411087620389946,0.5269058295964125,0.8110831234256927,0.0,0.4289855072463768,0.41335621022402314,0.5269058295964125,0.8110831234256927,0.0,0.42528735632183906,0.41212349324917724
S13,0.5685393258426966,0.9649122807017544,0.26506024096385544,0.0,0.4099908405552033,0.43820224719101125,0.5485232067510548,0.43986254295532645,0.016,0.3347952499021271,0.43820224719101125,0.5473684210526316,0.43986254295532645,0.016129032258064516,0.3344533320886742,0.43820224719101125,0.5450733752620545,0.4429065743944637,0.016129032258064516,0.3347029939715276,0.4606741573033708,0.5446985446985447,0.4863013698630137,0.05128205128205128,0.36076065528120327,0.4606741573033708,0.5446985446985447,0.4863013698630137,0.05128205128205128,0.36076065528120327,0.4606741573033708,0.5435684647302904,0.4879725085910653,0.05128205128205128,0.36094100820113567,0.47191011235955055,0.6480186480186481,0.41543026706231456,0.016129032258064516,0.3598593157796757,0.6022471910112359,0.9393258426966292,0.4233576642335766,0.011695906432748537,0.45812647112098476,0.604494382022472,0.9393258426966292,0.4290909090909091,0.011764705882352941,0.46006048588996373,0.5932584269662922,0.9417040358744395,0.3985239852398524,0.0,0.44674267370476395,0.5932584269662922,0.9417040358744395,0.3985239852398524,0.0,0.44674267370476395
S14,0.6247191011235955,0.9626373626373627,0.41843971631205673,0.0,0.46035902631647313,0.3955056179775281,0.5318681318681319,0.34057971014492755,0.10062893081761007,0.32435892427688984,0.3955056179775281,0.5318681318681319,0.34057971014492755,0.10062893081761007,0.32435892427688984,0.39325842696629215,0.5307017543859649,0.34057971014492755,0.08860759493670886,0.3199630198225338,0.40898876404494383,0.532150776053215,0.3776223776223776,0.10457516339869281,0.3381161056914285,0.40898876404494383,0.532150776053215,0.3776223776223776,0.10457516339869281,0.3381161056914285,0.4067415730337079,0.5309734513274337,0.3776223776223776,0.09210526315789473,0.33356703070256866,0.4696629213483146,0.7015706806282722,0.3729903536977492,0.17258883248730963,0.4157166222711104,0.550561797752809,0.7772020725388601,0.5306122448979592,0.049689440993788817,0.45250125281020276,0.550561797752809,0.7772020725388601,0.5306122448979592,0.049689440993788817,0.45250125281020276,0.5483146067415731,0.7897435897435897,0.5263157894736842,0.0,0.4386864597390913,0.5483146067415731,0.7897435897435897,0.5278592375366569,0.0,0.43920094242674884
S15,0.9082774049217002,0.9957264957264957,0.8681672025723473,0.6608695652173913,0.8415877545054115,0.465324384787472,0.49876543209876545,0.40939597315436244,0.4816753926701571,0.46327893264109504,0.465324384787472,0.5,0.40939597315436244,0.4791666666666667,0.4628542132736764,0.46308724832214765,0.5012285012285013,0.39864864864864863,0.4816753926701571,0.46051751418243564,0.44966442953020136,0.47381546134663344,0.4013377926421405,0.4742268041237113,0.4497933527041617,0.44966442953020136,0.47381546134663344,0.4013377926421405,0.4742268041237113,0.4497933527041617,0.44966442953020136,0.47381546134663344,0.4013377926421405,0.4742268041237113,0.4497933527041617,0.5570469798657718,0.5490196078431373,0.5808219178082191,0.5232558139534884,0.5510324465349483,0.738255033557047,0.8190954773869347,0.7082152974504249,0.5874125874125874,0.7049077874166491,0.7472035794183445,0.827930174563591,0.717948717948718,0.5915492957746479,0.712476062762319,0.7427293064876958,0.825,0.7071823204419889,0.5909090909090909,0.7076971371170266,0.7539149888143176,0.8395061728395061,0.7150837988826816,0.5954198473282443,0.7166699396834773
S16,0.8333333333333334,1.0,0.783625730994152,0.0,0.594541910331384,0.5135135135135135,0.6014319809069213,0.5730337078651685,0.0,0.3914885629240299,0.5135135135135135,0.6014319809069213,0.5730337078651685,0.0,0.3914885629240299,0.5135135135135135,0.6014319809069213,0.5730337078651685,0.0,0.3914885629240299,0.5045045045045045,0.5879518072289157,0.5746478873239437,0.0,0.3875332315176198,0.5045045045045045,0.5879518072289157,0.5746478873239437,0.0,0.3875332315176198,0.5045045045045045,0.5879518072289157,0.5746478873239437,0.0,0.3875332315176198,0.5608108108108109,0.6666666666666666,0.6263736263736264,0.0,0.431013431013431,0.9797297297297297,0.980561555075594,0.9816849816849816,0.9736842105263158,0.9786435824289638,0.9797297297297297,0.980561555075594,0.9816849816849816,0.9736842105263158,0.9786435824289638,0.9797297297297297,0.980561555075594,0.9852941176470589,0.9673202614379085,0.9777253113868537,0.9797297297297297,0.980561555075594,0.9852941176470589,0.9673202614379085,0.9777253113868537
S17,0.75,0.9936305732484076,0.3825136612021858,0.5658914728682171,0.6473452357729368,0.46271929824561403,0.5673469387755102,0.4,0.19672131147540983,0.38802275008364,0.46271929824561403,0.5673469387755102,0.4,0.19672131147540983,0.38802275008364,0.4605263157894737,0.5679513184584178,0.3959731543624161,0.18181818181818182,0.38191421821300525,0.4605263157894737,0.5633802816901409,0.391025641025641,0.17475728155339806,0.3763877347563933,0.4605263157894737,0.5633802816901409,0.391025641025641,0.17475728155339806,0.3763877347563933,0.4605263157894737,0.561122244488978,0.39228295819935693,0.17647058823529413,0.3766252636412097,0.5614035087719298,0.7210884353741497,0.4918032786885246,0.26506024096385544,0.49265065167550987,0.7390350877192983,0.8467153284671532,0.7087087087087087,0.5357142857142857,0.6970461076300491,0.7412280701754386,0.8467153284671532,0.7125748502994012,0.5389221556886228,0.699404111485059,0.7828947368421053,0.8353808353808354,0.7838616714697406,0.6455696202531646,0.7549373757012469,0.7850877192982456,0.8382352941176471,0.7838616714697406,0.6496815286624203,0.7572594980832693
S2,0.5400943396226415,0.7057010785824345,0.0,0.0,0.2352336928608115,0.5165094339622641,0.6062052505966588,0.4406779661016949,0.41450777202072536,0.4871303295730263,0.5165094339622641,0.6062052505966588,0.4406779661016949,0.41450777202072536,0.4871303295730263,0.5165094339622641,0.6062052505966588,0.4406779661016949,0.41450777202072536,0.4871303295730263,0.5212264150943396,0.6057692307692307,0.45643153526970953,0.418848167539267,0.49368297785940246,0.5212264150943396,0.6057692307692307,0.45643153526970953,0.418848167539267,0.49368297785940246,0.5235849056603774,0.6076555023923444,0.4583333333333333,0.42105263157894735,0.49568048910154167,0.6226415094339622,0.7855711422845691,0.20125786163522014,0.5473684210526316,0.5113991416574737,0.660377358490566,0.9118279569892473,0.032,0.5116279069767442,0.4851519546553305,0.6650943396226415,0.9217391304347826,0.032,0.5171102661596958,0.4902831321981595,0.6556603773584906,0.9277899343544858,0.0,0.4925373134328358,0.47344241592910724,0.6627358490566038,0.9359823399558499,0.0,0.5073529411764706,0.48111176037744013
S3,0.6566125290023201,0.7889273356401384,0.5263157894736842,0.0,0.43841437503794084,0.531322505800464,0.645021645021645,0.43703703703703706,0.3230769230769231,0.4683785350452017,0.531322505800464,0.645021645021645,0.43703703703703706,0.3230769230769231,0.4683785350452017,0.5266821345707656,0.6436285097192225,0.42962962962962964,0.31007751937984496,0.46111188624289906,0.5220417633410673,0.6420824295010846,0.417910447761194,0.3157894736842105,0.45859411698216307,0.5220417633410673,0.6420824295010846,0.417910447761194,0.3157894736842105,0.45859411698216307,0.5266821345707656,0.646551724137931,0.42105263157894735,0.3181818181818182,0.46192872463289886,0.5939675174013921,0.7505070993914807,0.5,0.13675213675213677,0.4624197453812058,0.7842227378190255,0.9421487603305785,0.7308970099667774,0.0,0.5576819234324519,0.7842227378190255,0.9421487603305785,0.7308970099667774,0.0,0.5576819234324519,0.7865429234338747,0.9402061855670103,0.7350993377483444,0.0,0.5584351744384516,0.7865429234338747,0.9402061855670103,0.7350993377483444,0.0,0.5584351744384516
S4,0.619815668202765,0.7560321715817694,0.6381909547738693,0.020618556701030927,0.4716138943522232,0.5299539170506913,0.6359832635983264,0.5480427046263345,0.01834862385321101,0.40079153069262397,0.5299539170506913,0.6359832635983264,0.5480427046263345,0.01834862385321101,0.40079153069262397,0.5276497695852534,0.6333333333333333,0.5428571428571428,0.018518518518518517,0.39823633156966487,0.5345622119815668,0.6291666666666667,0.5448275862068965,0.04081632653061224,0.4049368598013918,0.5345622119815668,0.6291666666666667,0.5448275862068965,0.04081632653061224,0.4049368598013918,0.5345622119815668,0.6291666666666667,0.5448275862068965,0.04081632653061224,0.4049368598013918,0.5944700460829493,0.6497695852534562,0.7076923076923077,0.03669724770642202,0.4647197135507286,0.576036866359447,0.6855524079320113,0.6150121065375302,0.0392156862745098,0.4465934002480172,0.576036866359447,0.6855524079320113,0.6135265700483091,0.039603960396039604,0.44622764612545335,0.576036866359447,0.6855524079320113,0.6120481927710844,0.04,0.44586686690103194,0.576036866359447,0.6855524079320113,0.6105769230769231,0.04040404040404041,0.445511123804325
