Subject,Method,stream_mode,block_length,accuracy,macro_f1,single_class_batch_ratio,max_class_ratio,imbalance
S10,Source,original,,0.5635964912280702,0.4597626578001243,,,
S10,Tent,original,,0.4934210526315789,0.4676240866717057,,,
S10,OFTTA,original,,0.36403508771929827,0.3680862928768828,,,
S10,EMATent,original,,0.6052631578947368,0.6320103050957481,0.75,0.943359375,
S10,MIDynamicEMATent,original,,0.5482456140350878,0.46438064513023564,0.75,0.943359375,0.6100260416666667
S10,MIDynamicRelaxed,original,,0.5285087719298246,0.5075739899480908,0.75,0.943359375,0.6100260416666667
S10,MIDynamicRelaxedAnchor,original,,0.5570175438596491,0.5549977590297266,0.75,0.943359375,0.6100260416666667
S10,MIDynamicFastEMA,original,,0.5526315789473685,0.552321895184235,0.75,0.943359375,0.6100260416666667
S11,Source,original,,0.6860986547085202,0.5206943218593704,,,
S11,Tent,original,,0.36995515695067266,0.3230732494502151,,,
S11,OFTTA,original,,0.38789237668161436,0.34616466515200695,,,
S11,EMATent,original,,0.5336322869955157,0.4206209401053654,0.7142857142857143,0.9285714285714286,
S11,MIDynamicEMATent,original,,0.6860986547085202,0.5220233020744529,0.7142857142857143,0.9285714285714286,0.5952380952380951
S11,MIDynamicRelaxed,original,,0.6659192825112108,0.49215287056478124,0.7142857142857143,0.9285714285714286,0.5952380952380951
S11,MIDynamicRelaxedAnchor,original,,0.6524663677130045,0.48203966576059604,0.7142857142857143,0.9285714285714286,0.5952380952380951
S11,MIDynamicFastEMA,original,,0.6547085201793722,0.4834260018837542,0.7142857142857143,0.9285714285714286,0.5952380952380951
S13,Source,original,,0.5685393258426966,0.4099908405552033,,,
S13,Tent,original,,0.43595505617977526,0.3360329130399072,,,
S13,OFTTA,original,,0.47191011235955055,0.3598593157796757,,,
S13,EMATent,original,,0.6067415730337079,0.4614812003304276,0.7142857142857143,0.9375,
S13,MIDynamicEMATent,original,,0.5595505617977528,0.4025117739403454,0.7142857142857143,0.9375,0.6041666666666667
S13,MIDynamicRelaxed,original,,0.5730337078651685,0.4340445483869146,0.7142857142857143,0.9375,0.6041666666666667
S13,MIDynamicRelaxedAnchor,original,,0.5707865168539326,0.4337439785200979,0.7142857142857143,0.9375,0.6041666666666667
S13,MIDynamicFastEMA,original,,0.5752808988764045,0.4385704803849399,0.7142857142857143,0.9375,0.6041666666666667
S14,Source,original,,0.6247191011235955,0.46035902631647313,,,
S14,Tent,original,,0.40898876404494383,0.33985004102651156,,,
S14,OFTTA,original,,0.4696629213483146,0.4157166222711104,,,
S14,EMATent,original,,0.5573033707865168,0.45024946350994194,0.7142857142857143,0.9263392857142857,
S14,MIDynamicEMATent,original,,0.6292134831460674,0.4825332883321554,0.7142857142857143,0.9263392857142857,0.5930059523809523
S14,MIDynamicRelaxed,original,,0.5797752808988764,0.46015340829323703,0.7142857142857143,0.9263392857142857,0.5930059523809523
S14,MIDynamicRelaxedAnchor,original,,0.5707865168539326,0.4562472654278793,0.7142857142857143,0.9263392857142857,0.5930059523809523
S14,MIDynamicFastEMA,original,,0.5730337078651685,0.4587123826254262,0.7142857142857143,0.9263392857142857,0.5930059523809523
S15,Source,original,,0.9082774049217002,0.8415877545054115,,,
S15,Tent,original,,0.4697986577181208,0.46602811342467726,,,
S15,OFTTA,original,,0.5570469798657718,0.5510324465349483,,,
S15,EMATent,original,,0.7494407158836689,0.7121969605088676,0.7142857142857143,0.9308035714285714,
S15,MIDynamicEMATent,original,,0.8993288590604027,0.8283151497014316,0.7142857142857143,0.9308035714285714,0.5974702380952381
S15,MIDynamicRelaxed,original,,0.8165548098434005,0.7610248094514839,0.7142857142857143,0.9308035714285714,0.5974702380952381
S15,MIDynamicRelaxedAnchor,original,,0.7897091722595079,0.7417508933484721,0.7142857142857143,0.9308035714285714,0.5974702380952381
S15,MIDynamicFastEMA,original,,0.7718120805369127,0.7265492143321084,0.7142857142857143,0.9308035714285714,0.5974702380952381
S16,Source,original,,0.8333333333333334,0.594541910331384,,,
S16,Tent,original,,0.5112612612612613,0.3961773866434883,,,
S16,OFTTA,original,,0.5608108108108109,0.431013431013431,,,
S16,EMATent,original,,0.9774774774774775,0.9742576175166832,0.7142857142857143,0.9241071428571429,
S16,MIDynamicEMATent,original,,0.8333333333333334,0.594541910331384,0.7142857142857143,0.9241071428571429,0.5907738095238094
S16,MIDynamicRelaxed,original,,0.8558558558558559,0.6877861616512845,0.7142857142857143,0.9241071428571429,0.5907738095238094
S16,MIDynamicRelaxedAnchor,original,,0.8581081081081081,0.7008230593217445,0.7142857142857143,0.9241071428571429,0.5907738095238094
S16,MIDynamicFastEMA,original,,0.8603603603603603,0.7079763208979607,0.7142857142857143,0.9241071428571429,0.5907738095238094
S17,Source,original,,0.75,0.6473452357729368,,,
S17,Tent,original,,0.4605263157894737,0.3891938893324411,,,
S17,OFTTA,original,,0.5614035087719298,0.49265065167550987,,,
S17,EMATent,original,,0.6973684210526315,0.6533019060271085,0.75,0.9453125,
