Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_class_2_count,true_class_2_ratio,true_max_class_ratio,true_num_present_classes,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_class_2_count,pred_class_2_ratio,pred_max_class_ratio,pred_num_present_classes,true_imbalance
S10,EMATent,0.109647236764431,0.109647236764431,0.9781075119972229,0.0,0.4671058289706707,0.5,0.032894171029329296,0.0,0.0,0,64,64,1.0,0,0.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,
S10,EMATent,0.853682279586792,0.853682279586792,0.6456230282783508,1.0,0.24389531612396242,0.5,0.2561046838760376,0.0,0.0,1,64,64,1.0,0,0.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,
S10,EMATent,0.8682008981704712,0.8682008981704712,0.6177782416343689,1.0,0.23953973054885866,0.5,0.26046026945114137,0.0,0.0,2,64,64,1.0,0,0.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,
S10,EMATent,0.8450646996498108,0.8450646996498108,0.775323748588562,1.0,0.24648059010505677,0.5,0.2535194098949432,0.0,0.0,3,64,44,0.6875,0,0.0,20,0.3125,0.6875,2,,,,,,,,,,,,,,,,,,,,,,,,
S10,EMATent,0.160710409283638,0.160710409283638,0.9632365703582764,0.0,0.4517868772149086,0.5,0.0482131227850914,0.0,0.0,4,64,0,0.0,9,0.140625,55,0.859375,0.859375,2,,,,,,,,,,,,,,,,,,,,,,,,
S10,EMATent,0.6526212096214294,0.6526212096214294,0.7504882216453552,1.0,0.3042136371135712,0.5,0.19578636288642884,0.0,0.0,5,64,0,0.0,64,1.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,
S10,EMATent,0.6692977547645569,0.6692977547645569,0.6491234302520752,1.0,0.2992106735706329,0.5,0.20078932642936706,0.0,0.0,6,64,0,0.0,64,1.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,
S10,EMATent,0.6557409763336182,0.6557409763336182,0.6518597602844238,1.0,0.30327770709991453,0.5,0.19672229290008544,0.0,0.0,7,8,0,0.0,8,1.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,
S10,MIGateOnlyRelaxed,,,,,,,,,,0,64,64,1.0,0,0.0,0,0.0,1.0,1,0.09154055267572403,0.37230102399244935,0.3260748088359833,0.23453424870967865,0.38830969280226524,0.5,0.1116903071977348,,0.0,0.19999999999999996,1.0,0.19018927216529846,0.0,0.0,0.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666667
S10,MIGateOnlyRelaxed,,,,,,,,,,1,64,64,1.0,0,0.0,0,0.0,1.0,1,0.10959254205226898,0.3979428788582434,0.9370737075805664,0.8274811506271362,0.380617136342527,0.5,0.11938286365747303,,0.0,0.19999999999999996,1.0,0.9765840768814087,0.0,0.0,0.0,26.0,0.40625,34.0,0.53125,4.0,0.0625,0.53125,3.0,0.6666666666666667
S10,MIGateOnlyRelaxed,,,,,,,,,,2,64,64,1.0,0,0.0,0,0.0,1.0,1,0.081056147813797,0.35623325258282845,0.9670215249061584,0.8859653472900391,0.3931300242251515,0.5,0.10686997577484854,,0.0,0.19999999999999996,1.0,0.9169631004333496,0.0,0.0,0.0,4.0,0.0625,58.0,0.90625,2.0,0.03125,0.90625,3.0,0.6666666666666667
S10,MIGateOnlyRelaxed,,,,,,,,,,3,64,44,0.6875,0,0.0,20,0.3125,0.6875,2,0.30824506282806396,0.5996783974625397,0.9403373003005981,0.6320922374725342,0.3200964807612381,0.5,0.1799035192387619,,0.0,0.19999999999999996,1.0,0.5765823125839233,0.0,0.0,0.0,0.0,0.0,42.0,0.65625,22.0,0.34375,0.65625,2.0,0.3541666666666667
S10,MIGateOnlyRelaxed,,,,,,,,,,4,64,0,0.0,9,0.140625,55,0.859375,0.859375,2,0.08279310166835785,0.3589641140223291,0.4452275037765503,0.36243438720703125,0.39231076579330126,0.5,0.10768923420669872,,0.0,0.19999999999999996,1.0,0.2316492646932602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1.0,1.0,1.0,0.5260416666666667
S10,MIGateOnlyRelaxed,,,,,,,,,,5,64,0,0.0,64,1.0,0,0.0,1.0,1,0.06422152370214462,0.3280776933387769,0.639417827129364,0.5751962661743164,0.40157669199836693,0.5,0.09842330800163307,,0.0,0.19999999999999996,1.0,0.6273269653320312,0.0,0.0,0.0,0.0,0.0,39.0,0.609375,25.0,0.390625,0.609375,2.0,0.6666666666666667
S10,MIGateOnlyRelaxed,,,,,,,,,,6,64,0,0.0,64,1.0,0,0.0,1.0,1,0.04297947883605957,0.2865834340374521,0.6153079271316528,0.5723284482955933,0.41402496978876435,0.5,0.08597503021123563,,0.0,0.19999999999999996,1.0,0.6954525709152222,0.0,0.0,0.0,0.0,0.0,45.0,0.703125,19.0,0.296875,0.703125,2.0,0.6666666666666667
S10,MIGateOnlyRelaxed,,,,,,,,,,7,8,0,0.0,8,1.0,0,0.0,1.0,1,0.028978567570447922,0.2532078318235162,0.6214547157287598,0.5924761295318604,0.42403765045294517,0.5,0.07596234954705486,,0.0,0.19999999999999996,1.0,0.7494880557060242,0.0,0.0,0.0,0.0,0.0,4.0,0.5,4.0,0.5,0.5,2.0,0.6666666666666667
S10,MIGateAwareRelaxed,,,,,,,,,,0,64,64,1.0,0,0.0,0,0.0,1.0,1,0.09154055267572403,0.37230102399244935,0.3260748088359833,0.23453424870967865,0.38830969280226524,0.5,0.1116903071977348,,0.0,0.07446020479848986,1.0,0.19018927216529846,0.0,1.0,0.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666667
S10,MIGateAwareRelaxed,,,,,,,,,,1,64,64,1.0,0,0.0,0,0.0,1.0,1,0.10959254205226898,0.3979428788582434,0.9370737075805664,0.8274811506271362,0.380617136342527,0.5,0.11938286365747303,,0.0,0.07958857577164867,1.0,0.9163053631782532,0.0,1.0,0.0,45.0,0.703125,18.0,0.28125,1.0,0.015625,0.703125,3.0,0.6666666666666667
