Subject,Method,batch_size,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_class_2_count,pred_class_2_ratio,pred_max_class_ratio,pred_num_present_classes,batch_index,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_class_2_count,true_class_2_ratio,true_max_class_ratio,true_num_present_classes,true_imbalance
S2,DynaMixEMATent,64,0.0032719303853809834,0.023137448355555534,0.023137448355555534,0.01986551843583584,0.9816365402210555,0.011422225272277873,0.00694123450666666,0.011502063794385342,1.4807966947555542,0.19999999999999996,0.0,0.022667746990919113,0.2,0.0,1.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,64,1.0,0,0.0,0,0.0,1.0,1,0.6666666666666667
S2,DynaMixEMATent,64,0.004838692955672741,0.03802860900759697,0.03802860900759697,0.033189915120601654,0.9588149458141945,0.029776471483526516,0.011408582702279091,0.03012009912539948,3.9146276712417603,0.19999999999999996,0.0,0.031350668519735336,0.2,0.0,1.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,64,1.0,0,0.0,0,0.0,1.0,1,0.6666666666666667
S2,DynaMixEMATent,64,0.006053311750292778,0.05874742195010185,0.05874742195010185,0.052694108337163925,0.9252066859478092,0.057169087467160186,0.017624226585030555,0.05819472447740337,7.674462676048279,0.19999999999999996,0.0,0.06024167686700821,0.2,0.0,1.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2,64,1.0,0,0.0,0,0.0,1.0,1,0.6666666666666667
S2,DynaMixEMATent,64,0.138914093375206,0.25291645526885986,0.25291645526885986,0.11400236189365387,0.7669583099624229,0.15716675345691924,0.07587493658065796,0.17007086992683518,23.86111581325531,0.19999999999999996,1.0,0.20153287053108215,0.2,0.0,1.0,55.0,0.859375,0.0,0.0,9.0,0.140625,0.859375,2.0,3,37,0.578125,27,0.421875,0,0.0,0.578125,2,0.24479166666666669
S2,DynaMixEMATent,64,0.011399715207517147,0.07646117359399796,0.07646117359399796,0.06506145745515823,0.780476160157098,0.19658548776470258,0.022938352078199387,0.2012007002657793,28.75463092327118,0.19999999999999996,0.0,0.27899426221847534,0.2,0.0,1.0,62.0,0.96875,0.0,0.0,2.0,0.03125,0.96875,2.0,4,0,0.0,64,1.0,0,0.0,1.0,1,0.6666666666666667
S2,DynaMixEMATent,64,0.13511355221271515,0.4102831184864044,0.4102831184864044,0.27516958117485046,0.5705626769866313,0.3063523874674473,0.12308493554592131,0.3493524058207008,55.01275050640106,0.19999999999999996,1.0,0.4558902382850647,0.2,0.0,1.0,18.0,0.28125,0.0,0.0,46.0,0.71875,0.71875,2.0,5,0,0.0,32,0.5,32,0.5,0.5,2,0.16666666666666669
S2,DynaMixEMATent,40,0.02292679250240326,0.13927613198757172,0.13927613198757172,0.11634933948516846,0.5969083169859414,0.3613088434177871,0.041782839596271514,0.3770636327004995,60.58379578590393,0.19999999999999996,0.0,0.6446975469589233,0.2,0.0,1.0,16.0,0.4,0.0,0.0,24.0,0.6,0.6,2.0,6,0,0.0,0,0.0,40,1.0,1.0,1,0.6666666666666667
S2,TEMA,64,,,,,,,,,,,,,,,,,,,,,,,,0,64,1.0,0,0.0,0,0.0,1.0,1,
S2,TEMA,64,,,,,,,,,,,,,,,,,,,,,,,,1,64,1.0,0,0.0,0,0.0,1.0,1,
S2,TEMA,64,,,,,,,,,,,,,,,,,,,,,,,,2,64,1.0,0,0.0,0,0.0,1.0,1,
S2,TEMA,64,,,,,,,,,,,,,,,,,,,,,,,,3,37,0.578125,27,0.421875,0,0.0,0.578125,2,
S2,TEMA,64,,,,,,,,,,,,,,,,,,,,,,,,4,0,0.0,64,1.0,0,0.0,1.0,1,
S2,TEMA,64,,,,,,,,,,,,,,,,,,,,,,,,5,0,0.0,32,0.5,32,0.5,0.5,2,
S2,TEMA,40,,,,,,,,,,,,,,,,,,,,,,,,6,0,0.0,0,0.0,40,1.0,1.0,1,
