Subject,Method,stream_mode,block_length,accuracy,macro_f1,single_class_batch_ratio,max_class_ratio,imbalance
S10,Source,original,,0.5635964912280702,0.4597626578001243,,,
S10,Tent,original,,0.4934210526315789,0.4676240866717057,,,
S10,OFTTA,original,,0.36403508771929827,0.3680862928768828,,,
S10,DynaMixEMATent,original,,0.6513157894736842,0.6757769112607823,0.75,0.943359375,0.6100260416666667
S10,TEMA,original,,0.6381578947368421,0.6311128097994265,0.75,0.943359375,
S10,DUA,original,,0.5679824561403509,0.542147923898693,0.75,0.943359375,
S10,RoTTA,original,,0.5087719298245614,0.48091541871986215,0.75,0.943359375,
S10,NOTE,original,,0.5087719298245614,0.48091541871986215,0.75,0.943359375,
S10,DELTA,original,,0.5372807017543859,0.5590437977389302,0.75,0.943359375,
S11,Source,original,,0.6860986547085202,0.5206943218593704,,,
S11,Tent,original,,0.36995515695067266,0.3230732494502151,,,
S11,OFTTA,original,,0.38789237668161436,0.34616466515200695,,,
S11,DynaMixEMATent,original,,0.5874439461883408,0.49164361128679496,0.7142857142857143,0.9285714285714286,0.5952380952380951
S11,TEMA,original,,0.679372197309417,0.5008736105304906,0.7142857142857143,0.9285714285714286,
S11,DUA,original,,0.679372197309417,0.4998884106488124,0.7142857142857143,0.9285714285714286,
S11,RoTTA,original,,0.3789237668161435,0.32998399426790836,0.7142857142857143,0.9285714285714286,
S11,NOTE,original,,0.3789237668161435,0.32998399426790836,0.7142857142857143,0.9285714285714286,
S11,DELTA,original,,0.3721973094170404,0.28588421665247005,0.7142857142857143,0.9285714285714286,
S13,Source,original,,0.5685393258426966,0.4099908405552033,,,
S13,Tent,original,,0.43595505617977526,0.3360329130399072,,,
S13,OFTTA,original,,0.47191011235955055,0.3598593157796757,,,
S13,DynaMixEMATent,original,,0.5910112359550562,0.44750552650564007,0.7142857142857143,0.9375,0.6041666666666667
S13,TEMA,original,,0.5910112359550562,0.4418702425208001,0.7142857142857143,0.9375,
S13,DUA,original,,0.5865168539325842,0.4378232566434814,0.7142857142857143,0.9375,
S13,RoTTA,original,,0.4606741573033708,0.36076065528120327,0.7142857142857143,0.9375,
S13,NOTE,original,,0.4606741573033708,0.36094100820113567,0.7142857142857143,0.9375,
S13,DELTA,original,,0.4,0.32819841648833,0.7142857142857143,0.9375,
S14,Source,original,,0.6247191011235955,0.46035902631647313,,,
S14,Tent,original,,0.40898876404494383,0.33985004102651156,,,
S14,OFTTA,original,,0.4696629213483146,0.4157166222711104,,,
S14,DynaMixEMATent,original,,0.550561797752809,0.4495438243070579,0.7142857142857143,0.9263392857142857,0.5930059523809523
S14,TEMA,original,,0.6224719101123596,0.4758083114247498,0.7142857142857143,0.9263392857142857,
S14,DUA,original,,0.6179775280898876,0.4698925473412945,0.7142857142857143,0.9263392857142857,
S14,RoTTA,original,,0.40898876404494383,0.3381161056914285,0.7142857142857143,0.9263392857142857,
S14,NOTE,original,,0.40898876404494383,0.3381161056914285,0.7142857142857143,0.9263392857142857,
S14,DELTA,original,,0.35730337078651686,0.2884410646387833,0.7142857142857143,0.9263392857142857,
S15,Source,original,,0.9082774049217002,0.8415877545054115,,,
S15,Tent,original,,0.4697986577181208,0.46602811342467726,,,
S15,OFTTA,original,,0.5570469798657718,0.5510324465349483,,,
S15,DynaMixEMATent,original,,0.7986577181208053,0.7449105677943865,0.7142857142857143,0.9308035714285714,0.5974702380952381
S15,TEMA,original,,0.8926174496644296,0.8243546881118039,0.7142857142857143,0.9308035714285714,
S15,DUA,original,,0.8948545861297539,0.8259894037757332,0.7142857142857143,0.9308035714285714,
S15,RoTTA,original,,0.44966442953020136,0.4497933527041617,0.7142857142857143,0.9308035714285714,
S15,NOTE,original,,0.44966442953020136,0.4497933527041617,0.7142857142857143,0.9308035714285714,
S15,DELTA,original,,0.44966442953020136,0.4419735926402593,0.7142857142857143,0.9308035714285714,
S16,Source,original,,0.8333333333333334,0.594541910331384,,,
S16,Tent,original,,0.5112612612612613,0.3961773866434883,,,
S16,OFTTA,original,,0.5608108108108109,0.431013431013431,,,
S16,DynaMixEMATent,original,,0.8716216216216216,0.7466638134698761,0.7142857142857143,0.9241071428571429,0.5907738095238094
S16,TEMA,original,,0.8333333333333334,0.594541910331384,0.7142857142857143,0.9241071428571429,
S16,DUA,original,,0.8333333333333334,0.594541910331384,0.7142857142857143,0.9241071428571429,
S16,RoTTA,original,,0.5045045045045045,0.3875332315176198,0.7142857142857143,0.9241071428571429,
S16,NOTE,original,,0.5045045045045045,0.3875332315176198,0.7142857142857143,0.9241071428571429,
S16,DELTA,original,,0.38513513513513514,0.2778067722439069,0.7142857142857143,0.9241071428571429,
S17,Source,original,,0.75,0.6473452357729368,,,
S17,Tent,original,,0.4605263157894737,0.3891938893324411,,,
S17,OFTTA,original,,0.5614035087719298,0.49265065167550987,,,
S17,DynaMixEMATent,original,,0.793859649122807,0.7427845632179997,0.75,0.9453125,0.6119791666666667
S17,TEMA,original,,0.7741228070175439,0.6949414470879604,0.75,0.9453125,
