Subject,Method,stream_mode,block_length,accuracy,macro_f1,single_class_batch_ratio,max_class_ratio,imbalance
S10,Source,original,,0.6558441558441559,0.396078431372549,,,
S10,Norm,original,,0.7516233766233766,0.6238730918886561,,,
S10,Tent,original,,0.7516233766233766,0.6238730918886561,,,
S10,OFTTA,original,,0.5551948051948052,0.3907946407946408,,,
S10,EMATent,original,,0.6785714285714286,0.5377478624704384,0.8,0.9515625,
S10,DynaMixEMATent,original,,0.6948051948051948,0.5677192982456141,0.8,0.9515625,0.1015625
S10,TEMA,original,,0.6493506493506493,0.4023715415019763,0.8,0.9515625,
S10,DUA,original,,0.6477272727272727,0.3931034482758621,0.8,0.9515625,
S10,RoTTA,original,,0.7483766233766234,0.6232505100007497,0.8,0.9515625,
S10,NOTE,original,,0.7483766233766234,0.6232505100007497,0.8,0.9515625,
S10,DELTA,original,,0.551948051948052,0.43100401606425703,0.8,0.9515625,
S11,Source,original,,0.7768595041322314,0.44439153475146426,,,
S11,Norm,original,,0.7619834710743801,0.6257731958762887,,,
S11,Tent,original,,0.7619834710743801,0.6257731958762887,,,
S11,OFTTA,original,,0.7338842975206612,0.6701143702860781,,,
S11,EMATent,original,,0.8727272727272727,0.8097958117107149,0.8,0.95,
S11,DynaMixEMATent,original,,0.7702479338842976,0.548480797212334,0.8,0.95,0.1
S11,TEMA,original,,0.7586776859504132,0.46279132000194617,0.8,0.95,
S11,DUA,original,,0.7603305785123967,0.4635376853692096,0.8,0.95,
S11,RoTTA,original,,0.768595041322314,0.6384297520661157,0.8,0.95,
S11,NOTE,original,,0.768595041322314,0.6384297520661157,0.8,0.95,
S11,DELTA,original,,0.8115702479338843,0.717595322327044,0.8,0.95,
S13,Source,original,,0.8658940397350994,0.8093189125986553,,,
S13,Norm,original,,0.7748344370860927,0.6790196783319526,,,
S13,Tent,original,,0.7748344370860927,0.6790196783319526,,,
S13,OFTTA,original,,0.38576158940397354,0.37451256786367254,,,
S13,EMATent,original,,0.8294701986754967,0.7848757395631261,0.8,0.9671875,
S13,DynaMixEMATent,original,,0.8410596026490066,0.798338967488836,0.8,0.9671875,0.1171875
S13,TEMA,original,,0.9056291390728477,0.8637006069099848,0.8,0.9671875,
S13,DUA,original,,0.9105960264900662,0.8718891402714932,0.8,0.9671875,
S13,RoTTA,original,,0.7665562913907285,0.6714237762885286,0.8,0.9671875,
S13,NOTE,original,,0.7665562913907285,0.6714237762885286,0.8,0.9671875,
S13,DELTA,original,,0.5629139072847682,0.5562531307396894,0.8,0.9671875,
S14,Source,original,,0.7164179104477612,0.5481166597278524,,,
S14,Norm,original,,0.7180762852404643,0.5710878661087866,,,
S14,Tent,original,,0.7180762852404643,0.5710878661087866,,,
S14,OFTTA,original,,0.5323383084577115,0.5140432098765432,,,
S14,EMATent,original,,0.7296849087893864,0.6497995831329164,0.8,0.9484375,
S14,DynaMixEMATent,original,,0.7512437810945274,0.6439649200151153,0.8,0.9484375,0.0984375
S14,TEMA,original,,0.7014925373134329,0.5318322981366459,0.8,0.9484375,
S14,DUA,original,,0.7014925373134329,0.5318322981366459,0.8,0.9484375,
S14,RoTTA,original,,0.7114427860696517,0.5635669362084457,0.8,0.9484375,
S14,NOTE,original,,0.7131011608623549,0.5648025698254104,0.8,0.9484375,
S14,DELTA,original,,0.7081260364842454,0.6537286941087417,0.8,0.9484375,
S15,Source,original,,0.7508250825082509,0.6519453647107152,,,
S15,Norm,original,,0.6765676567656765,0.5279848670301547,,,
S15,Tent,original,,0.6765676567656765,0.5279848670301547,,,
S15,OFTTA,original,,0.47029702970297027,0.4434911471132637,,,
S15,EMATent,original,,0.6122112211221122,0.5287729434070898,0.8,0.9671875,
S15,DynaMixEMATent,original,,0.6402640264026402,0.5606242017879949,0.8,0.9671875,0.1171875
S15,TEMA,original,,0.6072607260726073,0.49060522151898733,0.8,0.9671875,
S15,DUA,original,,0.6122112211221122,0.5000824946378485,0.8,0.9671875,
S15,RoTTA,original,,0.6782178217821783,0.5390232770424463,0.8,0.9671875,
S15,NOTE,original,,0.6782178217821783,0.5390232770424463,0.8,0.9671875,
S15,DELTA,original,,0.4884488448844885,0.3835319752178935,0.8,0.9671875,
S16,Source,original,,0.6146179401993356,0.6032272727272727,,,
S16,Norm,original,,0.7408637873754153,0.6693286010056196,,,
S16,Tent,original,,0.7408637873754153,0.6693286010056196,,,
S16,OFTTA,original,,0.553156146179402,0.540214024298487,,,
S16,EMATent,original,,0.9418604651162791,0.9228213609374256,0.8,0.946875,
S16,DynaMixEMATent,original,,0.8637873754152824,0.834847775175644,0.8,0.946875,0.096875
S16,TEMA,original,,0.8372093023255814,0.807647664879951,0.8,0.946875,
S16,DUA,original,,0.7491694352159468,0.7236307252633659,0.8,0.946875,
S16,RoTTA,original,,0.7441860465116279,0.6735679779158039,0.8,0.946875,
S16,NOTE,original,,0.7441860465116279,0.6735679779158039,0.8,0.946875,
S16,DELTA,original,,0.7259136212624585,0.702464931120317,0.8,0.946875,
S17,Source,original,,0.9401993355481728,0.912189429668887,,,
S17,Norm,original,,0.7558139534883721,0.5645044610561851,,,
S17,Tent,original,,0.7558139534883721,0.5645044610561851,,,
S17,OFTTA,original,,0.6362126245847176,0.6224343388348097,,,
S17,EMATent,original,,0.8687707641196013,0.8456485403177385,0.8,0.9734375,
S17,DynaMixEMATent,original,,0.9634551495016611,0.9518028443745724,0.8,0.9734375,0.1734375
S17,TEMA,original,,0.9800664451827242,0.9724850313085607,0.8,0.9734375,
S17,DUA,original,,0.978405315614618,0.9701200771242579,0.8,0.9734375,
S17,RoTTA,original,,0.7508305647840532,0.5573529411764706,0.8,0.9734375,
S17,NOTE,original,,0.7508305647840532,0.5573529411764706,0.8,0.9734375,
S17,DELTA,original,,0.6960132890365448,0.681382912573063,0.8,0.9734375,
S2,Source,original,,0.7854671280276817,0.43992248062015504,,,
S2,Norm,original,,0.7352941176470589,0.4988865278368041,,,
S2,Tent,original,,0.7352941176470589,0.4988865278368041,,,
S2,OFTTA,original,,0.5865051903114187,0.5229293797895449,,,
S2,EMATent,original,,0.7854671280276817,0.4477423331792264,0.8,0.9078125,
S2,DynaMixEMATent,original,,0.7820069204152249,0.4388349514563107,0.8,0.9078125,0.0578125
S2,TEMA,original,,0.7854671280276817,0.43992248062015504,0.8,0.9078125,
S2,DUA,original,,0.7854671280276817,0.43992248062015504,0.8,0.9078125,
S2,RoTTA,original,,0.740484429065744,0.5109100345239975,0.8,0.9078125,
S2,NOTE,original,,0.7422145328719724,0.5119875336449922,0.8,0.9078125,
S2,DELTA,original,,0.7698961937716263,0.43499511241446726,0.8,0.9078125,
S3,Source,original,,0.7904599659284497,0.48525291412683136,,,
S3,Norm,original,,0.8109028960817717,0.6906316324253489,,,
S3,Tent,original,,0.8109028960817717,0.6906316324253489,,,
S3,OFTTA,original,,0.6473594548551959,0.5737019924008799,,,
S3,EMATent,original,,0.909710391822828,0.8649256485401065,0.8,0.9125,
S3,DynaMixEMATent,original,,0.838160136286201,0.7214104082050667,0.8,0.9125,0.0625
S3,TEMA,original,,0.7819420783645656,0.5554293287891697,0.8,0.9125,
S3,DUA,original,,0.7819420783645656,0.5554293287891697,0.8,0.9125,
S3,RoTTA,original,,0.8262350936967632,0.7106529807469264,0.8,0.9125,
S3,NOTE,original,,0.8262350936967632,0.7106529807469264,0.8,0.9125,
S3,DELTA,original,,0.7461669505962522,0.7171541757619856,0.8,0.9125,
S4,Source,original,,0.8708053691275168,0.8352095429948256,,,
S4,Norm,original,,0.7768456375838926,0.6141681309534819,,,
S4,Tent,original,,0.7751677852348994,0.6097951844903065,,,
S4,OFTTA,original,,0.7197986577181208,0.652043195698609,,,
S4,EMATent,original,,0.9379194630872483,0.9158933754400418,0.8,0.9859375,
S4,DynaMixEMATent,original,,0.9899328859060402,0.9850761217948718,0.8,0.9859375,0.1359375
S4,TEMA,original,,0.9815436241610739,0.9731671080150781,0.8,0.9859375,
S4,DUA,original,,0.9614093959731543,0.9456409239615347,0.8,0.9859375,
S4,RoTTA,original,,0.785234899328859,0.6272670419011882,0.8,0.9859375,
S4,NOTE,original,,0.785234899328859,0.6272670419011882,0.8,0.9859375,
S4,DELTA,original,,0.9446308724832215,0.9239134219230546,0.8,0.9859375,
S5,Source,original,,0.9933554817275747,0.9902432699632097,,,
S5,Norm,original,,0.6943521594684385,0.5327979484410852,,,
S5,Tent,original,,0.6943521594684385,0.5327979484410852,,,
S5,OFTTA,original,,0.7375415282392026,0.6341748588483255,,,
S5,EMATent,original,,0.9833887043189369,0.9753347427766033,0.8,0.9703125,
S5,DynaMixEMATent,original,,0.9916943521594684,0.9876324580181528,0.8,0.9703125,0.1203125
S5,TEMA,original,,0.9186046511627907,0.8612740141557129,0.8,0.9703125,
S5,DUA,original,,0.9451827242524917,0.9154476389095785,0.8,0.9703125,
S5,RoTTA,original,,0.6926910299003323,0.537121316026816,0.8,0.9703125,
S5,NOTE,original,,0.6926910299003323,0.537121316026816,0.8,0.9703125,
S5,DELTA,original,,0.8621262458471761,0.8289883941008765,0.8,0.9703125,
S6,Source,original,,0.6755852842809364,0.5065502926364502,,,
S6,Norm,original,,0.7408026755852842,0.6243033459659932,,,
S6,Tent,original,,0.7424749163879598,0.6257153075822603,,,
S6,OFTTA,original,,0.6337792642140468,0.5986146655428702,,,
S6,EMATent,original,,0.754180602006689,0.6692714309900487,0.8,0.940625,
S6,DynaMixEMATent,original,,0.7341137123745819,0.6125096279632731,0.8,0.940625,0.090625
S6,TEMA,original,,0.7107023411371237,0.5532669197120637,0.8,0.940625,
S6,DUA,original,,0.7090301003344481,0.5493008992151359,0.8,0.940625,
S6,RoTTA,original,,0.7391304347826086,0.6249034997426659,0.8,0.940625,
S6,NOTE,original,,0.7374581939799331,0.6234966695139215,0.8,0.940625,
S6,DELTA,original,,0.6103678929765887,0.5500172779620401,0.8,0.940625,
S7,Source,original,,0.9078726968174204,0.8354902226029971,,,
S7,Norm,original,,0.8324958123953099,0.6922680412371134,,,
S7,Tent,original,,0.8324958123953099,0.6922680412371134,,,
S7,OFTTA,original,,0.7504187604690117,0.6850385057979995,,,
S7,EMATent,original,,0.9782244556113903,0.9664161181861848,0.8,0.978125,
S7,DynaMixEMATent,original,,0.9698492462311558,0.9527706480081573,0.8,0.978125,0.128125
S7,TEMA,original,,0.9899497487437185,0.9848220338983051,0.8,0.978125,
S7,DUA,original,,0.9865996649916248,0.9796426379322103,0.8,0.978125,
S7,RoTTA,original,,0.8391959798994975,0.7020958083832336,0.8,0.978125,
S7,NOTE,original,,0.8391959798994975,0.7020958083832336,0.8,0.978125,
S7,DELTA,original,,0.9782244556113903,0.9688094041997388,0.8,0.978125,
S8,Source,original,,0.9019933554817275,0.8376416487248758,,,
S8,Norm,original,,0.6960132890365448,0.547347963464391,,,
S8,Tent,original,,0.6960132890365448,0.547347963464391,,,
S8,OFTTA,original,,0.6644518272425249,0.6035186561811234,,,
S8,EMATent,original,,0.8172757475083057,0.7872982834823723,0.8,0.978125,
S8,DynaMixEMATent,original,,0.8588039867109635,0.8273354591621536,0.8,0.978125,0.128125
S8,TEMA,original,,0.925249169435216,0.9028624907219156,0.8,0.978125,
S8,DUA,original,,0.9584717607973422,0.9436166984486163,0.8,0.978125,
S8,RoTTA,original,,0.6926910299003323,0.539783879832228,0.8,0.978125,
S8,NOTE,original,,0.6926910299003323,0.539783879832228,0.8,0.978125,
S8,DELTA,original,,0.760797342192691,0.7343336275375111,0.8,0.978125,
S9,Source,original,,0.8425460636515912,0.8100270819228166,,,
S9,Norm,original,,0.7855946398659966,0.6329400914575568,,,
S9,Tent,original,,0.7855946398659966,0.6329400914575568,,,
S9,OFTTA,original,,0.7035175879396985,0.6428810414575539,,,
S9,EMATent,original,,0.8408710217755444,0.8021889485304119,0.8,0.9390625,
S9,DynaMixEMATent,original,,0.8576214405360134,0.8223543950177313,0.8,0.9390625,0.0890625
S9,TEMA,original,,0.8358458961474037,0.7924435930183056,0.8,0.9390625,
S9,DUA,original,,0.8458961474036851,0.8080815139909988,0.8,0.9390625,
S9,RoTTA,original,,0.7906197654941374,0.6454616718531012,0.8,0.9390625,
S9,NOTE,original,,0.7922948073701842,0.6470150677093267,0.8,0.9390625,
